gene,panel,category,headline,source,agora_id,ensembl_gene_id,total_nominations,initial_nomination,nominating_teams,cohort_studies,input_data,programs,pharos_class
AADAT,AGORA_Single_Nomination,AGORA nominations: 1,FALSE,AGORA AD Knowledge Portal,6a4fe61059f5a283d2b79195,ENSG00000109576,1,2018,Duke,ADNI,Genetics; Metabolomics,AMP-AD,Tchem
ABCA7,AGORA_Single_Nomination,AGORA nominations: 1,FALSE,AGORA AD Knowledge Portal,6a4fe61059f5a283d2b790f5,ENSG00000064687,1,2018,Duke,ADNI,Genetics; Metabolomics,AMP-AD,Tbio
ABCA8,AGORA_Single_Nomination,AGORA nominations: 1,FALSE,AGORA AD Knowledge Portal,6a4fe61059f5a283d2b79290,ENSG00000141338,1,2023,Duke,NA,Genetics; Metabolomics; Phenomics; Protein; RNA,AMP-AD,Tbio
ABLIM2,AGORA_Single_Nomination,AGORA nominations: 1,FALSE,AGORA AD Knowledge Portal,6a4fe61059f5a283d2b79342,ENSG00000163995,1,2023,MSSM - Zhang Lab,MSBB,Protein,AMP-AD,Tdark
ACO2,AGORA_Single_Nomination,AGORA nominations: 1,FALSE,AGORA AD Knowledge Portal,6a4fe61059f5a283d2b7914a,ENSG00000100412,1,2018,Emory,ACT; BLSA; Banner,Protein,AMP-AD,Tbio
ACOT1,AGORA_Single_Nomination,AGORA nominations: 1,FALSE,AGORA AD Knowledge Portal,6a4fe61059f5a283d2b793fd,ENSG00000184227,1,2023,Emory,https://doi.org/10.1038/s41588-018-0311-9; https://doi.org/10.1038/s41588-019-0358-2,Genetics; Protein,AMP-AD,Tbio
ACOT11,AGORA_Single_Nomination,AGORA nominations: 1,FALSE,AGORA AD Knowledge Portal,6a4fe61059f5a283d2b79324,ENSG00000162390,1,2023,MSSM - Roussos Lab,FreshMicro,RNA,AMP-AD,Tbio
ACSL1,AGORA_Single_Nomination,AGORA nominations: 1,FALSE,AGORA AD Knowledge Portal,6a4fe61059f5a283d2b792e5,ENSG00000151726,1,2018,Duke,ADNI,Genetics; Metabolomics,AMP-AD,Tchem
ACTN1,AGORA_Single_Nomination,AGORA nominations: 1,FALSE,AGORA AD Knowledge Portal,6a4fe61059f5a283d2b7910c,ENSG00000072110,1,2018,Emory,ACT; BLSA; Banner,Protein,AMP-AD,Tbio
ACTN2,AGORA_Single_Nomination,AGORA nominations: 1,FALSE,AGORA AD Knowledge Portal,6a4fe61059f5a283d2b79116,ENSG00000077522,1,2018,Emory,ACT; BLSA; Banner,Protein,AMP-AD,Tbio
ADAM10,AGORA_Single_Nomination,AGORA nominations: 1,FALSE,AGORA AD Knowledge Portal,6a4fe61059f5a283d2b79275,ENSG00000137845,1,2023,Emory,https://doi.org/10.1038/s41588-018-0311-9; https://doi.org/10.1038/s41588-019-0358-2,Genetics; Protein,AMP-AD,Tchem
ADAM9,AGORA_Single_Nomination,AGORA nominations: 1,FALSE,AGORA AD Knowledge Portal,6a4fe61059f5a283d2b7937d,ENSG00000168615,1,2018,Duke,ADNI,Genetics; Metabolomics,AMP-AD,Tchem
ADAMTS1,AGORA_Single_Nomination,AGORA nominations: 1,FALSE,AGORA AD Knowledge Portal,6a4fe61059f5a283d2b792fb,ENSG00000154734,1,2023,ASU,VirusResilience,RNA,AMP-AD,Tchem
ADAMTS17,AGORA_Single_Nomination,AGORA nominations: 1,FALSE,AGORA AD Knowledge Portal,6a4fe61059f5a283d2b7928a,ENSG00000140470,1,2023,MSSM - Roussos Lab,HBI_scRNAseq,RNA,AMP-AD,Tbio
ADD3,AGORA_Single_Nomination,AGORA nominations: 1,FALSE,AGORA AD Knowledge Portal,6a4fe61059f5a283d2b792cd,ENSG00000148700,1,2023,MSSM - Zhang Lab,MSBB,Protein,AMP-AD,Tbio
