gene,panel,category,headline,source,MatrisomeDivision,MatrisomeCategory
COL11A1,Matrisome_Biomarkers,Collagens,FALSE,Subah matrisome biomarker panel,Core matrisome,Collagens
COL11A2,Matrisome_Biomarkers,Collagens,FALSE,Subah matrisome biomarker panel,Core matrisome,Collagens
COL16A1,Matrisome_Biomarkers,Collagens,FALSE,Subah matrisome biomarker panel,Core matrisome,Collagens
COL18A1,Matrisome_Biomarkers,Collagens,FALSE,Subah matrisome biomarker panel,Core matrisome,Collagens
COL1A2,Matrisome_Biomarkers,Collagens,FALSE,Subah matrisome biomarker panel,Core matrisome,Collagens
COL27A1,Matrisome_Biomarkers,Collagens,FALSE,Subah matrisome biomarker panel,Core matrisome,Collagens
COL4A1,Matrisome_Biomarkers,Collagens,FALSE,Subah matrisome biomarker panel,Core matrisome,Collagens
COL4A2,Matrisome_Biomarkers,Collagens,FALSE,Subah matrisome biomarker panel,Core matrisome,Collagens
COL5A2,Matrisome_Biomarkers,Collagens,FALSE,Subah matrisome biomarker panel,Core matrisome,Collagens
COL5A3,Matrisome_Biomarkers,Collagens,FALSE,Subah matrisome biomarker panel,Core matrisome,Collagens
COL6A1,Matrisome_Biomarkers,Collagens,FALSE,Subah matrisome biomarker panel,Core matrisome,Collagens
COL6A2,Matrisome_Biomarkers,Collagens,FALSE,Subah matrisome biomarker panel,Core matrisome,Collagens
COL9A2,Matrisome_Biomarkers,Collagens,FALSE,Subah matrisome biomarker panel,Core matrisome,Collagens
AEBP1,Matrisome_Biomarkers,ECM Glycoproteins,FALSE,Subah matrisome biomarker panel,Core matrisome,ECM Glycoproteins
AGRN,Matrisome_Biomarkers,ECM Glycoproteins,FALSE,Subah matrisome biomarker panel,Core matrisome,ECM Glycoproteins
CCN1,Matrisome_Biomarkers,ECM Glycoproteins,FALSE,Subah matrisome biomarker panel,Core matrisome,ECM Glycoproteins
CCN2,Matrisome_Biomarkers,ECM Glycoproteins,FALSE,Subah matrisome biomarker panel,Core matrisome,ECM Glycoproteins
CRELD1,Matrisome_Biomarkers,ECM Glycoproteins,FALSE,Subah matrisome biomarker panel,Core matrisome,ECM Glycoproteins
CRIM1,Matrisome_Biomarkers,ECM Glycoproteins,FALSE,Subah matrisome biomarker panel,Core matrisome,ECM Glycoproteins
DPT,Matrisome_Biomarkers,ECM Glycoproteins,FALSE,Subah matrisome biomarker panel,Core matrisome,ECM Glycoproteins
EDIL3,Matrisome_Biomarkers,ECM Glycoproteins,FALSE,Subah matrisome biomarker panel,Core matrisome,ECM Glycoproteins
EFEMP1,Matrisome_Biomarkers,ECM Glycoproteins,FALSE,Subah matrisome biomarker panel,Core matrisome,ECM Glycoproteins
ELN,Matrisome_Biomarkers,ECM Glycoproteins,FALSE,Subah matrisome biomarker panel,Core matrisome,ECM Glycoproteins
ELSPBP1,Matrisome_Biomarkers,ECM Glycoproteins,FALSE,Subah matrisome biomarker panel,Core matrisome,ECM Glycoproteins
EMID1,Matrisome_Biomarkers,ECM Glycoproteins,FALSE,Subah matrisome biomarker panel,Core matrisome,ECM Glycoproteins
EMILIN1,Matrisome_Biomarkers,ECM Glycoproteins,FALSE,Subah matrisome biomarker panel,Core matrisome,ECM Glycoproteins
FBLN5,Matrisome_Biomarkers,ECM Glycoproteins,FALSE,Subah matrisome biomarker panel,Core matrisome,ECM Glycoproteins
FBN3,Matrisome_Biomarkers,ECM Glycoproteins,FALSE,Subah matrisome biomarker panel,Core matrisome,ECM Glycoproteins
FN1,Matrisome_Biomarkers,ECM Glycoproteins,FALSE,Subah matrisome biomarker panel,Core matrisome,ECM Glycoproteins
GAS6,Matrisome_Biomarkers,ECM Glycoproteins,FALSE,Subah matrisome biomarker panel,Core matrisome,ECM Glycoproteins
GLDN,Matrisome_Biomarkers,ECM Glycoproteins,FALSE,Subah matrisome biomarker panel,Core matrisome,ECM Glycoproteins
IGFBP2,Matrisome_Biomarkers,ECM Glycoproteins,FALSE,Subah matrisome biomarker panel,Core matrisome,ECM Glycoproteins
IGFBP4,Matrisome_Biomarkers,ECM Glycoproteins,FALSE,Subah matrisome biomarker panel,Core matrisome,ECM Glycoproteins
IGFBP5,Matrisome_Biomarkers,ECM Glycoproteins,FALSE,Subah matrisome biomarker panel,Core matrisome,ECM Glycoproteins
IGFBP7,Matrisome_Biomarkers,ECM Glycoproteins,FALSE,Subah matrisome biomarker panel,Core matrisome,ECM Glycoproteins
INTS6L,Matrisome_Biomarkers,ECM Glycoproteins,FALSE,Subah matrisome biomarker panel,Core matrisome,ECM Glycoproteins
LAMA1,Matrisome_Biomarkers,ECM Glycoproteins,FALSE,Subah matrisome biomarker panel,Core matrisome,ECM Glycoproteins
LAMA5,Matrisome_Biomarkers,ECM Glycoproteins,FALSE,Subah matrisome biomarker panel,Core matrisome,ECM Glycoproteins
LAMB2,Matrisome_Biomarkers,ECM Glycoproteins,FALSE,Subah matrisome biomarker panel,Core matrisome,ECM Glycoproteins
