ROI_ID,Scan Name,Segment (Name/ Label),Segment Tags,Custom Segment Name,LOT_Human_NGS_Whole_Transcriptome_Atlas_RNA_1_0,GeoMx_ROI_ID,Scan_ID,disease_status,pathology,region,Astrocytes1,Astrocytes2,Astrocytes3,Astrocytes4,Astrocytes5,Endothelial,ExNeuron1,ExNeuron10,ExNeuron11,ExNeuron12,ExNeuron13,ExNeuron14,ExNeuron2,ExNeuron3,ExNeuron4,ExNeuron5,ExNeuron6,ExNeuron7,ExNeuron8,ExNeuron9,Fibroblast,InhNeuron1,InhNeuron2,InhNeuron3,InhNeuron4,InhNeuron5,Microglia1,Microglia2,Microglia3,Microglia4,Microglia5,OPC1,OPC2,OPC3,Oligodendrocytes1,Oligodendrocytes2,Oligodendrocytes3,Oligodendrocytes4,Oligodendrocytes5,Oligodendrocytes6,Oligodendrocytes7,Oligodendrocytes8,Pericytes,SMC,VLMC1,VLMC2
2534_A_001,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_A,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries,0.034395397,0.08901217,0.03398579,0.08002258,0.06062023,0.84131396,0.06577792,0.025400456,0.040686216,0.0448147,0.04439726,0.059415877,0.02754749,0.12806186,0.09914362,0.030781427,0.06964341,0.04657792,0.03565108,0.03734054,3.2030203,0.035809822,0.035936438,0.036028832,0.03897155,0.05162076,0.05875124,0.1270285,0.10545653,0.037805695,0.19464873,0.030785264,0.03364774,0.03006621,0.026142213,0.0796943,0.060173884,0.055816263,0.07779187,0.055406187,0.03941819,0.09682075,0.101079255,0.4718888,0.072571635,0.076686405
2534_A_002,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_A 002,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries,0.05674552,0.06740236,0.040515896,0.06820809,0.10395378,0.056838136,0.039437246,0.049078945,0.049481932,0.040063288,0.04226743,0.039167836,0.04563851,0.03560094,0.0377337,0.045115076,0.042959645,0.0399506,0.036108974,0.03217173,5.202315,0.05857695,0.05563157,0.050553042,0.04326871,0.054807723,0.060246866,0.05317821,0.07726229,0.03308586,0.6440728,0.04753891,0.03844461,0.05975639,0.030409578,0.02970049,0.07157137,0.05111341,0.084881805,0.03710297,0.03420811,0.060163744,0.02944013,0.081673875,0.03548297,0.034418784
2534_A_003,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_A 003,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries,0.017285,0.018093342,0.013968922,0.01585211,0.020710908,0.015421976,0.012588538,0.018336099,0.01693005,0.016415887,0.016622,0.014904908,0.017247498,0.015003763,0.015619772,0.014804023,0.01499154,0.0152967675,0.015470846,0.013617792,1.8194846,0.015940478,0.014159176,0.014734992,0.015767543,0.016193094,0.018399296,0.01519194,0.019980783,0.01158531,0.07178947,0.013627003,0.011569957,0.013183016,0.009439765,0.0102040805,0.016498772,0.013739724,0.022688577,0.01273909,0.009696011,0.021201598,0.021033527,0.024448203,0.023327544,0.01744391
2534_A_004,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_A 004,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries,0.031010631,0.050853927,0.019646637,0.03173959,0.032570306,0.053760484,0.019162156,0.022484358,0.02531392,0.021039547,0.020160101,0.019688834,0.022889987,0.019382067,0.021193514,0.020354228,0.020658549,0.019451955,0.019320952,0.018952163,3.5155692,0.02807158,0.023087272,0.024483489,0.02662221,0.024704676,0.04518271,0.028051095,0.045366727,0.017773623,0.27137965,0.029625028,0.021166109,0.027935827,0.012973782,0.014481872,0.02571141,0.024347901,0.038445156,0.017522808,0.01522774,0.032278392,0.047273166,0.063696355,0.040258043,0.029355811
2534_A_005,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_A 005,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries,0.056115367,0.13034694,0.13588525,0.093620665,0.10674988,1.0931243,0.080696926,0.099273875,0.093851015,0.07550192,0.08664031,0.08357371,0.09557196,0.052432377,0.05558601,0.0729856,0.05413507,0.051306393,0.06298523,0.09179328,12.336825,0.043124165,0.04821371,0.06515787,0.040875606,0.05091508,0.26781997,0.10348031,0.26894388,0.27263215,2.3112102,0.09177408,0.14658901,0.099541165,0.24433076,0.25327522,0.26773292,0.30154103,0.27682677,0.9907749,0.28949773,0.2611847,0.5003394,0.19703153,1.5478209,0.2261354
2534_A_006,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_A 006,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries,0.043388676,0.058626745,0.115302265,0.08705785,0.067894615,2.3464167,0.081036754,0.14417927,0.13814189,0.07103059,0.090501845,0.12408083,0.12193091,0.056750458,0.0586217,0.082594335,0.06192391,0.04986104,0.066116564,0.10012598,16.562344,0.1541373,0.16097063,0.10177549,0.10254712,0.09742988,0.65393984,0.23239987,0.3079388,0.54746896,3.3212433,0.3677868,0.27183044,0.43266594,0.48741436,0.17528957,0.3804401,0.60744256,1.2685573,0.42382348,0.42877135,0.2846687,1.1860907,0.54374135,1.3869718,0.47793564
2534_A_007,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_A 007,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries,0.11321042,0.15890314,0.15559934,0.12425458,0.15947938,3.4357338,0.09316965,0.17298287,0.10538422,0.08765504,0.13859428,0.11866123,0.09890903,0.06086894,0.058031294,0.07833111,0.06447218,0.06346652,0.076965444,0.10952929,17.113283,0.091341995,0.1503986,0.07161949,0.05116523,0.106875375,0.96154684,0.46759084,0.27195597,0.3255933,3.3841221,0.15937842,0.15918516,0.14126919,0.25843272,0.37720993,0.30348927,0.27797812,0.25764906,0.6916044,0.36452,0.4897652,3.3379447,0.21495324,2.8206027,0.2644097
2534_A_008,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_A 008,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries,0.05984058,0.057478778,0.1711045,0.10331664,0.11322683,1.6225398,0.09214206,0.2364867,0.22388746,0.09682112,0.1644379,0.13209073,0.26303387,0.05364511,0.052815534,0.13330802,0.06127346,0.07857997,0.06416829,0.18710378,24.099588,0.25146547,0.31142017,0.1343384,0.09923362,0.14447126,1.1009672,0.50893676,0.3402099,0.91603744,4.76725,0.35459846,0.3375273,0.2902174,0.83000666,0.15517719,0.56585497,1.0512472,3.1180432,0.9012552,0.5382698,0.7999016,1.2148198,0.7149919,0.3216656,0.74340993
2534_A_009,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_A 009,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries,0.060983684,0.26375797,0.08212448,0.028182397,0.060308043,18.023226,0.06732268,0.07814091,0.2894116,0.16634016,0.17066695,0.061956044,0.0732806,0.33304575,0.191676,0.15799071,0.28412154,0.044712882,0.069702365,0.05076923,24.037235,0.10193688,0.0818554,0.074758366,0.08340849,0.08395145,3.3418486,0.62348896,0.06498627,0.13839126,1.8808576,0.11312173,0.06203413,0.09975663,0.20626904,0.7552541,0.031894915,0.028850991,0.0343251,0.037763156,0.1129108,0.17163122,5.8078914,0.056079775,4.427141,2.7358296
2534_A_010,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_A 010,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries,0.05760344,0.065174505,0.15876783,0.10994363,0.10460035,0.17996103,0.083340086,0.19572824,0.090962395,0.08892282,0.10591707,0.12688799,0.10300831,0.05647673,0.057603166,0.06152073,0.048038546,0.07695295,0.0547163,0.11148212,17.525871,0.13779408,0.2415233,0.11528701,0.22183025,0.1359931,0.8545865,0.2227347,0.32767066,1.0528966,3.1448555,0.3628328,0.41344967,0.3316533,1.0971147,0.2041999,0.45422712,1.4066082,2.1780586,1.3624446,1.8932577,0.7381467,0.57761943,0.3338777,0.32238236,0.33164874
