ROI_ID,Scan Name,Segment (Name/ Label),Segment Tags,Custom Segment Name,LOT_Human_NGS_Whole_Transcriptome_Atlas_RNA_1_0,GeoMx_ROI_ID,Scan_ID,disease_status,pathology,region,Astrocytes1,Astrocytes2,Astrocytes3,Astrocytes4,Astrocytes5,Endothelial,ExNeuron1,ExNeuron10,ExNeuron11,ExNeuron12,ExNeuron13,ExNeuron14,ExNeuron2,ExNeuron3,ExNeuron4,ExNeuron5,ExNeuron6,ExNeuron7,ExNeuron8,ExNeuron9,Fibroblast,InhNeuron1,InhNeuron2,InhNeuron3,InhNeuron4,InhNeuron5,Microglia1,Microglia2,Microglia3,Microglia4,Microglia5,OPC1,OPC2,OPC3,Oligodendrocytes1,Oligodendrocytes2,Oligodendrocytes3,Oligodendrocytes4,Oligodendrocytes5,Oligodendrocytes6,Oligodendrocytes7,Oligodendrocytes8,Pericytes,SMC,VLMC1,VLMC2
2732_D_001,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2732_D,BRC 2534 BRC 2732,Control,AmyloidFree,Arteries,0.063150026,0.28690353,0.030289607,0.18978243,0.032627724,0.08537993,0.13204601,0.02387217,0.09625029,0.0630769,0.054462284,0.091556214,0.02992395,5.0985084,0.85924685,0.050335165,1.2585577,0.04501351,0.03390178,0.057730317,29.579212,0.04765729,0.04223186,0.03452521,0.04063006,0.046940725,0.12174679,0.08418734,0.2785115,0.029947124,0.38388234,0.03580967,0.03292666,0.0416615,0.024764562,0.041497514,0.048725303,0.051387485,0.063325815,0.02912816,0.02763601,0.07439848,0.16365422,0.49264398,0.20286785,0.040003095
2732_D_002,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2732_D 002,BRC 2534 BRC 2732,Control,AmyloidFree,Arteries,0.06649145,0.114323586,0.22341236,0.055168286,0.27945966,0.58027875,0.034405496,0.048824355,0.093398064,0.043821365,0.047632728,0.067644835,0.04674202,0.03131694,0.033452164,0.048424814,0.038516756,0.029780522,0.030065674,0.035576172,20.605608,0.056301564,0.054262184,0.055037867,0.03987531,0.055134162,0.21369945,0.14035764,0.059846986,0.43565038,0.5296648,0.12397325,0.103329666,0.09240636,1.5511715,3.4661546,0.09908579,0.11711444,0.14138874,0.3098047,1.3928218,0.18122344,0.052771278,0.07325553,0.19204316,0.28866354
2732_D_003,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2732_D 003,BRC 2534 BRC 2732,Control,AmyloidFree,Arteries,0.26351836,0.84748596,0.06332873,0.27388635,0.04096402,0.040014554,0.31642592,0.019150605,0.038499173,0.04571267,0.042245105,0.11304654,0.020356223,4.2456436,4.514457,0.025827965,0.22865056,0.040700354,0.037322704,0.056010265,30.145134,0.15869124,0.05183446,0.03881919,0.051105294,0.046457805,0.06639884,0.15754502,0.11681354,0.05183125,0.1676329,0.0287216,0.045682084,0.032932032,0.06807672,0.4883082,0.07751877,0.102928646,0.104907244,0.097554885,0.09462454,0.20960572,0.04367724,0.08934623,0.03348951,0.05076915
2732_D_005,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2732_D 005,BRC 2534 BRC 2732,Control,AmyloidFree,Arteries,0.18391141,1.7883435,0.053476356,0.4378861,0.06933175,1.4823794,0.5212876,0.032159526,0.06950478,0.15457796,0.09388147,0.13647577,0.032626048,4.018684,4.0808315,0.04415293,0.33451825,0.16572915,0.06716764,0.084269516,41.338715,0.0939955,0.07336243,0.051984966,0.19995224,0.11355915,0.11743161,0.18812414,0.26003477,0.056744143,0.9197131,0.11331286,0.07448299,0.10516611,0.06284932,0.18771137,0.091012664,0.09177984,0.10070679,0.06933282,0.0743547,0.347023,0.7433279,0.5305315,0.15242797,0.109790266
2732_D_006,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2732_D 006,BRC 2534 BRC 2732,Control,AmyloidFree,Arteries,0.05981509,0.3542594,0.05473155,0.08325451,0.124319114,1.7105561,0.32670435,0.039497014,0.121397294,0.09940046,0.09321427,0.08155877,0.040550232,1.9945335,0.97336835,0.06791481,1.2245626,0.13871565,0.15049046,0.20897828,28.581894,0.044295866,0.16891345,0.052540947,0.07016427,0.080380976,0.19120724,0.1350009,0.15473005,0.048175618,0.5696109,0.038100768,0.044959903,0.032802206,0.055548284,0.080692366,0.041705865,0.057539355,0.05408447,0.038214482,0.044601917,0.14726111,1.7544543,1.2005882,0.24758214,0.10174921
2732_D_007,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2732_D 007,BRC 2534 BRC 2732,Control,AmyloidFree,Arteries,0.08507464,0.13348733,0.049364198,0.11990319,0.13076305,2.5662246,0.22543363,0.04743308,0.12571314,0.14839423,0.082358934,0.11677759,0.04944079,1.369365,1.8047352,0.06824356,0.4412232,0.10233692,0.10370947,0.14205109,30.20242,0.09839959,0.076145045,0.08717978,0.059042443,0.091282584,0.20178838,0.39211455,0.26243898,0.049418543,1.1479616,0.063302964,0.049789738,0.06241146,0.044975545,0.06394641,0.047551583,0.053689394,0.08389394,0.032742135,0.04151902,0.13192184,1.0781858,0.4693875,0.18918128,0.09026027
2732_E_001,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2732_E,BRC 2534 BRC 2732,Control,AmyloidFree,Capillaries,0.066803,0.18216616,0.030185657,0.17214881,0.03507137,0.049325198,0.23279586,0.01875464,0.04202807,0.04430518,0.032864425,0.06918362,0.024906684,3.5383885,0.7606544,0.036512658,0.5722471,0.05267881,0.046110943,0.040917926,17.658323,0.056460183,0.07114843,0.039790608,0.07933658,0.06083608,0.028437402,0.025034225,0.057744164,0.020981928,0.17552802,0.019535841,0.02364982,0.02137618,0.023026688,0.04679663,0.03927469,0.051367603,0.06048551,0.026561491,0.02438949,0.07052039,0.03454067,0.08814432,0.027504688,0.030033952
2732_E_002,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2732_E 002,BRC 2534 BRC 2732,Control,AmyloidFree,Capillaries,0.010671839,0.013806621,0.00842631,0.010343743,0.012710331,0.011392902,0.007214261,0.008165371,0.01080428,0.008382964,0.008603923,0.00916647,0.008336961,0.008724077,0.008782691,0.00843027,0.008870558,0.007817065,0.007973497,0.008301949,0.47648555,0.008538538,0.008342728,0.007868306,0.007912756,0.008616582,0.013189845,0.011798498,0.013131677,0.0076535274,0.036244765,0.008019527,0.0078106634,0.008592193,0.0056300396,0.006975139,0.011340701,0.00743123,0.014186898,0.0069923555,0.006095198,0.015429935,0.012880998,0.015102991,0.015881581,0.011504958
2732_E_003,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2732_E 003,BRC 2534 BRC 2732,Control,AmyloidFree,Capillaries,0.1657906,0.16248636,0.23743731,0.11339197,0.21040715,0.2159706,0.12890832,0.1116801,0.13939688,0.13958481,0.1279372,0.13574098,0.117841795,0.1753753,0.18420987,0.110256076,0.17086641,0.08737384,0.105801985,0.08196401,19.878138,0.059084658,0.10196711,0.07834648,0.08776744,0.09706654,0.13371012,0.34443662,0.065521464,0.22590011,0.4514134,0.15947142,0.15552029,0.13005525,0.34465632,4.874581,0.16663963,0.17627513,0.123236604,0.38298044,0.52592105,0.5020532,0.06717315,0.10003336,0.084130056,0.18114288
2732_E_004,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2732_E 004,BRC 2534 BRC 2732,Control,AmyloidFree,Capillaries,0.038538262,0.06861955,0.017696775,0.08821763,0.023690773,0.025964636,0.06561826,0.019991681,0.03238703,0.034922328,0.031153167,0.046823706,0.019837465,1.8799391,0.52020705,0.021665538,0.098340385,0.03251728,0.02795321,0.03273573,10.059027,0.042745788,0.029114332,0.0320682,0.02891542,0.036233775,0.03071153,0.069272764,0.06003318,0.0151015,0.1477856,0.020631004,0.01839031,0.024029784,0.011150594,0.020989493,0.02412439,0.02701154,0.040028695,0.015877469,0.014162221,0.06183558,0.027025465,0.065903276,0.02860526,0.021052733
