ROI_ID,Scan Name,Segment (Name/ Label),Segment Tags,Custom Segment Name,LOT_Human_NGS_Whole_Transcriptome_Atlas_RNA_1_0,GeoMx_ROI_ID,Scan_ID,disease_status,pathology,region,Astrocytes1,Astrocytes2,Astrocytes3,Astrocytes4,Astrocytes5,Endothelial,ExNeuron1,ExNeuron10,ExNeuron11,ExNeuron12,ExNeuron13,ExNeuron14,ExNeuron2,ExNeuron3,ExNeuron4,ExNeuron5,ExNeuron6,ExNeuron7,ExNeuron8,ExNeuron9,Fibroblast,InhNeuron1,InhNeuron2,InhNeuron3,InhNeuron4,InhNeuron5,Microglia1,Microglia2,Microglia3,Microglia4,Microglia5,OPC1,OPC2,OPC3,Oligodendrocytes1,Oligodendrocytes2,Oligodendrocytes3,Oligodendrocytes4,Oligodendrocytes5,Oligodendrocytes6,Oligodendrocytes7,Oligodendrocytes8,Pericytes,SMC,VLMC1,VLMC2
2732_D_001,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2732_D,BRC 2534 BRC 2732,Control,AmyloidFree,Arteries,0.0015537922,0.007059197,0.000745269,0.004669554,0.00080279785,0.002100754,0.0032489626,0.0005873694,0.0023682166,0.001551993,0.0013400322,0.00225272,0.0007362721,0.12544765,0.021141576,0.0012384854,0.03096653,0.0011075473,0.0008341457,0.0014204414,0.7277899,0.0011725968,0.0010391055,0.000849485,0.0009996935,0.001154966,0.0029955525,0.0020714107,0.006852713,0.0007368423,0.0094453385,0.0008810889,0.0008101531,0.0010250718,0.00060932647,0.001021037,0.0011988751,0.0012643775,0.0015581175,0.00071669184,0.0006799778,0.001830558,0.0040266756,0.012121394,0.004991518,0.0009842672
2732_D_002,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2732_D 002,BRC 2534 BRC 2732,Control,AmyloidFree,Arteries,0.002053512,0.0035307528,0.0068998346,0.0017038092,0.008630791,0.017921245,0.0010625743,0.0015078842,0.002884492,0.0013533726,0.0014710822,0.0020891333,0.0014435736,0.00096718775,0.0010331317,0.0014955448,0.0011895458,0.0009197373,0.00092854386,0.0010987293,0.63638055,0.0017388093,0.0016758253,0.0016997814,0.0012315032,0.0017027553,0.006599862,0.004334785,0.0018483056,0.013454562,0.01635809,0.0038287716,0.0031912182,0.0028538646,0.047906153,0.107048206,0.0030601511,0.0036169451,0.0043666293,0.009567963,0.043015704,0.005596878,0.0016297804,0.002262413,0.005931033,0.0089150425
2732_D_003,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2732_D 003,BRC 2534 BRC 2732,Control,AmyloidFree,Arteries,0.0060035638,0.019307708,0.0014427763,0.0062397704,0.000933256,0.000911625,0.007208921,0.0004362955,0.00087710103,0.0010414413,0.00096244214,0.002575464,0.0004637623,0.09672567,0.10284988,0.00058842136,0.0052091936,0.0009272491,0.0008502983,0.0012760446,0.6867765,0.003615357,0.00118091,0.0008843918,0.0011642979,0.0010584173,0.0015127205,0.0035892432,0.0026612852,0.0011808368,0.0038190687,0.00065434515,0.0010407445,0.0007502686,0.0015509466,0.011124801,0.0017660585,0.0023449548,0.002390032,0.002222528,0.002155768,0.0047753076,0.0009950695,0.0020355156,0.00076296926,0.0011566398
2732_D_005,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2732_D 005,BRC 2534 BRC 2732,Control,AmyloidFree,Arteries,0.0030591423,0.029746916,0.000889514,0.0072837016,0.0011532492,0.024657575,0.008670984,0.0005349345,0.0011561273,0.0025712159,0.0015616039,0.002270108,0.0005426945,0.06684591,0.06787966,0.00073443016,0.0055643036,0.0027567025,0.0011172518,0.0014017207,0.68761915,0.0015635005,0.0012202946,0.0008647065,0.003325962,0.001888918,0.0019533318,0.0031292157,0.0043253615,0.00094386964,0.015298306,0.0018848213,0.0012389338,0.0017493101,0.0010454218,0.00312235,0.0015138848,0.0015266459,0.0016751348,0.001153267,0.0012367999,0.0057723047,0.012364354,0.008824745,0.0025354535,0.0018262273
2732_D_006,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2732_D 006,BRC 2534 BRC 2732,Control,AmyloidFree,Arteries,0.0014246906,0.0084378375,0.0013036096,0.0019829764,0.0029610633,0.04074245,0.0077815247,0.0009407496,0.0028914707,0.0023675447,0.0022202006,0.0019425869,0.0009658354,0.04750629,0.023183927,0.0016176116,0.029166935,0.0033039637,0.003584419,0.0049774963,0.6807706,0.0010550498,0.0040232223,0.0012514332,0.0016711899,0.0019145339,0.0045542214,0.0032154848,0.0036853985,0.0011474587,0.013567133,0.00090749346,0.001070866,0.000781291,0.0013230627,0.0019219506,0.0009933605,0.0013704866,0.0012881972,0.0009102019,0.0010623394,0.0035075014,0.041788023,0.028595906,0.0058969725,0.0024234878
2732_D_007,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2732_D 007,BRC 2534 BRC 2732,Control,AmyloidFree,Arteries,0.0019746693,0.0030983773,0.0011457935,0.0027830757,0.003035144,0.059564695,0.005232545,0.0011009702,0.0029179305,0.0034443815,0.0019116349,0.0027105273,0.0011475713,0.03178436,0.041889746,0.0015840029,0.010241241,0.0023753445,0.0024072027,0.0032971508,0.701029,0.002283955,0.0017674043,0.0020235318,0.0013704353,0.0021187621,0.0046837144,0.00910138,0.006091477,0.0011470548,0.026645362,0.0014693264,0.0011556707,0.0014486337,0.0010439283,0.0014842615,0.0011037209,0.0012461856,0.0019472641,0.00075997843,0.00096369884,0.0030620408,0.025025794,0.0108949635,0.004391091,0.002095033
2732_E_001,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2732_E,BRC 2534 BRC 2732,Control,AmyloidFree,Capillaries,0.0026818952,0.0073133023,0.0012118432,0.0069111427,0.0014079867,0.0019802256,0.009345899,0.00075292995,0.0016872727,0.0017786903,0.001319386,0.0027774682,0.0009999119,0.1420533,0.03053748,0.0014658491,0.02297362,0.0021148608,0.001851185,0.0016427045,0.70891684,0.002266669,0.0028563484,0.0015974469,0.0031850724,0.0024423453,0.0011416572,0.0010050322,0.0023182163,0.0008423474,0.007046805,0.0007842923,0.0009494534,0.0008581751,0.00092443696,0.0018787129,0.0015767346,0.0020622206,0.002428271,0.0010663463,0.0009791484,0.002831135,0.0013866811,0.0035386707,0.0011042122,0.0012057528
2732_E_002,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2732_E 002,BRC 2534 BRC 2732,Control,AmyloidFree,Capillaries,0.011345981,0.0146787865,0.0089586,0.0109971585,0.013513245,0.012112592,0.007669987,0.008681178,0.011486787,0.008912517,0.009147434,0.009745517,0.008863608,0.0092751775,0.009337495,0.008962811,0.009430912,0.00831087,0.008477184,0.008826384,0.5065852,0.009077918,0.008869739,0.008365348,0.008412606,0.009160892,0.014023049,0.0125438105,0.013961207,0.008137002,0.03853435,0.008526122,0.008304064,0.009134963,0.00598569,0.0074157594,0.012057095,0.007900662,0.015083087,0.0074340636,0.0064802323,0.016404647,0.013694692,0.016057048,0.016884822,0.012231728
2732_E_003,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2732_E 003,BRC 2534 BRC 2732,Control,AmyloidFree,Capillaries,0.005113894,0.005011973,0.0073238728,0.0034976322,0.0064901137,0.0066617215,0.0039762417,0.0034448286,0.0042997664,0.0043055634,0.003946287,0.0041869986,0.0036348891,0.0054095387,0.0056820456,0.003400904,0.00527046,0.0026950897,0.0032635152,0.0025282209,0.6131511,0.0018224958,0.0031452265,0.0024166366,0.0027072304,0.0029940659,0.0041243555,0.010624319,0.0020210424,0.006968002,0.013924072,0.0049189758,0.004797101,0.0040116194,0.010631097,0.15035889,0.0051400824,0.0054372945,0.0038012946,0.011813223,0.016222298,0.015486082,0.0020719895,0.003085579,0.0025950337,0.005587443
2732_E_004,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2732_E 004,BRC 2534 BRC 2732,Control,AmyloidFree,Capillaries,0.0027334723,0.0048671016,0.001255211,0.00625717,0.001680358,0.0018416403,0.004654224,0.0014179858,0.0022971728,0.0024769986,0.0022096564,0.003321149,0.0014070474,0.1333418,0.036897656,0.0015367104,0.0069751646,0.0023064115,0.0019826873,0.002321906,0.71347463,0.0030319071,0.0020650444,0.0022745586,0.0020509358,0.002570018,0.0021783316,0.0049134335,0.004258081,0.0010711311,0.010482254,0.0014633322,0.0013044025,0.0017044035,0.00079089816,0.0014887593,0.0017111138,0.0019158958,0.002839187,0.0011261697,0.0010045092,0.004385923,0.0019168835,0.00467444,0.0020289365,0.0014932449
