ROI_ID,Scan Name,Segment (Name/ Label),Segment Tags,Custom Segment Name,LOT_Human_NGS_Whole_Transcriptome_Atlas_RNA_1_0,GeoMx_ROI_ID,Scan_ID,disease_status,pathology,region,Astrocytes1,Astrocytes2,Astrocytes3,Astrocytes4,Astrocytes5,Endothelial,ExNeuron1,ExNeuron10,ExNeuron11,ExNeuron12,ExNeuron13,ExNeuron14,ExNeuron2,ExNeuron3,ExNeuron4,ExNeuron5,ExNeuron6,ExNeuron7,ExNeuron8,ExNeuron9,Fibroblast,InhNeuron1,InhNeuron2,InhNeuron3,InhNeuron4,InhNeuron5,Microglia1,Microglia2,Microglia3,Microglia4,Microglia5,OPC1,OPC2,OPC3,Oligodendrocytes1,Oligodendrocytes2,Oligodendrocytes3,Oligodendrocytes4,Oligodendrocytes5,Oligodendrocytes6,Oligodendrocytes7,Oligodendrocytes8,Pericytes,SMC,VLMC1,VLMC2
2534_A_001,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_A,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries,0.004825624,0.012488279,0.004768157,0.011227052,0.00850493,0.11803513,0.009228547,0.0035636472,0.005708217,0.0062874374,0.006228871,0.008335961,0.003864873,0.017966893,0.013909706,0.00431859,0.009770869,0.0065348144,0.005001795,0.0052388236,0.44937912,0.005024066,0.0050418302,0.005054793,0.005467652,0.007242318,0.008242714,0.017821914,0.014795398,0.005304084,0.027308933,0.004319128,0.004720729,0.004218246,0.0036677145,0.011180995,0.008442309,0.007830941,0.010914086,0.0077734077,0.005530315,0.013583811,0.014181273,0.066205315,0.010181695,0.010758991
2534_A_002,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_A 002,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries,0.0070690266,0.008396594,0.0050472347,0.008496967,0.012949957,0.0070805643,0.0049128626,0.0061139693,0.0061641713,0.004990851,0.0052654305,0.004879301,0.0056853797,0.004434958,0.004700645,0.0056201736,0.0053516626,0.004976813,0.0044982457,0.004007767,0.6480741,0.0072971755,0.006930257,0.0062976037,0.005390164,0.0068276273,0.007505204,0.006624632,0.009624886,0.004121644,0.08023484,0.0059221205,0.0047892057,0.0074441032,0.0037882482,0.003699914,0.008915945,0.0063674115,0.010574081,0.004622072,0.0042614476,0.007494849,0.0036674798,0.010174456,0.004420262,0.004287692
2534_A_003,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_A 003,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries,0.006665384,0.006977094,0.0053866487,0.0061128377,0.007986471,0.0059469705,0.00485435,0.007070705,0.006528509,0.006330239,0.0064097196,0.0057475804,0.0066509224,0.005785701,0.006023244,0.0057086777,0.0057809874,0.005898688,0.0059658154,0.0052512474,0.70162356,0.0061469134,0.0054600136,0.005682058,0.006080227,0.0062443265,0.0070950747,0.005858265,0.0077049225,0.0044674883,0.027683215,0.005254799,0.004461568,0.0050835903,0.0036401304,0.003934863,0.006362201,0.005298266,0.008749093,0.0049124053,0.0037389433,0.008175689,0.008110878,0.009427634,0.008995489,0.006726662
2534_A_004,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_A 004,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries,0.0062018465,0.010170327,0.0039291503,0.0063476316,0.0065137674,0.010751612,0.0038322583,0.004496669,0.0050625554,0.0042077196,0.0040318384,0.003937589,0.004577791,0.0038762386,0.0042385114,0.004070662,0.0041315234,0.0038902157,0.0038640162,0.0037902617,0.70308214,0.005614063,0.0046172463,0.004896477,0.0053242017,0.0049407124,0.009036134,0.005609966,0.009072936,0.0035545642,0.054273482,0.0059247385,0.0042330306,0.0055869133,0.0025946393,0.0028962437,0.00514205,0.0048693605,0.0076886844,0.0035044036,0.0030454106,0.0064553875,0.009454207,0.012738696,0.0080512455,0.0058708973
2534_A_005,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_A 005,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries,0.0023211408,0.0053916355,0.005620721,0.0038724998,0.004415573,0.045215696,0.0033379258,0.0041063377,0.003882028,0.003123041,0.0035837665,0.0034569202,0.0039532124,0.0021687986,0.0022992447,0.0030189564,0.0022392285,0.0021222238,0.002605304,0.0037969123,0.5102971,0.0017837763,0.0019942988,0.0026951723,0.0016907675,0.0021060377,0.011078033,0.0042803315,0.0111245215,0.011277082,0.09560027,0.0037961183,0.0060634683,0.004117394,0.010106431,0.010476408,0.011074432,0.012472861,0.011450588,0.040982146,0.011974706,0.010803573,0.020695902,0.008149959,0.064023644,0.0093538035
2534_A_006,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_A 006,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries,0.001242118,0.0016783488,0.0033008384,0.0024922658,0.0019436665,0.067172505,0.0023198957,0.0041275206,0.0039546844,0.0020334423,0.0025908595,0.0035521486,0.0034906012,0.001624635,0.0016782043,0.0023644858,0.001772739,0.0014274068,0.001892765,0.0028663764,0.47414178,0.004412596,0.0046082186,0.002913598,0.0029356878,0.002789193,0.018720793,0.0066530732,0.008815579,0.015672777,0.09507955,0.0105288895,0.0077818795,0.01238623,0.013953551,0.005018137,0.010891124,0.017389681,0.036315877,0.012133091,0.012274737,0.00814941,0.033955045,0.015566063,0.03970581,0.013682197
2534_A_007,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_A 007,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries,0.002933818,0.0041179326,0.0040323157,0.0032200245,0.004132866,0.08903613,0.0024144668,0.0044828053,0.0027310043,0.002271557,0.003591634,0.0030750744,0.0025632014,0.0015774025,0.0015038656,0.00202993,0.0016707795,0.001644718,0.001994539,0.0028384225,0.44348618,0.0023671035,0.0038975398,0.001856,0.0013259334,0.002769647,0.024918232,0.012117493,0.0070476667,0.008437664,0.08769863,0.00413025,0.004125241,0.0036609536,0.006697215,0.009775296,0.007864844,0.0072037294,0.006676907,0.017922744,0.009446439,0.012692135,0.086501956,0.0055704564,0.07309517,0.006852107
2534_A_008,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_A 008,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries,0.00123184,0.0011832215,0.0035222482,0.0021268104,0.0023308152,0.03340057,0.0018967777,0.004868164,0.0046088044,0.0019930978,0.0033850137,0.0027191355,0.005414647,0.001104304,0.0010872269,0.002744194,0.0012613363,0.0016175971,0.0013209274,0.0038515988,0.49609876,0.005176508,0.006410697,0.0027654045,0.00204276,0.002973993,0.022663807,0.010476647,0.0070033437,0.018856961,0.09813557,0.007299538,0.006948122,0.0059742304,0.017085988,0.0031943787,0.011648329,0.021640304,0.064186044,0.018552665,0.011080479,0.016466264,0.025007505,0.014718368,0.006621603,0.015303362
2534_A_009,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_A 009,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries,0.0009274916,0.004011455,0.0012490187,0.0004286218,0.0009172159,0.27411252,0.0010239005,0.0011884333,0.004401617,0.0025298423,0.0025956477,0.0009422801,0.0011145136,0.0050652423,0.0029151712,0.0024028567,0.0043211617,0.00068003143,0.0010600927,0.0007721415,0.36557868,0.0015503425,0.0012449264,0.0011369886,0.001268547,0.0012768048,0.05082567,0.0094825495,0.0009883664,0.0021047716,0.028605677,0.0017204513,0.00094346766,0.0015171834,0.0031371145,0.011486545,0.00048508492,0.00043879036,0.00052204524,0.0005743341,0.0017172432,0.0026103132,0.08833134,0.0008529088,0.06733172,0.041608818
2534_A_010,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_A 010,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries,0.0015188308,0.0017184572,0.004186234,0.0028988854,0.0027579989,0.004745035,0.0021974293,0.0051607694,0.0023984069,0.0023446293,0.002792717,0.0033456576,0.0027160216,0.0014891227,0.0015188236,0.0016221179,0.001266633,0.0020290196,0.0014427055,0.0029394508,0.46210492,0.0036332186,0.0063682483,0.0030397745,0.0058490015,0.0035857318,0.022532895,0.0058728494,0.008639697,0.02776174,0.082920454,0.009566818,0.010901433,0.008744707,0.02892764,0.0053841416,0.011976614,0.03708806,0.057428904,0.035923596,0.049919557,0.019462725,0.015230101,0.008803358,0.00850026,0.008744587
2534_B_001,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_B,BRC 2534 BRC 2732,AD-CAA,Amyloid,Capillaries,0.013191137,0.07815434,0.0032497875,0.04448961,0.00732996,0.006097819,0.03082731,0.0024520939,0.0035539179,0.0074819014,0.0055833156,0.0065801353,0.0023989952,0.14051077,0.104831114,0.0029567536,0.007918713,0.01864588,0.0052105533,0.006033452,0.35275942,0.0030722877,0.0036352624,0.003948857,0.0031766943,0.0048047095,0.0037095132,0.0045105168,0.007208593,0.0023717547,0.013942282,0.0017891072,0.0022905222,0.0017939218,0.0019515551,0.011265635,0.006740112,0.003379338,0.00589563,0.004070488,0.0045817397,0.021405652,0.004399138,0.021133762,0.004481483,0.004184423
2534_C_001,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_C,BRC 2534 BRC 2732,AD-CAA,Amyloid,Parenchyma,0.0043084496,0.004723833,0.0073698717,0.0041408488,0.0072145634,0.032093387,0.003086169,0.002147504,0.0027945144,0.0026321285,0.0026483678,0.00387023,0.0019456388,0.0027078716,0.0026527746,0.0018863535,0.002283752,0.002663808,0.0019113543,0.0027575823,0.3231884,0.0021928747,0.0025013639,0.0027019985,0.0025509063,0.0028747425,0.01594579,0.029692246,0.008249066,0.022942524,0.06778987,0.0055925697,0.0050653755,0.0059406506,0.037510723,0.16559686,0.014588061,0.008035225,0.007338172,0.055426568,0.07391275,0.01971258,0.0044308323,0.006725354,0.006590057,0.007065497
2534_C_002,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_C 002,BRC 2534 BRC 2732,AD-CAA,Amyloid,Parenchyma,0.0075073275,0.051280055,0.002965335,0.007600964,0.006200261,0.023982536,0.026511546,0.00075921975,0.009689028,0.003999036,0.0038545185,0.005335687,0.0008865914,0.12340414,0.041971132,0.0029632724,0.019550106,0.012504116,0.0026784968,0.0036803586,0.35183296,0.001486512,0.0033651434,0.0019759813,0.0026893583,0.0019352613,0.016176902,0.024210665,0.009229451,0.00346644,0.009325254,0.0014963999,0.0021666845,0.0020642786,0.0037463813,0.14552467,0.0032123611,0.0017525466,0.0023844347,0.0028424077,0.007529645,0.023113666,0.005866355,0.007909737,0.0023141466,0.005058568
