celltype,p_value,mean_AD-CAA,mean_Control,n_AD-CAA,n_Control,q_BH
OPC2,4.4079841279895745e-16,0.005719719923862068,0.0020273571911111113,145,45,2.027672698875204e-14
InhNeuron2,1.3759004776852521e-14,0.005890428387586207,0.0022505535737777776,145,45,3.16457109867608e-13
OPC3,3.277299092736499e-14,0.005756883987586206,0.002104395433333333,145,45,5.025191942195965e-13
Oligodendrocytes4,3.9678354260914395e-14,0.008531646201103448,0.002419280659111111,145,45,4.563010740005155e-13
Astrocytes3,4.262111793466926e-14,0.007391611929655172,0.002404701958888889,145,45,3.921142849989572e-13
Oligodendrocytes3,7.711009187947529e-14,0.007996909926344827,0.002934679394888888,145,45,5.911773710759773e-13
OPC1,2.537532631216133e-13,0.006372904047586206,0.002238608447777778,145,45,1.6675214433706018e-12
Oligodendrocytes8,5.290932118229067e-13,0.017004559979310347,0.006484799222222221,145,45,3.0422859679817134e-12
InhNeuron5,6.494213743266868e-13,0.005072279902068965,0.0022305136553333335,145,45,3.3192648021141764e-12
ExNeuron13,6.643459602587528e-13,0.005566766841379311,0.0022598195679999996,145,45,3.055991417190263e-12
InhNeuron3,9.98414088968487e-13,0.004610958626896551,0.0019553996044444446,145,45,4.175186190231854e-12
ExNeuron14,1.337383350619565e-12,0.006573757474482759,0.0027785556344444443,145,45,5.126636177375e-12
InhNeuron4,1.3986992293269107e-12,0.005073680368275862,0.002127624462666667,145,45,4.949243426849069e-12
ExNeuron11,2.7275933121886376e-12,0.006049719300689655,0.0026581253442222222,145,45,8.962092311476952e-12
Oligodendrocytes5,2.7275933121886376e-12,0.015195381027172413,0.003594137692666667,145,45,8.364619490711822e-12
Fibroblast,5.509341032306291e-12,0.4475399528275862,0.6360934557777778,145,45,1.5839355467880586e-11
InhNeuron1,5.881768977631048e-12,0.005063377056551723,0.0021034611333333336,145,45,1.591537488064872e-11
ExNeuron12,6.558025192758394e-12,0.005749401255172414,0.002353461538888889,145,45,1.675939771482701e-11
ExNeuron5,8.32521233662675e-12,0.004719585788965517,0.0020202257053333335,145,45,2.0155777236043713e-11
VLMC2,8.507283578836436e-12,0.010115685697241378,0.003657149745333333,145,45,1.9566752231323804e-11
Astrocytes1,9.895669786989484e-12,0.013086052957931032,0.0023365133475555556,145,45,2.167622905721506e-11
Microglia5,4.374601514200762e-11,0.042804962206206894,0.013717552695555559,145,45,9.146894075147048e-11
ExNeuron10,5.389054963885553e-11,0.00459034961275862,0.0019092664466666665,145,45,1.0778109927771106e-10
Microglia4,8.325016713523375e-11,0.010125405003448275,0.0030885801520000003,145,45,1.5956282034253134e-10
Microglia3,9.4192648767891e-11,0.007152931895172414,0.0035891899944444435,145,45,1.7331447373291944e-10
ExNeuron2,1.2294584849481534e-10,0.004336006230344828,0.0019048847708888887,145,45,2.1751957810621174e-10
Astrocytes5,3.803599939770965e-10,0.014289609579310346,0.0028496576644444446,145,45,6.480207304794977e-10
Microglia1,6.116107282914174e-10,0.009493906748965518,0.0036477436575555553,145,45,1.0047890536216142e-09
ExNeuron9,9.408003683377637e-10,0.006602706894482759,0.002690249320888889,145,45,1.4923040325357632e-09
Astrocytes4,1.6168389394980906e-09,0.008686214969172415,0.003252308976222222,145,45,2.479153040563739e-09
ExNeuron8,2.2381361535862266e-09,0.004953313483793104,0.002060495230666667,145,45,3.321105260160207e-09
SMC,7.02928634236449e-09,0.009925265037241377,0.005108609443111112,145,45,1.0104599117148954e-08
VLMC1,1.6577585496824265e-08,0.009998795617931036,0.003805995668444445,145,45,2.3108149480421704e-08
Microglia2,2.3313003928426073e-08,0.008732334164827585,0.004563898982222223,145,45,3.154112296198821e-08
ExNeuron7,6.031601682432991e-08,0.007096376916965518,0.002606019688444444,145,45,7.92724792548336e-08
Oligodendrocytes6,1.138835433080424e-07,0.014369156018620691,0.004218619119333333,145,45,1.4551786089360974e-07
ExNeuron1,1.6517793927309487e-07,0.012272092641172414,0.003433804324222222,145,45,2.0535635693411794e-07
Oligodendrocytes1,1.00657114779178e-06,0.021825874348965518,0.007113111215333333,145,45,1.2184808631163652e-06
Oligodendrocytes7,1.0225606029424031e-06,0.022267023680689654,0.0068278987164444435,145,45,1.2060971214192447e-06
Astrocytes2,1.2153820895350093e-06,0.022850113906758618,0.0071790277066666654,145,45,1.3976894029652606e-06
ExNeuron6,7.438061731612419e-06,0.015054570080689653,0.004942590600888888,145,45,8.345142430589543e-06
Pericytes,9.648812192338325e-06,0.01302159614551724,0.009027130651999999,145,45,1.0567746686846738e-05
Endothelial,0.000122269361349479,0.0202066856462069,0.011823176423555553,145,45,0.00013079978190874496
ExNeuron4,0.0022629021261584177,0.02791025851537931,0.016574674565555555,145,45,0.0023657613137110733
ExNeuron3,0.0064409470837320845,0.039982728051172416,0.02534763291222222,145,45,0.006584079241148353
Oligodendrocytes2,0.9975241573163056,0.042370467315862075,0.15968505902444446,145,45,0.9975241573163056
