ROI_ID,Scan Name,Segment (Name/ Label),Segment Tags,Custom Segment Name,LOT_Human_NGS_Whole_Transcriptome_Atlas_RNA_1_0,GeoMx_ROI_ID,Scan_ID,disease_status,pathology,region,celltype,abs_abundance
2534_A_001,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_A,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries,Astrocytes1,0.034395397
2534_A_002,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_A 002,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries,Astrocytes1,0.05674552
2534_A_003,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_A 003,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries,Astrocytes1,0.017285
2534_A_004,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_A 004,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries,Astrocytes1,0.031010631
2534_A_005,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_A 005,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries,Astrocytes1,0.056115367
2534_A_006,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_A 006,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries,Astrocytes1,0.043388676
2534_A_007,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_A 007,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries,Astrocytes1,0.11321042
2534_A_008,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_A 008,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries,Astrocytes1,0.05984058
2534_A_009,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_A 009,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries,Astrocytes1,0.060983684
2534_A_010,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_A 010,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries,Astrocytes1,0.05760344
2534_B_001,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_B,BRC 2534 BRC 2732,AD-CAA,Amyloid,Capillaries,Astrocytes1,0.12950245
2534_C_001,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_C,BRC 2534 BRC 2732,AD-CAA,Amyloid,Parenchyma,Astrocytes1,0.06906674
2534_C_002,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_C 002,BRC 2534 BRC 2732,AD-CAA,Amyloid,Parenchyma,Astrocytes1,0.31346056
2534_C_003,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_C 003,BRC 2534 BRC 2732,AD-CAA,Amyloid,Parenchyma,Astrocytes1,0.35206422
2534_C_004,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_C 004,BRC 2534 BRC 2732,AD-CAA,Amyloid,Parenchyma,Astrocytes1,0.06969048
2534_C_005,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_C 005,BRC 2534 BRC 2732,AD-CAA,Amyloid,Parenchyma,Astrocytes1,0.04098006
2534_C_006,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_C 006,BRC 2534 BRC 2732,AD-CAA,Amyloid,Parenchyma,Astrocytes1,0.1046005
2534_C_007,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_C 007,BRC 2534 BRC 2732,AD-CAA,Amyloid,Parenchyma,Astrocytes1,0.039427508
2534_C_008,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_C 008,BRC 2534 BRC 2732,AD-CAA,Amyloid,Parenchyma,Astrocytes1,0.058497746
2534_D_001,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_D,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Arteries,Astrocytes1,0.19398451
2534_D_002,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_D 002,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Arteries,Astrocytes1,0.06328629
2534_D_003,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_D 003,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Arteries,Astrocytes1,0.1757715
2534_D_004,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_D 004,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Arteries,Astrocytes1,0.3051803
2534_D_005,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_D 005,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Arteries,Astrocytes1,0.039793942
2534_D_006,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_D 006,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Arteries,Astrocytes1,0.07649801
2534_D_007,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_D 007,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Arteries,Astrocytes1,0.12048653
2534_D_008,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_D 008,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Arteries,Astrocytes1,0.036863767
2534_E_001,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_E,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Capillaries,Astrocytes1,1.0096539
2534_E_002,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_E 002,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Capillaries,Astrocytes1,0.07796067
2534_E_003,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_E 003,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Capillaries,Astrocytes1,0.055814616
2534_E_004,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_E 004,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Capillaries,Astrocytes1,0.21599245
2534_F_001,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_F,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Parenchyma,Astrocytes1,0.13632983
2534_F_002,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_F 002,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Parenchyma,Astrocytes1,0.042456336
2534_F_003,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_F 003,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Parenchyma,Astrocytes1,0.3234063
