method,lineage,n_comparable,method_fraction_nonzero,spearman_rho,pearson_r,mean_abs_difference,mean_comparison_method,mean_baseline
DWLS,OPC,190,0.9947368421052631,0.473105101322241,0.4018699667792031,0.0075167810319572695,0.010397536347621984,0.015130762643736842
DWLS,VLMC,190,1,0.33616239551758975,0.13617606430855794,0.016290027711963286,0.024522979852852005,0.017118112285894736
DWLS,Pericytes,190,0.9947368421052631,0.32692289187191365,0.21339197587654263,0.011134967204137963,0.011548730356991043,0.01207553852863158
DWLS,Astrocytes,190,1,0.30495873190830475,0.38350582744851386,0.06049999872065841,0.11223113862942662,0.054868536416473684
DWLS,Microglia,190,1,0.28423676993530944,0.18339510101831166,0.09032556315393621,0.15194000762754747,0.06653787762831578
DWLS,SMC,190,1,0.2762342155563428,0.26466807818375243,0.04591011319811293,0.05468860962891395,0.008784478186
DWLS,Excitatory neurons,190,1,0.24077558643554783,0.35993520193142237,0.2666935097804892,0.3990397559801048,0.13300341079994737
DWLS,Endothelial,190,1,0.024089018357411854,0.07274096019435926,0.09375190367618941,0.10879989190611992,0.01822111767242105
DWLS,Oligodendrocytes,190,1,0.0017224562278296087,-0.1537540003287609,0.1294690293438193,0.04006118395434501,0.15991494215378949
DWLS,Fibroblast,190,1,-0.3290118839857059,-0.464105324526103,0.46879938834862955,0.023397973072423105,0.49219736142105264
DWLS,Inhibitory neurons,190,1,-0.3435980877149242,-0.3934476304624995,0.06134745946936708,0.06337219264365405,0.02214786783594737
