method,celltype,n_comparable,n_method_nonzero,method_fraction_nonzero,spearman_rho,pearson_r,mean_abs_difference,mean_comparison_method,mean_baseline,comparison_status
SpatialDecon,ExNeuron1,177,118,0.6666666666666666,0.8173366925225827,0.5653210577716885,0.29862695165485587,0.30775414706728643,0.010178813829263158,evaluable
SpatialDecon,Oligodendrocytes2,177,159,0.8983050847457628,0.6773564820345965,0.6335916372865287,0.29379426201541636,0.36811010448070863,0.07015550219421053,evaluable
SpatialDecon,Endothelial,177,144,0.8135593220338984,0.6526591552593739,0.7115991466648214,0.11857244793761976,0.13625603325619093,0.01822111767242105,evaluable
SpatialDecon,Astrocytes2,177,131,0.7401129943502824,0.6462007854123404,0.4532910747750655,0.0558649109344388,0.07120585613116155,0.019138540859368423,evaluable
SpatialDecon,Microglia5,177,85,0.480225988700565,0.5569324985609706,0.4669921279909746,0.03161186331274044,0.03257240585514508,0.035915838901052634,evaluable
SpatialDecon,Microglia2,177,111,0.6271186440677966,0.31996051559955896,0.3133767482501014,0.024851378599235474,0.027576933364024656,0.007745073200526316,evaluable
SpatialDecon,SMC,177,28,0.15819209039548024,0.3180490215927285,0.20995888314596078,0.016391343121630087,0.011009046177909133,0.008784478186,evaluable
SpatialDecon,Microglia3,177,23,0.12994350282485875,0.31464994546754743,0.33004789429348125,0.011182507232030436,0.007334160901279158,0.006308887760789474,evaluable
SpatialDecon,Pericytes,177,15,0.0847457627118644,0.29973402048454656,0.19225573819179043,0.012875904807467212,0.0024162888458470386,0.01207553852863158,method_rare
SpatialDecon,Oligodendrocytes6,177,9,0.05084745762711865,0.2564243322884263,0.05180298784579007,0.01655611447362204,0.005946857008555451,0.011965081489842105,method_rare
SpatialDecon,Fibroblast,177,6,0.03389830508474576,0.25331109583077177,0.2545896075848083,0.46799031405937586,0.0034276809688727067,0.49219736142105264,method_rare
SpatialDecon,VLMC1,177,5,0.02824858757062147,0.22333654425522181,0.01627581039886687,0.01401778819865419,0.006203904362093907,0.008532079840421052,method_rare
SpatialDecon,Astrocytes4,177,9,0.05084745762711865,0.21134720004032842,0.14456877225114578,0.010366659681345586,0.0037282022404277744,0.007399237234,method_rare
SpatialDecon,OPC3,177,1,0.005649717514124294,0.12097114921857637,0.17511542908197095,0.004945412814139621,1.8561906199362373e-5,0.004891820908947369,method_rare
SpatialDecon,Astrocytes5,177,4,0.022598870056497175,0.06263355740692342,-0.01945822826937288,0.018813566518394182,0.006935847015250461,0.01158014728368421,method_rare
SpatialDecon,ExNeuron9,177,2,0.011299435028248588,0.012068845477899099,0.003868051732598149,0.007901056986864382,0.002176281938050823,0.005676072206,method_rare
SpatialDecon,ExNeuron2,177,1,0.005649717514124294,0.004425773751899136,-0.011229961331963098,0.0068980377801656665,0.0032448346909566272,0.003760214305736842,method_rare
SpatialDecon,ExNeuron6,177,1,0.005649717514124294,0.0029505158345994233,-0.02525918545484826,0.014561312658994323,0.0013438123226101413,0.01265962757231579,method_rare
SpatialDecon,InhNeuron4,177,1,0.005649717514124294,-0.014752579172997118,-0.026466839392427232,0.006174782502832548,0.0017990519626065594,0.004375930285368421,method_rare
SpatialDecon,Astrocytes1,177,1,0.005649717514124294,-0.04720825335359077,-0.04390384068633179,0.011638792633668451,6.058308605611073e-4,0.010540109366,method_rare
SpatialDecon,InhNeuron3,177,1,0.005649717514124294,-0.0619608325265879,-0.04051354508702408,0.004296043043132542,3.341586442624859e-4,0.003982010437368421,method_rare
SpatialDecon,Astrocytes3,177,0,0,NA,NA,0.0064566703929378536,0,0.006210501673421053,method_all_zero
SpatialDecon,ExNeuron10,177,0,0,NA,NA,0.003918453122881356,0,0.00395535623131579,method_all_zero
SpatialDecon,ExNeuron11,177,0,0,NA,NA,0.005266034542881356,0,0.005246447047842105,method_all_zero
SpatialDecon,ExNeuron12,177,0,0,NA,NA,0.005026999911016949,0,0.004945099743421053,method_all_zero
SpatialDecon,ExNeuron13,177,0,0,NA,NA,0.004847518562485876,0,0.004783542487157895,method_all_zero
SpatialDecon,ExNeuron14,177,0,0,NA,NA,0.005827364934745762,0,0.005674893880789474,method_all_zero
SpatialDecon,ExNeuron3,177,0,0,NA,NA,0.03894658322581921,0,0.03651652130773684,method_all_zero
SpatialDecon,ExNeuron4,177,0,0,NA,NA,0.026826325057514123,0,0.025225514948315788,method_all_zero
SpatialDecon,ExNeuron5,177,0,0,NA,NA,0.004036885330169491,0,0.004080263663894737,method_all_zero
SpatialDecon,ExNeuron7,177,0,0,NA,NA,0.0062119912996610165,0,0.006032871257578947,method_all_zero
SpatialDecon,ExNeuron8,177,0,0,NA,NA,0.00430558993519774,0,0.004268172318578948,method_all_zero
SpatialDecon,InhNeuron1,177,0,0,NA,NA,0.004384022901694915,0,0.004362344337894737,method_all_zero
SpatialDecon,InhNeuron2,177,0,0,NA,NA,0.0051199528294915255,0,0.005028352773789473,method_all_zero
SpatialDecon,InhNeuron5,177,0,0,NA,NA,0.004427364174519774,0,0.004399230001526316,method_all_zero
SpatialDecon,Microglia1,177,0,0,NA,NA,0.008179382577344633,0,0.00810928917468421,method_all_zero
SpatialDecon,Microglia4,177,0,0,NA,NA,0.00884202712677966,0,0.008458788591263158,method_all_zero
SpatialDecon,OPC1,177,0,0,NA,NA,0.0055296611754237284,0,0.005393728773947368,method_all_zero
SpatialDecon,OPC2,177,0,0,NA,NA,0.004978053253446328,0,0.004845212960842105,method_all_zero
SpatialDecon,Oligodendrocytes1,177,0,0,NA,NA,0.019508353981299437,0,0.018341272554157895,method_all_zero
SpatialDecon,Oligodendrocytes3,177,0,0,NA,NA,0.006987734568870057,0,0.006797960589947368,method_all_zero
SpatialDecon,Oligodendrocytes4,177,0,0,NA,NA,0.007344419226101695,0,0.007083980678,method_all_zero
SpatialDecon,Oligodendrocytes5,177,0,0,NA,NA,0.012905734867288136,0,0.012447718132157894,method_all_zero
