method,lineage,n_comparable,method_fraction_nonzero,spearman_rho,pearson_r,mean_abs_difference,mean_comparison_method,mean_baseline
SpatialDecon,Excitatory neurons,177,0.6779661016949152,0.9009653490950245,0.9000389241632635,0.20971929819459037,0.31451907601890405,0.13300341079994737
SpatialDecon,Oligodendrocytes,177,0.8983050847457628,0.8969357288498969,0.8838857876235119,0.21488469454244258,0.3740569614892641,0.15991494215378949
SpatialDecon,Astrocytes,177,0.7627118644067796,0.7543589270657062,0.45792202336083565,0.04785648243589436,0.08247573624740089,0.054868536416473684
SpatialDecon,Endothelial,177,0.8135593220338984,0.6526591552593739,0.7115991466648214,0.11857244793761976,0.13625603325619093,0.01822111767242105
SpatialDecon,Microglia,177,0.6949152542372882,0.5982321618852113,0.5742799985116919,0.0494226078641347,0.06748350012044889,0.06653787762831578
SpatialDecon,SMC,177,0.15819209039548024,0.3180490215927285,0.20995888314596078,0.016391343121630087,0.011009046177909133,0.008784478186
SpatialDecon,Pericytes,177,0.0847457627118644,0.29973402048454656,0.19225573819179043,0.012875904807467212,0.0024162888458470386,0.01207553852863158
SpatialDecon,Fibroblast,177,0.03389830508474576,0.25331109583077177,0.2545896075848083,0.46799031405937586,0.0034276809688727067,0.49219736142105264
SpatialDecon,VLMC,177,0.02824858757062147,0.1755514210540919,-0.007963959841215264,0.022729371000010122,0.006203904362093907,0.017118112285894736
SpatialDecon,OPC,177,0.005649717514124294,0.1239216650531758,0.20945797950394207,0.015453127243009677,1.8561906199362373e-5,0.015130762643736842
SpatialDecon,Inhibitory neurons,177,0.011299435028248588,-0.06883142724564785,-0.0335033630269763,0.02412867412737752,0.0021332106068690454,0.02214786783594737
