"inferred_celltype","best_marker_celltype","best_rho","self_rho","self_is_best"
"ExNeuron4","ExNeuron1",0.912153857593373,-0.125978996356511,FALSE
"ExNeuron3","ExNeuron1",0.911135605155996,-0.113205351948807,FALSE
"ExNeuron1","ExNeuron1",0.849011709028243,0.849011709028243,TRUE
"ExNeuron6","ExNeuron1",0.794998840906805,0.0116880333468925,FALSE
"Astrocytes4","ExNeuron1",0.750041771094403,0.342093453529111,FALSE
"Astrocytes2","ExNeuron1",0.730708971381333,-0.0593027070293535,FALSE
"ExNeuron7","ExNeuron1",0.694840941796026,0.268035708818294,FALSE
"Astrocytes1","ExNeuron1",0.655884912980532,0.367953916204123,FALSE
"ExNeuron8","ExNeuron1",0.64509878535781,0.45703350872819,FALSE
"VLMC1","SMC",0.641045020929287,0.446665529443154,FALSE
"ExNeuron9","ExNeuron1",0.593404103627306,0.210493948658732,FALSE
"ExNeuron12","ExNeuron1",0.58804865567059,0.193318374470207,FALSE
"ExNeuron14","ExNeuron1",0.570607146137595,0.171775861993553,FALSE
"Microglia5","Microglia5",0.526104965730207,0.526104965730207,TRUE
"ExNeuron2","VLMC2",0.522878750103881,0.433708179698811,FALSE
"Oligodendrocytes7","Oligodendrocytes8",0.504571201126726,0.315505167806077,FALSE
"ExNeuron5","ExNeuron6",0.497432936617285,0.422857317814606,FALSE
"Oligodendrocytes6","Oligodendrocytes8",0.493356427718511,0.277768592510946,FALSE
"Fibroblast","Microglia1",0.48579476614748,0.371286855883163,FALSE
"ExNeuron10","VLMC2",0.471969627384342,0.358081066540697,FALSE
"ExNeuron13","Astrocytes4",0.4678038901792,0.308834039724092,FALSE
"Oligodendrocytes1","Oligodendrocytes8",0.467511711215211,0.0223376941481102,FALSE
"Oligodendrocytes2","Oligodendrocytes2",0.464736885844629,0.464736885844629,TRUE
"Oligodendrocytes5","Microglia5",0.458429669286655,0.293203339937978,FALSE
"Microglia1","SMC",0.452209931460414,0.368494534766235,FALSE
"InhNeuron1","Astrocytes1",0.443495300205138,0.405135876340065,FALSE
"Pericytes","SMC",0.443495300205138,0.350582389656515,FALSE
"Microglia4","Oligodendrocytes8",0.44053851907255,0.115887449863752,FALSE
"InhNeuron4","Astrocytes4",0.439989152637265,0.381492124727176,FALSE
"VLMC2","Oligodendrocytes8",0.435615216050598,0.216260546654595,FALSE
"InhNeuron5","Astrocytes1",0.435504992848614,0.30752885704663,FALSE
"SMC","ExNeuron14",0.43043122640808,0.292660971801231,FALSE
"InhNeuron3","ExNeuron8",0.420617862282233,0.414797027472696,FALSE
"OPC3","OPC1",0.420481395460729,0.403505272780555,FALSE
"Microglia3","ExNeuron14",0.415498606901197,0.360072082474948,FALSE
"Astrocytes5","Astrocytes3",0.413442856705463,0.269370634264544,FALSE
"Oligodendrocytes3","Microglia5",0.408552795601569,0.390231250027337,FALSE
"ExNeuron11","ExNeuron6",0.406999173325985,0.390987066269513,FALSE
"Astrocytes3","Oligodendrocytes3",0.365700464074672,0.28628377225787,FALSE
"OPC2","Oligodendrocytes3",0.362073595857007,0.216949879060653,FALSE
"OPC1","OPC1",0.352401947276568,0.352401947276568,TRUE
"InhNeuron2","ExNeuron14",0.347373669776536,0.340408613155926,FALSE
"Oligodendrocytes4","Microglia5",0.336300611913728,0.190111404164862,FALSE
"Endothelial","SMC",0.270336399462881,0.238683095172486,FALSE
"Oligodendrocytes8","ExNeuron1",0.247905103071816,0.202375922353878,FALSE
"Microglia2","Microglia3",0.15204066011451,0.0756384853932388,FALSE
