"","Astrocytes1","Astrocytes2","Astrocytes3","Astrocytes4","Astrocytes5","Endothelial","ExNeuron1","ExNeuron10","ExNeuron11","ExNeuron12","ExNeuron13","ExNeuron14","ExNeuron2","ExNeuron3","ExNeuron4","ExNeuron5","ExNeuron6","ExNeuron7","ExNeuron8","ExNeuron9","Fibroblast","InhNeuron1","InhNeuron2","InhNeuron3","InhNeuron4","InhNeuron5","Microglia1","Microglia2","Microglia3","Microglia4","Microglia5","OPC1","OPC2","OPC3","Oligodendrocytes1","Oligodendrocytes2","Oligodendrocytes3","Oligodendrocytes4","Oligodendrocytes5","Oligodendrocytes6","Oligodendrocytes7","Oligodendrocytes8","Pericytes","SMC","VLMC1","VLMC2"
"Astrocytes1",0.367953916204123,0.155532811085305,0.282592169778723,0.438841431676923,-0.0453411014447112,-0.131045764498506,0.655884912980532,0.0935313851819776,0.0864316113144992,0.0584821565256947,0.0385772459070888,0.0815660442554904,0.0354944954008057,0.0839612119303494,0.060534407572159,-0.00500290866783013,0.0218880534670008,0.148245832731917,0.282749631495843,0.0150979543098584,0.0541852012229527,0.00989996807026292,0.0730806072773557,0.136158021581003,0.130636364033994,0.0226106277911183,-0.00651104200291304,-0.136994318256374,-0.0275251829398977,-0.0614336889343778,-0.0695097254480005,0.0179427626658269,0.0741425990805985,0.0175228647535068,-0.0681870470241922,-0.230428602046128,-0.111016634080839,-0.0300480695630875,0.0920232518468947,-0.199643086774528,-0.291810678528783,-0.117675515140381,0.010718768999287,-0.231873750694362,0.00490143333901945,-0.0187003284826377
"Astrocytes2",0.112026138645042,-0.0593027070293535,0.0360438618360911,0.251659690237811,-0.210077549895682,-0.354149772336601,0.730708971381333,-0.159322389743993,-0.207570409444204,-0.189513049639806,-0.249364248317128,-0.165109982635472,-0.230076937544559,-0.20643318593167,-0.163288675440783,-0.291242066772516,-0.235514615509104,-0.110418279555783,0.0695709605602138,-0.235742060211611,-0.251070083585928,-0.250179550096883,-0.20801130225214,-0.148670979368141,-0.144965380291916,-0.234792041184987,-0.258266084058313,-0.382366912044509,-0.289048100180644,-0.315144755431336,-0.346619603108994,-0.25463221754211,-0.225517546046617,-0.266877490410144,-0.290481001806436,-0.319635913518526,-0.32662896333329,-0.264013436733194,-0.144988124762167,-0.39026624152003,-0.407354336976822,-0.272595100316236,-0.272077226224374,-0.462152764109226,-0.248778140814514,-0.280658889807416
"Astrocytes3",0.191360600454015,0.225003171104025,0.28628377225787,0.277124749045388,0.126538860239604,0.0322367874310558,-0.0743105582455265,0.0641927681332476,0.141634190187511,0.134299973318987,0.0764205452549349,0.0241397560218172,0.035440258587131,0.083469581458008,0.0887200549366435,0.0565978646441584,0.100303988592773,0.172068040957542,0.103061318217008,0.0783818184203965,0.1435009863227,0.0744557729402039,0.0619060740857379,0.11973301491075,0.125819785064756,0.0646651532846077,0.0691738071181444,0.134431191416587,0.066638673472512,0.0572434576843505,0.114869197426376,0.121039947162846,0.133372698762613,0.166341683178277,0.129467648178037,0.229450589825349,0.365700464074672,0.10652197684438,0.305053208938577,0.15645308734314,0.134737366977654,0.348720842245229,0.121613807643017,0.0795680300227007,0.0965738954716634,0.150548272951139
"Astrocytes4",0.274607111146103,0.0990477940050825,0.199515367826197,0.342093453529111,-0.0755387596390627,-0.113656742204552,0.750041771094403,0.159201669094201,0.104300017058353,0.0725102459464543,0.0748669229793506,0.167625870960123,0.0935576288014976,0.130160479733365,0.111677973292743,0.0360211173658404,0.0624484422224847,0.185107620709715,0.310937028434962,0.0700695893310939,0.0657971280732372,0.0420379045344601,0.127544865654538,0.13204827076417,0.169646629663163,0.081552047658413,0.037405030901862,-0.140253775800758,0.0108009990071164,-0.0313672488376263,-0.0510394660298215,-0.0184536384591496,0.0408359467604439,0.00841807835470001,-0.104866879239985,-0.377567828821618,-0.198647578807402,-0.0561569718362223,-0.0360666063063418,-0.251867889619336,-0.328422277333823,-0.240415174060806,-0.0133641258469035,-0.257401794188788,0.0369938808627153,-0.0245946454268306
"Astrocytes5",0.302981712571131,0.330796450113066,0.413442856705463,0.411740520585933,0.269370634264544,0.0911029755890599,-0.0203519269377633,0.129602365424906,0.206844335970817,0.22274796939994,0.14859924680812,0.0968275837936902,0.132769095513653,0.156885232277902,0.155903720907854,0.105881632528092,0.180651454115218,0.238516885582193,0.217016362896771,0.160811277758095,0.207601901787628,0.136898091651467,0.130396672309045,0.194856250574079,0.196166681975445,0.136493939910859,0.138784133107638,0.182871664326611,0.154196136064419,0.13509602977776,0.180231556202898,0.208849348502145,0.235413140180294,0.211790383463021,0.197783288937877,0.240425671508614,0.324088580963753,0.171697131134993,0.32163567732595,0.153891710077987,0.177227536555175,0.320092552498174,0.203511396291777,0.127926272924895,0.196698552664383,0.225842966928665
"Endothelial",9.01030936853477e-05,0.0222239717968569,0.043498799354407,0.0310208330599623,0.0438434655574363,0.238683095172486,-0.161831279770106,0.0039304194167793,0.0262130019638975,0.0365267444352592,0.0444715628512818,-0.0260835334409322,0.0347649227781496,0.0331413175171786,0.0212004706355767,0.0267326256303936,0.0527715449181418,0.0138557563192449,0.0317119150406557,-0.0372335725876646,0.0761091209699642,0.0476050510219703,-0.0093715965305935,-0.0681030674417282,-0.0758046949835321,0.0761248671416762,-0.0261272728067988,0.112374303997341,0.0494281077912932,0.0171694506773041,0.11694769209236,0.0660175744772052,0.0867027953828725,0.0797954747252074,-0.00532657997524352,0.0820191840858691,0.0914511409413586,0.020768325700814,-0.0111631609564925,-0.0318973699519304,0.0472516369457676,0.100694143736304,0.130193721651423,0.270336399462881,0.100909341416368,0.125261670756297
"ExNeuron1",0.119820493642483,-0.106123073827676,0.0219055492133475,0.200650841764096,-0.228222388431812,-0.262283107419509,0.849011709028243,-0.00291566612867247,-0.0800194202784448,-0.0765237701583802,-0.0457592497823966,0.0136090662957568,-0.0575251392005319,-0.0451958867500339,-0.0621020264448206,-0.142606953684385,-0.117042169122632,0.0574534066405105,0.225339089433881,-0.0851264286370376,-0.116331841820957,-0.0983322179795037,-0.0515853333158376,-0.0188805346700084,0.0157347994768772,-0.0642015160064209,-0.110232824644508,-0.270327651589707,-0.138303000083105,-0.209550927930647,-0.220104362126958,-0.200923775407104,-0.11426734375205,-0.173089792544188,-0.262321598061471,-0.493550630502959,-0.302976463847227,-0.209312985780332,-0.190169140127806,-0.360355513565764,-0.445979696186365,-0.327346288933503,-0.182656466646547,-0.390836602850932,-0.151716988807096,-0.230752273353541
"ExNeuron10",0.330152606647509,0.406190869844769,0.421937041556772,0.303545075603494,0.375755269500103,0.394283264881226,-0.270406382448267,0.358081066540697,0.409151150126625,0.368617004990662,0.376890743438002,0.326034107957503,0.352979306906008,0.386159989852467,0.367707226180635,0.396764161713183,0.421735840473785,0.349513399554733,0.296464547056997,0.371194128427526,0.446891224571026,0.40429433094079,0.329321558696042,0.340900243628268,0.350773093291693,0.301839240334694,0.370142634072091,0.408064664278497,0.354286239158105,0.372604285583068,0.44797596084452,0.443925695565266,0.450668556207272,0.456690592099796,0.328814182051989,0.179094332690365,0.34690303419981,0.346852296535405,0.32702261762609,0.318052548474152,0.244110275689223,0.274005257471777,0.452106706556968,0.426877840325071,0.398267046324362,0.471969627384342
"ExNeuron11",0.345195449356375,0.263988942688309,0.326901896976298,0.394027826984564,0.190506808032297,0.258577508343284,0.160590831354127,0.300679272351909,0.390987066269513,0.252747925660574,0.306844773364476,0.349049762276546,0.33876401299934,0.299869219296059,0.277395933113762,0.32843977308017,0.406999173325985,0.296448800885285,0.36991343979495,0.329241078262847,0.317779614831144,0.304638559750161,0.3307527107472,0.304573825488678,0.331576760400128,0.285011831498467,0.327418021493524,0.280683383852301,0.313953295105128,0.286691423147747,0.317714880569661,0.292234075590372,0.34115218237566,0.265022941297397,0.164497631513338,-0.0932759472853163,0.144260301714146,0.194735529924287,0.170671880399078,0.113411801755698,0.0347911663976696,0.0970182874288688,0.293352053781924,0.253501992328115,0.33471899644399,0.303293136856102
"ExNeuron12",0.349569385943043,0.208599159329388,0.339794512459158,0.461983055369663,0.085686292520131,0.0385562510114728,0.58804865567059,0.248552445686642,0.188024161625705,0.193318374470207,0.200950019026624,0.263149146863669,0.159320640169359,0.261193122422111,0.207190751748481,0.145166581374903,0.151603266455843,0.323745664335358,0.365338302125296,0.183545250560957,0.190356344613716,0.136791367598753,0.202115235733312,0.213162049976599,0.264372099533301,0.159691549991908,0.147476019892664,0.0142634072091223,0.133042029156661,0.08737288246795,0.10236848666168,0.134147760325771,0.205731606503169,0.136602413538209,0.0380068845761874,-0.19569254724945,0.026925078840207,0.121731029143539,0.149292078363448,-0.0374592677155367,-0.163572106531599,-0.0247940969351826,0.140266022823201,-0.0863458821574005,0.147218832421368,0.0781963635091218
