"celltype","n_markers_requested","n_markers_found","statistic","p.value","n","p_adj"
"ExNeuron1",20,13,0.831833569516612,2.18204239108746e-38,145,9.3827822816761e-37
"Microglia5",20,16,0.546720988820658,1.12740332115308e-12,145,2.42391714047912e-11
"OPC1",20,12,0.494327664934656,2.63149752406156e-10,145,3.77181311782157e-09
"VLMC1",20,13,0.481073846638325,9.08121126257282e-10,145,9.76230210726578e-09
"InhNeuron4",20,13,0.423689182805857,1.09609714516827e-07,145,9.42643544844712e-07
"Fibroblast",20,15,0.416473783656117,1.88531411826504e-07,145,1.3147592733755e-06
"Microglia3",20,17,0.414761454888994,2.14030579386709e-07,145,1.3147592733755e-06
"InhNeuron1",20,10,0.393012911352543,1.00956623556989e-06,145,5.42641851618818e-06
"InhNeuron3",20,13,0.37776334435522,2.80968013209151e-06,145,1.3351701146507e-05
"Pericytes",20,14,0.376232089434735,3.10504677825745e-06,145,1.3351701146507e-05
"OPC3",20,5,0.369737049283577,4.71811769759958e-06,145,1.84435509997075e-05
"ExNeuron5",20,5,0.349933081404503,1.59967035097634e-05,145,5.47162308737381e-05
"Oligodendrocytes3",20,7,0.349370177924736,1.6542116310665e-05,145,5.47162308737381e-05
"SMC",20,15,0.339383561643836,2.96707508628115e-05,145,9.11315919357783e-05
"Astrocytes5",20,9,0.327448433317588,5.81281039037037e-05,145,0.000166633897857284
"Oligodendrocytes5",20,7,0.32500393638797,6.64858746484934e-05,145,0.000178680788117826
"Endothelial",20,12,0.322819241064399,7.48950280792395e-05,145,0.000189440365141606
"Astrocytes4",20,16,0.319489056841442,8.96479594898626e-05,145,0.000214159014336894
"ExNeuron2",20,7,0.309085183435679,0.000155124876609815,145,0.000351072089169581
"Astrocytes3",20,7,0.304322153991497,0.000198064551097666,145,0.000425838784859982
"InhNeuron2",20,6,0.28922610612502,0.000418210694324256,145,0.000856336183616333
"ExNeuron11",20,6,0.281136828845851,0.000613918536102444,145,0.00119993168420023
"Microglia1",20,10,0.279322153991497,0.000668083538321252,145,0.00124902574555712
"ExNeuron7",20,5,0.274559124547315,0.000831837412051809,145,0.00149037536325949
"Oligodendrocytes6",20,15,0.257148480554243,0.00179409132300985,145,0.0029671510342086
"InhNeuron5",20,6,0.247842859392222,0.00265030025187833,145,0.00422084854928771
"ExNeuron8",20,3,0.239265470004724,0.00375044718205053,145,0.00556100789062665
"ExNeuron13",20,3,0.204802393323886,0.0134715587664314,145,0.019309234231885
"Oligodendrocytes4",20,11,0.189265470004724,0.0226088668067914,145,0.0313606862158719
"VLMC2",20,16,0.123149897653913,0.140021859416879,145,0.188154373591431
"Astrocytes1",20,3,0.117072114627618,0.160807523027233,145,0.199117574735744
"Microglia4",20,14,0.116721776098252,0.16207244455235,145,0.199117574735744
"ExNeuron9",20,6,0.107431900488112,0.198380047399167,145,0.23695394550456
"Oligodendrocytes2",20,8,0.0769918123130216,0.357339113511003,145,0.415285996783057
"Oligodendrocytes8",20,7,0.0632026452527161,0.450111539664584,145,0.509336742252029
"Microglia2",20,14,0.0395882538182963,0.636380716289873,145,0.670983359347798
"Oligodendrocytes7",20,7,0.0391906786332861,0.63977483100604,145,0.670983359347798
"OPC2",20,9,-0.0123838765548732,0.882471702893452,145,0.882471702893452
"ExNeuron14",20,3,-0.01818217603527,0.828157399863422,145,0.847875433193504
"Astrocytes2",20,11,-0.0434892142969611,0.603486822755835,145,0.665382907141049
"ExNeuron3",20,3,-0.118749015903007,0.154855003662572,145,0.199117574735744
"Oligodendrocytes1",20,3,-0.241682412218548,0.0034049678377291,145,0.00522905775079826
"ExNeuron4",20,6,-0.259667768855298,0.00161029851175729,145,0.00276971344022254
"ExNeuron10",20,1,NA,NA,NA,NA
"ExNeuron12",20,0,NA,NA,NA,NA
"ExNeuron6",20,2,NA,NA,NA,NA
