"celltype","n_markers_requested","n_markers_found","statistic","p.value","n","p_adj"
"ExNeuron1",20,13,0.83227931488801,1.38407584500904e-12,45,5.95152613353889e-11
"ExNeuron2",20,7,0.825428194993412,3.04354501693554e-12,45,6.54362178641142e-11
"Oligodendrocytes2",20,8,0.760869565217391,1.31336831066422e-09,45,1.88249457861872e-08
"InhNeuron3",20,13,0.73965744400527,6.45914747504863e-09,45,6.94358353567728e-08
"OPC1",20,12,0.725691699604743,1.70011613870052e-08,45,1.46209987928245e-07
"VLMC1",20,13,0.697891963109354,9.90367469312052e-08,45,7.09763353006971e-07
"ExNeuron5",20,5,0.686297760210804,1.95040180807073e-07,45,1.19810396781487e-06
"InhNeuron5",20,6,0.676021080368906,3.46750998994876e-07,45,1.7806119822014e-06
"Microglia5",20,16,0.674703557312253,3.72686228832851e-07,45,1.7806119822014e-06
"ExNeuron11",20,6,0.667588932806324,5.46774061362809e-07,45,2.35112846386008e-06
"InhNeuron1",20,10,0.655862977602108,1.00606304506975e-06,45,3.93279190345449e-06
"Oligodendrocytes3",20,7,0.6433465085639,1.87475576433513e-06,45,6.71787482220089e-06
"Oligodendrocytes5",20,7,0.63965744400527,2.24030346265706e-06,45,7.41023453032718e-06
"InhNeuron4",20,13,0.621607378129117,5.18267858117431e-06,45,1.59182270707497e-05
"Microglia3",20,17,0.603820816864295,1.12668428890368e-05,45,3.22982829485721e-05
"ExNeuron7",20,5,0.577997364953887,3.21205013052175e-05,45,8.6323847257772e-05
"OPC3",20,5,0.568247694334651,4.66377325053622e-05,45,0.000114206915364892
"Fibroblast",20,15,0.567588932806324,4.78075459666991e-05,45,0.000114206915364892
"InhNeuron2",20,6,0.564690382081686,5.32800876041215e-05,45,0.000120581250893538
"ExNeuron9",20,6,0.549143610013175,9.36874341317948e-05,45,0.000201427983383359
"ExNeuron13",20,3,0.526745718050066,0.000201486783339403,45,0.000412568175409253
"Microglia1",20,10,0.524110671936759,0.000219715553588179,45,0.000429444036558714
"Astrocytes3",20,7,0.515942028985507,0.000286107647617784,45,0.000534896906415857
"Oligodendrocytes4",20,11,0.487747035573122,0.000677490311035577,45,0.00121383680727207
"OPC2",20,9,0.474967061923584,0.000977892505116863,45,0.001681975108801
"SMC",20,15,0.464690382081686,0.00130037915181907,45,0.0021506270587777
"VLMC2",20,16,0.425823451910408,0.00354136751001156,45,0.00563995566409248
"Pericytes",20,14,0.412779973649539,0.00483312442101216,45,0.00742229821798296
"ExNeuron14",20,3,0.407773386034256,0.0054286142274234,45,0.00804932454411057
"Microglia4",20,14,0.384189723320158,0.00917293888394459,45,0.0131478790669872
"Oligodendrocytes8",20,7,0.362714097496706,0.0143364762223236,45,0.0198860799212876
"Microglia2",20,14,0.360869565217391,0.0148772905287678,45,0.0199913591480317
"ExNeuron8",20,3,0.34137022397892,0.0217354238179703,45,0.0283219158840218
"Astrocytes5",20,9,0.324110671936759,0.0298536992826021,45,0.0377561490927027
"Oligodendrocytes6",20,15,0.305138339920949,0.041527531964289,45,0.0510195392704122
"Astrocytes4",20,16,0.263636363636364,0.0801415968094206,45,0.0938673412920056
"Astrocytes1",20,3,0.263109354413702,0.0807695727396328,45,0.0938673412920056
"Endothelial",20,12,0.09433465085639,0.537640098774363,45,0.592782673007632
"Oligodendrocytes1",20,3,0.0583662714097497,0.70332197443845,45,0.756071122521334
"ExNeuron3",20,3,0.00869565217391304,0.954790744980402,45,0.975331456178332
"Oligodendrocytes7",20,7,-0.00474308300395257,0.975331456178332,45,0.975331456178332
"ExNeuron4",20,6,-0.0072463768115942,0.962319674171164,45,0.975331456178332
"Astrocytes2",20,11,-0.152569169960474,0.317050371256535,45,0.358767525369236
"ExNeuron10",20,1,NA,NA,NA,NA
"ExNeuron12",20,0,NA,NA,NA,NA
"ExNeuron6",20,2,NA,NA,NA,NA
