"celltype","n_markers_requested","n_markers_found","statistic","p.value","n","p_adj"
"ExNeuron1",20,13,0.817832539463843,5.40523276868468e-47,190,2.32425009053441e-45
"Microglia5",20,16,0.518072668582451,1.93035109737266e-14,190,4.15025485935122e-13
"VLMC1",20,13,0.459948300069546,2.45515127645772e-11,190,3.51905016292273e-10
"OPC1",20,12,0.438447777384123,2.50009392411675e-10,190,2.68760096842551e-09
"ExNeuron2",20,7,0.408671766676727,4.81038436525663e-09,190,4.13438924142773e-08
"Fibroblast",20,15,0.406743735429324,5.76891522059683e-09,190,4.13438924142773e-08
"InhNeuron4",20,13,0.396032839515893,1.55048111027666e-08,190,9.52438396312804e-08
"InhNeuron3",20,13,0.386515153503305,3.62597346157509e-08,190,1.94896073559661e-07
"Oligodendrocytes5",20,7,0.367248837626352,1.86762172283613e-07,190,8.92308156466151e-07
"Microglia3",20,17,0.353136768623128,5.80820210954943e-07,190,2.49752690710626e-06
"ExNeuron11",20,6,0.347695591509314,8.86667880010928e-07,190,3.46606534913363e-06
"ExNeuron7",20,5,0.344528861420567,1.13007378169391e-06,190,4.04943105106986e-06
"OPC3",20,5,0.339423602636609,1.66158575278914e-06,190,5.49601441307176e-06
"Pericytes",20,14,0.335793235269675,2.17657650315134e-06,190,6.68519925967912e-06
"ExNeuron5",20,5,0.330182349416298,3.2815705786039e-06,190,9.40716899199784e-06
"Oligodendrocytes3",20,7,0.322115060775849,5.83904729600462e-06,190,1.56924396080124e-05
"InhNeuron1",20,10,0.31317823354197,1.08468692646134e-05,190,2.74361987281398e-05
"Astrocytes4",20,16,0.306909507625958,1.6552630969987e-05,190,3.95423962060801e-05
"InhNeuron5",20,6,0.297668254405648,3.03344603763759e-05,190,6.86516734833771e-05
"Oligodendrocytes2",20,8,0.281365717959821,8.40636952338943e-05,190,0.000180736944752873
"Microglia1",20,10,0.280025543789666,9.11603168560044e-05,190,0.000186661601181342
"InhNeuron2",20,6,0.262192129538506,0.000257823575603187,190,0.000503927897769865
"SMC",20,15,0.258497027910089,0.000316968956942889,190,0.000592594136893227
"Astrocytes3",20,7,0.256700214760286,0.000350074553261162,190,0.000627216907926249
"Astrocytes5",20,9,0.234907513110875,0.00110480162161847,190,0.00190025878918377
"ExNeuron8",20,3,0.233299654021616,0.00119776073893481,190,0.00198091199131526
"ExNeuron13",20,3,0.219019625853464,0.00239736712046182,190,0.00381802911777253
"Oligodendrocytes6",20,15,0.208259741850263,0.00393403949976618,190,0.0060415606603552
"Oligodendrocytes4",20,11,0.194728531625748,0.00709703114714418,190,0.00975176293432698
"Endothelial",20,12,0.194200160086079,0.00725712590461543,190,0.00975176293432698
"VLMC2",20,16,0.173794871121958,0.0164818510139045,190,0.0214763513211483
"ExNeuron9",20,6,0.157889488118201,0.0295806934271586,190,0.0374108769814064
"Oligodendrocytes8",20,7,0.150901687027341,0.0376885533094595,190,0.0463030797801931
"Astrocytes1",20,3,0.134163506497483,0.0649699265574075,190,0.077602967832459
"OPC2",20,9,0.0983707086214664,0.176927433427921,190,0.200207358878963
"Microglia4",20,14,0.0928298057534762,0.202706213102073,190,0.223496593933055
"ExNeuron14",20,3,0.0672125339526827,0.356847057348397,190,0.383610586649526
"Microglia2",20,14,0.0627388716118394,0.389824063084952,190,0.408839871040315
"Astrocytes2",20,11,0.0109724573213138,0.880566313219318,190,0.880566313219318
"Oligodendrocytes7",20,7,-0.0124823402310313,0.864280027534849,190,0.880566313219318
"ExNeuron3",20,3,-0.119225638266696,0.101334832464407,190,0.117767507999176
"Oligodendrocytes1",20,3,-0.201464393969216,0.00531480256374987,190,0.00761788367470815
"ExNeuron4",20,6,-0.206387696991169,0.00427789000289398,190,0.00634307828015315
"ExNeuron10",20,1,NA,NA,NA,NA
"ExNeuron12",20,0,NA,NA,NA,NA
"ExNeuron6",20,2,NA,NA,NA,NA
