"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"Expression And Translocation Of Olfactory Receptors R-HSA-9752946",1.46176285480414e-34,1.70587725155643e-31,1.52970525162309,-0.514867887103274,-2.90894740415969,373,"OR9G4;OR1K1;OR4Q3;OR2A14;OR2A4;OR4N5;OR7D4;OR5H15;OR2G6;OR2H2;OR10T2;OR7C1;OR6C74;OR8K3;OR5AS1;OR7E24;OR8G1;OR5D16;OR4D11;OR10H3;OR2B11;OR5V1;OR6P1;OR14A2;OR7C2;OR4S1;OR1I1;EBF1;OR52M1;OR2F1;OR56A1;OR4D2;OR4F15;OR2A2;OR9Q1;OR2AP1;OR4C16;OR6S1;OR4F21;OR2M5;OR2J2;OR2T34;OR1D5;OR4F17;OR9Q2;OR7D2;OR10AC1;OR1A1;OR7G2;OR51G2;OR8H1;OR13G1;OR10G4;OR14K1;OR5AN1;OR2T11;OR1L3;OR10AD1;OR1J1;OR14J1;RTP2;OR1A2;OR2T8;OR8A1;OR10A4;OR2AJ1;OR7A17;OR4X1;OR4A47;OR10J5;OR5AP2;OR5A1;OR4F6;OR4C15;OR2J3;OR51F2;OR14A16;OR4N2;OR7G1;OR2A1;OR52H1;OR4D9;OR3A2;OR51I1;OR4K5;OR4L1;OR4A5;OR52E5;OR6T1;OR13C2;OR2T27;OR13F1;OR6F1;OR52E6;OR13C9;OR51B2;OR10D3;OR10G3;OR1S2;OR13D1;OR1F1;OR4K14;OR10K2;OR5H2;OR5P2;OR2T6;OR5B17;OR10A7;OR6K2;OR11A1;OR6C4;OR56A5;OR4C46;OR10H4;OR4B1;OR10X1;OR52K1;OR2V1;OR52E2;OR9A2;OR51E1;OR2A12;OR4D6;OR11H1;OR1D2;OR11H6;OR4C3;OR5AL1;OR2T12;OR1C1;OR5H14;OR56B4;OR2S2;OR5K1;OR4C45;OR4D10;OR10S1;OR52J3;OR2Z1;OR5M8;OR2F2;OR4E1;OR5D18;OR4C5;OR5W2;OR6N2;OR5K3;OR52E4;OR2T5;OR5B21;OR1M1;OR5AK2;OR12D2;OR4X2;OR4A16;OR5L1;OR51E2;OR6N1;OR5AU1;OR6C65;OR10H5;OR1B1;OR51Q1;OR51G1;OR11L1;OR2G2;OR8D2;OR2T1;OR8B12;OR9I1;OR13C4;OR51B4;OR10G6;OR2M4;OR13C3;OR1L1;OR1L4;OR8B4;OR8H2;RTP1;OR1L8;OR4D5;OR10H2;OR10G7;OR52E8;OR10K1;OR52K2;OR13C5;OR4N4;OR6J1;OR52A1;OR4C11;OR2T10;OR5T1;OR2A25;OR51T1;OR51L1;OR4K15;OR56B1;OR1G1;OR1E1;OR51S1;OR5A2;OR52D1;OR10Z1;OR10A3;OR10G9;OR10A2;OR3A3;OR7A5;OR5AC2;OR13J1;OR2T35;OR6C3;OR11H7;OR6C70;OR8U3;OR8J3;OR5M1;OR3A1;OR2A7;OR52N5;OR51D1;OR6Q1;OR2G3;OR2L5;OR5M10;OR5D14;OR6B2;OR52B2;OR14C36;OR8J1;OR4C6;OR51V1;OR1N2;OR11G2;OR13C8;OR8B2;OR2C3;OR2AG2;OR5I1;OR2A5;OR2W3;OR2B6;OR5P3;OR52I2;OR8U9;OR1N1"
"Neuronal System R-HSA-112316",1.2589348517499e-33,7.34588485996065e-31,1.50926283727233,0.564466830781517,2.78529574390928,386,"NRGN;SLC1A3;PRKAR1B;TSPAN7;STXBP1;CALM1;MAPT;CAMK2A;SNAP25;GNB1;RTN3;SLC1A2;CAMK2G;NPTN;RAB3A;SYT1;ADCY1;EPB41L1;GRIA2;KCNAB2;SYN1;MAPK1;PRKCB;SYN2;SLC17A7;AP2M1;NEFL;GABBR2;GABRB2;GLUL;NRXN2;VAMP2;GIT1;NSF;CAMK2B;DLGAP3;HSPA8;DLGAP1;GABRA1;CAMKK2;DLGAP4;CPLX1;STX1A;PLCB1;GRIA1;AP2A1;NRXN1;KCNQ2;PRKCA;HCN2;PTPRS;CACNA2D1;GABRA2;ABAT;AP2B1;SHANK1;KCNC1;GNG2;FLOT1;PRKAR1A;CAMK2D;CACNB3;CACNA1B;ALDH2;KCNC2;RASGRF2;GNG7;PPFIBP1;SLC6A1;GPRIN1;TSPOAP1;LRRC4B;GABRG2;PPFIA4;HOMER1;SHANK3;AP2S1;SYT7;NLGN2;GNG3;PRKCG;KCNQ5;GLRB;CAMKK1;CACNA1E;PPFIA2;SLITRK1;ARHGEF9;MAPK3;GABRB3;ARL6IP5;GABRA4;GABRA5;KCNMB4;KCNN1;PRKAR2B;PICK1;GRIA4;APBA1;GRIN2B;GNB2;HCN1;GAD1;ARHGEF7;ADCY2;CACNG3;NTRK3;CACNB1;GABRA3;GNAI2;KCNB1;PRKACB;CACNA2D3;KCNJ4;LRRTM4;KCNA2;GRM5;GABRB1;SLITRK2;SYN3;SLC38A2;KCNK1;KCNV1;KCNMA1;GRIK5;CACNB4;APBA2;CHRNA4;SIPA1L1"
"Olfactory Signaling Pathway R-HSA-381753",3.04591314386543e-32,1.18486021296365e-29,1.47456250139425,-0.49968545926783,-2.82407218657339,381,"OR9G4;OR1K1;OR4Q3;OR2A14;OR2A4;OR4N5;OR7D4;OR5H15;OR2G6;OR2H2;OR10T2;OR7C1;OR6C74;OR8K3;OR5AS1;OR7E24;OR8G1;OR5D16;OR4D11;ANO2;OR10H3;OR2B11;OR5V1;OR6P1;OR14A2;OR7C2;OR4S1;OR1I1;EBF1;OR52M1;OR2F1;OR56A1;OR4D2;OR4F15;OR2A2;OR9Q1;OR2AP1;OR4C16;OR6S1;OR4F21;OR2M5;OR2J2;OR2T34;OR1D5;OR4F17;OR9Q2;OR7D2;OR10AC1;OR1A1;OR7G2;OR51G2;OR8H1;OR13G1;OR10G4;OR14K1;OR5AN1;OR2T11;OR1L3;OR10AD1;OR1J1;OR14J1;RTP2;OR1A2;OR2T8;OR8A1;OR10A4;OR2AJ1;OR7A17;OR4X1;OR4A47;OR10J5;OR5AP2;OR5A1;OR4F6;OR4C15;OR2J3;OR51F2;OR14A16;OR4N2;OR7G1;OR2A1;OR52H1;OR4D9;OR3A2;OR51I1;OR4K5;OR4L1;OR4A5;OR52E5;OR6T1;OR13C2;OR2T27;OR13F1;OR6F1;OR52E6;OR13C9;OR51B2;OR10D3;OR10G3;OR1S2;OR13D1;OR1F1;OR4K14;OR10K2;OR5H2;OR5P2;OR2T6;OR5B17;OR10A7;OR6K2;OR11A1;OR6C4;OR56A5;OR4C46;OR10H4;OR4B1;OR10X1;OR52K1;OR2V1;OR52E2;OR9A2;OR51E1;OR2A12;OR4D6;OR11H1;OR1D2;OR11H6;OR4C3;OR5AL1;OR2T12;OR1C1;OR5H14;OR56B4;OR2S2;OR5K1;OR4C45;OR4D10;OR10S1;OR52J3;OR2Z1;OR5M8;OR2F2;OR4E1;OR5D18;OR4C5;OR5W2;OR6N2;OR5K3;OR52E4;OR2T5;OR5B21;OR1M1;OR5AK2;OR12D2;OR4X2;OR4A16;OR5L1;OR51E2;OR6N1;OR5AU1;OR6C65;OR10H5;OR1B1;OR51Q1;OR51G1;OR11L1;OR2G2;OR8D2;OR2T1;OR8B12;OR9I1;OR13C4;CNGA4;OR51B4;OR10G6;OR2M4;OR13C3;OR1L1;OR1L4;OR8B4;OR8H2;RTP1;OR1L8;OR4D5;OR10H2;OR10G7;OR52E8;OR10K1;OR52K2;OR13C5;OR4N4;OR6J1;OR52A1;OR4C11;OR2T10;OR5T1;OR2A25;OR51T1;OR51L1;OR4K15;OR56B1;OR1G1;OR1E1;OR51S1;OR5A2;OR52D1;OR10Z1;OR10A3;OR10G9;OR10A2;OR3A3;OR7A5;OR5AC2;OR13J1;OR2T35;OR6C3;OR11H7;OR6C70;OR8U3;OR8J3;OR5M1;OR3A1;OR2A7;OR52N5;OR51D1;OR6Q1;OR2G3;OR2L5;OR5M10;OR5D14;OR6B2;OR52B2;OR14C36;OR8J1;OR4C6;OR51V1;OR1N2;OR11G2;OR13C8;OR8B2;OR2C3;OR2AG2;OR5I1;OR2A5;OR2W3;OR2B6;OR5P3;OR52I2;OR8U9;OR1N1"
"Transmission Across Chemical Synapses R-HSA-112315",1.01798913596199e-30,2.96998330416912e-28,1.43902565267782,0.62184943380816,2.92540972550166,246,"NRGN;SLC1A3;PRKAR1B;TSPAN7;STXBP1;CALM1;MAPT;CAMK2A;SNAP25;GNB1;SLC1A2;CAMK2G;NPTN;RAB3A;SYT1;ADCY1;EPB41L1;GRIA2;SYN1;MAPK1;PRKCB;SYN2;SLC17A7;AP2M1;NEFL;GABBR2;GABRB2;GLUL;VAMP2;GIT1;NSF;CAMK2B;HSPA8;GABRA1;CAMKK2;CPLX1;STX1A;PLCB1;GRIA1;AP2A1;PRKCA;CACNA2D1;GABRA2;ABAT;AP2B1;GNG2;PRKAR1A;CAMK2D;CACNB3;CACNA1B;ALDH2;RASGRF2;GNG7;SLC6A1;GPRIN1;TSPOAP1;GABRG2;PPFIA4;AP2S1;GNG3;PRKCG;GLRB;CAMKK1;CACNA1E;PPFIA2;ARHGEF9;MAPK3;GABRB3;ARL6IP5;GABRA4;GABRA5;PRKAR2B;PICK1;GRIA4;APBA1;GRIN2B;GNB2;GAD1;ARHGEF7;ADCY2;CACNG3;CACNB1;GABRA3;GNAI2;PRKACB;CACNA2D3;KCNJ4"
"Citric Acid (TCA) Cycle And Respiratory Electron Transport R-HSA-1428517",1.26973383838199e-25,2.96355877878356e-23,1.31101476274061,0.666057607679156,2.99103234687121,159,"LDHB;COX6B1;COX6A1;BSG;ACO2;COX5B;ATP5F1B;NDUFB8;NDUFS5;ATP5MF;COX6C;ATP5F1D;ATP5MC3;UQCRC2;COX4I1;UQCR11;NDUFA1;ATP5ME;SDHA;ATP5PB;ATP5F1A;CYCS;CCNI;COX8A;ATP5PD;NDUFA13;ATP5PF;MDH2;COX7B;NDUFB2;COX7C;NDUFB9;NDUFB10;COX7A2L;COA1;NDUFA5;COX5A;NDUFA8;NDUFAB1;VDAC1;NDUFS8;NDUFB3;NDUFB4;UQCRQ;NDUFA2;NDUFS3;IDH3G;SDHB;NNT;ATP5F1C;IDH2;UQCRB;NDUFS2;PDHB;ATP5PO;CS;PDK2;NDUFA9;ATP5MC2;NDUFV1;NDUFB1;NDUFA11;NDUFAF4;LDHA;IDH3A;NDUFS4;NDUFC1;NDUFB6;NDUFV3;SUCLG1;UQCR10;NDUFV2;UQCRC1;TRAP1;COX20;GLO1;PDHX;NDUFB5;NDUFA10;NDUFS1;SLC25A27;NDUFA12;SUCLA2"
"Respiratory Electron Transport, ATP Synthesis By Chemiosmotic Coupling, Heat Production By Uncoupling Proteins R-HSA-163200",9.52801778754715e-25,1.85319945967792e-22,1.28710367230144,0.725422825925547,3.10764124876741,111,"COX6B1;COX6A1;COX5B;ATP5F1B;NDUFB8;NDUFS5;ATP5MF;COX6C;ATP5F1D;ATP5MC3;UQCRC2;COX4I1;UQCR11;NDUFA1;ATP5ME;SDHA;ATP5PB;ATP5F1A;CYCS;CCNI;COX8A;ATP5PD;NDUFA13;ATP5PF;COX7B;NDUFB2;COX7C;NDUFB9;NDUFB10;COX7A2L;COA1;NDUFA5;COX5A;NDUFA8;NDUFAB1;NDUFS8;NDUFB3;NDUFB4;UQCRQ;NDUFA2;NDUFS3;SDHB;ATP5F1C;UQCRB;NDUFS2;ATP5PO;NDUFA9;ATP5MC2;NDUFV1;NDUFB1;NDUFA11;NDUFAF4;NDUFS4;NDUFC1;NDUFB6;NDUFV3;UQCR10;NDUFV2;UQCRC1;TRAP1;COX20;NDUFB5;NDUFA10;NDUFS1;SLC25A27;NDUFA12"
"Respiratory Electron Transport R-HSA-611105",9.37516160873234e-22,1.56297337105581e-19,1.20397524075264,0.740115716077128,3.08193237445263,89,"COX6B1;COX6A1;COX5B;NDUFB8;NDUFS5;COX6C;UQCRC2;COX4I1;UQCR11;NDUFA1;SDHA;CYCS;CCNI;COX8A;NDUFA13;COX7B;NDUFB2;COX7C;NDUFB9;NDUFB10;COX7A2L;COA1;NDUFA5;COX5A;NDUFA8;NDUFAB1;NDUFS8;NDUFB3;NDUFB4;UQCRQ;NDUFA2;NDUFS3;SDHB;UQCRB;NDUFS2;NDUFA9;NDUFV1;NDUFB1;NDUFA11;NDUFAF4;NDUFS4;NDUFC1;NDUFB6;NDUFV3;UQCR10;NDUFV2;UQCRC1;TRAP1;COX20;NDUFB5;NDUFA10;NDUFS1;NDUFA12"
"Neurotransmitter Receptors And Postsynaptic Signal Transmission R-HSA-112314",2.78336931560888e-19,4.06023998914446e-17,1.13308993200902,0.597792309335066,2.71822060311055,182,"NRGN;PRKAR1B;TSPAN7;CALM1;MAPT;CAMK2A;GNB1;CAMK2G;NPTN;ADCY1;EPB41L1;GRIA2;MAPK1;PRKCB;AP2M1;NEFL;GABBR2;GABRB2;GIT1;NSF;CAMK2B;GABRA1;CAMKK2;PLCB1;GRIA1;AP2A1;PRKCA;GABRA2;AP2B1;GNG2;PRKAR1A;CAMK2D;RASGRF2;GNG7;GPRIN1;GABRG2;AP2S1;GNG3;PRKCG;GLRB;CAMKK1;ARHGEF9;MAPK3;GABRB3;GABRA4;GABRA5;PRKAR2B;PICK1;GRIA4;APBA1;GRIN2B;GNB2;ARHGEF7;ADCY2;CACNG3;GABRA3;GNAI2;PRKACB;KCNJ4"
"Class A/1 (Rhodopsin-like Receptors) R-HSA-373076",7.77480328124717e-18,1.00813282546838e-15,1.0864405425825,-0.430035330915957,-2.37179898977381,318,"GALR3;CCL5;PRLH;P2RY4;DRD4;AGTR1;HCAR2;SAA2;TAC3;PF4;TBXA2R;SSTR5;LPAR1;NPBWR2;NMUR1;RRH;PTGFR;MC3R;PTGER3;EDN2;CXCL9;CMKLR1;CCL3;CXCR3;CCR7;CCR2;CCR9;S1PR4;RGR;ADORA2A;OXER1;PRLHR;PPY;DRD2;NPW;HTR7;F2RL2;C3AR1;GPR132;CYSLTR1;POMC;XCL1;SSTR4;FSHR;HTR2C;PNOC;APLN;DHX34;S1PR3;PLPPR1;LPAR6;EDN3;GPR4;GHRL;PPBP;KNG1;ACKR4;DRD5;CCRL2;FPR3;NMS;GHSR;CXCR1;FPR1;BRS3;CHRM2;PTGER1;C5AR2;TTF2;HRH4;CXCL6;PTAFR;GALR2;MRLN;LPAR5;TAAR5;TACR3;LTB4R;P2RY10;KEL;NMBR;GAL;XK;CCR1;S1PR2;OPN1LW;FFAR2;AVPR1B;CCL1;F2RL3;DRD3;CCL27;LPAR3;GNRH2;MLNR;P2RY13;CCR5;MCHR1;SFTPA2;NPFFR1;HCRTR1;HTR1D;ADORA3;INSL3;ADRB3;HCAR1;UCMA;PMCH;CCL19;GPHA2;C5;CXCR2;NPFF;EDNRA;OPN1MW3;HTR1B;GPR55;KISS1R;ADRA2B;CX3CR1;P2RY6;MTNR1A;TACR1;GPHB5;TSHB;MC4R;CCL17;APLNR;CXCL13;PTGDR2;PROK1;EDN1;GPR65;OXTR;PENK;PTGDR;ADRA2A;ADRA1D;GPR68;FFAR1;CCL13;GPR37;CCL16;OPRL1;NPSR1;C5AR1;S1PR5;NPS;OPN1SW;CCL25;NLRP3;MTNR1B;CXCR4;GNRH1;NTSR1;LPAR2;AVPR1A;GRPR;LTB4R2;HCRT;AGTR2;CORT"
"Keratinization R-HSA-6805567",1.4466876539779e-17,1.68828449219221e-15,1.07686819261983,-0.501330454637195,-2.62233367013722,192,"KRTAP21-1;KRT28;KRTAP12-3;KRTAP10-1;KRTAP9-2;KRT12;KRTAP9-1;KRTAP10-3;KRTAP9-6;KRTAP10-2;LCE5A;LCE1D;KRTAP10-6;LCE3D;KRTAP5-1;KRT6A;KRTAP22-1;KRTAP6-2;KRTAP9-3;KRTAP13-1;SPINK6;KRT36;KRT19;SPRR2F;KRTAP19-1;PI3;KRTAP12-2;KRTAP8-1;KRT38;SPRR3;KRTAP5-10;KRT18;KRTAP10-7;KRT86;KRT80;KRTAP12-4;KRTAP1-4;KRT72;KRT34;KRT16;KRTAP5-2;KRTAP19-3;ST14;FLG;KRTAP5-4;KRTAP23-1;TGM1;KRTAP13-2;KLK14;KRT39;KRTAP3-1;LCE3A;KRTAP4-1;KRTAP29-1;SPINK5;KRTAP13-3;KRT85;KRTAP10-8;KRTAP2-2;TCHH;KRTAP20-1;KRT8;KRT76;KRTAP2-3;KRT75;KRT83;SPRR2A;KRTAP10-12;JUP;PERP;KRT73;LCE4A;PKP4;KRT5;SPINK9;LCE1A;LCE3E;KRTAP5-11;CELA2A;KRTAP5-7;KRT3;KRT10;LCE2C;KRTAP11-1;KRT33B;KRT31;LCE2A;KRTAP20-2;KRTAP4-4;KRTAP6-1;KRTAP13-4;KRT78;KRT71;KRTAP26-1;KRTAP9-4;KRT23;KRT82;KRTAP4-2;KRT2;KRT24;KRTAP10-11;KRT77;DSG1;LIPM;KRT84;SPRR1B"
"Translation R-HSA-72766",2.08764538215192e-17,2.21480196451935e-15,1.07686819261983,0.506853398015822,2.4142483016244,276,"EIF4A2;EEF1A2;EIF3C;DLGAP3;RPL41;SRP14;SPCS1;EIF3K;RPL31;AARS1;EIF4H;RPS21;MRPL41;YARS1;MRPS21;RPL35A;PPA1;EIF3I;MRPL16;RPL26;RPL38;RPL14;GARS1;RPS24;RPL15;RPS15;SRP68;RPL10A;EIF1AX;SARS1;TUFM;MRPL42;RPN1;MRPS18A;HARS1;FAU;EIF3L;EEF1G;MARS1;RPS4Y1;EIF4E;RPL7A;RPS25;SPCS3;RPS4X;MRPL33;RPL35;MRPL50;MRPL30;SRPRB;RPL4;RPSA;RPS14;RPLP1;MRPL51;EIF5;FARSA;PPA2;RPL6;PABPC1;MRPS6;DDOST;RPS8;RPS20;RPS11;RPL37A;RPL9;MRPL21;MRPL3;EIF3M;RPL18;RPL27;EIF4B;OXA1L;RPL22;MRPS34;MRPL49;IARS1;MRPL1;EIF3H;RPL36A;DTD1;MRPL57;SSR1;MRPL18;MRPS18C;MRPS22;MRPS16;MRPS35;RPS3A;GADD45GIP1;QARS1;RPL7;MRPL20;MRPL19;NARS1;EIF3A;EIF3G;APEH;RPL22L1;FARS2;RPL23;SSR3;VARS1;RPL29;MRPL35;MTIF3;MRPS5;MRPL45;RPL28;RPS27L;EEF1B2;MRPL9;SEC61A2;MRPS23;SRPRA;RPL36;WARS1;MRPL24;RPS9;MRPL15;RPN2;MRPS15;RPS27;TRMT112;SEC61B;EIF4G1;GSPT1;MRPS26;MRPS2;RPS10;RPS15A"
