"gene","statistic","p.value","p_adj"
"NRGN",0.804369562650081,2.22438518140393e-44,4.15426176478998e-40
"PCSK1N",0.795611192028938,8.73357966176084e-43,8.15541668815227e-39
"IDS",0.792458458537268,3.13366277605466e-42,1.95080953351989e-38
"CLU",0.791609914839455,4.40300125961293e-42,2.05576128811328e-38
"SPARCL1",0.772228127036614,6.93198522569643e-39,2.58923512150213e-35
"DKK3",0.762953631898245,1.82445811025384e-37,5.67892994451678e-34
"RAB6B",0.753953819977518,3.78869650508151e-36,1.01082422755575e-32
"SLC1A3",0.752652136449326,5.81196286266904e-36,1.35680273029009e-32
"FBXL16",0.749756590428952,1.49137718044652e-35,3.09477335800213e-32
"ALDOA",0.739712282451329,3.55527280870496e-34,6.63982749753738e-31
"OLFM1",0.734906200929899,1.5403867456634e-33,2.61529662381906e-30
"PRKAR1B",0.734278103636054,1.86132622520549e-33,2.89684404849481e-30
"ATP1A2",0.732278339828629,3.38815790077696e-33,4.86747976576234e-30
"CPE",0.72820008135522,1.1305902640546e-32,1.50820741224883e-29
"ITM2C",0.726240557764393,2.00169633795474e-32,2.49224538717618e-29
"CST3",0.72589064283746,2.21551311531701e-32,2.58605768385378e-29
"TSPAN7",0.725404261089023,2.55051012290046e-32,2.801960415017e-29
"STXBP1",0.722629435718441,5.6625338482407e-32,5.87519345276352e-29
"CALM1",0.719670905011219,1.31134819122443e-31,1.28898625364776e-28
"STMN3",0.718517935326974,1.81376361527851e-31,1.69369246394707e-28
"SNCB",0.7179843150634,2.10638148055325e-31,1.87327526337203e-28
"DLG4",0.71675086494596,2.9724142815753e-31,2.52330950557729e-28
"PLD3",0.713836073604605,6.65922375507501e-31,5.4072896891209e-28
"MAPT",0.713220223333202,7.88643008901481e-31,6.13695701426836e-28
"SPTAN1",0.707546352792977,3.66990291450301e-30,2.74156427325033e-27
"ALDOC",0.705565834306534,6.22298524501839e-30,4.47001817061398e-27
"CAMK2A",0.700436081477691,2.39472489593717e-29,1.65644007987121e-26
"SNAP25",0.699297108390522,3.21747949702894e-29,2.14605882451831e-26
"PHACTR1",0.697246606918693,5.45640477087419e-29,3.51392467244298e-26
"PACSIN1",0.693952157881615,1.26307845820082e-28,7.86308442845284e-26
"GRIN1",0.692715208614905,1.72596362002489e-28,1.03980956669628e-25
"SEPTIN5",0.692269067083065,1.93095672196819e-28,1.12695461685868e-25
"NCS1",0.691487007221369,2.34962821842646e-28,1.32974716991917e-25
"TLE5",0.691282306989113,2.47321606432157e-28,1.35852303580205e-25
"UCHL1",0.685415983239075,1.05560171026554e-27,5.6326907259769e-25
"CHGA",0.682667401488013,2.05926633546953e-27,1.06830161336747e-24
"ATP1B2",0.679990552296973,3.92020026508175e-27,1.97874757163964e-24
"MAP1A",0.678277718729634,5.89739482499894e-27,2.89841436188632e-24
"SEPTIN3",0.675896547651852,1.03568486998696e-26,4.95960272612216e-24
"CKB",0.674117230248396,1.57213023284285e-26,7.34027605714325e-24
"GNB1",0.672945015243169,2.06639715116601e-26,9.41269102321374e-24
"PI4KA",0.67259684989087,2.24064042637454e-26,9.96338109594546e-24
"ATP2A2",0.669148438285942,4.96628797062742e-26,2.15698591021948e-23
"YWHAG",0.666016699689888,1.01382310069144e-25,4.30321823375302e-23
