"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"Eukaryotic Translation Elongation R-HSA-156842",5.19687875485085e-27,3.03237875345547e-24,1.34992572002205,0.777337920930144,2.98160341283487,87,"RPS28;RPL6;EEF1G;RPS24;RPL39;RPL7A;RPS9;RPS27;RPL27A;RPL8;RPS3;RPL29;RPS14;RPL37;RPL34;RPL7;RPS2;RPL12;RPL14;RPL18;RPL18A;RPS7;RPS19;RPSA;RPL32;RPL26;RPL31;RPS23;RPS8;RPS11;RPS13;RPS5;RPL5;RPL36A;RPL4;EEF1D;EEF1B2;RPS3A;RPL22;RPS15A;RPL30;RPL21;RPS20;RPL28;RPLP1;RPL37A;RPL9;RPS17;RPLP0;RPS4X;RPLP2;RPL38;FAU;RPL41;RPS27A;RPL35;RPS10;RPL15;RPL19;RPL35A;RPL10A;RPS12;RPL11;RPS6"
"Response Of EIF2AK4 (GCN2) To Amino Acid Deficiency R-HSA-9633012",4.27895473007361e-27,3.03237875345547e-24,1.34992572002205,0.755499638385467,2.92367159711172,97,"RPS28;DDIT3;RPL6;RPS24;RPL39;RPL7A;RPS9;RPS27;RPL27A;RPL8;RPS3;RPL29;RPS14;RPL37;RPL34;RPL7;RPS2;RPL12;RPL14;RPL18;RPL18A;RPS7;RPS19;RPSA;RPL32;RPL26;RPL31;RPS23;RPS8;RPS11;RPS13;RPS5;RPL5;RPL36A;RPL4;RPS3A;RPL22;RPS15A;RPL30;RPL21;RPS20;RPL28;RPLP1;CEBPB;RPL37A;RPL9;RPS17;RPLP0;RPS4X;RPLP2;RPL38;FAU;RPL41;RPS27A;RPL35;RPS10;RPL15;EIF2S3;RPL19;RPL35A;RPL10A;ATF3;RPS12;RPL11;RPS6;CEBPG"
"Eukaryotic Translation Termination R-HSA-72764",1.11090955303164e-26,4.32143816129309e-24,1.34223377296446,0.772109510411853,2.98039772562623,89,"RPS28;RPL6;RPS24;RPL39;RPL7A;RPS9;RPS27;RPL27A;RPL8;RPS3;RPL29;RPS14;RPL37;RPL34;RPL7;RPS2;RPL12;RPL14;RPL18;RPL18A;RPS7;RPS19;RPSA;RPL32;RPL26;RPL31;RPS23;RPS8;RPS11;RPS13;RPS5;RPL5;RPL36A;RPL4;RPS3A;RPL22;RPS15A;RPL30;RPL21;RPS20;RPL28;RPLP1;RPL37A;RPL9;RPS17;RPLP0;RPS4X;RPLP2;RPL38;FAU;RPL41;RPS27A;RPL35;RPS10;RPL15;ETF1;RPL19;RPL35A;RPL10A;RPS12;RPL11;RPS6"
"Nonsense Mediated Decay (NMD) Independent Of Exon Junction Complex (EJC) R-HSA-975956",1.57049268506302e-26,4.58191240867136e-24,1.33449749081658,0.764346122480205,2.95354718402147,91,"RPS28;RPL6;RPS24;RPL39;RPL7A;RPS9;RPS27;RPL27A;RPL8;RPS3;RPL29;RPS14;RPL37;RPL34;RPL7;PABPC1;RPS2;RPL12;RPL14;RPL18;RPL18A;RPS7;RPS19;RPSA;RPL32;RPL26;RPL31;RPS23;RPS8;RPS11;RPS13;RPS5;RPL5;RPL36A;RPL4;RPS3A;RPL22;RPS15A;RPL30;RPL21;RPS20;RPL28;RPLP1;RPL37A;RPL9;RPS17;RPLP0;RPS4X;RPLP2;RPL38;FAU;RPL41;RPS27A;RPL35;RPS10;RPL15;ETF1;RPL19;RPL35A;RPL10A;RPS12;RPL11;RPS6"
"Peptide Chain Elongation R-HSA-156902",2.54521901374554e-26,5.9405411780821e-24,1.33449749081658,0.780869104702553,2.97634624225082,83,"RPS28;RPL6;RPS24;RPL39;RPL7A;RPS9;RPS27;RPL27A;RPL8;RPS3;RPL29;RPS14;RPL37;RPL34;RPL7;RPS2;RPL12;RPL14;RPL18;RPL18A;RPS7;RPS19;RPSA;RPL32;RPL26;RPL31;RPS23;RPS8;RPS11;RPS13;RPS5;RPL5;RPL36A;RPL4;RPS3A;RPL22;RPS15A;RPL30;RPL21;RPS20;RPL28;RPLP1;RPL37A;RPL9;RPS17;RPLP0;RPS4X;RPLP2;RPL38;FAU;RPL41;RPS27A;RPL35;RPS10;RPL15;RPL19;RPL35A;RPL10A;RPS12;RPL11;RPS6"
"Selenoamino Acid Metabolism R-HSA-2408522",3.51458462878336e-26,6.83586710298363e-24,1.32671609800481,0.719345545485955,2.83860114819408,112,"RPS28;RPL6;RPS24;RPL39;RPL7A;RPS9;RPS27;RPL27A;RPL8;RPS3;RPL29;RPS14;RPL37;RPL34;RPL7;RPS2;RPL12;RPL14;RPL18;RPL18A;RPS7;RPS19;RPSA;RPL32;RPL26;RPL31;RPS23;RPS8;RPS11;RPS13;RPS5;RPL5;RPL36A;RPL4;RPS3A;RPL22;RPS15A;RPL30;RPL21;RPS20;RPL28;RPLP1;RPL37A;RPL9;RPS17;RPLP0;RPS4X;RPLP2;RPL38;FAU;RPL41;RPS27A;AIMP2;RPL35;RPS10;RPL15;NNMT;LARS1;RPL19;RPL35A;TXNRD1;RPL10A;RARS1;RPS12;RPL11;RPS6;HNMT;RPL13A;SECISBP2;VSIG2;RPS25;UBA52"
"Viral mRNA Translation R-HSA-192823",6.63211895138035e-26,1.10566897375155e-23,1.31888879607587,0.766437658234339,2.95850397208221,89,"RPS28;RPL6;RPS24;RPL39;RPL7A;RPS9;RPS27;RPL27A;RPL8;RPS3;RPL29;RPS14;RPL37;RPL34;RPL7;RPS2;RPL12;RPL14;RPL18;RPL18A;RPS7;RPS19;RPSA;RPL32;RPL26;RPL31;RPS23;RPS8;RPS11;RPS13;RPS5;RPL5;RPL36A;RPL4;RPS3A;RPL22;RPS15A;RPL30;RPL21;RPS20;RPL28;RPLP1;RPL37A;RPL9;RPS17;RPLP0;RPS4X;RPLP2;RPL38;FAU;RPL41;RPS27A;RPL35;RPS10;RPL15;RPL19;RPL35A;RPL10A;RPS12;RPL11;RPS6"
"Influenza Viral RNA Transcription And Replication R-HSA-168273",8.69020695840935e-26,1.26768394005796e-23,1.31888879607587,0.687002497643812,2.7816205740185,135,"RPS28;RPL6;RPS24;RPL39;RPL7A;RPS9;RPS27;RPL27A;RPL8;RPS3;RPL29;RPS14;RPL37;RPL34;RPL7;RPS2;RPL12;RPL14;RPL18;RPL18A;RPS7;RPS19;RPSA;RPL32;RPL26;RPL31;RPS23;RPS8;RPS11;RPS13;NUP37;RPS5;RPL5;RPL36A;RPL4;RPS3A;RPL22;RPS15A;RPL30;GTF2F2;RPL21;RPS20;RPL28;RPLP1;RPL37A;RPL9;NUP85;RPS17;RPLP0;NUP93;RPS4X;RPLP2;GTF2F1;NUP214;RPL38;FAU;RPL41;RPS27A;RPL35;RPS10;RPL15;RNASE7;RPL19;RPL35A;RPL10A;RPS12;RPL11;NUP210;RPS6"
"Selenocysteine Synthesis R-HSA-2408557",3.42945182466479e-24,4.44685586598201e-22,1.27091304449619,0.753705389524168,2.90935650764337,89,"RPS28;RPL6;RPS24;RPL39;RPL7A;RPS9;RPS27;RPL27A;RPL8;RPS3;RPL29;RPS14;RPL37;RPL34;RPL7;RPS2;RPL12;RPL14;RPL18;RPL18A;RPS7;RPS19;RPSA;RPL32;RPL26;RPL31;RPS23;RPS8;RPS11;RPS13;RPS5;RPL5;RPL36A;RPL4;RPS3A;RPL22;RPS15A;RPL30;RPL21;RPS20;RPL28;RPLP1;RPL37A;RPL9;RPS17;RPLP0;RPS4X;RPLP2;RPL38;FAU;RPL41;RPS27A;RPL35;RPS10;RPL15;RPL19;RPL35A;RPL10A;RPS12;RPL11;RPS6"
"Influenza Infection R-HSA-168255",7.69544662251163e-24,8.16416928042825e-22,1.26273988547916,0.649279518858552,2.6601002743308,155,"RPS28;HSPA1A;RPL6;RPS24;RPL39;RPL7A;RPS9;RPS27;RPL27A;RPL8;RPS3;RPL29;RPS14;RPL37;RPL34;RPL7;RPS2;RPL12;RPL14;RPL18;RPL18A;RPS7;RPS19;RPSA;RPL32;RPL26;RPL31;RPS23;RPS8;RPS11;RPS13;NUP37;RPS5;RPL5;RPL36A;RPL4;RPS3A;RPL22;RPS15A;RPL30;GTF2F2;RPL21;RPS20;RPL28;RPLP1;RPL37A;RPL9;NUP85;RPS17;RPLP0;NUP93;RPS4X;RPLP2;GTF2F1;NUP214;RPL38;FAU;RPL41;RPS27A;RPL35;RPS10;RPL15;TGFB1;RNASE7;ISG15;RPL19;RPL35A;RPL10A;RPS12;RPL11;NUP210;RPS6"
