"gene","statistic","p.value","p_adj"
"MYL9",0.505689179318278,9.93376755686291e-14,1.85523042891972e-09
"VIM",0.498083778381381,2.63049012245932e-13,2.45635167635251e-09
"EPAS1",0.493433409002436,4.71547442768141e-13,2.9355400137126e-09
"IFITM3",0.48639836939644,1.12148631454103e-12,5.23621960259208e-09
"SERPINH1",0.474672720194903,4.55156294894955e-12,1.70009979269164e-08
"VWF",0.467231779273664,1.0774523213497e-11,3.35374992558785e-08
"HLA-E",0.460201988391572,2.38650003185226e-11,6.20447968705232e-08
"A2M",0.459237972767871,2.65773385609438e-11,6.20447968705232e-08
"TIMP3",0.457421914297086,3.25226198655298e-11,6.74880498454038e-08
"TAGLN2",0.446487072830418,1.06981653963281e-10,1.99798936941824e-07
"FLNA",0.444784736710887,1.28285268435105e-10,2.17805061208548e-07
"FN1",0.437083109169083,2.88126292530012e-10,4.48420553274209e-07
"IGFBP7",0.41892252446124,1.79521141835002e-09,2.57902834223884e-06
"MYH9",0.416303411233144,2.31665323615838e-09,3.09041541703528e-06
"IFITM1",0.414847765137101,2.66686531674855e-09,3.32042511037306e-06
"SRGN",0.409487068456481,4.4530594872702e-09,5.19783368651615e-06
"PECAM1",0.404964418025867,6.81519534174493e-09,7.39346543843683e-06
"B2M",0.404486784150603,7.12585017626166e-09,7.39346543843683e-06
"FOSL2",0.399670205181365,1.11264104375552e-08,1.09366758595674e-05
"LAMB2",0.395782650343135,1.58604398392713e-08,1.38448016300359e-05
"CD151",0.395661929693343,1.60348351261946e-08,1.38448016300359e-05
"HSPB1",0.395474725207434,1.63089331688151e-08,1.38448016300359e-05
"BGN",0.394243024664628,1.82281825065314e-08,1.48012841953035e-05
"ANXA1",0.381518368346696,5.6039373613862e-08,4.36079725671869e-05
"MYL6",0.379961246921842,6.40868176893539e-08,4.7875416286655e-05
"IFI27",0.378360386131122,7.3513108253831e-08,5.28050311441749e-05
"ACTA2",0.377597571590407,7.84603151613255e-08,5.42712905908487e-05
"ADIRF",0.37001841427303,1.48517236790979e-07,9.90609969395827e-05
"RPS28",0.368842700118534,1.63732431195625e-07,0.000105443685689982
"ADAMTS1",0.364902658041264,2.26391808956722e-07,0.000140936447469192
"TLN1",0.364428523315269,2.35325449815815e-07,0.000141772196798715
"CEBPD",0.362986873816303,2.64612091190557e-07,0.000154434231721089
"TAGLN",0.348097993675288,8.59590686073202e-07,0.00047216810744421
"TGM2",0.346262689883522,9.89854835067934e-07,0.00052818653999225
"COL4A2",0.344775551444055,1.10902596966075e-06,0.000575338028038451
"LRRC32",0.340553827850604,1.52656479182454e-06,0.000770543893300409
"SIK1",0.339974718646529,1.59438400037973e-06,0.000783597778712941
"IGFBP4",0.336842980050475,2.01382965458107e-06,0.000964366221255283
"ICAM2",0.335564040992534,2.21373927625984e-06,0.00103359486808572
"TDG",0.333947434030101,2.49355935642103e-06,0.00113584669611022
"CLDN5",0.33169748104992,2.93953474423092e-06,0.00130711311626802
"ID1",0.33096265970336,3.1009476420544e-06,0.00134682088751181
"ID3",0.329788695123498,3.37644767441678e-06,0.00143314856289563
"GPR4",0.328560493729962,3.68952044602146e-06,0.00153123297444215
"HLA-C",0.325666697284223,4.53989394912057e-06,0.00183072329913048
"TGFB1I1",0.325460247477332,4.60719613724205e-06,0.00183072329913048
"COL4A1",0.322319761008105,5.7554604279986e-06,0.00223935372819379
"SLC2A1",0.320970838964777,6.32791320101014e-06,0.00241183891718501
"CLEC3B",0.318045550175614,7.76044114934509e-06,0.00289867997810338
"BCAM",0.317155016686568,8.25434697606806e-06,0.00302270949264798
"FLAD1",0.316649389617149,8.54789320334682e-06,0.00307000872049433
"PDGFRB",0.315650382500754,9.15721409592175e-06,0.0031539722614969
"RAB13",0.315433435246056,9.29486946155179e-06,0.0031539722614969
"MKNK2",0.31540894120117,9.31053382120373e-06,0.0031539722614969
"TPM2",0.315181496498664,9.45718819039551e-06,0.0031539722614969
"C11orf96",0.314763348160978,9.73253596495136e-06,0.00318885687160406
"HLA-B",0.314479917070162,9.9234743605234e-06,0.00319535874408853
"LIMS2",0.314212232151058,1.0107059500361e-05,0.00319931259709733
"TXNIP",0.313089005235602,1.09130595811151e-05,0.00339687167894841
"RPH3AL",0.311087491853543,1.25022963287908e-05,0.00382775223338519
"KLF2",0.309645842354578,1.37801343983855e-05,0.00415093209716529
"BST2",0.308158703915111,1.5227193212083e-05,0.00451401683220417
"MGP",0.307406386822204,1.60128674318462e-05,0.00467275487745562
"POPDC2",0.305434616208934,1.82579252728029e-05,0.00524592326761335
