"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"Translation Initiation Complex Formation R-HSA-72649",8.68812978964858e-26,9.09647188976206e-23,1.31888879607587,-0.706963869454278,-5.09925784342457,57,"RPS12;RPS6;RPS16;RPS3;EIF3A;FAU;EIF4A1;EIF4H;RPS9;RPS17;RPS20;RPS29;EIF4B;EIF1AX;EIF3K;RPS13;RPS7;PABPC1;RPS19;RPS14;RPS27A;RPS2;EIF3J;RPS23;RPS25;RPS15;RPS8;EIF3C;RPS27;EIF3G;EIF3F;RPS4X;EIF3B;EIF4G1;EIF3H;RPS3A"
"Ribosomal Scanning And Start Codon Recognition R-HSA-72702",4.1968549512307e-25,1.46470237797952e-22,1.29512308741004,-0.695292963640492,-5.0150767974303,57,"RPS12;RPS6;RPS16;RPS3;EIF3A;FAU;EIF4A1;EIF4H;RPS9;RPS17;RPS20;RPS29;EIF4B;EIF1AX;EIF3K;RPS13;RPS7;RPS19;RPS14;RPS27A;RPS2;EIF3J;RPS23;RPS25;RPS15;RPS8;EIF3C;RPS27;EIF3G;EIF3F;RPS4X;EIF3B;EIF4G1;EIF3H;RPS3A"
"mRNA Activation Upon Binding Of Cap-Binding Complex And eIFs, Subsequent Binding To 43S R-HSA-72662",3.31005422827353e-25,1.46470237797952e-22,1.30309315086572,-0.689868084232479,-4.93499518038381,58,"RPS12;RPS6;RPS16;RPS3;EIF3A;FAU;EIF4A1;EIF4H;RPS9;RPS17;RPS20;RPS29;EIF4B;EIF1AX;EIF3K;RPS13;RPS7;PABPC1;RPS19;RPS14;RPS27A;RPS2;EIF3J;RPS23;RPS25;RPS15;RPS8;EIF3C;RPS27;EIF3G;EIF3F;RPS4X;EIF3B;EIF4G1;EIF3H;RPS3A"
"Formation Of Ternary Complex, And Subsequently, 43S Complex R-HSA-72695",7.26667630446287e-22,1.90205252269316e-19,1.21254456769062,-0.694572796887662,-4.95028220329462,50,"RPS12;RPS6;RPS16;RPS3;EIF3A;FAU;RPS9;RPS17;RPS20;RPS29;EIF1AX;EIF3K;RPS13;RPS7;RPS19;RPS14;RPS27A;RPS2;EIF3J;RPS23;RPS25;RPS15;RPS8;EIF3C;RPS27;EIF3G;EIF3F;RPS4X;EIF3B;EIF3H;RPS3A"
"SARS-CoV-2 Modulates Host Translation Machinery R-HSA-9754678",7.76005189974837e-14,1.62495486780731e-11,0.954541630725724,-0.583470675545279,-3.96044620387488,47,"RPS12;RPS6;SNRPD3;RPS16;RPS3;FAU;RPS9;RPS17;RPS20;RPS29;RPS13;RPS7;RPS19;RPS14;RPS27A;RPS2;RPS23;RPS25;RPS15;RPS8;RPS27;SNRPG;RPS4X;SMN1"
"Complex I Biogenesis R-HSA-6799198",1.63642935024437e-10,2.85556921617643e-08,0.826657301178302,-0.459003612002583,-3.12380792547859,51,"TMEM126B;NDUFV2;NDUFA1;ACAD9;NDUFB6;NDUFB2;NDUFB8;NDUFV1;NDUFA13;NDUFS5;NDUFA12;NDUFS4;NDUFS2;NDUFA10;NDUFAB1;NDUFAF3;NDUFA3;NDUFB4;NDUFS6;NDUFA2;NDUFB7"
"Formation Of ATP By Chemiosmotic Coupling R-HSA-163210",3.92484819615819e-09,5.87045151625375e-07,0.761460801445585,-0.78716098164761,-3.44003006338828,16,"ATP5MC2;ATP5F1A;ATP5MC1;ATP5F1B;ATP5MC3;ATP5ME;ATP5F1D;ATP5PO;ATP5PB;ATP5F1C;ATP5MG;ATP5PF"
"Prefoldin Mediated Transfer Of Substrate To CCT/TriC R-HSA-389957",9.3327630139172e-08,1.22142535944641e-05,0.704975715167238,-0.567230771137919,-3.13251911496238,26,"TUBB4A;TUBA1C;TUBB4B;VBP1;PFDN2;TUBB2B;PFDN5;TUBA3D;PFDN1"
"Cristae Formation R-HSA-8949613",7.12699983163712e-07,8.29107647080452e-05,0.659444398037935,-0.497100717623279,-2.87466995979472,29,"ATP5MC2;ATP5F1A;ATP5MC1;ATP5F1B;ATP5MC3;ATP5ME;ATP5F1D;ATP5PO;ATP5PB;ATP5F1C;ATP5MG;ATP5PF;HSPA9"
"Cooperation Of Prefoldin And TriC/CCT In Actin And Tubulin Folding R-HSA-389958",1.30023457819563e-06,0.000136134560337083,0.643551836150722,-0.477947739120134,-2.74457984926985,30,"TUBB4A;TUBA1C;TUBB4B;VBP1;PFDN2;TUBB2B;PFDN5;TUBA3D;PFDN1"
