"gene","statistic","p.value","p_adj"
"FBXL16",0.607754114780844,1.43176131322511e-20,2.17646414949469e-16
"DIRAS2",0.605075516015169,2.33076049421149e-20,2.17646414949469e-16
"RAB6B",0.592385851189929,2.2055602860694e-19,1.37303479675441e-15
"NCS1",0.573203514895441,5.49492136145256e-18,2.5655787836622e-14
"BSCL2",0.565818560362512,1.79338165374005e-17,6.69863915304985e-14
"CAMK2A",0.562093715965306,3.22073423135838e-17,1.00250720841415e-13
"FXYD7",0.554801488888014,9.92295950687527e-17,2.64744559643432e-13
"IDS",0.551982924151566,1.5217721269806e-16,3.5525770304362e-13
"ENC1",0.547217082846733,3.1074982164838e-16,6.44840407678349e-13
"NRGN",0.545854164206327,3.80346661499685e-16,7.10335425016811e-13
"DLG4",0.540656177966732,8.15252370202131e-16,1.38415029689954e-12
"PRKAR1B",0.537228761257419,1.3381887418734e-15,2.08266774526896e-12
"DMTN",0.535839598997494,1.63326724844217e-15,2.237921764021e-12
"ATRNL1",0.534530917170763,1.96888706602155e-15,2.45139565633456e-12
"NCDN",0.529768575015199,3.86043654455872e-15,4.50609455663617e-12
"SNCB",0.52516894330066,7.32385151131929e-15,8.04589710737641e-12
"KCNAB2",0.523989729996894,8.61712410172885e-15,8.94074498466045e-12
"SHANK1",0.523566332935305,9.13382803785674e-15,8.97807223342171e-12
"OLFM1",0.516130640737971,2.50683832803368e-14,2.34088563071785e-11
"LMO3",0.513081132149746,3.76605942057927e-14,3.26306656971819e-11
"SEPTIN3",0.512927169581895,3.84383511104092e-14,3.26306656971819e-11
"PSD",0.511793445218631,4.46682201121052e-14,3.62705947310294e-11
"NEFL",0.510332550398684,5.41629415636364e-14,4.21477956934364e-11
"RGS4",0.507897142507228,7.45344485526602e-14,5.44885536961938e-11
"PLEKHG5",0.507762425260359,7.58568427982994e-14,5.44885536961938e-11
"CAMK2B",0.507451000975388,7.90019748075071e-14,5.46459585742594e-11
"RTN1",0.50607233616327,9.45211039007564e-14,6.30455763018045e-11
"AMPH",0.503435727188827,1.32898016562026e-13,8.27334452437465e-11
"KIF5A",0.502363237937776,1.52529265105877e-13,9.18915017779793e-11
"AGAP2",0.501339736776496,1.73884230630958e-13,1.01483184101993e-10
"PHACTR1",0.500060797718555,2.04693293147182e-13,1.15843998267175e-10
"CHGA",0.496733106763418,3.11929425664332e-13,1.71340998638443e-10
"PACSIN1",0.495867067319258,3.47813425521637e-13,1.85593243858345e-10
