"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"Cap-dependent Translation Initiation R-HSA-72737",1e-50,6.86470588235294e-49,NA,-0.819844741125277,-4.72747550707201,115,"RPL31;RPL37A;RPS24;RPL38;RPL26;RPS8;RPS11;RPL7A;RPL14;RPS14;RPS3A;RPS20;RPS21;RPL41;RPSA;RPS12;RPS15;RPL32;RPS28;RPL34;RPL15;RPL5;RPS4X;RPL6;RPL27A;RPL21;RPL9;RPS27;RPL4;RPS23;RPS9;FAU;RPL35;RPL28;RPL22;RPS25;RPL35A;RPL19;RPS2;RPL7;RPL37;RPL30;RPL18A;RPS10;EIF4H;RPL39;RPL29;RPS17;RPL18;RPS27A;RPL10A;EIF4A2;RPL36A;RPS5;RPS29;EIF3K;RPS19;EIF3C;RPS3;EIF4B;RPS7;RPS6;EIF3L;PABPC1;RPS13;RPS15A;UBA52;RPL12;RPLP1;RPL23;EIF5;RPLP2"
"Cellular Response To Starvation R-HSA-9711097",1e-50,6.86470588235294e-49,NA,-0.737299995597229,-4.45026527414954,151,"RPL31;RPL37A;RPS24;RPL38;RPL26;RPS8;RPS11;RPL7A;RPL14;RPS14;RPS3A;RPS20;RPS21;RPL41;RPSA;RPS12;RPS15;RPL32;RPS28;RPL34;RPL15;RPL5;RPS4X;RPL6;RPL27A;RPL21;RPL9;RPS27;RPL4;RPS23;RPS9;FAU;RPL35;RPL28;RPL22;RPS25;RPL35A;RPL19;RPS2;RPL7;RPL37;RPL30;RPL18A;RPS10;RPL39;RPL29;RPS17;RPL18;RPS27A;RPL10A;RPL36A;RPS5;RPS29;RPS19;RPS3;RPS7;RPS6;RPS13;ATP6V0C;RPS15A;ATF4;UBA52;RPL12;RPLP1;RPL23;RHEB;ATP6V1F;RPLP2;ATP6V1H;SESN2;ATP6V0E2;RPLP0;ATP6V1B2;RPS16;ATP6V1A;RRAGA;RPL36;ATP6V0D1;ATP6V1E1;RPL27;ATP6V1G1"
"Eukaryotic Translation Elongation R-HSA-156842",1e-50,6.86470588235294e-49,NA,-0.87889638945854,-4.80623035875171,87,"RPL31;RPL37A;RPS24;RPL38;RPL26;RPS8;RPS11;RPL7A;RPL14;RPS14;RPS3A;RPS20;RPS21;RPL41;RPSA;RPS12;RPS15;RPL32;RPS28;RPL34;RPL15;RPL5;RPS4X;RPL6;RPL27A;RPL21;RPL9;RPS27;RPL4;RPS23;RPS9;FAU;RPL35;RPL28;RPL22;RPS25;RPL35A;RPL19;RPS2;RPL7;RPL37;RPL30;RPL18A;RPS10;EEF1G;RPL39;RPL29;RPS17;RPL18;RPS27A;RPL10A;RPL36A;EEF1D;RPS5;RPS29;RPS19;RPS3;RPS7;RPS6;RPS13;RPS15A;EEF1B2;UBA52;RPL12;RPLP1;RPL23"
"Eukaryotic Translation Termination R-HSA-72764",1e-50,6.86470588235294e-49,NA,-0.857134506909685,-4.69602865367057,89,"RPL31;RPL37A;RPS24;RPL38;RPL26;RPS8;RPS11;RPL7A;RPL14;RPS14;RPS3A;RPS20;RPS21;RPL41;RPSA;RPS12;RPS15;RPL32;RPS28;RPL34;RPL15;RPL5;RPS4X;RPL6;RPL27A;RPL21;RPL9;RPS27;RPL4;RPS23;RPS9;FAU;RPL35;RPL28;RPL22;RPS25;RPL35A;RPL19;RPS2;RPL7;RPL37;RPL30;RPL18A;RPS10;RPL39;RPL29;RPS17;RPL18;RPS27A;RPL10A;RPL36A;RPS5;RPS29;RPS19;RPS3;RPS7;RPS6;RPS13;RPS15A;UBA52;RPL12;RPLP1;RPL23"
"Formation Of A Pool Of Free 40S Subunits R-HSA-72689",1e-50,6.86470588235294e-49,NA,-0.848685241158432,-4.67581792361196,97,"RPL31;RPL37A;RPS24;RPL38;RPL26;RPS8;RPS11;RPL7A;RPL14;RPS14;RPS3A;RPS20;RPS21;RPL41;RPSA;RPS12;RPS15;RPL32;RPS28;RPL34;RPL15;RPL5;RPS4X;RPL6;RPL27A;RPL21;RPL9;RPS27;RPL4;RPS23;RPS9;FAU;RPL35;RPL28;RPL22;RPS25;RPL35A;RPL19;RPS2;RPL7;RPL37;RPL30;RPL18A;RPS10;RPL39;RPL29;RPS17;RPL18;RPS27A;RPL10A;RPL36A;RPS5;RPS29;EIF3K;RPS19;EIF3C;RPS3;RPS7;RPS6;EIF3L;RPS13;RPS15A;UBA52;RPL12;RPLP1;RPL23"
"GTP Hydrolysis And Joining Of 60S Ribosomal Subunit R-HSA-72706",1e-50,6.86470588235294e-49,NA,-0.832174184856896,-4.81940013548645,108,"RPL31;RPL37A;RPS24;RPL38;RPL26;RPS8;RPS11;RPL7A;RPL14;RPS14;RPS3A;RPS20;RPS21;RPL41;RPSA;RPS12;RPS15;RPL32;RPS28;RPL34;RPL15;RPL5;RPS4X;RPL6;RPL27A;RPL21;RPL9;RPS27;RPL4;RPS23;RPS9;FAU;RPL35;RPL28;RPL22;RPS25;RPL35A;RPL19;RPS2;RPL7;RPL37;RPL30;RPL18A;RPS10;EIF4H;RPL39;RPL29;RPS17;RPL18;RPS27A;RPL10A;EIF4A2;RPL36A;RPS5;RPS29;EIF3K;RPS19;EIF3C;RPS3;EIF4B;RPS7;RPS6;EIF3L;RPS13;RPS15A;UBA52;RPL12;RPLP1;RPL23;EIF5;RPLP2"
"Influenza Infection R-HSA-168255",1e-50,6.86470588235294e-49,NA,-0.739706615717824,-4.48621023788453,155,"RPL31;RPL37A;RPS24;RPL38;RPL26;RPS8;RPS11;RPL7A;RPL14;RPS14;RPS3A;RPS20;RPS21;RPL41;RPSA;RPS12;RPS15;RPL32;RPS28;RPL34;RPL15;RPL5;RPS4X;RPL6;RPL27A;RPL21;RPL9;RPS27;RPL4;RPS23;RPS9;FAU;RPL35;RPL28;RPL22;RPS25;RPL35A;RPL19;RPS2;HSP90AA1;RPL7;RPL37;RPL30;RPL18A;RPS10;RPL39;RPL29;RPS17;RPL18;CANX;RPS27A;RPL10A;RPL36A;RPS5;RPS29;RPS19;RPS3;RPS7;RPS6;RPS13;RANBP2;RPS15A;CLTA;UBA52;POLR2I;RPL12;RPLP1;RPL23;CLTC;RPLP2;POLR2E;RAN;RPLP0;POM121C;SLC25A6;CALR;RPS16;POLR2A"
"Influenza Viral RNA Transcription And Replication R-HSA-168273",1e-50,6.86470588235294e-49,NA,-0.760377506398591,-4.49239930065288,135,"RPL31;RPL37A;RPS24;RPL38;RPL26;RPS8;RPS11;RPL7A;RPL14;RPS14;RPS3A;RPS20;RPS21;RPL41;RPSA;RPS12;RPS15;RPL32;RPS28;RPL34;RPL15;RPL5;RPS4X;RPL6;RPL27A;RPL21;RPL9;RPS27;RPL4;RPS23;RPS9;FAU;RPL35;RPL28;RPL22;RPS25;RPL35A;RPL19;RPS2;HSP90AA1;RPL7;RPL37;RPL30;RPL18A;RPS10;RPL39;RPL29;RPS17;RPL18;RPS27A;RPL10A;RPL36A;RPS5;RPS29;RPS19;RPS3;RPS7;RPS6;RPS13;RANBP2;RPS15A;UBA52;POLR2I;RPL12;RPLP1;RPL23;RPLP2;POLR2E;RPLP0;POM121C;RPS16;POLR2A"
"L13a-mediated Translational Silencing Of Ceruloplasmin Expression R-HSA-156827",1e-50,6.86470588235294e-49,NA,-0.838371751393853,-4.80333802772172,107,"RPL31;RPL37A;RPS24;RPL38;RPL26;RPS8;RPS11;RPL7A;RPL14;RPS14;RPS3A;RPS20;RPS21;RPL41;RPSA;RPS12;RPS15;RPL32;RPS28;RPL34;RPL15;RPL5;RPS4X;RPL6;RPL27A;RPL21;RPL9;RPS27;RPL4;RPS23;RPS9;FAU;RPL35;RPL28;RPL22;RPS25;RPL35A;RPL19;RPS2;RPL7;RPL37;RPL30;RPL18A;RPS10;EIF4H;RPL39;RPL29;RPS17;RPL18;RPS27A;RPL10A;EIF4A2;RPL36A;RPS5;RPS29;EIF3K;RPS19;EIF3C;RPS3;EIF4B;RPS7;RPS6;EIF3L;PABPC1;RPS13;RPS15A;UBA52;RPL12;RPLP1;RPL23"
"Nonsense Mediated Decay (NMD) Enhanced By Exon Junction Complex (EJC) R-HSA-975957",1e-50,6.86470588235294e-49,NA,-0.820059125408595,-4.741030323578,111,"RPL31;RPL37A;RPS24;RPL38;RPL26;RPS8;RPS11;RPL7A;RPL14;RPS14;RPS3A;RPS20;RPS21;RPL41;RPSA;RPS12;RPS15;RPL32;RPS28;RPL34;RPL15;RPL5;RPS4X;RPL6;RPL27A;RPL21;RPL9;RPS27;RPL4;RPS23;RPS9;FAU;RPL35;RPL28;RPL22;RPS25;RPL35A;RPL19;RPS2;RPL7;RPL37;RPL30;RPL18A;RPS10;RPL39;RPL29;RPS17;RPL18;RPS27A;RPL10A;RPL36A;RPS5;RPS29;RPS19;RPS3;RPS7;RPS6;PABPC1;RPS13;RPS15A;CASC3;UBA52;RPL12;RPLP1;RPL23;RPLP2;RPLP0;RPS16;RBM8A;PPP2CA;RNPS1;RPL36"
