"gene","statistic","p.value","p_adj"
"MAPKBP1",0.568451670187686,1.18026812508583e-17,2.75533593801287e-15
"ANKRD2",0.525473369287092,7.02203585699971e-15,9.43478717016738e-13
"ADARB1",0.501316992306245,1.74390428765486e-13,1.95024889079294e-11
"KCNJ9",0.488933503042073,8.22606546725747e-13,7.91907209621136e-11
"DNAH5",0.468061077650496,9.79793380300638e-12,8.16902730825657e-10
"RAB40A",0.442456052872145,1.64194392289834e-10,1.06846497226653e-08
"ALG8",0.439814195173798,2.16758437934412e-10,1.38636321467914e-08
"POU5F2",0.438437279936315,2.50283039354591e-10,1.57584353347479e-08
"APEX2",0.436264308240059,3.13637277630057e-10,1.920488458039e-08
"CATSPERB",0.431292017128336,5.22487214409775e-10,3.09776864010062e-08
"PSMG3",0.426918080541668,8.13023155455002e-10,4.61520378458286e-08
"HAMP",0.424277972417956,1.05849952562349e-09,5.88349319659054e-08
"ANKRD18B",0.421746337921593,1.36033456133827e-09,7.23806503349106e-08
"TSBP1",0.420161223302585,1.59003669050671e-09,8.36493668504321e-08
"GMNC",0.413451604578637,3.05048517863681e-09,1.52328505872249e-07
"INHBC",0.410144908519116,4.18355679865582e-09,2.05071146382405e-07
"FTHL17",0.406988675878177,5.63762905405499e-09,2.65879697508917e-07
"PTPN22",0.40571148639487,6.35533750234687e-09,2.96730707984575e-07
"RUFY4",0.405401811684534,6.54220414632818e-09,3.03935832429913e-07
"ABCC2",0.404262838597366,7.27616681498345e-09,3.33062969207429e-07
"SLC38A7",0.403071378271158,8.12875305700331e-09,3.66816194796957e-07
"ZNF280B",0.401125851277408,9.73184273700042e-09,4.33371442974233e-07
"HHLA1",0.401110105105696,9.74598447468291e-09,4.33371442974233e-07
"C10orf67",0.399972881593163,1.08214324143597e-08,4.74415661433292e-07
"KRT39",0.399719193271136,1.10764940161515e-08,4.81080470338709e-07
"GZMB",0.398156823122378,1.27798495530803e-08,5.46170412479012e-07
"UBASH3A",0.397353768365066,1.37509359668875e-08,5.80266649479831e-07
"SPINK8",0.397115826214751,1.40520659772402e-08,5.91072937366979e-07
"KCNMB1",0.396011844620277,1.55343562938102e-08,6.44710306984888e-07
"PPP1R3G",0.394592939591562,1.76618742123041e-08,7.20203412203037e-07
"PRR11",0.392356983208457,2.15947547569029e-08,8.71066176760082e-07
"DUSP29",0.392075301692276,2.21463263640045e-08,8.89472669191716e-07
"GGT5",0.391779623579017,2.27398899813787e-08,9.11352328953279e-07
"ABCC12",0.391709640593631,2.28826039723938e-08,9.15108162287853e-07
"NDNF",0.391191766501769,2.39658170543838e-08,9.52309785761002e-07
"SLC16A11",0.390259243221492,2.60420355937742e-08,1.02607817879605e-06
"TNMD",0.3898760863765,2.69443822581655e-08,1.05914443985825e-06
"PDCD1LG2",0.389541917621278,2.77558646461159e-08,1.08672647406889e-06
"GMPPB",0.389270733552905,2.84316382049927e-08,1.10657091711003e-06
"MOCS3",0.389267234403636,2.84404604954389e-08,1.10657091711003e-06
