"gene","statistic","p.value","p_adj"
"CLMP",0.441227851478609,1.86879833599262e-10,1.93898209572212e-07
"TRPC4",0.421686852384014,1.36834310059607e-09,7.9859924208538e-07
"MRPL44",0.416632331264461,2.24390910495037e-09,1.19734989840152e-06
"CASP3",0.415407629020194,2.5265053246598e-09,1.31069481787073e-06
"PLEKHA3",0.410433588333836,4.07032627557261e-09,1.85408325664864e-06
"FCGRT",0.405590765745078,6.42756309034766e-09,2.60959061468115e-06
"HSPB11",0.404551518412086,7.0829603372459e-09,2.76020171976848e-06
"RIDA",0.404301329239329,7.2501152760334e-09,2.76020171976848e-06
"POU2F1",0.404096629007073,7.38970261235938e-09,2.76020171976848e-06
"ZNF33A",0.401794188787851,9.14951227890609e-09,3.28608252540096e-06
"SOBP",0.399434012605685,1.13701377521135e-08,4.00657910676363e-06
"SCAND1",0.397567216470496,1.34861035711586e-08,4.54441154751257e-06
"OSR2",0.397259291334794,1.38697503859615e-08,4.54441154751257e-06
"NIM1K",0.396590953824351,1.47389567173624e-08,4.66550433310951e-06
"C2orf50",0.395931364187082,1.56481161500362e-08,4.86976922656471e-06
"SCRT1",0.392545937269001,2.12321949780004e-08,6.19581989701775e-06
"ANO5",0.390638900917214,2.5176659686549e-08,7.12423176221197e-06
"H3C11",0.388159753659891,3.13691695941559e-08,8.74403897523068e-06
"FSD2",0.387104760155187,3.44275584453036e-08,9.45542766947779e-06
"BTN2A2",0.385687604701107,3.89902426240871e-08,1.04025967321064e-05
"CLEC7A",0.384931788458931,4.16560505184138e-08,1.09573014011535e-05
"HDAC3",0.384032507096712,4.50565372349235e-08,1.10673717992483e-05
"C1R",0.383981769432307,4.52561439485446e-08,1.10673717992483e-05
"SLC22A10",0.383910036872285,4.55397980823811e-08,1.10673717992483e-05
"TNFSF11",0.383887292402035,4.56300936250866e-08,1.10673717992483e-05
"ARV1",0.382548867806514,5.12577196819002e-08,1.21175844655591e-05
"TMEM207",0.380925262545544,5.89829068490579e-08,1.32718646784699e-05
"MS4A10",0.380599841663496,6.06605021329408e-08,1.34868516408905e-05
"CHD3",0.380080217996999,6.34347046968927e-08,1.39377240578726e-05
"SERHL2",0.379126699821106,6.88456900899841e-08,1.44467652597814e-05
"USH1C",0.378909752566407,7.01373408683137e-08,1.45542775339625e-05
"OR2T3",0.378600077856071,7.2021476256271e-08,1.47810229732101e-05
"UTP4",0.378421621243335,7.31292362016686e-08,1.48452349489387e-05
"ARSB",0.378283404847196,7.39984374591354e-08,1.48601593331915e-05
"CNGA3",0.376647552563783,8.50698556914471e-08,1.65496315093069e-05
"CNKSR1",0.376262646144156,8.78972301140104e-08,1.69233883464872e-05
"VPS16",0.376133177621191,8.88683781429231e-08,1.69357737775228e-05
"RTN4RL2",0.375730775455217,9.19530396917309e-08,1.71731496928277e-05
"ADGB",0.374623294711473,1.00982627910671e-07,1.85718253202299e-05
"KLHDC7A",0.3743521106431,1.03320108962074e-07,1.86417211045548e-05
"PLA2G4B",0.373842984424412,1.078495909757e-07,1.90018769911526e-05
"PPP1R27",0.373521062691633,1.10811317892453e-07,1.93412352613032e-05
"CD24",0.372716258359686,1.18561142539717e-07,2.03142008997408e-05
"CNTF",0.371799481251121,1.28023095584471e-07,2.15401741723926e-05
"CYP21A2",0.371538794630555,1.30843292017587e-07,2.18181189439326e-05
"C9orf64",0.370527540491718,1.42358071755972e-07,2.35281358240225e-05
"CD200R1L",0.369553027420208,1.54370264759645e-07,2.52896409179923e-05
"DEFB115",0.36870623329703,1.65592378828961e-07,2.68922023218233e-05
"TNFAIP8",0.368022149614875,1.75225494521839e-07,2.82113046180161e-05
"RNASE6",0.367780708315291,1.78751989201215e-07,2.85330953018965e-05
"DBR1",0.367220844432197,1.87193156928746e-07,2.93540564511411e-05
"SMG6",0.367210346984389,1.87355021899808e-07,2.93540564511411e-05
"SFXN4",0.366835938012571,1.93216764921825e-07,2.94504307696025e-05
"MRPS18C",0.366788699497435,1.93968704063894e-07,2.94504307696025e-05
"PFKFB2",0.366570002668101,1.97486617976865e-07,2.95060806186875e-05
"TBC1D32",0.365775695783963,2.10785363598665e-07,3.12036321281845e-05
"PCGF2",0.365609486193669,2.13674746373382e-07,3.12036321281845e-05
"TMEM31",0.365541252782917,2.14871873047162e-07,3.12036321281845e-05
"DUSP9",0.365350549147738,2.18251878765073e-07,3.12036321281845e-05
"MASP1",0.36534005169993,2.1843940637436e-07,3.12036321281845e-05
"FAM220A",0.365277067013082,2.19567819493258e-07,3.12036321281845e-05
"CHCHD6",0.365072366780826,2.23273877760668e-07,3.13013538944075e-05
"FAM228A",0.365000634220805,2.24586711386304e-07,3.13013538944075e-05
"CDC37L1",0.364545744815792,2.33085837350105e-07,3.22452673951894e-05
"TLCD5",0.364173085418608,2.40277451741794e-07,3.28250246852752e-05
"AQP3",0.364146841799088,2.40791838824304e-07,3.28250246852752e-05
"NTAQ1",0.363564233445744,2.52486757715182e-07,3.38641014822367e-05
"CALY",0.363494250460357,2.53927629079743e-07,3.38641014822367e-05
"CD79A",0.363436514497413,2.5512227600457e-07,3.38641014822367e-05
"CFAP161",0.363410270877893,2.5566707587253e-07,3.38641014822367e-05
"GCKR",0.363268555332485,2.58628311083474e-07,3.401508688588e-05
"LY6G5C",0.36274193336745,2.69922994641748e-07,3.52523206148901e-05
"PYGO1",0.362538982709829,2.74400673729074e-07,3.53428067763047e-05
"PTHLH",0.360974862986436,3.11377954109693e-07,3.93424350453051e-05
"LIPM",0.360495479536538,3.23635661896412e-07,4.05652323595798e-05
"C11orf94",0.36030127675209,3.28731754757731e-07,4.09292950123692e-05
"RIBC1",0.360184055251567,3.3184486936955e-07,4.10432766910312e-05
"CCDC160",0.359905872884655,3.39346102132414e-07,4.16949197593747e-05
"CACNB4",0.359627690517743,3.47009539975765e-07,4.18112914102412e-05
"KRTAP12-1",0.359123813022959,3.61314319668371e-07,4.29182446135071e-05
"CAPZA1",0.358810639163353,3.70487799489752e-07,4.35171707123938e-05
"CSNK1A1",0.358637431274521,3.7565673000685e-07,4.36416749710328e-05
"SLFN12",0.358296264220761,3.86040572825699e-07,4.42312499269494e-05
"RMND1",0.357696160121071,4.04975608756227e-07,4.61178321288494e-05
"ZNF521",0.357517703508334,4.10775800306561e-07,4.64948414940929e-05
"TOP2A",0.357304255402905,4.17817728197114e-07,4.66353666014596e-05
"COLEC11",0.357264015186308,4.19158184574878e-07,4.66353666014596e-05
"OR3A1",0.356782882161774,4.35507555377157e-07,4.81274503208508e-05
