"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"Translation Initiation Complex Formation R-HSA-72649",3.08140024572575e-28,3.05098228566504e-25,1.38026491759359,-0.73536924156195,-5.18294810470985,57,"RPS16;RPS6;RPS3;RPS12;EIF3A;RPS7;RPS29;EIF4H;RPS17;PABPC1;RPS19;RPS23;RPS27A;RPS14;RPS13;FAU;EIF3B;RPS9;EIF4G1;EIF4B;RPS2;EIF4A1;RPS20;EIF1AX;EIF3G;RPS15;RPS27;EIF3J;RPS25;RPS8;RPS5;EIF3C"
"mRNA Activation Upon Binding Of Cap-Binding Complex And eIFs, Subsequent Binding To 43S R-HSA-72662",5.86727362627892e-28,3.05098228566504e-25,1.37274298193398,-0.723055810642349,-5.39917413320108,58,"RPS16;RPS6;RPS3;RPS12;EIF3A;RPS7;RPS29;EIF4H;RPS17;PABPC1;RPS19;RPS23;RPS27A;RPS14;RPS13;FAU;EIF3B;RPS9;EIF4G1;EIF4B;RPS2;EIF4A1;RPS20;EIF1AX;EIF3G;RPS15;RPS27;EIF3J;RPS25;RPS8;RPS5;EIF3C"
"Ribosomal Scanning And Start Codon Recognition R-HSA-72702",4.11412030081579e-27,1.42622837094947e-24,1.34992572002205,-0.721383754244548,-5.08437714077993,57,"RPS16;RPS6;RPS3;RPS12;EIF3A;RPS7;RPS29;EIF4H;RPS17;RPS19;RPS23;RPS27A;RPS14;RPS13;FAU;EIF3B;RPS9;EIF4G1;EIF4B;RPS2;EIF4A1;RPS20;EIF1AX;EIF3G;RPS15;RPS27;EIF3J;RPS25;RPS8;RPS5;EIF3C"
"Formation Of Ternary Complex, And Subsequently, 43S Complex R-HSA-72695",3.13250917161639e-23,8.14452384620261e-21,1.24623277191648,-0.71475451891561,-4.85873946473008,50,"RPS16;RPS6;RPS3;RPS12;EIF3A;RPS7;RPS29;RPS17;RPS19;RPS23;RPS27A;RPS14;RPS13;FAU;EIF3B;RPS9;RPS2;RPS20;EIF1AX;EIF3G;RPS15;RPS27;EIF3J;RPS25;RPS8;RPS5;EIF3C"
"SARS-CoV-2 Modulates Host Translation Machinery R-HSA-9754678",1.96606245259427e-16,4.08940990139608e-14,1.04762648849882,-0.616989847929931,-4.03679124560086,47,"RPS16;RPS6;SNRPD3;RPS3;RPS12;RPS7;RPS29;RPS17;RPS19;RPS23;RPS27A;RPS14;RPS13;FAU;RPS9;RPS2;SMN1;RPS20;RPS15;RPS27;RPS25;RPS8;RPS5;SNRPG"
"Formation Of ATP By Chemiosmotic Coupling R-HSA-163210",2.2512420154452e-07,3.90215282677168e-05,0.690132458796796,-0.708288118307173,-3.17075555647577,16,"ATP5MC2;ATP5F1A;ATP5MC1;ATP5MC3;ATP5F1B;ATP5MG;ATP5ME;ATP5PO;ATP5PF;ATP5F1D"
"Complex I Biogenesis R-HSA-6799198",8.44539648826677e-07,0.000125474462111392,0.659444398037935,-0.351225899930804,-2.37629272451469,51,"TMEM126B;ACAD9;NDUFV2;NDUFA1;NDUFA10;NDUFB6;NDUFAB1;NDUFAF3;NDUFV1;NDUFS6;NDUFA13;NDUFB8;NDUFA2;NDUFB2;NDUFS5;NDUFS7;NDUFS3;NDUFA3;NDUFS4"
"RHO GTPases Activate PKNs R-HSA-5625740",1.69742704151693e-06,0.000220665515397201,0.643551836150722,-0.324582526813633,-2.35461433613279,59,"MYL12B;YWHAE;RNASE1;H3-3B;RHOA;PPP1CB;H2AC6;H2AJ;YWHAQ;MYL6;KDM1A;RHOB;H4C15;H2AC19;H2BC4;H2AZ1;PPP1R14A;YWHAZ;MYH9"
"Gene And Protein Expression By JAK-STAT Signaling After Interleukin-12 Stimulation R-HSA-8950505",7.15580006102876e-06,0.000826892451496656,0.610526878385931,-0.38847925935537,-2.2875808429154,35,"PDCD4;HNRNPA2B1;RPLP0;HNRNPDL;TALDO1;SNRPA1;PPIA;CDC42;AURKAIP1"
"RHO GTPases Activate PAKs R-HSA-5627123",8.09668916898095e-06,0.000842055673574019,0.593325476396405,-0.532388980389782,-2.71421278547814,21,"MYL12B;MYLK;CTTN;RNASE1;PPP1CB;MYL6;CDC42"
