"gene","statistic","p.value","p_adj"
"SLCO2B1",0.381934767109746,5.40577456600853e-08,0.00100958245794775
"RPS28",0.326452256295188,4.29224627924664e-06,0.0400809957556052
"MAZ",0.320041814833768,6.75316138070233e-06,0.0420406806486656
"RASSF8",0.312546637098855,1.13236956987796e-05,0.0454534744861838
"FYCO1",0.311169721861372,1.24329006390557e-05,0.0454534744861838
"TSPY1",0.308783302059687,1.46027439985598e-05,0.0454534744861838
"C1QC",0.299669767787707,2.66510338716045e-05,0.0631204185316004
"DDX49",0.299447571809104,2.70380888976656e-05,0.0631204185316004
"MRPL35",0.295932676368058,3.39119896523607e-05,0.0697049794377663
"PIMREG",0.294431541331514,3.73232916244197e-05,0.0697049794377663
"BAG2",0.292500010934841,4.21892125882055e-05,0.0716296122088479
"ALG6",0.288535474812686,5.41062623695213e-05,0.0746732203882913
"NACC2",0.287239040008398,5.86452881984727e-05,0.0746732203882913
"TBC1D16",0.287037838925411,5.93809981434601e-05,0.0746732203882913
"RPH3AL",0.286056327555363,6.30959623219483e-05,0.0746732203882913
"DNAJB1",0.285832382002126,6.39736306603481e-05,0.0746732203882913
"FGF18",0.282499442323085,7.84680931669747e-05,0.0862041239992012
"UBE2L5",0.279170001793314,9.59801766682979e-05,0.0995847655253962
"SLC25A47",0.277906808907084,0.000103534681450486,0.101769142672067
"MYO15B",0.276745091349666,0.000110970396209628,0.10362415598055
"TMEM94",0.273895034269793,0.000131382921626007,0.110279674255291
"OR5B2",0.273891535120524,0.000131410012285797,0.110279674255291
"MSTO1",0.27333167123743,0.000135812406718338,0.110279674255291
"PBX2",0.270476365433654,0.000160489622694517,0.119892167737712
"BORCS8",0.269036465509323,0.000174465348143727,0.122267368471606
"RASGEF1C",0.26844685885744,0.000180509225416425,0.122267368471606
"TNFSF12",0.267584318562549,0.000189703428606711,0.122267368471606
"FAM135A",0.267570321965472,0.00018985616222299,0.122267368471606
"KIF5B",0.264002939285386,0.000232749432884775,0.133097291765436
"NFIA",0.262358339128799,0.000255421413589757,0.133097291765436
"RPS24",0.262179882516063,0.000258001405649819,0.133097291765436
"ALOX15B",0.26143281414706,0.0002690673228955,0.133097291765436
"SNRPC",0.261394323505098,0.000269649248199878,0.133097291765436
"LGALS9C",0.260738233017098,0.000279750162208002,0.133097291765436
"RNF139",0.260538781508746,0.000282889864623437,0.133097291765436
"ADRA1B",0.26046529937409,0.000284054830082105,0.133097291765436
"ZNF578",0.260243103395487,0.000287604645953256,0.133097291765436
"HSPB1",0.259959672304671,0.000292192598114312,0.133097291765436
"TBC1D24",0.259511781198196,0.000299581549226727,0.133213928889485
"HP1BP3",0.258285329379295,0.000320712498340129,0.139293642302331
"ACTR8",0.25744028483075,0.000336068468060168,0.141457358613499
"SLC35E4",0.257184846934089,0.000340842853802069,0.141457358613499
"CHD7",0.255099353969566,0.000382243846497464,0.152559591139828
"LRRC75B",0.255018873536371,0.000383931290617473,0.152559591139828
"FGD3",0.253738184903795,0.000411730141782749,0.154016884504806
"RPL26",0.253379522103689,0.000419843134220686,0.154016884504806
"TBCEL",0.253281545924147,0.000422084978744728,0.154016884504806
"TIMM44",0.252291286680926,0.000445374362171276,0.154016884504806
"AAK1",0.252256295188232,0.000446218668834683,0.154016884504806
"OR5H14",0.252055094105246,0.000451102258669609,0.154016884504806
"SAP30BP",0.251407751490419,0.000467152387407923,0.154016884504806
"MKNK2",0.25132202233332,0.000469317133524207,0.154016884504806
"AGXT",0.251049088690312,0.000476270955486017,0.154016884504806
"DDX46",0.250713170360456,0.000484960362478311,0.154016884504806
"HSPA1A",0.250651935248243,0.00048656008705202,0.154016884504806
"HDAC4",0.249997594334877,0.000503961748432402,0.154347010662361
"AIRE",0.249710664094792,0.000511772466940784,0.154347010662361
"PTK6",0.24885162294917,0.00053583123853541,0.154374210180269
"HSD3B7",0.248800885284765,0.000537284411100745,0.154374210180269
"FCGR1A",0.247492203458034,0.000576048536449669,0.160571380100508
"ZNF140",0.247182528747698,0.000585591643980748,0.160831022690948
"KRTAP5-2",0.246412715908445,0.000609950735072924,0.163544997483336
"LST1",0.24614853013861,0.000618523625420665,0.163544997483336
"RPL7A",0.245998066720029,0.000623455769312759,0.163544997483336
"ALG1L2",0.245319231761778,0.00064616231561934,0.163544997483336
"HSPA1B",0.245135526425138,0.00065243698499739,0.163544997483336
"C6orf62",0.245023553648519,0.000656289067627556,0.163544997483336
"MAFK",0.245009557051442,0.000656772050291831,0.163544997483336
"TLR9",0.244572163392775,0.000672031494679248,0.164018516544603
"GOLGA8J",0.244453192317618,0.000676238261615678,0.164018516544603
"RPS3A",0.244029795256028,0.000691407176710954,0.165547697849407
"MSMP",0.243473430522204,0.000711816933879323,0.168277127305446
"LHFPL2",0.243016791542556,0.000728981700906318,0.17018077807658
"ACHE",0.242262724875015,0.000758163569921077,0.17480818310921
"SERPINA3",0.241323203296199,0.00079602723019559,0.176846991467287
"PARM1",0.2408438198463,0.000816010542907154,0.176846991467287
"KIFC3",0.240772087286278,0.000819040149852547,0.176846991467287
"FCF1",0.240537644285233,0.000829014144686497,0.176846991467287
"SLC36A1",0.240488656195462,0.000831112329552577,0.176846991467287
"RPS11",0.240437918531057,0.000833290600188544,0.176846991467287
"AADACL4",0.239459906310278,0.000876318720767969,0.180537200385104
"CSRP2",0.239323439488774,0.000882482493851636,0.180537200385104
"NUPR1",0.239237710331676,0.000886374971327637,0.180537200385104
"ZNF616",0.238912289449628,0.000901294645951347,0.180537200385104
"PCDH17",0.238739081560795,0.000909329584339149,0.180537200385104
"CASP1",0.238625359209542,0.00091464080392179,0.180537200385104
"ZMIZ1",0.238541379627078,0.000918581223645094,0.180537200385104
"H3-4",0.238273694707974,0.000931245686566967,0.180537200385104
"FGF17",0.238138977461105,0.000937679826373694,0.180537200385104
"CRTAP",0.236868786276337,0.00100038441963135,0.190644687969745
"GLRX",0.235820791070171,0.00105499455511599,0.192123590794385
"GLMP",0.235738561062342,0.00105939318870866,0.192123590794385
"SOBP",0.235735061913072,0.00105958073740746,0.192123590794385
