"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"Citric Acid (TCA) Cycle And Respiratory Electron Transport R-HSA-1428517",1.72076105287908e-40,1.99780358239261e-37,1.6595653414844,-0.631273763333371,-4.18414696231083,159,"ATP5F1B;COX8A;ATP5F1A;COX6C;ATP5MC2;ATP5MC3;UQCRC1;NDUFB8;NDUFA1;COX5B;LDHB;NDUFS5;NDUFA13;COX6B1;COX6A1;UQCRQ;COX4I1;ATP5ME;MDH2;ATP5F1D;NDUFAB1;NDUFB10;NDUFS4;COX7B;CYCS;ATP5PB;BSG;COX7C;UQCRB;PDHB;ATP5PO;NDUFV1;NDUFB6;NDUFB2;SDHA;UQCR11;NDUFV2;SDHB;IDH2;UQCRC2;NDUFS2;NDUFB3;ACO2;ATP5PF;ACAD9;MPC2;NDUFB4;ATP5MF;NDUFA2;COA1;NDUFA10;NDUFA5;CCNI;COX16;COX14;NDUFB9;SUCLG1;PDHX;COX5A;ATP5F1C;TMEM126B;IDH3A;VDAC1;NDUFA8;ATP5PD;NDUFB1;NDUFA12;NDUFS8;LDHA;NDUFS3;IDH3G;NDUFAF4;NDUFC1;ETFB;IDH3B;NDUFAF3;UQCRFS1;NDUFS7;NDUFA11;ATP5MC1;UQCR10;TRAP1"
"Respiratory Electron Transport, ATP Synthesis By Chemiosmotic Coupling, Heat Production By Uncoupling Proteins R-HSA-163200",2.50188215770073e-35,1.45234259254528e-32,1.54318309134871,-0.694846926050755,-4.40473034695933,111,"ATP5F1B;COX8A;ATP5F1A;COX6C;ATP5MC2;ATP5MC3;UQCRC1;NDUFB8;NDUFA1;COX5B;NDUFS5;NDUFA13;COX6B1;COX6A1;UQCRQ;COX4I1;ATP5ME;ATP5F1D;NDUFAB1;NDUFB10;NDUFS4;COX7B;CYCS;ATP5PB;COX7C;UQCRB;ATP5PO;NDUFV1;NDUFB6;NDUFB2;SDHA;UQCR11;NDUFV2;SDHB;UQCRC2;NDUFS2;NDUFB3;ATP5PF;ACAD9;NDUFB4;ATP5MF;NDUFA2;COA1;NDUFA10;NDUFA5;CCNI;COX16;COX14;NDUFB9;COX5A;ATP5F1C;TMEM126B;NDUFA8;ATP5PD;NDUFB1;NDUFA12;NDUFS8;NDUFS3;NDUFAF4;NDUFC1;ETFB;NDUFAF3;UQCRFS1;NDUFS7;NDUFA11;ATP5MC1;UQCR10;TRAP1"
"Expression And Translocation Of Olfactory Receptors R-HSA-9752946",4.35765606177881e-30,1.6864128959084e-27,1.42456271623384,0.479520737671753,2.52907417603982,373,"OR10Z1;OR2M5;OR2G6;OR2L5;OR2A1;OR2S2;OR1K1;OR13D1;OR9A2;OR4F17;OR14K1;OR9Q2;OR5L1;OR2L13;OR4C5;OR5H2;OR1L8;OR3A2;OR1S2;OR1I1;OR1J1;OR4F21;OR9G4;OR10H3;OR2A14;OR2T1;OR9Q1;OR8G1;OR56A1;OR10X1;OR2A2;RTP2;OR4C3;OR5B3;OR7C2;OR5H15;OR8I2;OR2T34;OR4L1;OR52A5;OR10G4;OR7D2;OR51G2;OR52K1;OR7G2;OR1A2;OR2W3;OR10AC1;OR4C15;OR52H1;OR1M1;OR1F1;OR6C3;OR4D11;OR5B2;OR52E4;OR1C1;OR4K15;OR2A4;OR6J1;OR4X1;OR4C6;OR5D16;OR5J2;OR6T1;OR52L1;OR4K14;OR6S1;OR8J3;OR11A1;OR52W1;OR7G1;OR10T2;OR2C3;OR1L1;OR51F2;OR11L1;OR2G2;OR3A1;OR6P1;OR10Q1;OR52E8;OR5B17;OR6C6;OR9G9;OR5AS1;OR52E2;OR2C1;OR51L1;OR52I2;OR8H2;OR6K2;OR10A2;OR2Y1;OR52B6;OR5K3;OR5B12;OR5V1;OR51Q1;OR5M8;OR2K2;OR52N5;OR2D3;OR5M10;OR6C65;OR5F1;OR13F1;OR4C45;OR51B4;OR5AC2;OR2A5;OR2AG2;OR2AJ1;OR4D10;OR8H3;OR6C74;OR2A7;OR2AE1;OR51E1;OR13G1;OR7A10;OR2W1;OR14J1;OR10H5;OR4F15;OR2AP1;OR5D18;OR52A1;OR4D5;OR5AU1;OR8D2;OR7G3;OR8U9;OR52E5;OR6C75;OR14A2;OR4F6;OR10G2;OR8D1;OR4D2;OR2A12;OR5AL1;OR51I1;OR2L2;RTP1;OR52D1;OR2J1;OR7D4;OR10A4;OR4N5;OR51A2;OR2T5;OR6Y1;OR52N1;OR5AN1;OR2J2;OR2T6;OR7E24;OR51M1;OR6C68;OR6F1;OR12D3;OR13C5;OR2T12;OR6N2;OR56B1;OR5T3;OR4E1;OR1D5;OR1N1;OR2J3;OR2M2;OR5D14;OR13C2;OR4K13;OR1D2;OR4C16;OR4D6;OR2AT4;OR13C8;OR6Q1;OR9I1;OR2D2;OR51B6;OR5C1;OR10D3;OR5A1;OR2V2;OR5H14;OR5AP2;OR2F1;OR4C11;OR6B3;OR8J1;OR6V1;OR4A47;OR2G3;OR5K4;OR8K3;OR2B2;OR5M11;OR51F1;OR4E2;OR10J5;OR4D1;OR4A5;OR56B4;OR2B6;OR7C1;OR52M1;OR4D9;OR5A2;OR5M1;OR11H4;OR13C9;OR2L8;OR52R1;OR51B2;OR2A25;OR1E1;OR4C46;OR4N2;OR2H2;OR8B8;OR5M9;OR5H1;OR2V1;OR6N1;OR11H1;OR10K2;OR6C4;OR13J1;OR8B4;OR51I2;OR10P1;OR2T10;OR8U3;OR10A5;OR51D1;OR1A1;OR5P2;OR5T1;OR52N2;OR6X1;OR6B1;OR51E2;OR10W1;OR2H1;OR10J1;OR10AD1;OR4S2"
"Respiratory Electron Transport R-HSA-611105",1.27617773315894e-29,3.70410587049384e-27,1.40995143033448,-0.707334727389314,-4.30922925877096,89,"COX8A;COX6C;UQCRC1;NDUFB8;NDUFA1;COX5B;NDUFS5;NDUFA13;COX6B1;COX6A1;UQCRQ;COX4I1;NDUFAB1;NDUFB10;NDUFS4;COX7B;CYCS;COX7C;UQCRB;NDUFV1;NDUFB6;NDUFB2;SDHA;UQCR11;NDUFV2;SDHB;UQCRC2;NDUFS2;NDUFB3;ACAD9;NDUFB4;NDUFA2;COA1;NDUFA10;NDUFA5;CCNI;COX16;COX14;NDUFB9;COX5A;TMEM126B;NDUFA8;NDUFB1;NDUFA12;NDUFS8;NDUFS3;NDUFAF4;NDUFC1;ETFB;NDUFAF3;UQCRFS1;NDUFS7;NDUFA11;UQCR10;TRAP1"
"Olfactory Signaling Pathway R-HSA-381753",2.07119767869119e-29,4.80932100992095e-27,1.40995143033448,0.475689892790375,2.51501307626931,381,"OR10Z1;OR2M5;OR2G6;OR2L5;OR2A1;OR2S2;OR1K1;OR13D1;OR9A2;OR4F17;OR14K1;OR9Q2;OR5L1;OR2L13;OR4C5;OR5H2;OR1L8;OR3A2;OR1S2;OR1I1;OR1J1;OR4F21;OR9G4;OR10H3;OR2A14;OR2T1;OR9Q1;OR8G1;OR56A1;OR10X1;OR2A2;RTP2;OR4C3;CNGA4;OR5B3;OR7C2;OR5H15;OR8I2;OR2T34;OR4L1;OR52A5;OR10G4;OR7D2;OR51G2;OR52K1;OR7G2;OR1A2;OR2W3;OR10AC1;OR4C15;OR52H1;OR1M1;OR1F1;OR6C3;OR4D11;OR5B2;OR52E4;OR1C1;OR4K15;OR2A4;OR6J1;OR4X1;OR4C6;OR5D16;OR5J2;OR6T1;OR52L1;OR4K14;OR6S1;OR8J3;OR11A1;OR52W1;OR7G1;OR10T2;OR2C3;OR1L1;OR51F2;OR11L1;OR2G2;OR3A1;OR6P1;OR10Q1;ANO2;OR52E8;OR5B17;OR6C6;OR9G9;OR5AS1;OR52E2;OR2C1;OR51L1;OR52I2;OR8H2;OR6K2;OR10A2;OR2Y1;OR52B6;OR5K3;OR5B12;OR5V1;OR51Q1;OR5M8;OR2K2;OR52N5;OR2D3;OR5M10;OR6C65;OR5F1;OR13F1;OR4C45;OR51B4;OR5AC2;OR2A5;OR2AG2;OR2AJ1;OR4D10;OR8H3;OR6C74;OR2A7;OR2AE1;OR51E1;OR13G1;OR7A10;OR2W1;OR14J1;OR10H5;OR4F15;OR2AP1;OR5D18;OR52A1;OR4D5;OR5AU1;OR8D2;OR7G3;OR8U9;OR52E5;OR6C75;OR14A2;OR4F6;OR10G2;OR8D1;OR4D2;OR2A12;OR5AL1;OR51I1;OR2L2;RTP1;OR52D1;OR2J1;OR7D4;OR10A4;OR4N5;OR51A2;OR2T5;OR6Y1;OR52N1;OR5AN1;OR2J2;OR2T6;OR7E24;OR51M1;OR6C68;OR6F1;OR12D3;OR13C5;OR2T12;OR6N2;OR56B1;OR5T3;OR4E1;OR1D5;OR1N1;OR2J3;OR2M2;OR5D14;OR13C2;OR4K13;GNG13;OR1D2;OR4C16;OR4D6;OR2AT4;OR13C8;OR6Q1;OR9I1;OR2D2;OR51B6;OR5C1;OR10D3;OR5A1;OR2V2;OR5H14;OR5AP2;OR2F1;OR4C11;OR6B3;OR8J1;OR6V1;OR4A47;OR2G3;OR5K4;OR8K3;OR2B2;OR5M11;OR51F1;OR4E2;OR10J5;OR4D1;OR4A5;OR56B4;OR2B6;OR7C1;OR52M1;OR4D9;OR5A2;OR5M1;OR11H4;OR13C9;OR2L8;OR52R1;OR51B2;OR2A25;OR1E1;OR4C46;OR4N2;OR2H2;OR8B8;OR5M9;OR5H1;OR2V1;OR6N1;OR11H1;OR10K2;OR6C4;OR13J1;OR8B4;OR51I2;OR10P1;OR2T10;OR8U3;OR10A5;OR51D1;OR1A1;OR5P2;OR5T1;OR52N2;OR6X1;OR6B1;OR51E2;CNGB1;OR10W1;OR2H1;OR10J1;OR10AD1;OR4S2"
"Transmission Across Chemical Synapses R-HSA-112315",2.77305216888763e-22,5.36585594679756e-20,1.22105375677186,-0.415308170411259,-2.93577339283123,246,"GLUL;VAMP2;SNAP25;TSPAN7;STXBP1;RAB3A;PRKAR1A;GRIA2;GNAI1;AP2M1;PRKACB;ARL6IP5;PRKCB;EPB41L1;SYT1;NRGN;CAMK2G;SYN1;NPTN;CALM1;GNAI2;SLC1A3;CAMK2D;PLCB1;TSPOAP1;ALDH2;MAPT;GNG7;GIT1;GRIA1;GABBR2;NEFL;NSF;PRKAR1B;AP2A1;GNB1;DLG1;PPFIA2;SYN2;CAMKK2;ADCY1;RASGRF1;PRKAR2B;STX1A;SLC17A7;HSPA8;SLC1A2;CACNA2D1;GABRB2;CPLX1;AP2S1;GNB2;LLGL1;PICK1;PRKCA;AP2B1;RASGRF2;MAPK1;DNAJC5;GABRA1;GABRA2;CAMK2B;CACNA1B;ARHGEF7;CAMK2A;GABRB3;RNASE1;GABRG2;SLC38A1;GNG3;GRIN2B;PRKCG;SLC6A1;GABRA4"
"L13a-mediated Translational Silencing Of Ceruloplasmin Expression R-HSA-156827",3.24005074816655e-19,5.37385559803052e-17,1.13308993200902,-0.542924695709552,-3.37496194157752,107,"EIF4H;EIF3K;EIF3C;EIF1AX;RPL23;RSL24D1;RPS15;EIF4A2;RPL27;EIF4A1;FAU;RPLP1;RPL15;RPL18;RPL35A;PABPC1;EIF3G;RPS21;RPL36;EIF3A;RPS12;EIF4E;RPS20;RPS25;EIF3H;RPS14;RPL41;EIF3B;EIF4B;RPL28;RPL9;RPLP2;EIF3I;RPL38;EIF4G1;RPS3;RPL31;RPS4Y1;RPS29;RPL8;EIF3L;RPL19;RPS9;RPL35;RPS13;RPL4;RPL37A;UBA52;RPS16;RPS6;EIF3M;RPS7;RPS17;RPL29;RPS4X;RPL39L"
"mRNA Splicing - Major Pathway R-HSA-72163",5.69698021991242e-19,8.2677425441479e-17,1.12391496374483,-0.437419038399377,-2.95514420665735,180,"HNRNPU;SRSF5;SNRPN;PRPF19;HNRNPD;SNRPD3;POLR2A;SNRNP70;HNRNPA2B1;SRRM2;DDX5;NUDT21;SRSF9;SRSF1;FUS;TXNL4A;PCBP2;POLR2E;POLR2I;HNRNPK;HSPA8;SF3B1;HNRNPUL1;HNRNPL;SF1;CSTF3;HNRNPC;PABPN1;NCBP2;HNRNPA0;HNRNPH1;SF3B5;YBX1;POLR2F;PRPF8;PLRG1;SRSF2;POLR2C;SRSF11;PCBP1;SNRPD2;U2SURP;PQBP1;RBM8A;SART1;RBMX;SRSF3;SRSF10;DHX15;SF3B2;HNRNPM;SNRNP200;SNRPG;PUF60;SRSF6;SRSF4;RBM5;WBP4;FIP1L1;WDR33;SYMPK;MAGOH;SRSF7;PPIL4;RNPS1;CPSF2;CDC5L;PPIE;HNRNPA3;DHX9"
"Translation R-HSA-72766",3.94049273214959e-18,5.08323562447298e-16,1.0959292864312,-0.365205145182107,-2.57528234767003,276,"EIF4H;SRP14;SPCS1;EIF3K;EIF3C;DTD1;EIF1AX;SARS1;RPL23;EEF1A2;RSL24D1;RPS15;AARS1;EIF4A2;RPL27;EIF4A1;MRPS21;PPA1;FAU;RPLP1;RPL15;MRPL33;MRPL41;MRPS16;RPL18;RPL35A;TUFM;MRPL10;DDOST;PABPC1;SSR4;EIF3G;RPS21;MRPS18A;RPL36;MRPL55;SSR1;MRPS34;EIF3A;RPS12;EIF4E;RPS20;RPN1;HARS1;YARS1;RPS25;EIF3H;SEC61G;RPS14;RPL41;EIF3B;EIF4B;RPL28;MRPL50;EEF1B2;DLGAP3;GARS1;MRPL21;RPL9;RPLP2;SPCS3;EIF3I;MRPS22;SEC61A2;RPL38;MRPS23;EIF4G1;RPS3;RPL31;MRPL16;RPS4Y1;MRPS36;RPS29;RPL8;MRPL18;EIF3L;MRPL42;RPL19;MRPS35;CHCHD1;MRPS30;MRPL24;RPS9;EEF1D;MRPS18B;RPL35;RPS13;SRP68;IARS1;RPL4;MRPL52;PTCD3;MRPS27;SSR3;MRPL53;RPL37A;UBA52;RPS16;RPS6;TRAM1;SEC61B;RPN2;EIF3M;RPS7;SRPRA;RPS17;RPL29"
"mRNA Splicing R-HSA-72172",9.33078408738273e-18,1.08330403254514e-15,1.0864405425825,-0.419824198937724,-2.88840849324934,188,"HNRNPU;SRSF5;SNRPN;PRPF19;HNRNPD;SNRPD3;POLR2A;SNRNP70;HNRNPA2B1;SRRM2;DDX5;NUDT21;SRSF9;SRSF1;FUS;TXNL4A;PCBP2;POLR2E;POLR2I;HNRNPK;HSPA8;SF3B1;HNRNPUL1;HNRNPL;SF1;CSTF3;HNRNPC;PABPN1;NCBP2;HNRNPA0;HNRNPH1;SF3B5;YBX1;POLR2F;PRPF8;PLRG1;SRSF2;POLR2C;SRSF11;PCBP1;SNRPD2;U2SURP;PQBP1;RBM8A;SART1;RBMX;SRSF3;SRSF10;DHX15;SF3B2;HNRNPM;SNRNP200;SNRPG;RNPC3;PUF60;SRSF6;SRSF4;RBM5;WBP4;FIP1L1;WDR33;SYMPK;MAGOH;SRSF7;PPIL4;RNPS1;CPSF2;CDC5L;PPIE;HNRNPA3;DHX9"
