"gene","statistic","p.value","p_adj"
"GOLGA6L6",0.527086477100255,5.61452243638765e-15,1.04856821021976e-10
"FCF1",0.475209839607745,4.27361681621028e-12,2.66046892198477e-08
"XRCC2",0.429346490134586,6.36543076676516e-10,1.78136438863802e-06
"ZNF776",0.415215175810381,2.57392939718711e-09,4.82747271473308e-06
"USP17L3",0.414182926775928,2.84333903737759e-09,4.82747271473308e-06
"SPANXC",0.411759765906914,3.58707330873945e-09,5.27693342578376e-06
"TGFB3",0.411511326308791,3.67317062193129e-09,5.27693342578376e-06
"C4orf46",0.408673516251361,4.80958873215201e-09,6.41599136869078e-06
"EVX1",0.405655500006561,6.38873552631459e-09,7.95440164596342e-06
"FOXD4L5",0.404882188018038,6.86773047281645e-09,8.016358394395e-06
"KRTAP10-7",0.403386301705398,7.89447107904748e-09,8.67277305131122e-06
"FOXE1",0.402009386467915,8.96926687842795e-09,9.02536395271665e-06
"ZNF587",0.401197583837429,9.66766924303311e-09,9.02536395271665e-06
"LYRM2",0.400670961872395,1.01484602166979e-08,9.02536395271665e-06
"HSD3B7",0.399014114693365,1.18161943740033e-08,9.59474983169067e-06
"FOSL1",0.396604950421429,1.47202268475428e-08,1.14547898585296e-05
"FOXD4L1",0.395532461170378,1.62239204664383e-08,1.2119917545248e-05
"SNX22",0.393027070293535,2.03352796600372e-08,1.46069878050329e-05
"PKNOX2",0.392297497670879,2.17101225404254e-08,1.50169721690735e-05
"TNS4",0.390385212595188,2.57517801050484e-08,1.71764373300673e-05
"TSPY1",0.383092985517896,4.889374056456e-08,3.04379832927907e-05
"ZNF616",0.380876274455773,5.92325655629083e-08,3.56847546597702e-05
"EEF2KMT",0.380346153341469,6.20000187708443e-08,3.6184760955134e-05
"SLC24A4",0.37963057731589,6.59333212250608e-08,3.73142638545223e-05
"PTPRCAP",0.376332629129543,8.73765373197514e-08,4.51590111452279e-05
"ZNF845",0.375739523328391,9.18849016662379e-08,4.51590111452279e-05
"HOXB3",0.37482449579446,9.92812665258198e-08,4.65364942533717e-05
"PRR20A",0.374556810875356,1.01550944457423e-07,4.65364942533717e-05
"CBLC",0.374394100434332,1.0295480803274e-07,4.65364942533717e-05
"OR10Z1",0.374199897649884,1.04654784677747e-07,4.65364942533717e-05
"ZNF124",0.372392587052273,1.21822373426888e-07,5.29105731655944e-05
"SP7",0.369250351008411,1.58295002715486e-07,6.71890334253276e-05
"SPDYE11",0.368330074750576,1.70824659495067e-07,7.08960297939972e-05
"BLM",0.367191101663408,1.8765212296836e-07,7.61867619251542e-05
"SAMD10",0.366276074129477,2.02311157507161e-07,8.03907059064625e-05
"KRTAP10-2",0.36489391016809,2.26553652853856e-07,8.81482504312213e-05
"KIR3DL1",0.363907150074138,2.4553899690906e-07,8.96350533959985e-05
"ZNF66",0.363705948991151,2.49592951042009e-07,8.96350533959985e-05
"SPATA31A6",0.363032362756805,2.63636867003712e-07,8.96350533959985e-05
"OR2A1",0.362292292686341,2.79939224011983e-07,8.96350533959985e-05
"CCDC86",0.362220560126319,2.81569718278284e-07,8.96350533959985e-05
"GOLGA8A",0.362150577140933,2.83169209164913e-07,8.96350533959985e-05
"SPDYE5",0.361763921146671,2.92164482380834e-07,9.09410645490741e-05
"NLRP1",0.360145564609604,3.32873228581777e-07,9.94157847086301e-05
"PLA2G3",0.359951361825156,3.38108479699374e-07,9.94157847086301e-05
"LRRC75B",0.359856884794884,3.40683777112461e-07,9.94157847086301e-05
"KRTAP10-3",0.359419491136217,3.52853196764421e-07,0.000100634110270758
"OLFML3",0.358878872574105,3.68470307230553e-07,0.00010270972325131
"AEN",0.358142301652911,3.90816071403701e-07,0.000107336484551993
"DAGLA",0.357769642255727,4.02610149985774e-07,0.000108973147262816
"SPDYE16",0.357524701806873,4.10546851636395e-07,0.00010953390001659
"KRTAP9-4",0.356097048904985,4.5987127537792e-07,0.000119285499152195
"GOLGA6A",0.354989568161241,5.0198874603825e-07,0.000127111906453848
"SLC35E4",0.352017040856942,6.34060377893491e-07,0.00015378846256544
"C22orf15",0.35010825493052,7.35737809265601e-07,0.00017616204263903
"NUTM2G",0.347534630642925,8.97725262691707e-07,0.000209573962575379
"PARM1",0.346589860340205,9.65330258255631e-07,0.000219859852477831
"BAGE3",0.346082483696151,1.0036159576447e-06,0.000223137281249673
"GLIS2",0.345697577276525,1.03362293606012e-06,0.000224464441323939
"ZCCHC10",0.345303922983725,1.06519686997569e-06,0.000228662261421449
"FNDC11",0.345044985937794,1.08646526281806e-06,0.000230577559640796
"EME2",0.344528861420567,1.13007378169392e-06,0.000230661850189496
"SPANXA2",0.344509616099586,1.13173174495843e-06,0.000230661850189496
"RNF212",0.343148447033815,1.25506970793366e-06,0.000252039589950206
"C11orf21",0.342124945872535,1.35615145617183e-06,0.000258313040589118
"KCNK6",0.342068959484225,1.36189900288593e-06,0.000258313040589118
"FANCE",0.341997226924204,1.36929701318927e-06,0.000258313040589118
"RAC2",0.340581821044758,1.52335723732119e-06,0.000284502197642106
"AQP12B",0.340179418878785,1.57008983149081e-06,0.000290326709830914
"SULT1A4",0.339864495444545,1.60761351828773e-06,0.000294350883015115
"GPR4",0.338470084460715,1.78427978151918e-06,0.00032041547307358
"ZNF81",0.338160409750379,1.82595174453125e-06,0.000322131676280216
"ZEB1",0.338142914004033,1.82833356637946e-06,0.000322131676280216
"SLC34A3",0.336884969841707,2.00756725685206e-06,0.000350404916719337
"DMRTA2",0.335917455068736,2.15668396369528e-06,0.000368160048528743
"OR2L5",0.33584397293408,2.16843035650898e-06,0.000368160048528743
"C10orf99",0.335564040992534,2.21373927625984e-06,0.000368867442754309
"CKS1B",0.335523800775936,2.2203261014663e-06,0.000368867442754309
