"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"Expression And Translocation Of Olfactory Receptors R-HSA-9752946",3.79728762223321e-17,2.1150892055839e-14,1.06720998682811,0.469505501143692,1.83741994876695,373,"OR2A14;OR2A1;OR10Z1;OR5V1;OR5L1;OR2M5;OR2L13;OR9Q2;OR4C46;OR2L5;OR2A2;OR5H15;OR4D11;OR5D16;OR9Q1;OR4F17;OR9G9;OR1L8;OR2B11;OR8G1;OR2T35;OR6C74;RTP1;OR7G2;RTP2;OR2S2;OR8I2;OR1J1;OR4F21;OR1C1;OR5B2;OR5W2;OR51E2;OR6T1;OR56A1;OR8B2;OR10G4;OR1E1;OR6S1;OR2G6;OR5B3;OR2T27;OR2A4;OR5M10;OR52A5;OR8B4;OR51B6;OR51Q1;OR6X1;OR4L1;OR13C5;OR4C15;OR2AJ1;OR10J4;OR4X2;OR11H4;OR9A2;OR10AD1;OR5T2;OR2T3;OR5A2;OR2T5;OR51L1;OR52H1;OR6F1;OR52E4;OR4X1;OR6N2;OR2K2;OR5H14;OR6K3;OR1N1;OR6J1;OR5J2;OR8J3;OR6V1;OR1A2;OR10Q1;OR10T2;OR6M1;OR52K1;OR52E2;OR51F2;OR4Q3;OR2G2;OR9G4;OR4C6;OR10AC1;OR13D1;LHX2;OR2AP1;OR51I1;OR51B2;OR5AU1;OR52L1;OR10A4;OR6C75;OR13C8;OR4E1;OR5A1;OR2T1;OR5T1;OR4K15;OR10H2;OR2J2;OR5M3;OR10J5;OR11H6;OR6C65;OR4N2;OR1F1;OR52R1;OR56A3;OR10X1;OR52W1;OR14A2;OR2C3;OR51D1;OR2T34;OR2T11;OR5H2;OR52N2;OR5H1;OR52I2;OR10K2;OR1K1;OR6P1;OR4D2;OR1I1;OR4C5;OR2A5;OR52A1;OR6C6;OR4A47;OR7C1;OR10C1;OR8K1;OR52N1;OR52N5;OR13F1;OR2M2;OR52B6;OR5AL1;OR56B4;OR3A1;OR4K14;OR10D3;OR11L1;OR2J1;OR14K1;OR2J3;OR2A7;OR4C13;OR7G1;OR6K2;OR11H1;OR1M1;OR14J1;OR2AE1;OR4P4;OR5M8;OR52J3;OR6C3;OR4C45;OR56B1;OR10H3;OR10P1;OR11G2;OR1J2;OR2V1;OR6B3;OR2AT4;OR5D14;OR4K13;OR13G1;OR2Z1;OR4C3;OR8B12;OR10G7;OR4A5;OR51I2;OR5D18;OR4A15;OR2T8;OR2H2;OR1S1;OR10H5;OR7G3;OR10G6;OR4D1;OR4D5;OR1G1;OR7D2;OR51B5;OR12D3;OR5B21;OR8U9;OR2T10;OR52E5;OR10V1;OR4D9;OR2W1;OR13C4;OR8H3;OR2D3;OR4K3;OR2B2;OR5AC2;OR51F1;OR1L1;OR2C1;OR13C2;OR11A1;OR51S1;OR52I1;OR2W3;OR5B12;OR7A5;OR2L2;OR6Q1;OR9K2;OR6Y1;OR5K3;OR10K1;OR5M11;OR8J1;OR5I1;OR4K2;OR2A25;OR6K6;OR5B17;OR6C68;OR3A2;OR10G9;OR1D2;OR4F15;OR2B6;OR2V2;OR8H1;OR13H1;OR1D5;OR8D1;OR13C9"
"Respiratory Electron Transport R-HSA-611105",1.92547141240616e-17,2.1150892055839e-14,1.07686819261983,-0.573379443774934,-3.32300935594368,89,"COX8A;UQCRC1;COX6C;NDUFB6;TMEM126B;NDUFA13;ACAD9;NDUFV2;COX14;NDUFAB1;NDUFA1;NDUFB8;UQCRQ;COX7C;NDUFS4;NDUFS5;COX4I1;NDUFB10;NDUFB2;NDUFV1;NDUFS8;CYCS;COX6B1;SDHB;NDUFAF4;UQCRB;COX5B;TRAP1;NDUFC1;COX7B;NDUFB4;NDUFA10;UQCRC2;NDUFA2;COA1;NDUFS3;NDUFB3;COX6A1;NDUFA12;UQCRFS1;UQCR11;ETFB;NDUFAF3"
"Olfactory Signaling Pathway R-HSA-381753",8.89871349274014e-17,3.30438894363751e-14,1.05746357275086,0.463925219904776,1.81669539870061,381,"OR2A14;OR2A1;OR10Z1;OR5V1;OR5L1;OR2M5;OR2L13;OR9Q2;OR4C46;OR2L5;OR2A2;OR5H15;OR4D11;OR5D16;OR9Q1;OR4F17;OR9G9;OR1L8;OR2B11;OR8G1;OR2T35;OR6C74;RTP1;OR7G2;RTP2;OR2S2;OR8I2;OR1J1;OR4F21;OR1C1;OR5B2;OR5W2;OR51E2;OR6T1;OR56A1;OR8B2;OR10G4;OR1E1;OR6S1;OR2G6;OR5B3;OR2T27;OR2A4;OR5M10;OR52A5;OR8B4;OR51B6;OR51Q1;OR6X1;OR4L1;OR13C5;OR4C15;OR2AJ1;OR10J4;OR4X2;OR11H4;OR9A2;OR10AD1;OR5T2;OR2T3;OR5A2;OR2T5;OR51L1;OR52H1;OR6F1;ANO2;OR52E4;OR4X1;OR6N2;OR2K2;OR5H14;OR6K3;OR1N1;OR6J1;OR5J2;OR8J3;OR6V1;OR1A2;OR10Q1;OR10T2;OR6M1;OR52K1;OR52E2;OR51F2;OR4Q3;OR2G2;OR9G4;OR4C6;OR10AC1;OR13D1;LHX2;OR2AP1;OR51I1;OR51B2;OR5AU1;OR52L1;OR10A4;OR6C75;OR13C8;OR4E1;OR5A1;OR2T1;OR5T1;OR4K15;OR10H2;OR2J2;OR5M3;OR10J5;OR11H6;OR6C65;OR4N2;OR1F1;OR52R1;OR56A3;OR10X1;OR52W1;OR14A2;OR2C3;OR51D1;OR2T34;OR2T11;OR5H2;OR52N2;OR5H1;OR52I2;OR10K2;OR1K1;OR6P1;OR4D2;OR1I1;OR4C5;OR2A5;OR52A1;OR6C6;OR4A47;OR7C1;OR10C1;OR8K1;OR52N1;OR52N5;OR13F1;OR2M2;OR52B6;OR5AL1;OR56B4;OR3A1;OR4K14;OR10D3;OR11L1;OR2J1;OR14K1;OR2J3;OR2A7;OR4C13;OR7G1;OR6K2;OR11H1;OR1M1;OR14J1;OR2AE1;OR4P4;OR5M8;OR52J3;OR6C3;OR4C45;OR56B1;OR10H3;OR10P1;OR11G2;OR1J2;OR2V1;OR6B3;OR2AT4;OR5D14;OR4K13;OR13G1;OR2Z1;OR4C3;OR8B12;OR10G7;OR4A5;OR51I2;OR5D18;OR4A15;OR2T8;OR2H2;OR1S1;OR10H5;OR7G3;OR10G6;OR4D1;OR4D5;OR1G1;OR7D2;OR51B5;OR12D3;OR5B21;OR8U9;OR2T10;OR52E5;OR10V1;OR4D9;OR2W1;OR13C4;OR8H3;OR2D3;OR4K3;OR2B2;OR5AC2;OR51F1;OR1L1;OR2C1;OR13C2;OR11A1;OR51S1;OR52I1;OR2W3;OR5B12;OR7A5;OR2L2;OR6Q1;OR9K2;OR6Y1;OR5K3;OR10K1;OR5M11;OR8J1;OR5I1;OR4K2;OR2A25;OR6K6;GNG13;CNGA4;OR5B17;OR6C68;OR3A2;OR10G9;OR1D2;OR4F15;OR2B6;OR2V2;OR8H1;OR13H1;OR1D5;OR8D1;OR13C9"
"Complex I Biogenesis R-HSA-6799198",1.30466979369426e-09,3.63350537543851e-07,0.788186810800237,-0.561342460858518,-2.85832236406453,51,"NDUFB6;TMEM126B;NDUFA13;ACAD9;NDUFV2;NDUFAB1;NDUFA1;NDUFB8;NDUFS4;NDUFS5;NDUFB10;NDUFB2;NDUFV1;NDUFS8;NDUFAF4;NDUFC1;NDUFB4;NDUFA10;NDUFA2;COA1;NDUFS3;NDUFB3;NDUFA12"
"Cristae Formation R-HSA-8949613",3.54313769309428e-09,7.60154015871725e-07,0.774939030136436,-0.691665179559482,-3.08474058353699,29,"ATP5F1A;ATP5F1B;ATP5MC3;ATP5MC2;HSPA9;ATP5F1D;ATP5MC1;ATP5PO;ATP5ME;APOO;ATP5MF;TMEM11;ATP5PB;MTX2;ATP5PF"
"Eukaryotic Translation Termination R-HSA-72764",4.09418680002724e-09,7.60154015871725e-07,0.761460801445585,0.561656463939863,2.03383234770717,89,"RPS28;RPL21;RPL7;RPS24;RPS3A;RPSA;RPS10;RPL32;RPL6;RPS11;RPS4X;RPS15A;RPS27A;RPL37A;RPS8;RPL37;RPL7A;RPS27;RPL5;RPL36A;RPL34;RPL26;RPL30;RPL26L1;RPL39;RPL19;RPL23A;N6AMT1;RPL18A;RPS2;RPS13;TRMT112;RPL10A;RPS23;RPL12;RPL4;RPL31;RPL27A;RPL22"
"Keratinization R-HSA-6805567",1.39303717188668e-08,2.21691915640251e-06,0.747739663149885,0.461802082551336,1.76779373697176,192,"KRTAP12-3;KRTAP10-3;PKP4;KRTAP10-7;KRT8;KRT18;KRTAP9-4;KRT34;KRTAP21-1;KRTAP10-2;KRTAP12-2;KRTAP10-6;KRTAP5-1;KRTAP9-2;KRT72;KRTAP10-1;LIPN;LCE3D;LORICRIN;KRTAP8-1;LCE5A;PERP;LCE1D;KRT77;KRTAP20-1;KRTAP12-4;KRT84;KRTAP2-3;KRTAP9-6;KRT4;SPRR2A;KRT80;KRT23;KRTAP15-1;PI3;KRT75;LCE3E;LCE3A;LIPM;CELA2A;KRTAP4-4;KRT76;SPINK9;KRTAP3-2;KRTAP26-1;KRT16;DSC3;KRT38;PPL;KRTAP13-3;KRTAP21-3;KRT3;KRT24;KRTAP4-1;KRTAP20-2;KRTAP9-3;KRTAP1-3;KRTAP5-2;DSG1;KRT20;CASP14;KRTAP13-1;CDSN;KRT33B;KRTAP29-1;DSG2;CSTA;SPRR2E;KRTAP5-7;SPRR2G;KRTAP11-1;KRTAP10-12;KRT83;KRT36;KRTAP19-1;JUP;LCE3B;KRT10;KRTAP1-4;DSG3;KRTAP9-1;KLK14;KRTAP3-1;KRTAP12-1;KRT25;SPRR2B;KRTAP13-4;KRTAP4-2;RPTN;SPINK5;DSPP;KRT26;KRTAP5-4;KRT17;KRTAP25-1;KRTAP1-1;KLK13;TGM1;LIPK;LCE2A;KRTAP13-2;KRTAP10-8;SPINK6;KRTAP19-5;KRT79"
"Nonsense Mediated Decay (NMD) Independent Of Exon Junction Complex (EJC) R-HSA-975956",2.317792492966e-08,3.22752604645516e-06,0.73376198835648,0.54313549499799,1.96831362828689,91,"RPS28;RPL21;RPL7;RPS24;RPS3A;RPSA;RPS10;RPL32;RPL6;RPS11;RPS4X;RPS15A;RPS27A;RPL37A;RPS8;RPL37;RPL7A;RPS27;RPL5;RPL36A;RPL34;RPL26;RPL30;RPL26L1;RPL39;RPL19;RPL23A;RPL18A;RPS2;RPS13;RPL10A;RPS23;RPL12;RPL4;RPL31;RPL27A;RPL22"
"Peptide Chain Elongation R-HSA-156902",3.58638322672619e-08,3.63202810415725e-06,0.719512826338911,0.561316076810699,2.02559946031591,83,"RPS28;RPL21;RPL7;RPS24;RPS3A;RPSA;RPS10;RPL32;RPL6;RPS11;RPS4X;RPS15A;RPS27A;RPL37A;RPS8;RPL37;RPL7A;RPS27;RPL5;RPL36A;RPL34;RPL26;RPL30;RPL26L1;RPL39;RPL19;RPL23A;RPL18A;RPS2;RPS13;RPL10A;RPS23;RPL12;RPL4;RPL31;RPL27A;RPL22;RPL38;RPL35;RPL14"
"Selenocysteine Synthesis R-HSA-2408557",3.11137339585589e-08,3.63202810415725e-06,0.719512826338911,0.545713113712849,1.97609936766619,89,"RPS28;RPL21;RPL7;RPS24;RPS3A;RPSA;RPS10;RPL32;RPL6;RPS11;RPS4X;RPS15A;RPS27A;RPL37A;SECISBP2;RPS8;RPL37;RPL7A;RPS27;RPL5;RPL36A;RPL34;RPL26;RPL30;RPL26L1;RPL39;RPL19;RPL23A;RPL18A;RPS2;RPS13;RPL10A;RPS23;RPL12;RPL4;RPL31;RPL27A;RPL22;RPL38;RPL35;RPL14;PSTK;RPS25;RPL10L;RPL9"
