"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"L13a-mediated Translational Silencing Of Ceruloplasmin Expression R-HSA-156827",1.08501311847364e-48,1.26621030925874e-45,1.82023946954892,0.840595501814354,3.85279823500482,107,"RPL21;RPL32;RPS28;RPS12;RPL30;RPL7;RPS27A;RPL19;RPL37;RPS3A;RPS6;RPS23;RPSA;RPL39;RPS8;RPS10;RPL37A;RPS27;RPL5;RPL34;RPL18A;RPS11;RPS7;RPS24;RPL27A;RPS2;RPS9;RPS13;RPL6;RPS14;RPS29;RPS4X;RPL12;RPS20;RPL7A;RPS19;RPS17;RPL9;RPS16;RPS3;RPL22;RPL35;RPL36A;RPL26;RPS25;RPL4;RPL38;RPL29;RPL28;RPS15A;RPL31;RPS5;RPLP0;RPL14;RPS21;EIF3L;RPL18;RPL10A;FAU;EIF3J;EIF4B;EIF3F;PABPC1;RPLP2;RPS15;RPL36AL;RPL11;RPLP1;UBA52;RPL15;RPL35A"
"Formation Of A Pool Of Free 40S Subunits R-HSA-72689",1.6928280112561e-46,7.45743299297317e-44,1.77997642918922,0.854913460990656,3.81216440135917,97,"RPL21;RPL32;RPS28;RPS12;RPL30;RPL7;RPS27A;RPL19;RPL37;RPS3A;RPS6;RPS23;RPSA;RPL39;RPS8;RPS10;RPL37A;RPS27;RPL5;RPL34;RPL18A;RPS11;RPS7;RPS24;RPL27A;RPS2;RPS9;RPS13;RPL6;RPS14;RPS29;RPS4X;RPL12;RPS20;RPL7A;RPS19;RPS17;RPL9;RPS16;RPS3;RPL22;RPL35;RPL36A;RPL26;RPS25;RPL4;RPL38;RPL29;RPL28;RPS15A;RPL31;RPS5;RPLP0;RPL14;RPS21;EIF3L;RPL18;RPL10A;FAU;EIF3J;EIF3F;RPLP2;RPS15;RPL36AL;RPL11;RPLP1;UBA52;RPL15;RPL35A"
"Nonsense Mediated Decay (NMD) Independent Of Exon Junction Complex (EJC) R-HSA-975956",1.91707789022447e-46,7.45743299297317e-44,1.77414997679975,0.86481091868049,3.82890884523644,91,"RPL21;RPL32;RPS28;RPS12;RPL30;RPL7;RPS27A;RPL19;RPL37;RPS3A;RPS6;RPS23;RPSA;RPL39;RPS8;RPS10;RPL37A;RPS27;RPL5;RPL34;RPL18A;RPS11;RPS7;RPS24;RPL27A;RPS2;RPS9;RPS13;RPL6;RPS14;RPS29;RPS4X;RPL12;RPS20;RPL7A;RPS19;RPS17;RPL9;RPS16;RPS3;RPL22;RPL35;RPL36A;RPL26;RPS25;RPL4;RPL38;RPL29;RPL28;RPS15A;RPL31;RPS5;RPLP0;RPL14;RPS21;RPL18;RPL10A;FAU;PABPC1;RPLP2;RPS15;RPL36AL;RPL11;RPLP1;UBA52;RPL15;RPL35A"
"Cap-dependent Translation Initiation R-HSA-72737",7.26429443185134e-46,2.11935790049263e-43,1.7624392879181,0.822365078169867,3.82953377372675,115,"RPL21;RPL32;RPS28;RPS12;RPL30;RPL7;RPS27A;RPL19;RPL37;RPS3A;RPS6;RPS23;RPSA;RPL39;RPS8;RPS10;RPL37A;RPS27;RPL5;RPL34;RPL18A;RPS11;RPS7;RPS24;RPL27A;RPS2;RPS9;RPS13;RPL6;RPS14;RPS29;RPS4X;RPL12;RPS20;RPL7A;RPS19;RPS17;RPL9;RPS16;RPS3;RPL22;RPL35;RPL36A;RPL26;RPS25;RPL4;RPL38;RPL29;RPL28;RPS15A;RPL31;RPS5;RPLP0;RPL14;RPS21;EIF3L;RPL18;RPL10A;FAU;EIF3J;EIF4B;EIF3F;PABPC1;RPLP2;RPS15;RPL36AL;RPL11;RPLP1;UBA52;RPL15;RPL35A"
"GTP Hydrolysis And Joining Of 60S Ribosomal Subunit R-HSA-72706",2.62304542306565e-45,6.12218801743523e-43,1.75655466618793,0.832988244586299,3.83008721906688,108,"RPL21;RPL32;RPS28;RPS12;RPL30;RPL7;RPS27A;RPL19;RPL37;RPS3A;RPS6;RPS23;RPSA;RPL39;RPS8;RPS10;RPL37A;RPS27;RPL5;RPL34;RPL18A;RPS11;RPS7;RPS24;RPL27A;RPS2;RPS9;RPS13;RPL6;RPS14;RPS29;RPS4X;RPL12;RPS20;RPL7A;RPS19;RPS17;RPL9;RPS16;RPS3;RPL22;RPL35;RPL36A;RPL26;RPS25;RPL4;RPL38;RPL29;RPL28;RPS15A;RPL31;RPS5;RPLP0;RPL14;RPS21;EIF3L;RPL18;RPL10A;FAU;EIF3J;EIF4B;EIF3F;RPLP2;RPS15;RPL36AL;RPL11;RPLP1;UBA52;RPL15;RPL35A"
"Viral mRNA Translation R-HSA-192823",3.52241996318562e-45,6.85110682839603e-43,1.75065026404932,0.864378083881567,3.79142947268059,89,"RPL21;RPL32;RPS28;RPS12;RPL30;RPL7;RPS27A;RPL19;RPL37;RPS3A;RPS6;RPS23;RPSA;RPL39;RPS8;RPS10;RPL37A;RPS27;RPL5;RPL34;RPL18A;RPS11;RPS7;RPS24;RPL27A;RPS2;RPS9;RPS13;RPL6;RPS14;RPS29;RPS4X;RPL12;RPS20;RPL7A;RPS19;RPS17;RPL9;RPS16;RPS3;RPL22;RPL35;RPL36A;RPL26;RPS25;RPL4;RPL38;RPL29;RPL28;RPS15A;RPL31;RPS5;RPLP0;RPL14;RPS21;RPL18;RPL10A;FAU;RPLP2;RPS15;RPL36AL;RPL11;RPLP1;UBA52;RPL15;RPL35A"
"Nonsense Mediated Decay (NMD) Enhanced By Exon Junction Complex (EJC) R-HSA-975957",5.40631338061447e-45,9.01309673596727e-43,1.75065026404932,0.819192436204938,3.79805333106158,111,"RPL21;RPL32;RPS28;RPS12;RPL30;RPL7;RPS27A;RPL19;RPL37;RPS3A;RPS6;RPS23;RPSA;RPL39;RPS8;RPS10;RPL37A;RPS27;RPL5;RPL34;RPL18A;RPS11;RPS7;RPS24;RPL27A;RPS2;RPS9;RPS13;RPL6;CASC3;RPS14;RPS29;RPS4X;RPL12;RPS20;RPL7A;RPS19;RPS17;RPL9;RPS16;RPS3;RPL22;RPL35;RPL36A;RPL26;RPS25;RPL4;RPL38;RPL29;RPL28;RPS15A;RPL31;RPS5;RPLP0;RPL14;RPS21;RPL18;RPL10A;FAU;PABPC1;UPF3A;RPLP2;RPS15;RPL36AL;RPL11;RPLP1;UBA52;RPL15;RPL35A"
"Peptide Chain Elongation R-HSA-156902",1.12709608118731e-44,1.64415140843199e-42,1.7387813118488,0.875205123380589,3.80650862966104,83,"RPL21;RPL32;RPS28;RPS12;RPL30;RPL7;RPS27A;RPL19;RPL37;RPS3A;RPS6;RPS23;RPSA;RPL39;RPS8;RPS10;RPL37A;RPS27;RPL5;RPL34;RPL18A;RPS11;RPS7;RPS24;RPL27A;RPS2;RPS9;RPS13;RPL6;RPS14;RPS29;RPS4X;RPL12;RPS20;RPL7A;RPS19;RPS17;RPL9;RPS16;RPS3;RPL22;RPL35;RPL36A;RPL26;RPS25;RPL4;RPL38;RPL29;RPL28;RPS15A;RPL31;RPS5;RPLP0;RPL14;RPS21;RPL18;RPL10A;FAU;RPLP2;RPS15;RPL36AL;RPL11;RPLP1;UBA52;RPL15;RPL35A"
"Eukaryotic Translation Elongation R-HSA-156842",1.09165118255857e-42,1.41550770005095e-40,1.7026781142338,0.861760729456361,3.76420635307028,87,"RPL21;RPL32;RPS28;RPS12;RPL30;RPL7;RPS27A;RPL19;RPL37;RPS3A;RPS6;RPS23;RPSA;RPL39;RPS8;RPS10;RPL37A;RPS27;RPL5;RPL34;RPL18A;RPS11;RPS7;RPS24;RPL27A;RPS2;RPS9;RPS13;RPL6;RPS14;RPS29;RPS4X;RPL12;RPS20;RPL7A;RPS19;RPS17;RPL9;RPS16;RPS3;EEF1D;RPL22;RPL35;RPL36A;RPL26;RPS25;RPL4;RPL38;RPL29;RPL28;RPS15A;RPL31;RPS5;RPLP0;RPL14;RPS21;RPL18;RPL10A;FAU;EEF1G;EEF1B2;RPLP2;RPS15;RPL36AL;RPL11;RPLP1;UBA52;RPL15;RPL35A"
"Selenocysteine Synthesis R-HSA-2408557",1.95570711821979e-42,2.28231020696249e-40,1.69658622309628,0.853216248331728,3.74247021160951,89,"RPL21;RPL32;RPS28;RPS12;RPL30;RPL7;RPS27A;RPL19;RPL37;RPS3A;RPS6;RPS23;RPSA;RPL39;RPS8;RPS10;RPL37A;RPS27;RPL5;RPL34;RPL18A;RPS11;RPS7;RPS24;RPL27A;RPS2;RPS9;RPS13;RPL6;RPS14;RPS29;RPS4X;RPL12;RPS20;RPL7A;RPS19;RPS17;RPL9;RPS16;RPS3;RPL22;RPL35;RPL36A;RPL26;RPS25;RPL4;RPL38;RPL29;RPL28;RPS15A;RPL31;RPS5;RPLP0;RPL14;RPS21;RPL18;RPL10A;FAU;RPLP2;RPS15;RPL36AL;RPL11;RPLP1;UBA52;RPL15;RPL35A"
"Eukaryotic Translation Termination R-HSA-72764",4.63895118008716e-42,4.92150547923793e-40,1.69047237898449,0.851430147243767,3.73463582011769,89,"RPL21;RPL32;RPS28;RPS12;RPL30;RPL7;RPS27A;RPL19;RPL37;RPS3A;RPS6;RPS23;RPSA;RPL39;RPS8;RPS10;RPL37A;RPS27;RPL5;RPL34;RPL18A;RPS11;RPS7;RPS24;RPL27A;RPS2;RPS9;RPS13;RPL6;RPS14;RPS29;RPS4X;RPL12;RPS20;RPL7A;RPS19;RPS17;RPL9;RPS16;RPS3;RPL22;RPL35;RPL36A;RPL26;RPS25;RPL4;RPL38;RPL29;RPL28;RPS15A;RPL31;RPS5;RPLP0;RPL14;RPS21;RPL18;RPL10A;FAU;RPLP2;RPS15;RPL36AL;RPL11;RPLP1;UBA52;RPL15;RPL35A"
"Response Of EIF2AK4 (GCN2) To Amino Acid Deficiency R-HSA-9633012",3.16500367045408e-41,3.07796606951659e-39,1.67199671627594,0.831256334632726,3.70667436165895,97,"RPL21;RPL32;RPS28;RPS12;RPL30;RPL7;RPS27A;RPL19;RPL37;RPS3A;RPS6;RPS23;RPSA;RPL39;RPS8;RPS10;RPL37A;RPS27;RPL5;RPL34;RPL18A;RPS11;RPS7;RPS24;RPL27A;RPS2;RPS9;RPS13;RPL6;RPS14;RPS29;RPS4X;RPL12;RPS20;RPL7A;RPS19;RPS17;RPL9;RPS16;RPS3;RPL22;RPL35;RPL36A;RPL26;RPS25;RPL4;RPL38;RPL29;RPL28;RPS15A;RPL31;RPS5;ATF4;RPLP0;RPL14;RPS21;RPL18;RPL10A;FAU;RPLP2;RPS15;RPL36AL;RPL11;RPLP1;UBA52;RPL15;RPL35A"
