"gene","statistic","p.value","p_adj"
"FCF1",0.416751302339619,2.21814492681861e-09,1.34041682558726e-06
"ZNF720",0.402957655919904,8.21499153175233e-09,4.26175505130574e-06
"PRSS22",0.399628215390133,1.11693684685057e-08,5.48945067152138e-06
"VWA1",0.395815892261194,1.58127397266265e-08,7.16980588900448e-06
"SLC25A47",0.39560069458113,1.61240012496353e-08,7.16980588900448e-06
"SPATA46",0.395189544541983,1.67351782600871e-08,7.22798194855877e-06
"DEUP1",0.392022814453236,2.22505921121614e-08,9.03374039753755e-06
"DNAH12",0.390654647088926,2.51413731049457e-08,9.99021881080777e-06
"BRWD3",0.387743354896841,3.25436953789178e-08,1.14550153217577e-05
"DPPA5",0.384146229447965,4.46122136222933e-08,1.38862950268325e-05
"SOX14",0.38147112983156,5.62685408475572e-08,1.67404885769979e-05
"OR5H15",0.381247184278322,5.73672771968228e-08,1.67404885769979e-05
"ROPN1B",0.379301657284573,6.78207151222982e-08,1.9095740011882e-05
"SERTAD4",0.377496096261596,7.91420525054243e-08,2.14211155448015e-05
"CPSF4L",0.376598564474012,8.54247909899471e-08,2.27913342361179e-05
"C4orf46",0.376164669964615,8.86312089019584e-08,2.33137529218729e-05
"PGAM5",0.372399585350812,1.21750958408805e-07,3.00769958501559e-05
"GPAM",0.372336600663964,1.22395142675725e-07,3.00769958501559e-05
"POTEG",0.372005931058011,1.25831135920198e-07,3.05197700577352e-05
"LEUTX",0.36909638844056,1.60327950383717e-07,3.6515668309345e-05
"HSPA1A",0.367514772970821,1.82714993821098e-07,4.03755964259059e-05
"REG3G",0.367280329969776,1.86278451846042e-07,4.03755964259059e-05
"KLRC2",0.367163108469253,1.88085076518195e-07,4.03755964259059e-05
"GOLGA6L6",0.365738954716635,2.11420826563983e-07,4.38721706323217e-05
"IMMP2L",0.365214082326234,2.20701818679627e-07,4.52948040182497e-05
"SGO2",0.365068867631557,2.23337747412529e-07,4.53375627247435e-05
"AQR",0.364010374977584,2.43483707976433e-07,4.78424688429193e-05
"MAP3K21",0.363887904753157,2.45924020610423e-07,4.78424688429193e-05
"PSG5",0.363335039168602,2.57235020494349e-07,4.86044074081749e-05
"KCTD4",0.363191574048559,2.60250628658036e-07,4.86044074081749e-05
"XRCC2",0.363032362756805,2.63636867003712e-07,4.87493280015972e-05
"ANKRD66",0.36261071526985,2.72809975606723e-07,4.99509716120702e-05
"GIPC2",0.361881142647194,2.89408892978716e-07,5.24757328667038e-05
"KRTAP10-6",0.361405258346564,3.00752720440228e-07,5.40082481436701e-05
"BAAT",0.360574210395098,3.21591305704975e-07,5.66607474089255e-05
"OR1J1",0.358273519750511,3.86742510946869e-07,6.67754024760485e-05
"HOXA13",0.358177293145604,3.89725790848645e-07,6.67754024760485e-05
