"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"Expression And Translocation Of Olfactory Receptors R-HSA-9752946",3.75942623582232e-09,2.04324815916943e-06,0.761460801445585,0.396227583222493,1.55393946704431,373,"OR14K1;OR10G4;OR10Z1;OR52E4;OR52E2;OR5B2;OR4D10;OR5H14;OR2W3;OR5D16;OR5H2;OR9Q2;EBF1;OR6C6;OR2AT4;OR4N4;OR12D3;OR2L5;OR2G6;OR4F17;OR1L8;OR5L1;OR56A5;OR2M5;OR56A1;OR5M3;OR52M1;OR10H3;OR2J3;OR10X1;OR2T8;OR2A1;RTP2;OR1E1;OR13J1;OR2T5;OR4E1;OR9K2;OR11H1;OR4C3;OR11L1;OR4C13;OR5AS1;OR5J2;OR52E8;OR4C15;OR51B2;OR11G2;OR14C36;OR10S1;OR4C16;OR2G2;OR12D2;OR2S2;OR4C5;OR2T12;OR4F15;OR8I2;OR4N2;OR2A4;OR6Y1;OR4K13;OR7A10;OR2C1;OR10J1;OR4D5;OR51E1;OR9Q1;OR4F21;OR13F1;OR8U9;OR8K5;OR51F2;OR1L4;OR3A1;OR10AD1;OR9I1;OR2L2;OR4K14;OR1L3;OR2A12;OR5AR1;OR4K5;OR5L2;OR2B3;OR11H4;OR51M1;OR2H2;OR5V1;OR2F2;OR8K1;OR6X1;OR13D1;OR2L8;OR4A47;OR6T1;OR51E2;OR1J4;OR52A5;OR8G1;OR7A5;OR8D4;OR5H1;OR5M9;OR4D6;OR5T2;OR5D14;OR52L1;OR10G7;OR10A5;RTP1;OR3A2;OR2D3;OR5C1;OR5K4;OR6N2;OR5AU1;OR2T3;OR52E5;OR5M1;OR2A2;OR4C46;OR2L13;OR52B6;OR51Q1;OR4A5;OR2A14;OR5M8;OR1M1;OR2H1;OR52N2;OR1D5;OR2M2;OR51B4;OR7D4;OR5B21;OR10A4;OR13C8;OR2V2;OR4L1;OR52J3;OR8A1;OR1K1;OR4C45;OR5AC2;OR14A16;OR6C4;OR7A17;OR13A1;OR2A7;OR2W1;OR2AG2;OR1S1;OR6J1;OR2T34;OR1S2;OR2B2;OR13C3;OR4C11;OR8S1;OR6Q1;OR8B12;OR7G2;OR10H1;OR4D11;OR7D2;OR5F1;OR10G2;OR52K1;OR52D1;OR10T2;OR51I2;OR4K15;OR4K3;OR9G9;OR1B1;OR6C2;OR4Q3;OR1A2;OR51S1;OR11H7;OR7C2;OR10A3;OR5B12;OR5A1;OR7C1;OR56B1;OR7G3;OR52B2;OR51A7;OR51G2;OR10J5;OR2T35;OR5K3;OR51F1;OR7E24;OR2T1;OR8K3;OR6C70;OR8H3;OR2C3;OR51D1;OR2V1;OR10K2;OR52A1;OR5K2;OR4D9;OR2AP1;OR2G3;OR4Q2;OR8U3;OR6C75;OR13C4;OR5AK2;OR8D1;OR10A2;OR10J4;OR6F1;OR6V1;OR2A5;OR1L1;OR10W1;OR8H1;OR10V1;OR52W1;OR8B4;OR6P1;OR5B3;OR52E6;OR2T11;OR14J1;OR5K1;OR52N4;OR5M10;OR11A1;OR51G1;OR10C1;OR56B4"
"Olfactory Signaling Pathway R-HSA-381753",3.21335673752407e-09,2.04324815916943e-06,0.774939030136436,0.395571043750152,1.5537070480503,381,"OR14K1;OR10G4;OR10Z1;OR52E4;OR52E2;OR5B2;OR4D10;OR5H14;OR2W3;OR5D16;OR5H2;OR9Q2;EBF1;OR6C6;OR2AT4;OR4N4;OR12D3;OR2L5;GNAL;OR2G6;OR4F17;OR1L8;OR5L1;OR56A5;OR2M5;OR56A1;OR5M3;CNGA4;OR52M1;OR10H3;OR2J3;OR10X1;OR2T8;OR2A1;RTP2;OR1E1;OR13J1;OR2T5;OR4E1;OR9K2;OR11H1;OR4C3;OR11L1;OR4C13;OR5AS1;OR5J2;OR52E8;OR4C15;OR51B2;OR11G2;OR14C36;OR10S1;OR4C16;OR2G2;OR12D2;OR2S2;OR4C5;OR2T12;OR4F15;OR8I2;OR4N2;OR2A4;OR6Y1;OR4K13;OR7A10;OR2C1;OR10J1;OR4D5;OR51E1;OR9Q1;OR4F21;OR13F1;OR8U9;OR8K5;OR51F2;OR1L4;OR3A1;OR10AD1;OR9I1;OR2L2;OR4K14;OR1L3;OR2A12;OR5AR1;OR4K5;OR5L2;OR2B3;OR11H4;OR51M1;OR2H2;OR5V1;OR2F2;OR8K1;OR6X1;OR13D1;OR2L8;OR4A47;OR6T1;OR51E2;OR1J4;OR52A5;OR8G1;OR7A5;OR8D4;OR5H1;OR5M9;OR4D6;OR5T2;OR5D14;OR52L1;OR10G7;OR10A5;RTP1;OR3A2;OR2D3;OR5C1;OR5K4;OR6N2;OR5AU1;OR2T3;ANO2;OR52E5;OR5M1;OR2A2;OR4C46;OR2L13;OR52B6;OR51Q1;OR4A5;OR2A14;OR5M8;OR1M1;OR2H1;OR52N2;OR1D5;OR2M2;OR51B4;OR7D4;OR5B21;OR10A4;OR13C8;OR2V2;OR4L1;OR52J3;OR8A1;OR1K1;OR4C45;OR5AC2;OR14A16;OR6C4;OR7A17;OR13A1;OR2A7;OR2W1;OR2AG2;OR1S1;OR6J1;OR2T34;OR1S2;OR2B2;OR13C3;OR4C11;OR8S1;OR6Q1;OR8B12;OR7G2;OR10H1;OR4D11;OR7D2;OR5F1;OR10G2;OR52K1;OR52D1;OR10T2;OR51I2;OR4K15;OR4K3;OR9G9;OR1B1;OR6C2;OR4Q3;OR1A2;OR51S1;OR11H7;OR7C2;OR10A3;OR5B12;OR5A1;OR7C1;OR56B1;OR7G3;OR52B2;OR51A7;OR51G2;OR10J5;OR2T35;OR5K3;OR51F1;OR7E24;OR2T1;OR8K3;OR6C70;OR8H3;OR2C3;OR51D1;OR2V1;OR10K2;OR52A1;OR5K2;OR4D9;OR2AP1;OR2G3;OR4Q2;GNG13;OR8U3;OR6C75;OR13C4;OR5AK2;OR8D1;OR10A2;OR10J4;OR6F1;OR6V1;OR2A5;OR1L1;OR10W1;OR8H1;OR10V1;OR52W1;OR8B4;CNGB1;OR6P1;OR5B3;OR52E6;OR2T11;OR14J1;OR5K1;OR52N4;OR5M10;OR11A1;OR51G1;OR10C1;OR56B4"
"Smooth Muscle Contraction R-HSA-445355",4.57063451188941e-08,1.65609323814126e-05,0.719512826338911,0.638964988250101,2.12199292639036,42,"MYL9;ACTA2;ANXA1;TPM2;TLN1;CALD1;MYL12A;CACNA1H;ITGB5;TRIM72;MYL6;LMOD1;TPM4;ANXA2;PXDN;ENTHD1;MYH11;MYL10;PDE5A;MYL7;TPM1;ITGA1;CACNA1G"
"Formation Of ATP By Chemiosmotic Coupling R-HSA-163210",1.16236937431034e-07,2.52699101975069e-05,0.704975715167238,-0.782831268448968,-3.27371547358326,16,"ATP5MC2;ATP5PO;ATP5F1A;ATP5F1B;ATP5ME;ATP5F1D;ATP5MF;ATP5PF;ATP5PD;ATP5MC3;ATP5F1C;ATP5MC1"
"Glutamate Neurotransmitter Release Cycle R-HSA-210500",9.9554400553563e-08,2.52699101975069e-05,0.704975715167238,-0.65112111749254,-2.93183200486408,23,"VAMP2;TSPOAP1;SNAP25;PPFIA2;ARL6IP5;SYT1;RAB3A;SLC1A3;STXBP1;SLC1A2;CPLX1;SLC17A7"
"Iron Uptake And Transport R-HSA-917937",2.91484830738601e-07,5.280733516881e-05,0.674962860011025,-0.415081640759515,-2.62492957007218,57,"ATP6AP1;TF;SLC22A17;ATP6V0B;ATP6V1B2;ATP6V0D1;ATP6V0E2;ATP6V0C;ATP6V1G2;SKP1;FBXL5;ATP6V1A;SLC11A2;ATP6V0A1;FTH1;ATP6V1F;ATP6V1H;FLVCR1"
"Immunoregulatory Interactions Between A Lymphoid And A non-Lymphoid Cell R-HSA-198933",4.64496412609352e-07,7.21296572151951e-05,0.674962860011025,0.478426285692608,1.7841451418619,115,"ICAM2;HLA-E;IFITM1;TREML1;B2M;HLA-F;NCR3;HLA-G;SIGLEC9;CD8B;HLA-A;CD300LF;CLEC4G;HLA-C;MICB;CD8A;NECTIN2;SLAMF7;TARP;CD300LG;CD3E;ULBP1;CLEC1B;ICAM1;FCGR1A;LILRB4;CD40;CD300LB;TYROBP;CXADR;CD1E;MICA;SIGLEC5;CD247;SIGLEC10;OSCAR;FCGR2B;SLAMF6;CD300C;KIR2DS2;ITGB2;CD81;CD300LD;ULBP3;SH2D1B;ITGB1;SH2D1A;SIGLEC8;VCAM1;SIGLEC1;NCR3LG1;CD226;KLRF1;LILRA5;KIR3DL1;ITGA4;ICAM3;ITGAL"
"Dopamine Neurotransmitter Release Cycle R-HSA-212676",7.66841779618099e-07,0.000104194626805609,0.659444398037935,-0.608929075758767,-2.74185202267275,23,"VAMP2;TSPOAP1;SNAP25;SYN1;PPFIA2;SYT1;RAB3A;STXBP1;APBA1;CPLX1;SYN2;LIN7B;STX1A;SYN3;PPFIA1"
"Glutamate Binding, Activation Of AMPA Receptors And Synaptic Plasticity R-HSA-399721",9.5553910372897e-07,0.000115407889528155,0.643551836150722,-0.521361633350603,-2.74081719182823,31,"GRIA2;CAMK2B;EPB41L1;TSPAN7;DLG1;LLGL1;AP2A1;AP2B1;PRKCB;CAMK2D;MYO6;NSF;GRIA1;PICK1;CAMK2G;AP2S1;AP2M1;CAMK2A;CACNG8"
"Transferrin Endocytosis And Recycling R-HSA-917977",1.58651745383564e-06,0.000172454447231934,0.643551836150722,-0.512527887502317,-2.69437786652992,31,"ATP6AP1;TF;ATP6V0B;ATP6V1B2;ATP6V0D1;ATP6V0E2;ATP6V0C;ATP6V1G2;ATP6V1A;ATP6V0A1;ATP6V1F;ATP6V1H"
