"gene","statistic","p.value","p_adj"
"MYL9",0.577689424258727,2.63976252738332e-18,4.93002049614108e-14
"BCAM",0.469018094975659,8.77764391092089e-12,8.19656388401792e-08
"IGFBP4",0.462828099918207,1.77690534289974e-11,1.10618280613319e-07
"ACTA2",0.457012513832574,3.40313345971612e-11,1.58892301234146e-07
"TAGLN",0.452640326820542,5.50265550715931e-11,2.05535188503414e-07
"MGP",0.449893494644115,7.41614526561009e-11,2.30839881634224e-07
"FLNA",0.444235370275602,1.35998910576281e-10,3.62845093417517e-07
"VIM",0.435595970729616,3.36069523715592e-10,7.8455430311405e-07
"TIMP3",0.434061593775013,3.93604737256105e-10,8.16773563666113e-07
"NR4A1",0.432236787431056,4.7450067281694e-10,8.86177456552917e-07
"ICAM2",0.424753856718585,1.00950613269684e-09,1.71395786674964e-06
"COL4A1",0.421391174270755,1.40883146517713e-09,2.17756674020325e-06
"LAMB2",0.420285443101646,1.57075918907964e-09,2.17756674020325e-06
"C11orf96",0.41989353838348,1.63235887571458e-09,2.17756674020325e-06
"NOTCH3",0.414391126157453,2.78689594994587e-09,3.46987125074593e-06
"ENG",0.407877459792588,5.1850323718656e-09,6.05222903606013e-06
"TBX2",0.406192619419404,6.0751837357355e-09,6.54450907714774e-06
"IGFBP3",0.405791966828065,6.30762279870740e-09,6.54450907714774e-06
"TAGLN2",0.402602492269067,8.49003931241663e-09,8.34526179993121e-06
"BGN",0.399993876488779,1.08005794318951e-08,1.00855810735037e-05
"ADAMTS1",0.395485222655242,1.62934444609687e-08,1.44903032739549e-05
"IGFBP7",0.393949096126004,1.87173603922536e-08,1.58893373948059e-05
"S100A4",0.390093033631198,2.64298337246233e-08,2.14610249843941e-05
"MYH9",0.389578658688606,2.76655060507547e-08,2.15283746251623e-05
"FN1",0.387554400836297,3.30905250800686e-08,2.47199458558145e-05
"PDGFRB",0.386586886063326,3.60319162898643e-08,2.58820026395964e-05
"GPR4",0.38228468203668,5.24447628264858e-08,3.49806568052661e-05
"EPAS1",0.381565606861832,5.58111036891782e-08,3.59423507758308e-05
"LAMA4",0.380064471825287,6.35206461768008e-08,3.82681157418688e-05
"COL4A2",0.376946729826311,8.29327603892343e-08,4.84016322821668e-05
"HLA-E",0.376159421240711,8.86706948508061e-08,5.01822393040502e-05
"TGM2",0.375344119460956,9.50136878130893e-08,5.2190459811684e-05
"IFITM3",0.373881475066374,1.07500600296988e-07,5.73623203184725e-05
"SIK1",0.372312106619078,1.22646541129337e-07,6.27835708246998e-05
"ADIRF",0.37214414745415,1.24383814548827e-07,6.27835708246998e-05
"A2M",0.368695735849222,1.65736288019624e-07,8.14550240803813e-05
"SERPINH1",0.368069388130011,1.74543376548136e-07,8.35839000105896e-05
"FOSL2",0.35956295625626,3.48816475583351e-07,0.000162862412449867
"JAG1",0.358721410856985,3.73142019336678e-07,0.000165923817931709
"SRGN",0.357131047514073,4.23616849380173e-07,0.000176080073810189
"CD151",0.356865112169604,4.32670721703907e-07,0.000176080073810189
"GPX3",0.356835369400814,4.33694763079283e-07,0.000176080073810189
"SPANXC",0.35591159399371,4.66680186998552e-07,0.000185440833454999
"POPDC2",0.354854850914371,5.07356918156498e-07,0.000197404120906058
"DCN",0.353455191206638,5.66478467715884e-07,0.000207784618001465
"VWF",0.353434196311022,5.67413553120298e-07,0.000207784618001465
"HVCN1",0.352340712164355,6.18209394773405e-07,0.00022203228186131
"LIMS2",0.349859815332397,7.50065134958167e-07,0.000264305970952429
"S100A6",0.348841562895021,8.11621488583699e-07,0.000280700794829429
"IL32",0.348288697310466,8.47036054487477e-07,0.000287622642792875
"ANXA1",0.347163720820375,9.23708926814571e-07,0.000308056927092659
"TTR",0.346213701793751,9.93577785129041e-07,0.000319932046811551
"RPH3AL",0.344621588876204,1.12211785599274e-06,0.000349650613708681
"IFITM1",0.344607592279127,1.12331531497756e-06,0.000349650613708681
"CFH",0.344108963508247,1.16677943616942e-06,0.000357225782785246
"FOLR2",0.34222817077598,1.34561502726382e-06,0.000405333971760954
"AKNA",0.341489850280151,1.42272965660657e-06,0.00042176030264737
"TPM2",0.340648304880876,1.5157650348766e-06,0.000442319184239929
"IFI27",0.338144663578667,1.82809525100113e-06,0.000525253952426108
"LPP",0.337182397529601,1.96373690374727e-06,0.000548523295476671
"PRELID3A",0.337154404335446,1.96782291694886e-06,0.000548523295476671
"FTCD",0.335959444859968,2.14999898111296e-06,0.000575998972392772
"MUSTN1",0.33592270379264,2.15584725928437e-06,0.000575998972392772
"HSPB1",0.335903458471659,2.15891668812883e-06,0.000575998972392772
"MKNK2",0.334475805569771,2.39859277916245e-06,0.000630931249910392
"MMP21",0.333277346945024,2.61915309270058e-06,0.000679379210545502
"CLDN5",0.330719468829141,3.15620024248086e-06,0.000785935943047634
"CASQ2",0.329291815927253,3.49993224952326e-06,0.000857299149633604
"CAV1",0.329155349105749,3.53459169639042e-06,0.000857299149633604
"TGFB1I1",0.327738193651668,3.91435033828959e-06,0.000930368533705089
"FHOD1",0.327508999374527,3.97930047842501e-06,0.000930368533705089
"OR14K1",0.325629956216895,4.55180271383054e-06,0.00104949959856172
"C1orf189",0.323390500684521,5.33643154226973e-06,0.00120120725821811
"IGHA1",0.323385251960617,5.33841306661506e-06,0.00120120725821811
"S100A11",0.322445730381801,5.70458837799414e-06,0.00125757925555918
"FRZB",0.322398491866665,5.72361515969857e-06,0.00125757925555918
"APOM",0.321759897125011,5.98681535359512e-06,0.0013001135295784
"TLN1",0.320925350024275,6.34812937046195e-06,0.00136273177152583
"CEBPD",0.319343734554536,7.09039437856551e-06,0.00150477506152374
"FCF1",0.319039308568104,7.24240752458544e-06,0.00151976632504672
"MRAP",0.318187265721022,7.68447623627206e-06,0.00159461420209575
"CALD1",0.317980815914131,7.79537763572881e-06,0.00159985134862496
"RAB13",0.317394708411517,8.11855552658991e-06,0.00164806677189775
"ALKBH4",0.316469183429779,8.65488523008056e-06,0.00171955996337218
"ID3",0.31533021034261,9.36105316764951e-06,0.00184028451535813
"BAGE3",0.315027533930813,9.55770148672462e-06,0.00185937117672989
"SPATA31A6",0.314733605392189,9.75240801712005e-06,0.00187769043430654
"BNIP1",0.314338201524754,1.00202692661469e-05,0.00190957702872
"LAMA5",0.31333569525909,1.07309893882389e-05,0.00202436321025
"TGFBR2",0.312084749395303,1.16848929590221e-05,0.00217561614925001
"FILIP1",0.311881798737682,1.18470266347543e-05,0.00217561614925001
"METTL16",0.311838059371815,1.18822471205559e-05,0.00217561614925001
"ZNF578",0.311491643594151,1.2164715930097e-05,0.00220571101660671
"NLRP1",0.310233699431826,1.32448292694521e-05,0.00235581363272655
"ID1",0.309952017915644,1.34988260672957e-05,0.00237834033615862
"OR10G4",0.309623097884327,1.38012514157115e-05,0.0023865941799984
"LIF",0.309623097884327,1.38012514157115e-05,0.0023865941799984
"GBGT1",0.309323920621799,1.4081887105674e-05,0.0024127827851887
"SIX5",0.30915946060614,1.42384455367042e-05,0.00241742917130443
"TGM1",0.308403644363964,1.49793597062123e-05,0.00249780823101089
"RAX2",0.308111465399975,1.52754335920206e-05,0.00252463714835909
"TMEM171",0.307882271122833,1.55115476627259e-05,0.0025411724925357
"TMEM35B",0.30718768999287,1.62483561532762e-05,0.00263873303929206
"NDUFA4L2",0.306961994864998,1.64948114170738e-05,0.00265566463814889
"TEX30",0.306802783573244,1.66707888166985e-05,0.00266105685419369
"PPP1R3B",0.305802026882214,1.78182320967312e-05,0.00282011273422501
"AEBP1",0.30553784111238,1.81333676747094e-05,0.00284587205624263
"ADAP2",0.305163432140561,1.85890162157312e-05,0.0028858316353458
"RNF152",0.305075953408827,1.86970244097688e-05,0.0028858316353458
"CNN2",0.304601818682833,1.92928206031827e-05,0.00294806099032155
"ETS1",0.30424840460663,1.97485392471151e-05,0.0029743848304768
"MMP13",0.303954476068006,2.01352791161625e-05,0.00300837178218761
"FLAD1",0.303219654721446,2.11336632319324e-05,0.00310781334267377
"COL1A2",0.302974714272592,2.14767194290953e-05,0.00313358759420144
"RAD51D",0.302308126336784,2.24371451379061e-05,0.00317117887675669
"GMEB1",0.30225388952311,2.25170483499324e-05,0.00317117887675669
"LHFPL6",0.302199652709435,2.25972201452703e-05,0.00317117887675669
"SLC2A1",0.302094678231355,2.27531575008244e-05,0.00317117887675669
"OR10Z1",0.301937216514235,2.29889694449151e-05,0.00318031106187581
"OR52E4",0.30167652989367,2.33844477196621e-05,0.00321123489420889
"CFAP221",0.301118415585211,2.42528381638429e-05,0.00328221743150674
"RIPK1",0.300878723860261,2.46350484415553e-05,0.0033099580193848
"HSPB6",0.30017714443176,2.57867112665605e-05,0.00341555049371832
"PRDM6",0.299846474825808,2.63469558765444e-05,0.00346518132359397
"PIK3C2A",0.299164140718288,2.75395107073206e-05,0.00359669861517427
"ZNF98",0.29849755278248,2.87535667977386e-05,0.00372917787162894
"SLIT3",0.298385580005861,2.896238908711e-05,0.00373035571441976
"XAF1",0.298016419757946,2.96610244862108e-05,0.0037683625394862
"MAPK12",0.297565029502202,3.05368761061652e-05,0.00385342363620771
"PPIP5K2",0.297251855642597,3.11588042429617e-05,0.00390551562443995
"RCSD1",0.29607964063737,3.35942908301168e-05,0.00418271317028841
"TMEM238",0.295782212949477,3.42401839657689e-05,0.00423207143467571
"LAPTM5",0.295689485493839,3.44439311453581e-05,0.00423207143467571
"KLF2",0.295451543343525,3.49719925239589e-05,0.00426886883906835
"HNMT",0.295063137774629,3.58503920530429e-05,0.00434767481806902
"GLP2R",0.29476745966137,3.65329707725904e-05,0.00439011669759278
"ZNF789",0.294653737310116,3.67987455383211e-05,0.00439011669759278
"TMPRSS13",0.294608248369615,3.69055644421753e-05,0.00439011669759278
"TFF2",0.293820939784015,3.88012569659544e-05,0.0045864068044061
"AFAP1L2",0.292818433518351,4.13479402026536e-05,0.00482633832015474
"C9orf47",0.292517506681188,4.21425736915013e-05,0.0048321375451856
"SERPING1",0.292447523695801,4.23294209006594e-05,0.0048321375451856
"ST6GALNAC4",0.292396786031396,4.24653723361555e-05,0.0048321375451856
"PTPN14",0.292312806448932,4.26912987232611e-05,0.0048321375451856
"CALHM2",0.291312049757903,4.5472106804418e-05,0.00511588594385127
"CD93",0.291039116114895,4.6259574092231e-05,0.00517331620207489
"SEPTIN14",0.290316541790777,4.84067292740682e-05,0.0053578965989894
"KRTAP9-4",0.290166078372196,4.88654709689352e-05,0.0053578965989894
"CLIC1",0.290159080073657,4.88869069705279e-05,0.0053578965989894
"USP28",0.290096095386809,4.90802293009247e-05,0.0053578965989894
"ZIC1",0.29001036622971,4.93445178317722e-05,0.0053578965989894
"PLA2R1",0.289802166848185,4.99919434380825e-05,0.00539171223706717
"COX8C",0.28972518556426,5.02333438236072e-05,0.00539171223706717
"GATA6",0.289469747667598,5.104222954566e-05,0.00543503641343773
"CTSC",0.289233555091918,5.18010538440734e-05,0.00543503641343773
"PDILT",0.288605457798073,5.38708874898932e-05,0.00562062957967176
"ARHGEF19",0.288253793296505,5.50634557897879e-05,0.00571313944627822
"RSPH10B2",0.287723672182201,5.69081874417136e-05,0.00585180641041878
"PLAUR",0.287618697704121,5.72803017754416e-05,0.00585180641041878
"TREML1",0.287482230882617,5.77674687011353e-05,0.00585180641041878
"GRN",0.287387753852345,5.81070155084458e-05,0.00585180641041878
"PHKG1",0.287380755553806,5.8132241566869e-05,0.00585180641041878
"GIMAP4",0.287319520441593,5.83534088611701e-05,0.00585180641041878
"OVCA2",0.287198799791801,5.87917416512245e-05,0.00585180641041878
"TRIM5",0.287167307448377,5.89065969778716e-05,0.00585180641041878
"KCNK2",0.286995849134179,5.95356271097442e-05,0.00588097525130491
"IL25",0.286857632738041,6.00472899013525e-05,0.00588097525130491
"TDG",0.286831389118521,6.01449064574447e-05,0.00588097525130491
"KIF2C",0.286642435057976,6.08521582578955e-05,0.00589626769356691
"RAMP2",0.286554956326243,6.11822281584022e-05,0.00589626769356691
"GLMP",0.286537460579896,6.12484435934879e-05,0.00589626769356691
"PRKCH",0.285431729410787,6.55725000120516e-05,0.00628016415500039
"PODXL",0.285118555551182,6.68483129723278e-05,0.00636968925036323
"LRRC32",0.284780887646691,6.82499968985676e-05,0.00647023828465811
"CDH5",0.2844432197422,6.96792312342697e-05,0.00657188960012584
"OR52E2",0.284306752920696,7.02647802401493e-05,0.00657188960012584
"ZC3H3",0.284280509301176,7.03779139015404e-05,0.00657188960012584
"SLC25A47",0.284172035673827,7.08473489963923e-05,0.0065828113923215
"RNF183",0.284042567150861,7.14114887402503e-05,0.0065945395188446
"MFGE8",0.283981332038648,7.16797773787456e-05,0.0065945395188446
"TAPBPL",0.283832618194701,7.23352782267854e-05,0.00662222380472277
"PTAFR",0.283006818967139,7.6078751254587e-05,0.00693095979722276
"BCL9L",0.282900094914424,7.65755968428306e-05,0.00694235847881895
"OR5B2",0.282530934666509,7.83177641581652e-05,0.00706210491711683
"ZNF117",0.282310488262541,7.93757651450258e-05,0.00706210491711683
"GATA5",0.282275496769848,7.95449293098304e-05,0.00706210491711683
"PHLDA2",0.282188018038114,7.99693199599262e-05,0.00706210491711683
"CT47A10",0.28218276931421,7.99948507955814e-05,0.00706210491711683
"DNAJC5G",0.282147777821517,8.01652517899319e-05,0.00706210491711683
"NIBAN2",0.282020058873186,8.07901081651117e-05,0.00708373737132219
"SLC9A3R2",0.281859098006797,8.15841034824313e-05,0.00711992858242003
"FOXD4L5",0.281775118424333,8.20012605834193e-05,0.00712304903560902
"PNP",0.281544174572557,8.31587776828677e-05,0.00713793770670735
"ARPC1B",0.281472442012536,8.35214158493904e-05,0.00713793770670735
"KCNB2",0.28134297348957,8.41796888156699e-05,0.00713793770670735
"ADGRF5",0.281327227317858,8.42600799359928e-05,0.00713793770670735
"GIMAP7",0.281325477743224,8.42690167237805e-05,0.00713793770670735
"H1-6",0.281286987101261,8.44658509949841e-05,0.00713793770670735
"TRIB2",0.280889833659192,8.65221437053044e-05,0.0072321367946036
"CEACAM1",0.28084784386796,8.67422704000432e-05,0.0072321367946036
"PCBP3",0.280706128322552,8.74890793222797e-05,0.00726198242410176
"CRIP1",0.280590656396664,8.81020411418598e-05,0.0072805031874574
"C4orf46",0.280268734663885,8.98322221889771e-05,0.00735836220000586
"PLP2",0.279987053147703,9.13721975899537e-05,0.00745182166895186
"CSTA",0.279665131414925,9.31624454755265e-05,0.00756479057261275
"NBPF19",0.279437686712418,9.44470471174171e-05,0.00760298729295208
"RAET1G",0.279220739457719,9.5687804800597e-05,0.00764915617047906
"LRFN3",0.279187497539661,9.58792643942465e-05,0.00764915617047906
"SH2D7",0.279087771785485,9.64557983151449e-05,0.00764915617047906
"GOLGA8J",0.279052780292791,9.66588592971225e-05,0.00764915617047906
"HRNR",0.278923311769826,9.741367156712e-05,0.00767636173074909
"SLC9A3",0.278790344097591,9.81946279140211e-05,0.00770539021395907
"LYL1",0.278256723834018,0.00010138809275573,0.00792269464563183
"PHF11",0.277863069541218,0.000103805976853125,0.00805526980853505
"MOGAT2",0.277539398233804,0.000105834344010873,0.00813377773969461
"AMH",0.277472914397687,0.000106255548466834,0.00813377773969461
"PTGFRN",0.277439672479628,0.000106466738625921,0.00813377773969461
"MCAM",0.2772717133147,0.000107539825730675,0.00813377773969461
"MYL12A",0.277266464590796,0.000107573522258758,0.00813377773969461
"OR4D10",0.277135246493196,0.000108419154149513,0.00816333364062925
"CCHCR1",0.277070512231714,0.000108838620503142,0.00816333364062925
"NLRX1",0.276869311148727,0.000110152084394653,0.00820713397076939
"CRISPLD2",0.276764336670647,0.000110843244195396,0.00820713397076939
"OR5H14",0.276652363894028,0.000111584953168354,0.00820713397076939
"ZDHHC13",0.276647115170124,0.000111619834470734,0.00820713397076939
"GIMAP5",0.276242963429516,0.00011433654520432,0.0083429437677271
"OR2W3",0.276005021279201,0.000115964798710195,0.00842707618953929
"MUC13",0.275837062114273,0.000117127186969217,0.00844309443997369
"NR2F2",0.275814317644023,0.000117285428993987,0.00844309443997369
"HSD17B11",0.275623614008844,0.000118620117605071,0.00848792841529619
"NEU4",0.275168724603831,0.000121861357446357,0.00866520766736035
"GNRH1",0.27514598013358,0.000122025573812153,0.00866520766736035
"CCDC166",0.274570370078775,0.00012625105154507,0.00893130544945353
"CACNA1H",0.274360421122615,0.000127826020775773,0.00895563854079199
"CFAP251",0.274344674950903,0.000127944880913199,0.00895563854079199
"CDC25B",0.274302685159671,0.000128262346633826,0.00895563854079199
"OSM",0.274269443241612,0.000128514195774595,0.00895563854079199
"ITGA11",0.274206458554764,0.000128992651931519,0.00895563854079199
"CFAP161",0.274104983225953,0.0001297670020425,0.00897603159313237
"LCTL",0.274021003643489,0.000130411127459211,0.00898729969161704
"WRNIP1",0.273846046180022,0.000131762666342739,0.00901856417490164
"POLN",0.273837298306849,0.000131830585765054,0.00901856417490164
"EMC8",0.273753318724385,0.000132484279310844,0.00903020584090995
"PRR23D2",0.273588858708726,0.000133773214360726,0.00904069236561698
"PTGER3",0.273581860410188,0.000133828321779122,0.00904069236561698
"PLN",0.273548618492129,0.000134090371882411,0.00904069236561698
"JAM2",0.273156713773964,0.000137216175133015,0.00921816290210141
"B2M",0.272985255459766,0.000138605012948835,0.00927809040083315
"DUSP23",0.272913522899745,0.000139189945323622,0.00928396935308561
"FOXF1",0.272687827771873,0.000141045422247012,0.00937425019887972
"NKG7",0.272579354144524,0.000141945400791281,0.00940061101126934
"BAK1",0.272196197299532,0.000145167482559678,0.0094843935614434
"HSPA6",0.272189199000993,0.000145226963727502,0.0094843935614434
"HLA-F",0.272187449426358,0.000145241837576184,0.0094843935614434
"BMP3",0.271951256850678,0.00014726292135365,0.00958286522369602
"PALM3",0.271849781521867,0.000148139280218756,0.00960642082418574
"C19orf33",0.271748306193057,0.000149020507987129,0.00963012805248311
"NT5DC4",0.271608340222283,0.000150244030058089,0.00964537643413135
"IRF3",0.271562851281782,0.00015064369036364,0.00964537643413135
"COL6A1",0.271541856386166,0.000150828483622362,0.00964537643413135
"CLEC14A",0.271485869997857,0.000151322301092337,0.00964537643413135
"RIPK4",0.271197190183137,0.000153892598660519,0.00972862970866908
"LIPM",0.271163948265078,0.000154191175506856,0.00972862970866908
"NRARP",0.271050225913825,0.000155216717943415,0.00976036169801757
"GINM1",0.270766794823009,0.000157800467298681,0.00988953532640997
"CLEC3B",0.270630328001505,0.000159058763979887,0.00990426272587542
"ZNF703",0.270590087784907,0.000159431584510535,0.00990426272587542
"SLC66A3",0.270569092889291,0.00015962642324312,0.00990426272587542
"C2orf66",0.27047111670975,0.000160538613100602,0.00992787794128096
"ZBTB34",0.270005729856929,0.000164938346861904,0.0101043774936554
"GABRR3",0.269996981983755,0.000165022116008868,0.0101043774936554
"CYP1B1",0.269975987088139,0.000165223323986792,0.0101043774936554
"CDKN2C",0.269911252826657,0.000165845157475468,0.0101043774936554
"CES1",0.26973279621392,0.000167570729266437,0.0101538535580182
"CWC15",0.269592830243147,0.000168935826544977,0.0101538535580182
"OR5D16",0.269512349809952,0.000169725448975893,0.0101538535580182
"PLEKHG6",0.269466860869451,0.000170173279270706,0.0101538535580182
"SDF2L1",0.269206174248886,0.000172761027177563,0.0102754297565865
"C22orf15",0.269136191263499,0.000173461949250488,0.0102843662355623
"CYP3A43",0.268901748262454,0.000175829416290071,0.0103483338846126
"GRM2",0.268875504642934,0.000176096298972554,0.0103483338846126
"JPH2",0.268865007195126,0.000176203157812529,0.0103483338846126
"SUSD2",0.26860781972383,0.000178840170845227,0.0104651084817422
"SLC43A3",0.268557082059424,0.000179364725913668,0.0104651084817422
"SLC36A1",0.267949979661195,0.00018575362023575,0.0107674375995344
"RNF144B",0.267906240295328,0.000186222014598929,0.0107674375995344
"DEPP1",0.267328880665888,0.000192508929637235,0.0110724620059028
"AMELY",0.267313134494176,0.000192683130858772,0.0110724620059028
"NXF1",0.267146924903883,0.000194530905227068,0.0111443533313519
"CCDC8",0.267083940217035,0.000195235419896708,0.0111505097920212
"PTGIS",0.2669509725448,0.000196730545878627,0.0111821759528404
"HIC1",0.266928228074549,0.000196987357490067,0.0111821759528404
"COL23A1",0.266601057617867,0.000200716238261186,0.0113593226235331
"CCDC86",0.265967711600117,0.000208122340714793,0.0117075085397273
"HOXA1",0.265853989248864,0.000209478832413904,0.0117196732413316
"TDRD9",0.265827745629344,0.000209793036501929,0.0117196732413316
"TMEM115",0.265719272001994,0.000211096410441055,0.0117196732413316
"CBL",0.265712273703456,0.000211180757579093,0.0117196732413316
"CCL5",0.26568777965857,0.000211476219871962,0.0117196732413316
"RIN2",0.265472581978506,0.000214088671112708,0.01182934917663
"MYOF",0.265280128768693,0.000216450442139953,0.0119227300013346
"PATE4",0.264818241065141,0.000222218063326816,0.012064373693871
"MRGPRD",0.264471825287477,0.000226637351178101,0.012233176793648
"PRAMEF6",0.264298617398645,0.000228877553299598,0.0123184933297501
"LST1",0.264135906957621,0.000231000748951863,0.01239704019375
"MIS12",0.263847227142901,0.000234812896129606,0.0125296161374758
"NOC4L",0.263752750112629,0.000236073172056053,0.0125314995522415
"SMAGP",0.263744002239456,0.000236190182179749,0.0125314995522415
"DOCK6",0.263632029462837,0.000237692687228815,0.0125623463422174
"CASP1",0.263600537119413,0.000238116866842201,0.0125623463422174
"NKAPD1",0.263241874319306,0.000242997761826626,0.0126611572432765
"OR5H2",0.263241874319306,0.000242997761826626,0.0126611572432765
"FAM83A",0.263217380274421,0.000243334464413506,0.0126611572432765
"STING1",0.263196385378805,0.000243623412125143,0.0126611572432765
"URB2",0.263164893035381,0.000244057432404131,0.0126611572432765
"TMEM272",0.262919952586527,0.000247457788305374,0.0128019990426348
"CDKN1A",0.262811478959178,0.00024897769903426,0.012845048362331
"LYRM2",0.262650518092789,0.000251249063752342,0.0129265220788946
"ZNF799",0.262536795741535,0.000252865437562693,0.0129652227729661
"IQANK1",0.262500054674207,0.000253389714721172,0.0129652227729661
"FCRL5",0.262069659314079,0.00025960701779521,0.0131652476901313
"STAB1",0.26203991654529,0.000260041867736847,0.0131652476901313
"CNN1",0.262034667821386,0.000260118676250719,0.0131652476901313
"KREMEN2",0.261649761401759,0.000265809160896272,0.0133807328541746
"SCAI",0.261529040751967,0.000267617614494457,0.0134355552911249
"LAMC1",0.26143281414706,0.0002690673228955,0.0134487994823312
"SLC6A3",0.261385575631924,0.000269781667051918,0.0134487994823312
"CXorf51A",0.261326090094346,0.000270683719987018,0.0134487994823312
"OR9Q2",0.26127535242994,0.000271455333330963,0.0134487994823312
"KLHDC4",0.261273602855306,0.000271481977127804,0.0134487994823312
"KCNK6",0.260913190480564,0.00027702273726253,0.0136709438103343
"COQ7",0.260886946861044,0.000277430269014601,0.0136709438103343
"TM4SF1",0.260834459622004,0.000278247005005393,0.0136751080670545
"LRRC55",0.260608764494132,0.000281784503695995,0.0138126178242163
"NUPR1",0.260559776404362,0.000282557833907452,0.0138142672933392
"MYO15B",0.260062897208116,0.000290513860339527,0.0141159826077157
"TXNDC2",0.260050650185674,0.000290712562973025,0.0141159826077157
"GSX1",0.259905435490996,0.000293078254807691,0.0141801282041151
"TRPV5",0.25978296526657,0.000295087308264379,0.0142404407471461
"SVIL",0.259656995892873,0.000297167107316442,0.0142670768540922
"CCN3",0.259592261631391,0.00029824118279845,0.0142819290511381
"SPDYE3",0.259513530772831,0.000299552351414528,0.0143033523612899
"PROCR",0.259433050339636,0.000300898190583857,0.0143033523612899
"EDDM3A",0.259282586921055,0.0003034294044074,0.0143828618190675
"JMJD8",0.259013152427316,0.000308011529023278,0.0145503616109346
"BTN3A1",0.258743717933577,0.000312657854131394,0.014708307515763
"B3GNT2",0.258689481119903,0.000313600988539858,0.0147156081959055
"MYEOV",0.258285329379295,0.000320712498340129,0.0149367247356614
"GALR2",0.258182104475849,0.000322552712263838,0.0149783404244736
"FOXM1",0.258145363408521,0.000323210065916837,0.0149783404244736
"RPL13A",0.257776203160607,0.000329884288503823,0.0152268773821486
"HGFAC",0.25775870741426,0.000330203755609883,0.0152268773821486
"ALPL",0.257697472302047,0.000331324153485244,0.0152409110603212
"CCN1",0.257552257607369,0.000333995218699095,0.0153260312148017
"LAD1",0.257363303546825,0.000337500748986847,0.0154489313433293
"NUBP1",0.257237334173129,0.000339856707302129,0.0155063274123325
"CYSLTR1",0.25720759140434,0.000340415198064698,0.0155063274123325
"INPP5B",0.256908414141812,0.000346080524852247,0.0157260337764977
"TBX22",0.25683668158179,0.000347451819464863,0.0157299582321588
"METAP1D",0.25678769349202,0.000348391208732108,0.0157299582321588
"NOB1",0.256771947320308,0.000348693655392682,0.0157299582321588
"LMO2",0.256537504319262,0.000353225662609768,0.0158960059636145
"DYNLT1",0.256385291326046,0.000356197277969476,0.0159912027965335
"MAP3K2",0.256238327056734,0.000359088414531399,0.0160823386805478
"NCR3",0.256122855130846,0.000361375276202064,0.0161062805042833
"KBTBD4",0.256080865339614,0.000362210206243252,0.0161062805042833
"CLDN15",0.255958395115188,0.000364655649935711,0.016158915856602
"KANK2",0.255933901070302,0.000365146572569955,0.016158915856602
"EBF1",0.25589191127907,0.000365989580603054,0.016158915856602
"PTMS",0.255723952114142,0.000369379695684606,0.0162217533175655
"CCL20",0.255692459770718,0.000370018575352479,0.0162217533175655
"SGCG",0.255631224658505,0.000371263775886879,0.016238225476495
"SLC4A2",0.255568239971657,0.000372548606793308,0.0162449317882329
"MYPN",0.255538497202868,0.00037315676467937,0.0162449317882329
"DERL1",0.255493008262366,0.000374088669419102,0.0162476278838864
"TPSG1",0.255363539739401,0.000376752838858457,0.0163253735928551
"ZNF670",0.255270812283763,0.000378671760929223,0.0163705412201717
"BTC",0.255053865029065,0.00038319677246224,0.0165213664225491
"CTH",0.255018873536371,0.000383931290617473,0.0165213664225491
"SDS",0.254976883745139,0.000384814435307821,0.0165213664225491
"TLR6",0.254843916072905,0.000387623500067973,0.0166037992827281
"OR6C6",0.254487002847433,0.000395257887233772,0.0168647822437302
