"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"Ribosomal Scanning And Start Codon Recognition R-HSA-72702",1.08131369895169e-26,5.65527064551736e-24,1.34223377296446,-0.752284702763985,-4.70939972652512,57,"RPS12;RPS16;RPS7;RPS29;RPS3;EIF4H;RPS17;RPS6;FAU;RPS13;EIF4A1;RPS14;RPS27A;RPS25;RPS9;EIF4B;RPS15;EIF3K;RPS20;RPS2;RPS19;RPS8;RPS23;EIF3F;EIF3J;EIF3A;EIF3G;RPS5;EIF4G1;EIF1AX;RPS4X;EIF4E;RPS27;EIF3B;EIF3H;EIF3C;RPS21;RPS10;RPS15A;RPS11;EIF3L;RPSA;EIF5;RPS27L;EIF2S2;RPS3A;EIF3E"
"Translation Initiation Complex Formation R-HSA-72649",7.18836787096819e-27,5.65527064551736e-24,1.34223377296446,-0.754669778231448,-4.72433060802908,57,"RPS12;RPS16;RPS7;RPS29;RPS3;EIF4H;RPS17;RPS6;FAU;RPS13;EIF4A1;PABPC1;RPS14;RPS27A;RPS25;RPS9;EIF4B;RPS15;EIF3K;RPS20;RPS2;RPS19;RPS8;RPS23;EIF3F;EIF3J;EIF3A;EIF3G;RPS5;EIF4G1;EIF1AX;RPS4X;EIF4E;RPS27;EIF3B;EIF3H;EIF3C;RPS21;RPS10;RPS15A;RPS11;EIF3L;RPSA;RPS27L;EIF2S2;RPS3A;EIF3E"
"mRNA Activation Upon Binding Of Cap-Binding Complex And eIFs, Subsequent Binding To 43S R-HSA-72662",2.06250993140727e-26,7.19128462750669e-24,1.33449749081658,-0.742222455775054,-4.70951507557762,58,"RPS12;RPS16;RPS7;RPS29;RPS3;EIF4H;RPS17;RPS6;FAU;RPS13;EIF4A1;PABPC1;RPS14;RPS27A;RPS25;RPS9;EIF4B;RPS15;EIF3K;RPS20;RPS2;RPS19;RPS8;RPS23;EIF3F;EIF3J;EIF3A;EIF3G;RPS5;EIF4G1;EIF1AX;RPS4X;EIF4E;RPS27;EIF3B;EIF3H;EIF3C;RPS21;RPS10;RPS15A;RPS11;EIF3L;RPSA;RPS27L;EIF2S2;RPS3A;EIF3E"
"Formation Of Ternary Complex, And Subsequently, 43S Complex R-HSA-72695",3.28427202431408e-23,8.58837134358133e-21,1.24623277191648,-0.745909325521368,-4.66771511030808,50,"RPS12;RPS16;RPS7;RPS29;RPS3;RPS17;RPS6;FAU;RPS13;RPS14;RPS27A;RPS25;RPS9;RPS15;EIF3K;RPS20;RPS2;RPS19;RPS8;RPS23;EIF3F;EIF3J;EIF3A;EIF3G;RPS5;EIF1AX;RPS4X;RPS27;EIF3B;EIF3H;EIF3C;RPS21;RPS10;RPS15A;RPS11;EIF3L;RPSA;RPS27L;EIF2S2;RPS3A;EIF3E"
"SARS-CoV-2 Modulates Host Translation Machinery R-HSA-9754678",7.96926314962927e-15,1.66716985090244e-12,0.986546283587582,-0.613348130149787,-3.92880587444642,47,"RPS12;RPS16;RPS7;RPS29;SNRPD3;RPS3;RPS17;RPS6;FAU;RPS13;RPS14;RPS27A;RPS25;RPS9;RPS15;RPS20;RPS2;RPS19;RPS8;RPS23;RPS5;RPS4X;RPS27;SNRPG;RPS21;SMN1;RPS10;RPS15A;RPS11;RPSA;RPS27L;RPS3A"
"Complex I Biogenesis R-HSA-6799198",7.72740470426511e-07,0.000134714422011022,0.659444398037935,-0.399125127495841,-2.45593259950406,51,"ACAD9;TMEM126B;NDUFV2;NDUFA12;NDUFS4;NDUFA1;NDUFA10;NDUFB8;NDUFV1;NDUFAF3;NDUFB7;NDUFB6;NDUFB4;NDUFB3;NDUFS7;NDUFA3;NDUFA2;NDUFA13;NDUFS5;NDUFS6;NDUFB1;NDUFB2;NDUFAB1"
"Formation Of ATP By Chemiosmotic Coupling R-HSA-163210",2.63990613702526e-06,0.000394477402761203,0.627256739718528,-0.665130929459328,-2.77595056315131,16,"ATP5MC2;ATP5ME;ATP5F1A;ATP5PO;ATP5F1C;ATP5MC1;ATP5F1B;ATP5PB"
"Keratinization R-HSA-6805567",4.52792460244857e-06,0.00059202614177015,0.610526878385931,0.388308829724238,1.63247061664854,192,"KRT14;KRTAP3-2;KRTAP10-4;KRTAP12-1;KRT2;SPRR2B;KRTAP4-3;KRT23;KRT4;KRT86;CASP14;LCE1A;LIPM;PPL;KRTAP6-1;KRTAP19-8;KRTAP5-4;KRTAP13-1;KRTAP9-1;KRTAP21-3;KRTAP25-1;KRT81;KRTAP1-5;SPINK9;KRT1;KRT32;KRTAP1-4;SPRR2E;PKP3;KRT73;LCE2D;KRT71;KRTAP15-1;SPRR2A;KRTAP20-1;KRT7;PRSS8;PERP;KRTAP19-5;KRTAP19-2;SPRR2G;KRT9;KRTAP19-4;KRTAP4-1;KRTAP6-3;KRT26;CSTA;KRT25;LCE3B;CDSN;KRTAP10-8;KRTAP4-2;KRTAP1-3;SPRR1B;KRTAP1-1;KRT31;KRTAP4-4;KRTAP2-2;IVL;KRT40;EVPL;DSG3;KRTAP5-10;KRTAP19-7;KRT19;DSG2;LIPK;KRT3;KRT17;TGM1;TCHH;LCE1F;KRT20;KRTAP26-1;RPTN;KRT82;LCE3C;KRT27;KRTAP13-4;KRTAP9-6;LIPJ;KRTAP3-1;SPRR1A;KRTAP21-2;KRTAP17-1;KRTAP24-1;KRT85;KLK5;LCE3E;KRTAP5-2;KRTAP16-1;KRTAP19-6;PKP1;KLK13;KRTAP13-3;DSPP;KRT84;KRT15;KRT78;KAZN;SPRR3;DSC3;KRT5;KRTAP3-3;KRTAP10-5;LCE2B;KRT80;FLG;KRT76;LIPN;KRT38;KRT39;KRTAP10-7;KRT13;TGM5;KRT16;KRTAP11-1;DSG4;LORICRIN;KRTAP5-11;KRT24;CELA2A;LELP1;LCE2C;KRTAP8-1;KRTAP13-2;KRT79;KRTAP19-3;KLK8;LCE5A;LCE2A;KRT33B"
"Olfactory Signaling Pathway R-HSA-381753",1.99664980950932e-05,0.0023205507786075,0.575610261071129,0.325538526343333,1.40506682470195,381,"OR5B2;OR51I2;OR2D3;OR2H1;OR2F2;OR12D3;OR52L1;OR6C6;OR52E8;OR5K4;OR51M1;OR5H14;OR4C11;OR4C45;OR7A5;OR10Z1;GNG13;OR2B2;OR6K3;OR52N1;OR9A4;OR3A2;OR3A1;OR52A5;OR10H1;OR8H3;OR2AG2;OR6X1;OR2V2;OR14K1;OR2L8;OR13J1;OR11A1;OR5J2;OR5AS1;OR2A12;OR5M3;OR8I2;OR4D10;OR2L2;OR10A5;OR52H1;OR2L5;OR5L2;OR2A5;OR2D2;OR6B2;OR4D5;OR2W3;OR52W1;OR51A2;OR10X1;OR2K2;GNAL;OR5H1;OR10G2;OR6C75;OR8U9;OR2T1;OR4K13;OR10V1;OR8J3;OR4K15;OR5B12;OR5H2;OR52E6;OR2T10;OR4C16;OR4C6;OR4E2;OR2W1;OR6K6;OR13A1;OR9I1;OR2A7;OR2G6;CNGA4;OR10W1;OR2T3;OR6C2;OR52B6;OR2G3;OR6J1;OR1L8;OR7G1;OR11L1;OR8K5;OR2AP1;OR2T6;OR1N2;OR1J4;OR7G3;OR1Q1;OR6B3;OR8K1;OR4A15;OR5D18;OR1G1;OR11H1;OR5M10;OR5C1;OR56A1;OR51B4;OR5K3;LDB2;OR5D14;OR6C68;OR52N2;OR51E1;OR2AG1;OR5T3;OR10J1;OR52I1;OR10AG1;OR9G9;OR8D2;OR6C3;OR8H2;OR8J1;OR1J1;OR52I2;OR13H1;OR11H4;OR52E2;OR14I1;OR8S1;OR7G2;OR51G2;OR2L13;OR52E5;OR6C1;OR5M1;OR2AE1;OR8U3;OR4C3;OR6N1;OR5K2;OR51D1;OR9K2;OR13C3;OR2J3;OR4Q2;OR5K1;OR8A1;OR51B2;OR1L1;OR13C5;OR4D6;OR1D2;OR4K14;OR5AL1;OR51B5;OR13D1;OR10J4;OR52K1;OR8D1;OR1S1;OR5A2;OR5M8;OR5P3;OR5M9;OR51V1;OR51A7;OR10G6;OR2T5;OR56A5;OR52E4;OR1S2;OR10H4;OR8B4;OR13C2;OR2J1;OR5H15;OR6C76;OR2M4;OR10G4;OR1L3;OR5AU1;OR4D11;GNB1;OR2AK2;OR56A3;OR5AP2;OR4C15;OR4A5;OR52N5;OR13F1;OR2C1;OR13C4;OR8D4;OR10A3;OR5AC2;OR52A1;OR52B2;OR2T35;OR10H3;OR6Q1;OR4C5;OR2T27;OR6C65;OR5B17;OR1I1;OR1A2;OR51F2;OR1K1;OR1L4;OR9A2;OR2G2;OR51I1;OR52K2;OR2M2;OR12D2;OR6Y1;OR5T2;OR56B1;OR5F1;OR51F1;OR4N4;OR2AT4;OR51L1;OR2C3;OR6V1;OR10G7;OR5AN1;OR5T1;OR10H5;OR2S2;OR5W2;OR6S1;OR14C36;OR8K3;OR10S1;OR5AK2;OR4D2;OR10AC1;OR6C4;OR10A2;OR4K17;CNGB1;OR4K3;OR14J1;OR8G1;OR2Y1;OR3A3;OR2B3;OR10K2;OR10P1;CNGA2;OR51G1;OR4D1;OR6P1;OR4S2;OR52E1;OR4K5"
"Prefoldin Mediated Transfer Of Substrate To CCT/TriC R-HSA-389957",2.28916498625064e-05,0.00239446657561817,0.575610261071129,-0.471289405050304,-2.3550444908758,26,"TUBB4A;TUBA1C;PFDN2;VBP1;TUBB2B;TUBB4B;CCT3;TUBA3D;CCT4;PFDN5;TUBB;CCT8"
