"gene","statistic","p.value","p_adj"
"ZNF672",0.426039794075065,8.87835747918889e-10,6.14119275116044e-07
"HTR6",0.420318685019705,1.56563886281753e-09,1.03707961476666e-06
"SERTAD4",0.420031754779619,1.61037207261903e-09,1.03707961476666e-06
"POTEG",0.419323177052579,1.72619808238276e-09,1.04956728285921e-06
"TRIM60",0.418674084863118,1.83933720819683e-09,1.04956728285921e-06
"ROM1",0.418574359108942,1.85734293547877e-09,1.04956728285921e-06
"FAM161B",0.416922760653816,2.18151640364056e-09,1.15534626425005e-06
"MAP3K21",0.409906966368802,4.27916673797506e-09,1.82345063129726e-06
"FMO3",0.40980899018926,4.31914562277475e-09,1.82345063129726e-06
"ICA1",0.409628784001889,4.39362167532538e-09,1.82345063129726e-06
"ABCC10",0.405533029782134,6.46238507543245e-09,2.51440632643284e-06
"LHX9",0.402607740992971,8.48591065808029e-09,3.10750720490799e-06
"LHX3",0.402133606266976,8.86678661301717e-09,3.18454051509055e-06
"PDLIM2",0.401829180280544,9.11996816119226e-09,3.21367029015899e-06
"PAEP",0.401397035345782,9.49137278775338e-09,3.28260885526078e-06
"SGO2",0.400221321191285,1.05771407877319e-08,3.59161238821237e-06
"IL2RG",0.39898962064848,1.18427284402867e-08,3.63747741075951e-06
"CYP21A2",0.398765675095242,1.20880034113179e-08,3.63747741075951e-06
"CACNA1G",0.39853997996737,1.23401448467926e-08,3.63747741075951e-06
"CBLL1",0.398531232094197,1.23500191134239e-08,3.63747741075951e-06
"ASB14",0.398508487623946,1.2375727858529e-08,3.63747741075951e-06
"DENND2C",0.398429756765386,1.24651185633224e-08,3.63747741075951e-06
"RBBP8",0.397061589401077,1.41215899005409e-08,4.05745866126927e-06
"ENKD1",0.396524469988234,1.48282376271935e-08,4.19594190796161e-06
"IRF8",0.396018842918815,1.55245018750853e-08,4.32739697043423e-06
"MED18",0.395250779654196,1.66427580547959e-08,4.46494555979125e-06
"MINAR1",0.394097809969951,1.84683003091297e-08,4.72484899415488e-06
"B9D1",0.393324497981428,1.97991934195903e-08,4.99688832843607e-06
"OR5B2",0.392825869210548,2.07058233825632e-08,5.05037074497155e-06
"ZBED4",0.392755886225161,2.08362256890839e-08,5.05037074497155e-06
"SLFN12",0.392733141754911,2.08787764547871e-08,5.05037074497155e-06
"THEGL",0.392619419403657,2.10927885043789e-08,5.05037074497155e-06
"NOL11",0.390840102000201,2.47293416167582e-08,5.84614157005793e-06
"CD8B",0.39042370323715,2.56637138216848e-08,5.9911939916723e-06
"NEK5",0.389393203777332,2.81245120565983e-08,6.40552911181744e-06
"BHLHA9",0.388145757062814,3.14079782753208e-08,6.88327224283727e-06
"PKDREJ",0.387911314061769,3.20649328082482e-08,6.88327224283727e-06
"ZNF710",0.38703827631907,3.46296104580053e-08,7.34934778311031e-06
"WFDC6",0.386555393719902,3.6131764008269e-08,7.58198679346553e-06
"MTMR8",0.386264964330547,3.7065215490588e-08,7.69144405002467e-06
"ECSIT",0.386056764949022,3.77486068592863e-08,7.74157955298695e-06
"AKR7A2",0.38590630153044,3.82500142339526e-08,7.74157955298695e-06
"CTRB2",0.385817073224072,3.85503800828757e-08,7.74157955298695e-06
"LAMA4",0.385316694878558,4.027727926233e-08,8.00232412237527e-06
"ANKRD13B",0.383218954891592,4.8361589608822e-08,9.21633721973836e-06
"CHST8",0.382860292091485,4.98915832914741e-08,9.32341307690302e-06
"DAPL1",0.382597855896285,5.10404634707171e-08,9.43793758197141e-06
"PALM3",0.381661833466738,5.53488710293438e-08,1.0014812795556e-05
"PPIL1",0.380746805932808,5.98972767399889e-08,1.05532220792079e-05
"SLC5A4",0.380487868886877,6.12482719170315e-08,1.0677909030642e-05
"NPR3",0.380001487138439,6.38655323748288e-08,1.08529950968478e-05
"OSR2",0.379084710029874,6.90938897991704e-08,1.16252025755793e-05
"KRT14",0.378811776386866,7.07282696835001e-08,1.17939389697236e-05
"FSIP2",0.378115445682268,7.5068045213826e-08,1.23672091616906e-05
"ZNF225",0.37794748651734,7.61524974948406e-08,1.23672091616906e-05
"ABCC12",0.37786875565878,7.66660002808889e-08,1.23672091616906e-05
"OPN1MW",0.37784601118853,7.68149637372088e-08,1.23672091616906e-05
"FSD2",0.377049954729756,8.22074384432534e-08,1.31222745330445e-05
"TRDC",0.376682544056476,8.48171981320622e-08,1.34241185789355e-05
"FFAR3",0.37655657468278,8.57301529008983e-08,1.34545910552704e-05
"LCN15",0.376343126577351,8.72986893617192e-08,1.35865860209956e-05
"POLR3G",0.375982714202609,9.00099577705436e-08,1.38116509862272e-05
"ABHD16B",0.375954721008455,9.0223892713628e-08,1.38116509862272e-05
"BRWD3",0.375755269500103,9.17623753881965e-08,1.39329603475606e-05
"KRTAP3-2",0.375557567566385,9.33122068395084e-08,1.40540223785053e-05
"CRYGB",0.375298630520455,9.53801300323209e-08,1.41898703292983e-05
"TMEM207",0.375254891154588,9.57337578438414e-08,1.41898703292983e-05
"SNX21",0.374861236861788,9.89735695794372e-08,1.45073196835361e-05
"MGAT5B",0.374786005152497,9.960460075292e-08,1.45073196835361e-05
"CCDC83",0.374658286204167,1.00684741753349e-07,1.45073196835361e-05
"OR51I2",0.374429091927025,1.02651338125282e-07,1.46344762658608e-05
"SLAMF7",0.374217393396231,1.04500535850628e-07,1.47521942046868e-05
"TRAPPC11",0.374154408709382,1.05056855280753e-07,1.47521942046868e-05
"TEC",0.374009194014705,1.06350335890693e-07,1.4758192655239e-05
"DNAH12",0.373972452947377,1.06680017587132e-07,1.4758192655239e-05
"HTN1",0.373468575452593,1.11301551291952e-07,1.52843218524154e-05
"AASDH",0.372980444129521,1.15961544132317e-07,1.5808013125658e-05
"OTC",0.371781985504774,1.2821052979852e-07,1.73511583660664e-05
"TMEM237",0.371629772511558,1.2985235682844e-07,1.74111728038454e-05
"FAM78B",0.371568537399345,1.3051853676046e-07,1.74111728038454e-05
"ETS1",0.370998176068443,1.36883101507532e-07,1.80030197447512e-05
"NDC1",0.370389324095579,1.44005471717034e-07,1.88073160124989e-05
"CCDC178",0.369906441496411,1.49905718398198e-07,1.94419388666996e-05
"ZNF596",0.369500540181168,1.55044098062314e-07,1.9969679830426e-05
"SLFN14",0.369052649074694,1.60910045001523e-07,2.05832602770441e-05
"ASB9",0.368725478618011,1.65328856524621e-07,2.10046375813185e-05
"STON1",0.368536524557467,1.67933671300724e-07,2.11914138190021e-05
"GNRH2",0.368176112182726,1.73011658163637e-07,2.15411048524272e-05
"RIPPLY3",0.368039645361222,1.74972560697207e-07,2.16409771098082e-05
"FNDC8",0.367635493620613,1.80905667076926e-07,2.22275936732149e-05
"CAVIN2",0.366837687587205,1.93188969066543e-07,2.35705311564599e-05
"GMEB1",0.366764205452549,1.94359702189699e-07,2.35705311564599e-05
"MED14OS",0.366463278615387,1.9922549001649e-07,2.4004743558374e-05
"TNFSF11",0.366066125173317,2.05826220639295e-07,2.40595636846777e-05
"KSR2",0.366064375598683,2.05855757353882e-07,2.40595636846777e-05
"TLCD4",0.36604862942697,2.06121770697603e-07,2.40595636846777e-05
"PCDH18",0.365924409627909,2.08231905237463e-07,2.41549010075457e-05
"GABRR3",0.365452024476549,2.16447049768201e-07,2.4751139427052e-05
"GAB4",0.36539603808824,2.17441040792366e-07,2.4751139427052e-05
"COX8C",0.36523857637112,2.20260153538432e-07,2.4751139427052e-05
"DEUP1",0.365098610400346,2.22795413088285e-07,2.4751139427052e-05
"BIN3",0.365072366780826,2.23273877760668e-07,2.4751139427052e-05
"IL12A",0.364932400810053,2.25842368168586e-07,2.4751139427052e-05
"JCHAIN",0.36486766654857,2.27039850159265e-07,2.4751139427052e-05
"TBCC",0.3648186784588,2.27950095387285e-07,2.4751139427052e-05
"OLFML2A",0.364545744815792,2.33085837350105e-07,2.51624918979802e-05
"NUDT10",0.363343787041775,2.5705222907853e-07,2.71998680329273e-05
"NXPH2",0.363308795549082,2.57784142312494e-07,2.71998680329273e-05
"CCL20",0.363221316817349,2.59622671656161e-07,2.72399607632048e-05
"MYOZ2",0.362666701658159,2.71574597205263e-07,2.81773732078083e-05
"OR2D3",0.36253198441129,2.74556338642891e-07,2.832936011323e-05
"AKR1C4",0.362379771418074,2.77963055576279e-07,2.85232858568274e-05
"SCRT1",0.362183819058991,2.82408368740083e-07,2.88210857627857e-05
"PWWP3B",0.36200711202089,2.86475419037909e-07,2.90016442232622e-05
"BYSL",0.361905636692079,2.88836251099099e-07,2.90016442232622e-05
"RGS9BP",0.361800662213999,2.91298097412402e-07,2.90924238891659e-05
"PVRIG",0.361438500264623,2.99946680869734e-07,2.96391757244611e-05
"LECT2",0.361282788122138,3.03740278960686e-07,2.98560707887883e-05
"MME",0.360787658500527,3.16110854453496e-07,3.09093524490759e-05
"MINDY4",0.36022254589353,3.30819552733158e-07,3.21070629441021e-05
"SLC22A10",0.360185804826202,3.31798198126564e-07,3.21070629441021e-05
"SMG9",0.359848136921711,3.40923178336501e-07,3.24336918398808e-05
"SMTNL2",0.359839389048538,3.41162740637598e-07,3.24336918398808e-05
"SCAMP3",0.359788651384132,3.42555383723387e-07,3.24336918398808e-05
"REG3G",0.359741412868996,3.43856874293018e-07,3.24336918398808e-05
"SCARF1",0.359599697323588,3.47789814984159e-07,3.24902920156469e-05
"PDILT",0.35951046901722,3.50288168513409e-07,3.2547173309236e-05
"TBX21",0.359415991986948,3.5295220995216e-07,3.26323538270621e-05
"EDRF1",0.359137809620036,3.60909450756817e-07,3.32036694696272e-05
"UNC5C",0.358782645969199,3.71318544072156e-07,3.391630259587e-05
"NAGLU",0.358738906603332,3.7262015352537e-07,3.391630259587e-05
"APEH",0.358686419364292,3.74187850776481e-07,3.391630259587e-05
"CFAP161",0.358628683401348,3.75919610052746e-07,3.391630259587e-05
"C1orf158",0.357839625241113,4.00369630874901e-07,3.57765704603811e-05
