"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"Respiratory Electron Transport, ATP Synthesis By Chemiosmotic Coupling, Heat Production By Uncoupling Proteins R-HSA-163200",5.12524528845264e-31,5.66852128902862e-28,1.44620288250144,-0.605720603770233,-4.17585799604903,111,"COX8A;ATP5MC2;COX6C;ATP5F1B;ATP5F1A;NDUFA1;COX4I1;UQCRC1;NDUFB8;ATP5MC3;UQCRQ;COX6A1;NDUFA13;ACAD9;ATP5PO;COX5B;NDUFB6;COX6B1;UQCRB;NDUFS5;ATP5ME;NDUFV2;NDUFB10;ATP5F1D;NDUFAB1;NDUFB2;COX7C;COX7B;TRAP1;UQCRC2;NDUFS4;ATP5MF;TMEM126B;UQCR11;CCNI;ATP5PF;ATP5PB;NDUFB4;CYCS;NDUFA2;NDUFS6;SDHB;SDHA;NDUFB3;NDUFA8;COX5A;COX14;NDUFS3;NDUFV1;COA1;ATP5F1C;ATP5PD;ATP5MC1;COX16;NDUFA11;NDUFS8;UQCRFS1;NDUFA10"
"Respiratory Electron Transport R-HSA-611105",1.68461122648535e-23,9.315900082464e-21,1.25451347943706,-0.594575462074342,-4.06051426329862,89,"COX8A;COX6C;NDUFA1;COX4I1;UQCRC1;NDUFB8;UQCRQ;COX6A1;NDUFA13;ACAD9;COX5B;NDUFB6;COX6B1;UQCRB;NDUFS5;NDUFV2;NDUFB10;NDUFAB1;NDUFB2;COX7C;COX7B;TRAP1;UQCRC2;NDUFS4;TMEM126B;UQCR11;CCNI;NDUFB4;CYCS;NDUFA2;NDUFS6;SDHB;SDHA;NDUFB3;NDUFA8;COX5A;COX14;NDUFS3;NDUFV1;COA1;COX16;NDUFA11;NDUFS8;UQCRFS1;NDUFA10"
"Expression And Translocation Of Olfactory Receptors R-HSA-9752946",2.63230003444017e-22,9.70441279363608e-20,1.22105375677186,0.438696450029453,2.15528414122498,373,"OR9Q2;OR10Z1;OR2G6;OR1L8;OR14K1;OR2T5;OR4C3;OR5D16;OR6T1;OR10G4;OR13F1;OR52E4;OR4C16;OR2L5;OR6C6;OR2W3;OR4F17;OR5H2;OR2A4;OR7G2;OR2M5;OR11H1;OR1E1;OR5J2;OR5B2;OR56A1;OR4D11;OR2J3;OR5M8;RTP2;OR51E1;OR2L13;OR8I2;OR10AC1;OR10X1;OR10H3;OR5H14;OR2A14;RTP1;OR1J1;OR5B3;OR8G1;OR52E2;OR3A1;OR6J1;OR4C15;OR5L1;OR51B2;OR5A1;OR4K5;OR10A4;OR6S1;OR2T1;OR4C45;OR5AU1;OR4D5;OR9G9;OR52K1;OR4E1;OR6X1;OR2A1;OR5AS1;OR2S2;OR10J5;OR4K15;OR5T2;OR2L2;OR52A5;OR11L1;OR8H3;OR5V1;OR51G2;OR7D2;OR2AE1;OR4D10;OR4F21;OR4N2;OR51E2;OR5H15;OR52W1;OR1A2;OR4K14;OR5D14;OR51F2;OR9Q1;OR13J1;OR13C8;OR1L3;OR5AK2;OR5B17;OR6P1;OR7E24;OR5M10;OR6V1;OR4F15;OR11H4;OR14A2;OR1K1;OR2C1;OR7G1;OR2A2;OR52N2;OR6Y1;OR5M1;OR2J2;OR7D4;OR2G2;OR6N2;OR2T12;OR12D2;OR1C1;OR5K4;OR4N4;OR3A2;OR4D6;OR52N1;OR4D2;OR1I1;OR52A1;OR14J1;OR13C5;OR52E8;OR52D1;OR51Q1;OR51F1;OR2T34;OR2B11;OR13G1;OR10S1;OR10K2;OR2F2;OR2D3;OR5H1;OR2AG2;OR4D9;OR5AP2;OR8D1;OR2H2;OR4A15;OR6Q1;OR4C11;OR1L4;OR56A5;OR2C3;OR4C46;OR8B4;OR5B21;OR10G7;OR5D18;OR2AP1;OR4C6;OR7C2;OR4C5;OR2AJ1;OR1S1;OR8U9;OR10A3;OR1N1;OR5M3;OR13D1;OR1D5;OR4X1;OR52L1;OR2G3;OR6N1;OR9A2;OR10H5;OR2M4;OR6F1;OR10D3;OR10T2;OR8K3;OR10H1;OR2T27;OR11G2;OR8B12;OR14C36;OR5A2;EBF1;OR2T10;OR6C75;OR2M2;OR2W1;OR52E5;OR11A1;OR2A5;OR2B6;OR8S1;OR51A7;OR10G2;OR5P3;OR8U3;OR2L8;OR1B1;OR5K3;OR7C1;OR8D4;OR5T1;OR6C74;OR6C65;OR13C2;OR4F6;OR12D3;OR10AD1;OR1F1;OR52N5;OR51M1;OR2A12;OR2V1;OR51B4;OR10G6;OR2B3;OR51L1;OR2A7;OR6B3;OR5AN1;OR5AC2;OR2T8;OR4L1;OR1M1;OR2B2;OR52B2;OR2T35;OR10W1;OR2V2;OR5T3;OR8K1;OR2K2;OR2T11;OR5L2;OR9G4;OR52M1;OR1L1;OR8H1;OR8H2;OR5AL1;OR10Q1;OR13A1;OR51G1;OR10J1;OR1S2;OR8K5;OR10H2;OR6C3;OR6K3;OR8J3;OR1G1;OR8A1;OR51S1;OR6C76;OR2AT4;OR5AR1;OR5C1;OR7G3;OR5F1;OR1D2;OR5M9;OR56A3;OR1J4;OR4K13;OR2J1;OR4A5;OR52I2;OR5P2;OR6B1;OR2D2;OR52H1;OR52E6;OR4P4;OR51I2;OR11H6;OR11H7;OR7A5;OR2Y1;OR4K2;OR10J4;OR6C68;OR51I1;OR4C13;OR56B1;OR2T3"
"Olfactory Signaling Pathway R-HSA-381753",1.02770216608181e-21,2.84159648921619e-19,1.20397524075264,0.433821267027953,2.13434489274412,381,"OR9Q2;OR10Z1;OR2G6;OR1L8;OR14K1;OR2T5;OR4C3;OR5D16;OR6T1;OR10G4;OR13F1;OR52E4;OR4C16;CNGA4;OR2L5;OR6C6;OR2W3;OR4F17;OR5H2;OR2A4;OR7G2;OR2M5;OR11H1;OR1E1;OR5J2;OR5B2;OR56A1;OR4D11;OR2J3;OR5M8;RTP2;OR51E1;OR2L13;OR8I2;OR10AC1;OR10X1;OR10H3;OR5H14;OR2A14;RTP1;OR1J1;OR5B3;OR8G1;OR52E2;OR3A1;OR6J1;OR4C15;OR5L1;OR51B2;OR5A1;OR4K5;OR10A4;OR6S1;OR2T1;OR4C45;OR5AU1;OR4D5;OR9G9;OR52K1;OR4E1;OR6X1;OR2A1;OR5AS1;OR2S2;OR10J5;OR4K15;OR5T2;OR2L2;OR52A5;OR11L1;OR8H3;OR5V1;OR51G2;OR7D2;OR2AE1;OR4D10;OR4F21;OR4N2;OR51E2;OR5H15;OR52W1;OR1A2;OR4K14;OR5D14;OR51F2;OR9Q1;OR13J1;OR13C8;OR1L3;OR5AK2;OR5B17;OR6P1;OR7E24;OR5M10;GNAL;OR6V1;OR4F15;OR11H4;OR14A2;OR1K1;OR2C1;OR7G1;OR2A2;OR52N2;OR6Y1;OR5M1;OR2J2;OR7D4;OR2G2;OR6N2;OR2T12;OR12D2;OR1C1;OR5K4;OR4N4;OR3A2;OR4D6;OR52N1;OR4D2;OR1I1;OR52A1;OR14J1;OR13C5;OR52E8;OR52D1;OR51Q1;OR51F1;OR2T34;OR2B11;OR13G1;OR10S1;OR10K2;OR2F2;OR2D3;OR5H1;OR2AG2;OR4D9;OR5AP2;OR8D1;OR2H2;OR4A15;OR6Q1;OR4C11;OR1L4;OR56A5;OR2C3;OR4C46;OR8B4;OR5B21;OR10G7;OR5D18;OR2AP1;OR4C6;OR7C2;OR4C5;OR2AJ1;OR1S1;OR8U9;OR10A3;OR1N1;OR5M3;OR13D1;OR1D5;OR4X1;OR52L1;OR2G3;OR6N1;OR9A2;OR10H5;OR2M4;OR6F1;OR10D3;OR10T2;OR8K3;OR10H1;OR2T27;OR11G2;OR8B12;ANO2;OR14C36;OR5A2;EBF1;OR2T10;OR6C75;OR2M2;OR2W1;OR52E5;OR11A1;OR2A5;OR2B6;GNG13;OR8S1;OR51A7;OR10G2;OR5P3;OR8U3;OR2L8;OR1B1;OR5K3;OR7C1;OR8D4;OR5T1;OR6C74;OR6C65;OR13C2;OR4F6;OR12D3;OR10AD1;OR1F1;OR52N5;OR51M1;OR2A12;OR2V1;OR51B4;OR10G6;OR2B3;OR51L1;OR2A7;OR6B3;OR5AN1;OR5AC2;OR2T8;OR4L1;OR1M1;OR2B2;OR52B2;OR2T35;OR10W1;OR2V2;OR5T3;OR8K1;OR2K2;OR2T11;OR5L2;OR9G4;OR52M1;OR1L1;OR8H1;OR8H2;OR5AL1;OR10Q1;OR13A1;OR51G1;OR10J1;OR1S2;OR8K5;OR10H2;OR6C3;OR6K3;OR8J3;OR1G1;OR8A1;OR51S1;OR6C76;OR2AT4;OR5AR1;OR5C1;OR7G3;OR5F1;OR1D2;OR5M9;OR56A3;OR1J4;OR4K13;OR2J1;OR4A5;OR52I2;OR5P2;OR6B1;OR2D2;OR52H1;OR52E6;OR4P4;OR51I2;OR11H6;OR11H7;OR7A5;OR2Y1;OR4K2;OR10J4;OR6C68;OR51I1;OR4C13;OR56B1;OR2T3"
"L13a-mediated Translational Silencing Of Ceruloplasmin Expression R-HSA-156827",4.11784643421627e-17,9.10867631248638e-15,1.06720998682811,-0.4653899402311,-3.2331733402847,107,"EIF4H;EIF4A2;RPL27;RPS15;RPL23;EIF3K;EIF3C;EIF1AX;EIF3A;RPL36;FAU;RSL24D1;RPLP2;RPS16;RPS25;RPL15;RPL18;RPLP1;RPS29;RPS21;RPL9;EIF4A1;RPS12;RPL35A;RPS6;RPS14;RPL41;PABPC1;RPL31;RPS4Y1;EIF4E;RPL19;RPL28;RPS20;EIF4G1;RPL38;EIF4B;RPS7;RPL8;RPL37A;EIF3G;RPS17;RPS3;RPL39L;EIF3H;EIF3I;RPS19"
"GTP Hydrolysis And Joining Of 60S Ribosomal Subunit R-HSA-72706",1.74392763405671e-15,3.21463993877786e-13,1.01754479730988,-0.451432249573513,-3.17219940709293,108,"EIF4H;EIF4A2;RPL27;RPS15;RPL23;EIF3K;EIF3C;EIF1AX;EIF3A;RPL36;FAU;RSL24D1;RPLP2;RPS16;RPS25;RPL15;RPL18;RPLP1;RPS29;RPS21;RPL9;EIF4A1;RPS12;RPL35A;RPS6;RPS14;RPL41;RPL31;RPS4Y1;EIF4E;RPL19;RPL28;RPS20;EIF4G1;RPL38;EIF4B;RPS7;RPL8;RPL37A;EIF3G;RPS17;RPS3;RPL39L;EIF3H;EIF3I;RPS19"
"Cap-dependent Translation Initiation R-HSA-72737",2.99560556747564e-14,4.73305679661151e-12,0.965327754226083,-0.410426356618908,-2.87991394106916,115,"EIF4H;EIF4A2;RPL27;RPS15;RPL23;EIF3K;EIF3C;EIF1AX;EIF3A;RPL36;FAU;RSL24D1;RPLP2;RPS16;RPS25;RPL15;RPL18;RPLP1;RPS29;RPS21;RPL9;EIF4A1;RPS12;RPL35A;RPS6;RPS14;RPL41;PABPC1;RPL31;RPS4Y1;EIF4E;RPL19;RPL28;RPS20;EIF4G1;RPL38;EIF4B;RPS7;RPL8;RPL37A;EIF3G;RPS17;RPS3;RPL39L;EIF3H;EIF3I;RPS19"
"Formation Of A Pool Of Free 40S Subunits R-HSA-72689",6.85201919779247e-14,9.47291654094809e-12,0.954541630725724,-0.443936024221938,-3.08626717804015,97,"RPL27;RPS15;RPL23;EIF3K;EIF3C;EIF1AX;EIF3A;RPL36;FAU;RSL24D1;RPLP2;RPS16;RPS25;RPL15;RPL18;RPLP1;RPS29;RPS21;RPL9;RPS12;RPL35A;RPS6;RPS14;RPL41;RPL31;RPS4Y1;RPL19;RPL28;RPS20;RPL38;RPS7;RPL8;RPL37A;EIF3G;RPS17;RPS3;RPL39L;EIF3H;EIF3I;RPS19"
"Post NMDA Receptor Activation Events R-HSA-438064",1.44214095524438e-13,1.77223099611143e-11,0.943632225232838,-0.532013783424397,-3.38799787472935,61,"GRIA2;PRKACB;GIT1;NRGN;MAPT;PRKAR1A;CALM1;PRKAR1B;ADCY1;RASGRF2;CAMK2A;CAMKK2;CAMK2B;CAMK2G;NEFL;DLG1;CAMK2D;GRIN2B;LLGL1;PRKAR2B;GRIA1;MAPK1;CAMKK1"
"Eukaryotic Translation Elongation R-HSA-156842",2.59939015594063e-12,2.87492551247034e-10,0.898671232061694,-0.43837209795339,-3.01289875082678,87,"EEF1A2;RPL27;RPS15;RPL23;RPL36;FAU;RSL24D1;RPLP2;RPS16;RPS25;RPL15;RPL18;RPLP1;RPS29;RPS21;EEF1B2;RPL9;RPS12;RPL35A;RPS6;RPS14;RPL41;RPL31;RPS4Y1;RPL19;RPL28;RPS20;RPL38;RPS7;RPL8;RPL37A;RPS17;RPS3;RPL39L;RPS19"
"Translation Initiation Complex Formation R-HSA-72649",3.77953421710287e-12,3.80014985828707e-10,0.887074988399873,-0.538511246597338,-3.3500741488988,57,"EIF4H;EIF4A2;RPS15;EIF3K;EIF3C;EIF1AX;EIF3A;FAU;RPS16;RPS25;RPS29;RPS21;EIF4A1;RPS12;RPS6;RPS14;PABPC1;RPS4Y1;EIF4E;RPS20;EIF4G1;EIF4B;RPS7;EIF3G;RPS17;RPS3;EIF3H;EIF3I;RPS19"
"Ribosomal Scanning And Start Codon Recognition R-HSA-72702",7.90252858013913e-12,6.9555886327627e-10,0.875325132024659,-0.531977719166342,-3.30942912711698,57,"EIF4H;EIF4A2;RPS15;EIF3K;EIF3C;EIF1AX;EIF3A;FAU;RPS16;RPS25;RPS29;RPS21;EIF4A1;RPS12;RPS6;RPS14;RPS4Y1;EIF4E;RPS20;EIF4G1;EIF4B;RPS7;EIF3G;RPS17;RPS3;EIF3H;EIF3I;RPS19"
"mRNA Activation Upon Binding Of Cap-Binding Complex And eIFs, Subsequent Binding To 43S R-HSA-72662",8.17564667503753e-12,6.9555886327627e-10,0.875325132024659,-0.515275141365297,-3.25529176638745,58,"EIF4H;EIF4A2;RPS15;EIF3K;EIF3C;EIF1AX;EIF3A;FAU;RPS16;RPS25;RPS29;RPS21;EIF4A1;RPS12;RPS6;RPS14;PABPC1;RPS4Y1;EIF4E;RPS20;EIF4G1;EIF4B;RPS7;EIF3G;RPS17;RPS3;EIF3H;EIF3I;RPS19"
"SRP-dependent Cotranslational Protein Targeting To Membrane R-HSA-1799339",9.59911032787633e-12,7.5832971590223e-10,0.875325132024659,-0.387669925130817,-2.67028104583273,106,"RPL27;RPS15;RPL23;SRP14;SPCS1;RPL36;FAU;RSL24D1;RPLP2;RPS16;RPS25;RPL15;RPL18;RPLP1;RPS29;RPS21;RPL9;RPS12;RPL35A;RPS6;SEC61G;SSR1;RPS14;RPL41;RPL31;RPS4Y1;RPL19;RPL28;RPS20;SSR4;RPL38;RPS7;RPL8;RPL37A;RPS17;SEC61A2;RPS3;RPL39L;RPS19;DDOST"
"Complex I Biogenesis R-HSA-6799198",1.24475104653586e-11,9.17796438312442e-10,0.875325132024659,-0.548907197422662,-3.23291494635538,51,"NDUFA1;NDUFB8;NDUFA13;ACAD9;NDUFB6;NDUFS5;NDUFV2;NDUFB10;NDUFAB1;NDUFB2;NDUFS4;TMEM126B;NDUFB4;NDUFA2;NDUFS6;NDUFB3;NDUFA8;NDUFS3;NDUFV1;COA1;NDUFA11;NDUFS8;NDUFA10;NDUFA5;NDUFAF3;NDUFS2"
"Activation Of NMDA Receptors And Postsynaptic Events R-HSA-442755",4.25641007655557e-11,2.68005547915036e-09,0.851339057116899,-0.443799581008126,-2.89469542211488,74,"GRIA2;PRKACB;GIT1;NRGN;MAPT;PRKAR1A;CALM1;PRKAR1B;ADCY1;RASGRF2;CAMK2A;CAMKK2;CAMK2B;CAMK2G;NEFL;DLG1;CAMK2D;GRIN2B;LLGL1;PRKAR2B;GRIA1;MAPK1;CAMKK1"
"Cristae Formation R-HSA-8949613",4.32254125840781e-11,2.68005547915036e-09,0.851339057116899,-0.688417751842303,-3.48612083715358,29,"ATP5MC2;ATP5F1B;ATP5F1A;ATP5MC3;HSPA9;ATP5PO;ATP5ME;ATP5F1D;ATP5MF;ATP5PF;ATP5PB;ATP5F1C;ATP5PD;ATP5MC1"
"TP53 Regulates Metabolic Genes R-HSA-5628897",4.36175394436767e-11,2.68005547915036e-09,0.851339057116899,-0.433254193304237,-2.91655080782455,81,"COX8A;COX6C;YWHAE;COX4I1;YWHAQ;PRDX2;YWHAH;YWHAB;COX6A1;COX5B;COX6B1;PRDX1;PRDX5;YWHAG;COX7C;COX7B;RRAGA;CYCS;LAMTOR1;COX5A;COX14;YWHAZ;COX16;TNRC6B;SESN3"
