"gene","statistic","p.value","p_adj"
"C4orf46",0.52377453231683,8.87607567122889e-15,1.31445482403623e-10
"FCF1",0.520403101995827,1.40764063400753e-14,1.31445482403623e-10
"CCL3",0.483172153770115,1.6576574507495e-12,9.59546399119839e-09
"ZNF587",0.480320347115607,2.33361747602751e-12,9.59546399119839e-09
"GPR4",0.478717736750253,2.82422857592758e-12,9.59546399119839e-09
"CBLC",0.477979416254423,3.08271492542249e-12,9.59546399119839e-09
"ZNF776",0.465261758235029,1.3488922627848e-11,3.59884455710986e-08
"XRCC2",0.453975252266793,4.75518264422832e-11,9.48937511435482e-08
"FOXD4L5",0.453669076705726,4.9173818878015e-11,9.48937511435482e-08
"CA2",0.453369899443198,5.0810532846192e-11,9.48937511435482e-08
"HIPK2",0.451681559920744,6.10860241839101e-11,1.03712962514428e-07
"RPS28",0.44715890949013,9.95551223035721e-11,1.54940955345126e-07
"KRTAP10-3",0.443603773832487,1.45423273192895e-10,2.08917311550039e-07
"SPARC",0.442636259059516,1.61099041066316e-10,2.14906120782466e-07
"SESN2",0.438613986974417,2.45715082334103e-10,2.9833085102108e-07
"NUTM2G",0.438236078853329,2.55584365835151e-10,2.9833085102108e-07
"SP7",0.43633604080008,3.11317650019253e-10,3.25710790532862e-07
"DMRTA2",0.436255560366886,3.13921301648721e-10,3.25710790532862e-07
"LYRM2",0.435713192230139,3.32025786862656e-10,3.26363873444577e-07
"IFITM3",0.434238300813115,3.86521668379308e-10,3.60933933932597e-07
"GFM2",0.433157063688891,4.31875596563607e-10,3.84081363877235e-07
"COL1A2",0.431668175674789,5.02843740384415e-10,4.23348149734701e-07
"ERBIN",0.431059323701925,5.35008468986851e-10,4.23348149734701e-07
"FOXD4L1",0.430894863686266,5.4403274757083e-10,4.23348149734701e-07
"LPAR1",0.429845118905466,6.05203992896092e-10,4.46987372585647e-07
"SPATA31A6",0.429570435687823,6.22278415465132e-10,4.46987372585647e-07
"HOXB3",0.427128029497828,7.96064195767228e-10,5.32750489044751e-07
