step,loss
0,10714432.11868471
1,10596801.851800121
2,10699484.90970438
3,10493919.431819336
4,10449721.526928753
5,10529939.618702577
6,10590528.248629987
7,10400016.204114284
8,10435996.163828637
9,10444474.010900814
10,10303322.39280059
11,10431900.845517017
12,10233861.054776309
13,10411895.135501025
14,10312214.435838733
15,10278867.993296327
16,10369687.137770314
17,10264727.261051767
18,10194815.048243362
19,10316836.79177551
20,10083228.919180129
21,10066670.264772967
22,10021700.22286643
23,10114480.473183896
24,9991690.71164006
25,9980626.357314363
26,10085731.002723262
27,9869571.65223433
28,9864457.956951357
29,9867185.837535571
30,9805632.618195623
31,9843594.76030938
32,9719102.85107661
33,9748815.598029364
34,9753224.033862539
35,9781277.806232832
36,9740342.399912871
37,9825317.346678443
38,9660947.694912542
39,9623531.501127314
40,9721234.277089018
41,9593785.176287398
42,9738613.68273659
43,9537374.099157486
44,9443229.88658087
45,9515457.363982663
46,9560088.69715036
47,9525870.584666092
48,9508036.9596887
49,9581577.219204806
50,9435172.123978198
51,9494640.654403001
52,9421015.188003983
53,9323340.26649741
54,9480741.65889322
55,9479571.2378807
56,9337104.285097416
57,9354689.60884729
58,9457240.936301054
59,9386303.540865883
60,9309891.138967652
61,9353561.80556301
62,9225972.277546294
63,9181562.632540766
64,9237291.956521265
65,9322430.869289074
66,9196602.11240834
67,9288527.596187241
68,9178208.917888224
69,9186346.322105184
70,9204961.067848045
71,9074076.073239215
72,9181711.46316553
73,9139378.750082467
74,9045631.624817282
75,8975666.252814308
76,9141197.501117349
77,8975565.114848804
78,9025658.512838282
79,9054657.953088857
80,9039459.11017742
81,8991507.705710448
82,8976436.150687337
83,9043555.173929956
84,9009702.92411381
85,8963576.970105898
86,8924831.11795406
87,8891543.17646157
88,8825432.178560123
89,8881947.216484405
90,8868546.75737366
91,8892405.388205312
92,8844476.247868046
93,8966153.481467605
94,8819630.384349927
95,8780494.858345669
96,8735792.896165453
97,8823880.990657426
98,8723109.568240136
99,8803622.215546101
100,8707211.086363643
101,8848886.641414743
102,8652753.140903711
103,8746164.647531714
104,8838231.695025057
105,8603776.324017584
106,8727763.19998388
107,8725800.813060991
108,8651141.817973495
109,8668846.479154885
110,8673369.721875899
111,8580366.87948367
112,8614231.210769393
113,8577263.136683442
114,8644066.56739489
115,8618996.571737468
116,8569303.457542706
117,8750768.006150194
118,8631831.090834484
119,8694700.519611254
120,8514957.083505258
121,8438428.596468158
122,8422279.704234272
123,8508009.873329759
124,8486199.275695033
125,8502321.435931757
126,8607057.144142315
127,8454311.359631956
128,8477978.452326879
129,8461742.198108375
130,8467422.437062234
131,8510852.665079653
132,8414685.230775073
133,8430309.809011295
134,8416005.32959216
135,8382496.521246031
136,8454931.776002608
137,8325878.984087728
138,8329864.268935591
139,8296684.621310174
140,8256373.865000442
141,8309199.566872828
142,8350938.20291391
143,8341872.537751056
144,8284846.795933649
145,8431214.800150238
146,8140389.474305436
147,8276686.160278648
148,8313610.584071599
149,8181831.166386366
150,8256352.915390134
151,8185932.871539287
152,8336110.334648475
153,8200798.040948208
154,8371001.679081708
155,8071333.015215099
156,8249284.398888007
157,8125289.2822683975
158,8194986.0342455655
159,8238190.4848525375
160,8167544.252879448
161,8193785.222271636
162,8243642.599163257
163,8025715.728105783
164,8116148.202067845
165,8208932.1856126
166,8211668.978887431
167,8138154.498766296
168,8167178.761576965
169,8095810.9955975115
170,8086133.76389727
171,8132582.141986787
172,8068882.7411642745
173,8100755.980389759
174,8164662.254354924
175,8087283.393965587
176,8079818.235529035
177,8127247.369940646
178,8006975.803058222
