step,loss
0,3491530.6843991573
1,3431398.315624161
2,3433056.109537363
3,3386739.250759959
4,3400671.7927716672
5,3396551.839603385
6,3410217.898913836
7,3328881.664498383
8,3354287.7639028654
9,3382947.856991091
10,3312922.0645421967
11,3290062.5258071646
12,3275649.949264925
13,3410321.7898570113
14,3319543.025885747
15,3340498.075967362
16,3292221.7596739456
17,3294246.112393379
18,3307304.387203604
19,3321872.2508466598
20,3253576.8104595467
21,3267159.4764306415
22,3289359.37629743
23,3218322.316741258
24,3248350.92453501
25,3282118.3319764473
26,3209477.591296632
27,3214297.4518151022
28,3195773.932312224
29,3172016.8670963235
30,3213384.4877402633
31,3132157.5643238276
32,3241354.393789706
33,3145086.9475131053
34,3149143.4530221913
35,3172252.430596061
36,3157688.7342219427
37,3164771.020009114
38,3107071.7810815535
39,3122835.8697549626
40,3184899.3530981094
41,3127087.4373109266
42,3142984.632642783
43,3049025.910392776
44,3097122.7814184763
45,3116405.1428782754
46,3053513.822778227
47,3079982.7822154015
48,3081927.1769038364
49,3149934.6648351997
50,3127134.8075006753
51,3023973.1908649765
52,3057562.5696283355
53,3076311.5816460587
54,3004769.1857172437
55,3039244.8538964204
56,3034738.5442343745
57,3052617.862340249
58,3107336.275020875
59,3020172.1060057096
60,3002374.161918938
61,3074491.8216583654
62,3012782.1094290083
63,2980866.0558171794
64,2954126.9941148907
65,3010889.779733807
66,2948018.8648061603
67,2970354.620522268
68,2969603.455247503
69,2993933.0845628306
70,2937368.250599675
71,2961762.453552611
72,2910343.987119496
73,2951287.5024662167
74,2987771.1992401257
75,2975995.4207497686
76,2961884.6724878326
77,2913852.1009870935
78,2875485.1720419656
79,2971167.3975056037
80,2882497.2958895117
81,2898350.192919314
82,2905616.9610018805
83,2907260.3376262095
84,2890143.6658018455
85,2884947.7097736895
86,2904577.1103881635
87,2906080.6378445495
88,2865126.2488000505
89,2863763.2361388095
90,2885087.019080594
91,2822768.9711180255
92,2872470.635106981
93,2895459.879195899
94,2853372.2646764927
95,2845819.552946754
96,2849030.7570245713
97,2831804.875414431
98,2883429.0020367503
99,2838047.9417471886
100,2786167.068123713
101,2806080.384953782
102,2845339.5306821093
103,2811906.638099432
104,2831972.0809563547
105,2796651.2146623433
106,2808229.968099557
107,2799766.4016188867
108,2819123.9025277346
109,2781500.942895949
110,2776414.6721323654
111,2800885.463375449
112,2815689.5838487
113,2771609.8407025
114,2811232.9467519075
115,2777746.238101866
116,2782559.16498005
117,2766036.4399157315
118,2797235.213274747
119,2762825.8546996564
120,2743882.7239518315
121,2731421.1885564625
122,2765502.3429680467
123,2738338.2132114545
124,2747534.8965431154
125,2757636.860495992
126,2772580.8647222295
127,2742762.0356694907
128,2733714.729478482
129,2743113.4814459085
130,2739809.940268174
131,2745299.2914274745
132,2760130.0840338543
133,2708404.4705483317
134,2675751.1093618423
135,2679084.1754964143
136,2699213.0399576463
137,2701593.9149153866
138,2684152.9267781526
139,2690635.3689629957
140,2647797.188121408
141,2679036.4011261016
142,2667826.4123751074
143,2666345.2090075016
144,2705306.236777246
145,2669720.736655779
146,2681388.769120209
147,2713687.797330186
148,2683041.8358285204
149,2641224.8853549957
150,2662602.6516662315
151,2674955.9157112837
152,2651068.597763315
153,2653271.689798951
154,2641691.89218837
155,2663452.403288983
156,2648976.5733869374
157,2618562.9743986577
158,2654515.272081107
159,2648942.147757642
160,2655049.1369627267
161,2651611.5034899563
162,2636958.4853274003
163,2622034.0153450817
164,2597365.5967608467
165,2606874.8926235884
166,2607400.633064434
167,2607627.200529054
168,2632535.905032575
169,2611440.73233144
170,2595825.824422702
171,2622044.460882738
172,2613332.6024194136
173,2621291.7594521046
174,2600914.551530391
175,2601946.8975800425
176,2579471.4058308154
177,2574777.2095198333
178,2566305.9404749423
179,2591506.7963136137
180,2593710.479907207
181,2592772.617768936
182,2598101.4045155495
183,2568059.6617535166
184,2550642.7234462053
185,2554517.55734545
186,2565335.1108326614
187,2550843.8152534664
188,2555167.7857982665
189,2564205.99874565
190,2549397.508718841
191,2559080.190524727
192,2556883.0025116876
193,2550744.947587408
194,2545851.7964852005
195,2542087.244278699
196,2532024.2486887276
197,2521280.788195055
198,2547544.3996664435
199,2536750.005894482
200,2529894.8148842156
201,2544464.139964793
202,2536901.8067380264
203,2505246.055547923
204,2533633.5733492523
205,2536789.4230491966
206,2505357.136309877
207,2530898.609316036
208,2491986.6014160365
209,2507903.0248308703
210,2516540.2594056427
211,2518383.0662706643
212,2516094.6087685637
213,2487951.0272275954
214,2485547.8692885973
215,2506218.53627567
216,2510569.186321214
217,2509307.777720958
218,2477834.4293829203
219,2503051.761091739
220,2495859.5626807064
221,2456599.58428289
222,2471024.05059202
223,2468563.653063819
224,2484695.973100871
225,2467647.368834026
226,2447181.1266839057
227,2468376.0003481433
228,2478793.552871898
229,2450316.660615802
230,2464988.8226999044
231,2466419.8892886005
232,2488057.7986825556
233,2476925.2609369606
234,2461139.099053815
235,2438981.909633279
236,2452207.138480626
237,2436324.372605011
238,2460828.247148365
239,2440253.864982091
240,2443222.0809312016
241,2428309.1499415487
242,2462789.8719608784
243,2485726.6414281875
244,2418880.5679909736
245,2457344.8017213643
246,2416209.6301042885
247,2441600.4901709557
248,2438443.08728227
249,2423507.4091828316
250,2441774.5822730735
251,2414269.7915744632
252,2414255.76476527
253,2414716.6256769598
254,2428651.512136027
255,2377919.669156883
256,2417932.278255135
257,2402025.534353897
258,2428602.5080876052
259,2388573.1845289245
260,2419690.7220182866
261,2400241.7842299566
262,2372444.597247705
263,2393832.1470409334
264,2389494.471715346
265,2392420.673350483
266,2399599.4682373106
267,2397846.757777542
268,2390903.8499619663
269,2376795.80800125
270,2373552.1902193576
271,2378064.2904566526
272,2366332.0931016505
273,2382255.3736511096
274,2374056.098742977
275,2372186.5874035656
276,2399154.8403202146
277,2375309.7076133788
278,2381062.1131064445
279,2352115.811671868
280,2367039.6560928
281,2399232.8005575687
282,2342979.1743670776
283,2386540.5830392092
284,2393490.2111968696
285,2360261.054849796
286,2350865.76832217
287,2360104.2888740823
288,2354348.42397251
289,2350943.932647601
290,2368796.616443023
291,2359444.0654749423
292,2387100.9624824896
293,2385689.4274526574
294,2349117.6208737195
295,2365948.3325828016
296,2332186.467184391
297,2351650.0614343174
298,2327774.13733992
299,2342692.5611723736
300,2355300.8248320557
301,2336042.584968228
302,2326723.0594836175
303,2317252.8993811235
304,2319582.354000494
305,2339571.6275966093
306,2325454.440892473
307,2343774.1149817184
308,2309888.8587844856
309,2334921.405758977
310,2315753.0638816953
311,2335745.976572104
312,2319490.9424599186
313,2329331.217256017
314,2332450.072425157
315,2323015.2451967895
316,2308298.29161568
317,2321172.0980503485
318,2336859.876704611
319,2305775.035721794
320,2319591.253923632
321,2312957.700945437
322,2316440.715120077
323,2324134.5023066252
324,2297444.7885907292
325,2297172.465763405
326,2308846.427103527
327,2290487.1909744367
328,2295569.5997287706
329,2300940.2394795716
330,2317778.558551006
331,2290877.155319959
332,2281866.0064454824
333,2291721.1689370573
334,2280522.656389296
335,2295015.655092627
336,2298441.0715201683
337,2297203.2648491412
338,2275494.3431432545
339,2308934.7772001103
340,2278068.4788547605
341,2263760.717495352
342,2277990.6924957857
343,2275363.053500168
344,2263423.5216905624
345,2288340.9223955423
346,2282023.4262280837
347,2287082.878926724
348,2249536.2616006285
349,2264813.2820041925
350,2266845.0088734776
351,2264385.6365451813
352,2278120.4116699733
353,2247203.0458999537
354,2252678.838542752
355,2267063.0414393693
356,2239370.753483176
357,2264286.267108731
358,2270786.876208842
359,2257639.333751984
360,2261056.4056360275
361,2247754.933978699
362,2254958.8993858695
363,2243065.2938856333
364,2238455.2016755342
365,2252264.0707976073
366,2230092.288843788
367,2240514.1343322843
368,2231421.463643633
369,2226659.018815115
370,2215209.5647725314
371,2227733.006811738
372,2220194.1026309654
373,2227940.529760778
374,2242797.200973317
375,2217821.6977603957
376,2244592.2640909106
377,2224963.0367984474
378,2218866.9422600493
379,2224712.4362433553
380,2226178.009750299
381,2218321.6925083175
382,2224897.2241498977
383,2218222.6119140387
384,2218895.3431827575
385,2215569.3366236985
386,2209215.479226008
387,2219925.8603933603
388,2212157.9423997067
389,2200139.3146865442
390,2224233.5475576
391,2191117.6581612825
392,2215363.2778116614
393,2216775.0987615697
394,2209490.254636869
395,2201975.65048036
396,2200523.237732049
397,2210383.2292393222
398,2211652.662866764
399,2211546.987132527
400,2203640.272496775
401,2220669.9367844164
402,2199105.8184963986
403,2196676.746779144
404,2188078.997275427
405,2202202.0364527516
406,2198402.487946421
407,2190421.917700045
408,2202875.700148493
409,2200575.096647203
410,2192794.741949998
411,2198504.152539745
412,2182203.322713122
413,2172889.7140219808
414,2176790.5150327533
415,2189379.245027367
416,2192165.6680134423
417,2182895.8182366956
418,2186785.369093742
419,2189562.5360035934
420,2171246.7803530246
421,2173511.1725605726
422,2176948.6113279387
423,2186036.203236237
424,2176569.5243438855
425,2174952.1960563064
426,2182882.6918694675
427,2177515.2723952904
428,2174047.6048476994
429,2168680.18268542
430,2175437.9490204304
431,2157152.2972113825
432,2156813.4591047317
433,2160716.9473121986
434,2158219.295039147
435,2159781.2260855325
436,2162531.177583482
437,2168839.50382749
438,2171070.5134310387
439,2143587.02473744
440,2168402.653788425
441,2176209.378582895
442,2165021.8928520717
443,2146769.4027571157
444,2141390.6791940257
445,2156941.419495456
446,2132036.065948747
447,2141254.7057766654
448,2150396.2307732254
449,2151757.5951310024
450,2144275.020430089
451,2142440.992979534
452,2137411.5839263955
453,2136397.144375026
454,2147410.0866717733
455,2138351.2091658153
456,2135125.789788775
457,2166687.329535082
458,2135439.9923256217
459,2131834.5707888976
460,2146103.834662892
461,2145341.4110927023
462,2132647.2262483686
463,2151326.9361671284
464,2140591.8143411726
465,2138354.325529322
466,2140494.7246985734
467,2131789.057118222
468,2133710.6009857506
469,2126898.7447634265
470,2123356.578260824
471,2121665.4314996228
472,2125999.1984900683
473,2108663.0230743084
474,2136133.576134328
475,2123126.352727473
476,2123398.1878890544
477,2131950.8971775323
478,2116553.7212297693
479,2114236.2348993123
480,2100976.7831351683
481,2115677.337349683
482,2121197.809293762
483,2121127.920412015
484,2125689.541001696
485,2122836.3409028184
486,2118120.2333863825
