"region","celltype_1","celltype_2","r","p.value","p_adj","n"
"Arteries","Astrocytes1","Astrocytes2",0.960650954461314,0.0393490455386861,0.783197348702695,4
"Arteries","Astrocytes1","Astrocytes3",0.635383438760571,0.364616561239429,0.882166759980469,4
"Arteries","Astrocytes1","Astrocytes4",0.998396324208631,0.00160367579136868,0.414951111016646,4
"Arteries","Astrocytes1","Astrocytes5",0.691565265670327,0.308434734329673,0.872212978227354,4
"Arteries","Astrocytes1","Endothelial",-0.850809268713197,0.149190731286803,0.834661658820762,4
"Arteries","Astrocytes1","ExNeuron1",0.949368370124267,0.0506316298757325,0.804864837655985,4
"Arteries","Astrocytes1","ExNeuron10",-0.2472518177401,0.7527481822599,0.971439362392764,4
"Arteries","Astrocytes1","ExNeuron11",0.140757914071348,0.859242085928652,0.974664829188187,4
"Arteries","Astrocytes1","ExNeuron12",0.659649703183825,0.340350296816175,0.880580815460594,4
"Arteries","Astrocytes1","ExNeuron13",0.594797855744305,0.405202144255695,0.899473727930744,4
"Arteries","Astrocytes1","ExNeuron14",0.315363879669353,0.684636120330647,0.949863786249625,4
"Arteries","Astrocytes1","ExNeuron2",0.0195112851294758,0.980488714870524,0.995246247410546,4
"Arteries","Astrocytes1","ExNeuron3",0.634358098694287,0.365641901305713,0.882166759980469,4
"Arteries","Astrocytes1","ExNeuron4",0.666442925150947,0.333557074849053,0.880580815460594,4
"Arteries","Astrocytes1","ExNeuron5",0.465085806688128,0.534914193311872,0.906926570900957,4
"Arteries","Astrocytes1","ExNeuron6",0.872304092501668,0.127695907498332,0.805229915243267,4
"Arteries","Astrocytes1","ExNeuron7",0.826201904334073,0.173798095665927,0.858967434389083,4
"Arteries","Astrocytes1","ExNeuron8",0.829894112625304,0.170105887374696,0.858967434389083,4
"Arteries","Astrocytes1","ExNeuron9",0.663577161454657,0.336422838545343,0.880580815460594,4
"Arteries","Astrocytes1","Fibroblast",-0.519445055511241,0.480554944488759,0.90468075875338,4
"Arteries","Astrocytes1","InhNeuron1",0.724665097476203,0.275334902523796,0.863885131153149,4
"Arteries","Astrocytes1","InhNeuron2",0.599768852146726,0.400231147853274,0.899473727930744,4
"Arteries","Astrocytes1","InhNeuron3",0.399400857589681,0.600599142410319,0.921117538008328,4
"Arteries","Astrocytes1","InhNeuron4",0.236837866448948,0.763162133551052,0.974664829188187,4
"Arteries","Astrocytes1","InhNeuron5",0.697412192489375,0.302587807510625,0.864924460150613,4
"Arteries","Astrocytes1","Microglia1",-0.906330871836233,0.093669128163767,0.804864837655985,4
"Arteries","Astrocytes1","Microglia2",-0.735216713852412,0.264783286147588,0.863885131153149,4
"Arteries","Astrocytes1","Microglia3",-0.728416761659128,0.271583238340872,0.863885131153149,4
"Arteries","Astrocytes1","Microglia4",-0.548075947273036,0.451924052726964,0.899473727930744,4
"Arteries","Astrocytes1","Microglia5",-0.727387414224076,0.272612585775924,0.863885131153149,4
"Arteries","Astrocytes1","Oligodendrocytes1",0.404514166361317,0.595485833638683,0.91852136783314,4
"Arteries","Astrocytes1","Oligodendrocytes2",-0.259284895188013,0.740715104811987,0.966795489149579,4
"Arteries","Astrocytes1","Oligodendrocytes3",-0.9101879404373,0.0898120595627,0.804864837655985,4
"Arteries","Astrocytes1","Oligodendrocytes4",-0.886803944149171,0.113196055850829,0.804864837655985,4
"Arteries","Astrocytes1","Oligodendrocytes5",-0.836056086473573,0.163943913526427,0.858967434389083,4
"Arteries","Astrocytes1","Oligodendrocytes6",-0.896623722647903,0.103376277352097,0.804864837655985,4
"Arteries","Astrocytes1","Oligodendrocytes7",-0.242597470283408,0.757402529716592,0.973803252492761,4
"Arteries","Astrocytes1","Oligodendrocytes8",-0.458489169206176,0.541510830793824,0.906926570900957,4
"Arteries","Astrocytes1","OPC1",0.119255958865126,0.880744041134874,0.974664829188187,4
"Arteries","Astrocytes1","OPC2",-0.742347204533286,0.257652795466714,0.863885131153149,4
"Arteries","Astrocytes1","OPC3",-0.225687727805511,0.774312272194489,0.974664829188187,4
"Arteries","Astrocytes1","Pericytes",-0.434997812181481,0.565002187818519,0.907090796407614,4
"Arteries","Astrocytes1","SMC",-0.681968198514293,0.318031801485707,0.880114744753227,4
"Arteries","Astrocytes1","VLMC1",-0.926452195837818,0.0735478041621817,0.804864837655985,4
"Arteries","Astrocytes1","VLMC2",-0.371127636488104,0.628872363511896,0.939173132229352,4
"Arteries","Astrocytes2","Astrocytes3",0.801649065875371,0.198350934124629,0.858967434389083,4
"Arteries","Astrocytes2","Astrocytes4",0.962484649800271,0.0375153501997288,0.761340930523907,4
"Arteries","Astrocytes2","Astrocytes5",0.845462218034727,0.154537781965273,0.846102029307562,4
"Arteries","Astrocytes2","Endothelial",-0.805773062912023,0.194226937087977,0.858967434389083,4
"Arteries","Astrocytes2","ExNeuron1",0.830895946629712,0.169104053370288,0.858967434389083,4
"Arteries","Astrocytes2","ExNeuron10",-0.442649264043374,0.557350735956627,0.906926570900957,4
"Arteries","Astrocytes2","ExNeuron11",-0.100671582729741,0.899328417270259,0.974664829188187,4
"Arteries","Astrocytes2","ExNeuron12",0.471677381285879,0.528322618714121,0.906926570900957,4
"Arteries","Astrocytes2","ExNeuron13",0.424152618442138,0.575847381557862,0.907090796407614,4
"Arteries","Astrocytes2","ExNeuron14",0.296603166784119,0.703396833215881,0.956656665411875,4
"Arteries","Astrocytes2","ExNeuron2",-0.193957240717552,0.806042759282448,0.974664829188187,4
"Arteries","Astrocytes2","ExNeuron3",0.557164210703116,0.442835789296884,0.899473727930744,4
"Arteries","Astrocytes2","ExNeuron4",0.568653926040801,0.431346073959199,0.899473727930744,4
"Arteries","Astrocytes2","ExNeuron5",0.261892216857702,0.738107783142298,0.966795489149579,4
"Arteries","Astrocytes2","ExNeuron6",0.72222093452633,0.277779065473669,0.863885131153149,4
"Arteries","Astrocytes2","ExNeuron7",0.714859050796276,0.285140949203723,0.863885131153149,4
"Arteries","Astrocytes2","ExNeuron8",0.761669272765384,0.238330727234616,0.863885131153149,4
"Arteries","Astrocytes2","ExNeuron9",0.616595589127397,0.383404410872603,0.894404370425284,4
"Arteries","Astrocytes2","Fibroblast",-0.541811734944702,0.458188265055298,0.903981346308638,4
"Arteries","Astrocytes2","InhNeuron1",0.511822222151996,0.488177777848004,0.90468075875338,4
"Arteries","Astrocytes2","InhNeuron2",0.353921478118552,0.646078521881448,0.939173132229352,4
"Arteries","Astrocytes2","InhNeuron3",0.194116955490222,0.805883044509778,0.974664829188187,4
"Arteries","Astrocytes2","InhNeuron4",0.0362122814699106,0.963787718530089,0.994018342421225,4
"Arteries","Astrocytes2","InhNeuron5",0.488935565166626,0.511064434833374,0.90468075875338,4
"Arteries","Astrocytes2","Microglia1",-0.906660635991756,0.0933393640082438,0.804864837655985,4
"Arteries","Astrocytes2","Microglia2",-0.606990389545545,0.393009610454455,0.899473727930744,4
"Arteries","Astrocytes2","Microglia3",-0.889971127298094,0.110028872701906,0.804864837655985,4
"Arteries","Astrocytes2","Microglia4",-0.418432993401665,0.581567006598335,0.907876096273419,4
"Arteries","Astrocytes2","Microglia5",-0.720984595014994,0.279015404985006,0.863885131153149,4
"Arteries","Astrocytes2","Oligodendrocytes1",0.535054586875382,0.464945413124618,0.903981346308638,4
"Arteries","Astrocytes2","Oligodendrocytes2",-0.136683425774765,0.863316574225235,0.974664829188187,4
"Arteries","Astrocytes2","Oligodendrocytes3",-0.782600499127756,0.217399500872244,0.863885131153149,4
"Arteries","Astrocytes2","Oligodendrocytes4",-0.882770422668711,0.117229577331289,0.804864837655985,4
"Arteries","Astrocytes2","Oligodendrocytes5",-0.816402147934728,0.183597852065272,0.858967434389083,4
"Arteries","Astrocytes2","Oligodendrocytes6",-0.774692686522384,0.225307313477616,0.863885131153149,4
"Arteries","Astrocytes2","Oligodendrocytes7",-0.0327810419646355,0.967218958035365,0.99510101547376,4
"Arteries","Astrocytes2","Oligodendrocytes8",-0.212614333208553,0.787385666791447,0.974664829188187,4
"Arteries","Astrocytes2","OPC1",0.123991387775345,0.876008612224655,0.974664829188187,4
"Arteries","Astrocytes2","OPC2",-0.695828502814311,0.304171497185688,0.864924460150613,4
"Arteries","Astrocytes2","OPC3",-0.369429360195754,0.630570639804246,0.939173132229352,4
"Arteries","Astrocytes2","Pericytes",-0.477252435915094,0.522747564084906,0.906926570900957,4
"Arteries","Astrocytes2","SMC",-0.842547336912419,0.157452663087581,0.846102029307562,4
"Arteries","Astrocytes2","VLMC1",-0.972756854650605,0.0272431453493947,0.75233844362141,4
"Arteries","Astrocytes2","VLMC2",-0.133934522743933,0.866065477256067,0.974664829188187,4
"Arteries","Astrocytes3","Astrocytes4",0.662050717727445,0.337949282272555,0.880580815460594,4
"Arteries","Astrocytes3","Astrocytes5",0.997005924969081,0.00299407503091898,0.442695379571593,4
"Arteries","Astrocytes3","Endothelial",-0.694978330478286,0.305021669521714,0.864924460150613,4
"Arteries","Astrocytes3","ExNeuron1",0.442584575985827,0.557415424014173,0.906926570900957,4
"Arteries","Astrocytes3","ExNeuron10",-0.446452787342051,0.553547212657949,0.906926570900957,4
"Arteries","Astrocytes3","ExNeuron11",-0.673189375132191,0.326810624867809,0.880580815460594,4
"Arteries","Astrocytes3","ExNeuron12",-0.148147192566391,0.851852807433609,0.974664829188187,4
"Arteries","Astrocytes3","ExNeuron13",-0.198280164230117,0.801719835769882,0.974664829188187,4
"Arteries","Astrocytes3","ExNeuron14",-0.146874893956526,0.853125106043474,0.974664829188187,4
"Arteries","Astrocytes3","ExNeuron2",-0.739543840206438,0.260456159793561,0.863885131153149,4
"Arteries","Astrocytes3","ExNeuron3",0.535578595002412,0.464421404997588,0.903981346308638,4
"Arteries","Astrocytes3","ExNeuron4",0.490495356014739,0.509504643985261,0.90468075875338,4
"Arteries","Astrocytes3","ExNeuron5",-0.366802939541284,0.633197060458716,0.939173132229352,4
"Arteries","Astrocytes3","ExNeuron6",0.356621012169555,0.643378987830445,0.939173132229352,4
"Arteries","Astrocytes3","ExNeuron7",0.159460330777753,0.840539669222247,0.974664829188187,4
"Arteries","Astrocytes3","ExNeuron8",0.249367483798085,0.750632516201915,0.970996084651234,4
"Arteries","Astrocytes3","ExNeuron9",0.109792779999775,0.890207220000225,0.974664829188187,4
"Arteries","Astrocytes3","Fibroblast",-0.729866565768518,0.270133434231482,0.863885131153149,4
"Arteries","Astrocytes3","InhNeuron1",-0.0614066929565791,0.938593307043421,0.989250583289145,4
"Arteries","Astrocytes3","InhNeuron2",-0.167556986055314,0.832443013944686,0.974664829188187,4
"Arteries","Astrocytes3","InhNeuron3",-0.430091329347844,0.569908670652156,0.907090796407614,4
"Arteries","Astrocytes3","InhNeuron4",-0.563237549862713,0.436762450137287,0.899473727930744,4
"Arteries","Astrocytes3","InhNeuron5",-0.109827440572183,0.890172559427817,0.974664829188187,4
"Arteries","Astrocytes3","Microglia1",-0.524555176576446,0.475444823423554,0.90468075875338,4
"Arteries","Astrocytes3","Microglia2",-0.42220937586916,0.57779062413084,0.907090796407614,4
"Arteries","Astrocytes3","Microglia3",-0.941556950341773,0.0584430496582271,0.804864837655985,4
"Arteries","Astrocytes3","Microglia4",0.178426993287539,0.821573006712461,0.974664829188187,4
"Arteries","Astrocytes3","Microglia5",-0.279099410395687,0.720900589604313,0.959456804748692,4
"Arteries","Astrocytes3","Oligodendrocytes1",0.881218957116725,0.118781042883275,0.804864837655985,4
"Arteries","Astrocytes3","Oligodendrocytes2",-0.19252022466579,0.80747977533421,0.974664829188187,4
"Arteries","Astrocytes3","Oligodendrocytes3",-0.263516606895898,0.736483393104102,0.966795489149579,4
"Arteries","Astrocytes3","Oligodendrocytes4",-0.483218667216011,0.516781332783989,0.90468075875338,4
"Arteries","Astrocytes3","Oligodendrocytes5",-0.373061506112291,0.626938493887709,0.93904680343528,4
"Arteries","Astrocytes3","Oligodendrocytes6",-0.245074748415758,0.754925251584242,0.9730356605102,4
"Arteries","Astrocytes3","Oligodendrocytes7",0.569163120027663,0.430836879972337,0.899473727930744,4
"Arteries","Astrocytes3","Oligodendrocytes8",0.154016272805933,0.845983727194067,0.974664829188187,4
"Arteries","Astrocytes3","OPC1",0.445883586503674,0.554116413496326,0.906926570900957,4
"Arteries","Astrocytes3","OPC2",-0.19565467710066,0.80434532289934,0.974664829188187,4
"Arteries","Astrocytes3","OPC3",-0.240673519739068,0.759326480260932,0.974664829188187,4
"Arteries","Astrocytes3","Pericytes",-0.72922871338274,0.27077128661726,0.863885131153149,4
"Arteries","Astrocytes3","SMC",-0.996560011546164,0.00343998845383585,0.445048506215013,4
"Arteries","Astrocytes3","VLMC1",-0.713451386178159,0.286548613821841,0.863885131153149,4
"Arteries","Astrocytes3","VLMC2",0.152109283339287,0.847890716660713,0.974664829188187,4
"Arteries","Astrocytes4","Astrocytes5",0.715560799086951,0.284439200913049,0.863885131153149,4
"Arteries","Astrocytes4","Endothelial",-0.877902638480295,0.122097361519704,0.804864837655985,4
