"celltype","region","contrast","type","log2_OR","odds.ratio","SE","p.value","p_adj","estimate"
"Astrocytes1","Arteries","Amyloid_effect","Amyloid",0.573534026853257,1.48816451829353,0.265587284005456,0.0259102446808269,0.0884908555757001,NA
"Astrocytes2","Arteries","Amyloid_effect","Amyloid",0.596359606842335,1.51189673744213,0.319925005391305,0.0507634608221929,0.129728844323382,NA
"Astrocytes3","Arteries","Amyloid_effect","Amyloid",-0.525663430853113,0.694639602812216,0.114395541361798,0.0269319995230392,0.0884908555757001,NA
"Astrocytes4","Arteries","Amyloid_effect","Amyloid",0.420858569230646,1.3387240122992,0.24056846081019,0.10451314221276,0.17805942747359,NA
"Astrocytes5","Arteries","Amyloid_effect","Amyloid",-0.0637105420773738,0.95680010828383,0.219456486281101,0.847323201092199,0.893022508602118,NA
"Endothelial","Arteries","Amyloid_effect","Amyloid",0.153440706707677,1.11221886025385,0.241998629375877,0.624973573383719,0.68449486608693,NA
"ExNeuron1","Arteries","Amyloid_effect","Amyloid",0.211232137045053,1.15767647809833,0.256117200064448,0.508092417575979,0.584306280212376,NA
"ExNeuron10","Arteries","Amyloid_effect","Amyloid",-0.0376381789953064,0.974248574781737,0.138310101770207,0.854195443010722,0.893022508602118,NA
"ExNeuron11","Arteries","Amyloid_effect","Amyloid",0.330675090167066,1.25760171503796,0.171313633434104,0.0924546142768841,0.170116490269467,NA
"ExNeuron12","Arteries","Amyloid_effect","Amyloid",0.404820073265282,1.32392378600534,0.189173786651101,0.0495573441121911,0.129728844323382,NA
"ExNeuron13","Arteries","Amyloid_effect","Amyloid",0.346238858972826,1.27124214435609,0.166425420303762,0.0667728087137955,0.140948487085914,NA
"ExNeuron14","Arteries","Amyloid_effect","Amyloid",0.19199957491614,1.14234591026121,0.143503202744185,0.289415654238597,0.403427881665924,NA
"ExNeuron2","Arteries","Amyloid_effect","Amyloid",0.147026661730133,1.10728504747992,0.142456818804988,0.428283507767473,0.532460577224426,NA
"ExNeuron3","Arteries","Amyloid_effect","Amyloid",0.318368547228774,1.24691968854458,0.318725923299583,0.387956186830522,0.495721794283444,NA
"ExNeuron4","Arteries","Amyloid_effect","Amyloid",0.273311918674507,1.20857911665695,0.305589026373194,0.453712140192176,0.535147652534362,NA
"ExNeuron5","Arteries","Amyloid_effect","Amyloid",0.449536450160737,1.36560140723752,0.188306250049148,0.0238402615066344,0.0884908555757001,NA
"ExNeuron6","Arteries","Amyloid_effect","Amyloid",0.594269085907253,1.50970752707951,0.367638382085391,0.090734976968473,0.170116490269467,NA
"ExNeuron7","Arteries","Amyloid_effect","Amyloid",0.250456504628221,1.18958346928116,0.206697879552689,0.317737652562964,0.429880353467539,NA
