"contrast","odds.ratio","SE","df","asymp.LCL","asymp.UCL","null","z.ratio","p.value","celltype","region","p_adj"
"Disease_effect",1.58049795363303,0.432536721035392,Inf,0.924367392878149,2.7023603392807,1,1.67259109248924,0.0944078216415174,"Astrocytes1","Arteries",0.114283152513416
"Disease_effect",1.43707266258677,0.367124685871592,Inf,0.871013321353175,2.37100603047705,1,1.41939322047638,0.155784407834555,"Astrocytes2","Arteries",0.174782506350964
"Disease_effect",2.65582231608092,0.605517539192421,Inf,1.69874523925627,4.15211887668424,1,4.28408060851028,1.83496381695858e-05,"Astrocytes3","Arteries",4.44254397789972e-05
"Disease_effect",1.52358873731711,0.341823533757634,Inf,0.981515385172336,2.36503948440091,1,1.87680267021873,0.0605451443682582,"Astrocytes4","Arteries",0.0773632400261077
"Disease_effect",1.85790687654486,0.504426152801851,Inf,1.09124104023026,3.16320394363496,1,2.28156564106275,0.0225149971802446,"Astrocytes5","Arteries",0.0323653084466017
"Disease_effect",1.63486213155257,0.528272532401862,Inf,0.867825932110483,3.07985056713464,1,1.5212419559134,0.128199130279779,"Endothelial","Arteries",0.147428999821745
"Disease_effect",1.31236343694033,0.345754331364735,Inf,0.783063846153691,2.19943469370671,1,1.03177105000858,0.30217938421638,"ExNeuron1","Arteries",0.323261666836127
"Disease_effect",2.65992517664973,0.567209604644236,Inf,1.75128533841644,4.04000524082081,1,4.58772108474268,4.48110770095243e-06,"ExNeuron10","Arteries",1.47236395888437e-05
"Disease_effect",2.07185038300883,0.3251223015586,Inf,1.52329755952351,2.81794189371417,1,4.6420164449058,3.45025392935668e-06,"ExNeuron11","Arteries",1.22085908269544e-05
"Disease_effect",1.69646732638836,0.362149985826049,Inf,1.11644400097781,2.57782870164793,1,2.47594788053957,0.0132882975016585,"ExNeuron12","Arteries",0.0197181188734288
"Disease_effect",1.82691369405812,0.377752215913156,Inf,1.21818850101707,2.73981706669413,1,2.9144750634489,0.00356287271484787,"ExNeuron13","Arteries",0.00585329088867864
"Disease_effect",1.7907265267748,0.299250587110264,Inf,1.29057692166247,2.48470388697498,1,3.48642801019766,0.000489517116183893,"ExNeuron14","Arteries",0.000900711493778362
"Disease_effect",2.70716027313508,0.504946402517092,Inf,1.87821669608009,3.90195484883939,1,5.3393023235381,9.33049414726772e-08,"ExNeuron2","Arteries",8.5840546154863e-07
"Disease_effect",1.08031000392009,0.316473390574943,Inf,0.608403360760224,1.91824993062421,1,0.263693041957051,0.792016457543379,"ExNeuron3","Arteries",0.792016457543379
"Disease_effect",1.08009162380467,0.30916624243177,Inf,0.61632818014542,1.89281936700955,1,0.269164585780672,0.787803031333283,"ExNeuron4","Arteries",0.792016457543379
"Disease_effect",2.24082021347019,0.354150452732661,Inf,1.64391310321186,3.0544651169737,1,5.10514040453492,3.30548995831934e-07,"ExNeuron5","Arteries",2.53420896804483e-06
"Disease_effect",1.18713199005109,0.313001558285634,Inf,0.708059139727009,1.99034555552239,1,0.650606935288789,0.515300252313608,"ExNeuron6","Arteries",0.538722991055136
"Disease_effect",1.49886200658979,0.333669138394402,Inf,0.968883221363579,2.31873900307262,1,1.81796460660223,0.0690695425358819,"ExNeuron7","Arteries",0.085870242071637
