"contrast","estimate","SE","df","asymp.LCL","asymp.UCL","z.ratio","p.value","celltype","region","p_adj"
"AD_Amyloid_vs_Control",0.93261569629371,0.253273723256503,Inf,0.436208320480599,1.42902307210682,3.6822441913929,0.000231189803961513,"Astrocytes1","Arteries",0.000462379607923026
"AD_Amyloid_vs_Control",0.766108282950824,0.274722454361667,Inf,0.227662166657509,1.30455439924414,2.78866277869758,0.00529261426175348,"Astrocytes2","Arteries",0.00737758351638364
"AD_Amyloid_vs_Control",0.808300361755947,0.164321680980908,Inf,0.486235785154287,1.13036493835761,4.91901225042763,8.69820262984421e-07,"Astrocytes3","Arteries",4.00117320972834e-06
"AD_Amyloid_vs_Control",0.745232951629133,0.214302548802541,Inf,0.325207674181016,1.16525822907725,3.47748057964441,0.000506149715406593,"Astrocytes4","Arteries",0.000895495650334741
"AD_Amyloid_vs_Control",0.615686628348412,0.295893820338256,Inf,0.0357453972374647,1.19562785945936,2.08076879620054,0.0374550735850374,"Astrocytes5","Arteries",0.0441777791003005
"AD_Amyloid_vs_Control",0.479246573245717,0.268575607754133,Inf,-0.0471519450783389,1.00564509156977,1.78440096348751,0.0743585346331834,"Endothelial","Arteries",0.0834266486128399
"AD_Amyloid_vs_Control",0.544091756638349,0.235662176436966,Inf,0.0822023783035717,1.00598113497313,2.30877845933787,0.0209558779319912,"ExNeuron1","Arteries",0.0253676417071473
"AD_Amyloid_vs_Control",1.06425864155325,0.183717644802327,Inf,0.704178674416163,1.42433860869033,5.79290379374472,6.91797401076349e-09,"ExNeuron10","Arteries",7.92884368333352e-08
"AD_Amyloid_vs_Control",0.891701563390971,0.193811170943778,Inf,0.511838648539631,1.27156447824231,4.60087805593849,4.20713685287686e-06,"ExNeuron11","Arteries",1.38719746935623e-05
"AD_Amyloid_vs_Control",0.811041143768409,0.176307613201715,Inf,0.465484571692829,1.15659771584399,4.60014816739927,4.22190534151896e-06,"ExNeuron12","Arteries",1.38719746935623e-05
"AD_Amyloid_vs_Control",0.943030982496623,0.131782800336935,Inf,0.684741440054398,1.20132052493885,7.15594888016899,8.30961071651e-13,"ExNeuron13","Arteries",3.8224209295946e-11
"AD_Amyloid_vs_Control",0.747392170743784,0.132952202913693,Inf,0.486810641367685,1.00797370011988,5.62151024476789,1.89295270851574e-08,"ExNeuron14","Arteries",1.4512637431954e-07
"AD_Amyloid_vs_Control",1.06255274882556,0.202964059335691,Inf,0.664750502371555,1.46035499527956,5.23517686975386,1.64826948641926e-07,"ExNeuron2","Arteries",9.47754954691074e-07
"AD_Amyloid_vs_Control",0.293803972054459,0.290414829459986,Inf,-0.275398634263455,0.863006578372372,1.01167000528442,0.3116958616057,"ExNeuron3","Arteries",0.318622436308049
"AD_Amyloid_vs_Control",0.266671202722355,0.287029372744562,Inf,-0.295896030362109,0.829238435806819,0.929072868649146,0.352851323972942,"ExNeuron4","Arteries",0.352851323972942
"AD_Amyloid_vs_Control",0.941741115999193,0.209687900736886,Inf,0.530760382561086,1.3527218494373,4.49115620257402,7.08375736100179e-06,"ExNeuron5","Arteries",2.17235225737388e-05
"AD_Amyloid_vs_Control",0.51746392840254,0.306995687465487,Inf,-0.0842365624389295,1.11916441924401,1.68557393321922,0.0918778934395861,"ExNeuron6","Arteries",0.100628169005261
"AD_Amyloid_vs_Control",0.580468873548917,0.192096482463878,Inf,0.203966686362886,0.956971060734948,3.02175691144198,0.00251312278164603,"ExNeuron7","Arteries",0.00385345493185725
"AD_Amyloid_vs_Control",0.728600954421527,0.187225852728269,Inf,0.36164502609932,1.09555688274373,3.89156168234408,9.96010600603202e-05,"ExNeuron8","Arteries",0.000208256761944306
"AD_Amyloid_vs_Control",0.711449053417829,0.197516062953932,Inf,0.324324683659978,1.09857342317568,3.60198073401132,0.000315801773902358,"ExNeuron9","Arteries",0.000605286733312853
"AD_Amyloid_vs_Control",-0.928407851343842,0.161212066764173,Inf,-1.24437769607489,-0.612438006612796,-5.75892282742054,8.46523905214224e-09,"Fibroblast","Arteries",7.92884368333352e-08
"AD_Amyloid_vs_Control",0.956212620270795,0.214537232407038,Inf,0.535727371410102,1.37669786913149,4.45709404163744,8.30781637022558e-06,"InhNeuron1","Arteries",2.38849720643985e-05
"AD_Amyloid_vs_Control",0.842182712517359,0.237838934023749,Inf,0.376026967709412,1.30833845732531,3.54097917556788,0.000398645040490121,"InhNeuron2","Arteries",0.000733506874501822
"AD_Amyloid_vs_Control",0.857082242422063,0.195932376544644,Inf,0.473061840989221,1.24110264385491,4.37437782125188,1.21779304918217e-05,"InhNeuron3","Arteries",3.29520472131647e-05
"AD_Amyloid_vs_Control",0.871725867747598,0.18737941675645,Inf,0.504468959460834,1.23898277603436,4.65219650502295,3.28417888541355e-06,"InhNeuron4","Arteries",1.25893523940853e-05
"AD_Amyloid_vs_Control",0.923904355408985,0.165208557595871,Inf,0.600101532583266,1.2477071782347,5.59235168476571,2.24014490112352e-08,"InhNeuron5","Arteries",1.47209522073831e-07
"AD_Amyloid_vs_Control",0.942324590390951,0.22535162625618,Inf,0.500643519071308,1.38400566171059,4.18157439573885,2.89497493725641e-05,"Microglia1","Arteries",6.65844235568975e-05
"AD_Amyloid_vs_Control",0.532687055047023,0.175934342713709,Inf,0.187862079684427,0.877512030409619,3.027760509009,0.00246373256202571,"Microglia2","Arteries",0.00385345493185725
"AD_Amyloid_vs_Control",0.786617048399612,0.184604661790606,Inf,0.424798559911827,1.1484355368874,4.2610898379796,2.03432430940408e-05,"Microglia3","Arteries",5.19882879069933e-05
"AD_Amyloid_vs_Control",0.720518718010337,0.246209517100117,Inf,0.23795693184311,1.20308050417756,2.92644543759595,0.00342859641502602,"Microglia4","Arteries",0.00508759468036119
"AD_Amyloid_vs_Control",1.10617296010428,0.215763106393539,Inf,0.683285042380461,1.5290608778281,5.12679381843293,2.94717964359665e-07,"Microglia5","Arteries",1.50633626228273e-06
"AD_Amyloid_vs_Control",0.422784859572952,0.259495411876673,Inf,-0.0858168018587135,0.931386521004618,1.62925755224483,0.10325850803507,"Oligodendrocytes1","Arteries",0.107952076582119
"AD_Amyloid_vs_Control",-0.714946688964594,0.295197569851763,Inf,-1.2935232941978,-0.136370083731391,-2.42192606573155,0.0154384912023469,"Oligodendrocytes2","Arteries",0.0197269609807766
"AD_Amyloid_vs_Control",0.833915261592007,0.203479604556981,Inf,0.435102565071873,1.23272795811214,4.09827443594468,4.16241593701664e-05,"Oligodendrocytes3","Arteries",9.11767300489359e-05
"AD_Amyloid_vs_Control",0.768258648235653,0.241865197565059,Inf,0.294211571894473,1.24230572457683,3.17639187435803,0.00149119366485292,"Oligodendrocytes4","Arteries",0.00249660648006118
"AD_Amyloid_vs_Control",0.667804002031759,0.271369153405874,Inf,0.135930234841121,1.1996777692224,2.46086923900653,0.0138600870721975,"Oligodendrocytes5","Arteries",0.0182161144377453
"AD_Amyloid_vs_Control",0.622543782756932,0.268058639532602,Inf,0.0971585035282272,1.14792906198564,2.32241640800097,0.0202105247003336,"Oligodendrocytes6","Arteries",0.0251265982760904
"AD_Amyloid_vs_Control",0.428584653142435,0.258935929858149,Inf,-0.0789204436829277,0.936089749967797,1.65517644993193,0.0978887108147462,"Oligodendrocytes7","Arteries",0.10471815575531
"AD_Amyloid_vs_Control",0.655444770430409,0.15557055303373,Inf,0.350532089429321,0.960357451431498,4.21316732279212,2.51814375633834e-05,"Oligodendrocytes8","Arteries",6.09655856797703e-05
"AD_Amyloid_vs_Control",0.973628002047592,0.164955998633392,Inf,0.650320185692305,1.29693581840288,5.90234977881247,3.58360376109328e-09,"OPC1","Arteries",7.92884368333352e-08
"AD_Amyloid_vs_Control",0.861973873825624,0.176413009488106,Inf,0.516210728824613,1.20773701882664,4.88611285713449,1.02846259864487e-06,"OPC2","Arteries",4.30084359433309e-06
"AD_Amyloid_vs_Control",0.995930382567952,0.173027841965894,Inf,0.656802043992112,1.33505872114379,5.75589668837379,8.61830835144948e-09,"OPC3","Arteries",7.92884368333352e-08
"AD_Amyloid_vs_Control",0.540730629177162,0.261648037583422,Inf,0.0279098988880717,1.05355135946625,2.06663361273925,0.038768691042483,"Pericytes","Arteries",0.0445839946988555
"AD_Amyloid_vs_Control",0.606025712958165,0.210529543297879,Inf,0.193395390412656,1.01865603550367,2.87857800603641,0.00399472473519711,"SMC","Arteries",0.00574241680684585
"AD_Amyloid_vs_Control",0.713730932374254,0.257779591718975,Inf,0.208492216655624,1.21896964809288,2.76876430602911,0.00562693248751047,"VLMC1","Arteries",0.00761290865957299
"AD_Amyloid_vs_Control",0.70760017153678,0.223154350559101,Inf,0.270225681447516,1.14497466162604,3.17090018529294,0.00151967350960246,"VLMC2","Arteries",0.00249660648006118
"AD_Amyloid_vs_Control",1.11201986964384,0.332888190369536,Inf,0.45957100564084,1.76446873364685,3.34052063670207,0.000836214658384748,"Astrocytes1","Capillaries",0.00132640945812753
"AD_Amyloid_vs_Control",0.296834054733986,0.323390650107591,Inf,-0.336999972413886,0.930668081881858,0.917880757020125,0.358681297027569,"Astrocytes2","Capillaries",0.374984992347004
"AD_Amyloid_vs_Control",0.860519102237962,0.263819848593086,Inf,0.343441700588705,1.37759650388722,3.26176785722147,0.00110719773818065,"Astrocytes3","Capillaries",0.00169770319854367
"AD_Amyloid_vs_Control",1.44381896218333,0.269704273443814,Inf,0.915208299756912,1.97242962460975,5.35334106407518,8.63448781942178e-08,"Astrocytes4","Capillaries",1.98593219846701e-06
"AD_Amyloid_vs_Control",0.905218695410022,0.260514044940058,Inf,0.39462054986066,1.41581684095938,3.47474047174042,0.000511347811906632,"Astrocytes5","Capillaries",0.000904692282604041
"AD_Amyloid_vs_Control",0.614157896037064,0.222920571371953,Inf,0.177241604734946,1.05107418733918,2.75505258333613,0.00586827034701468,"Endothelial","Capillaries",0.00771258388464787
"AD_Amyloid_vs_Control",1.29224607765637,0.240985359737162,Inf,0.819923451770109,1.76456870354264,5.36234267121374,8.21495098612391e-08,"ExNeuron1","Capillaries",1.98593219846701e-06
