"contrast","estimate","SE","df","asymp.LCL","asymp.UCL","z.ratio","p.value","celltype","region","weight","p_adj"
"Disease_effect",0.506844070782782,0.256898000627347,Inf,0.00333324185283468,1.01035489971273,1.97293894676123,0.0485025186581953,"Astrocytes1","Arteries",0.472727272727273,0.0656210546552054
"Amyloid_effect",0.409410989088957,0.169906255893744,Inf,0.0764008467891727,0.742421131388742,2.40962869162978,0.0159687631469329,"Astrocytes1","Arteries",0.472727272727273,0.0565048542122241
"AD_overall_vs_Control",0.70038381107938,0.238107241021601,Inf,0.233702194218845,1.16706542793992,2.94146372060916,0.00326665105175459,"Astrocytes1","Arteries",0.472727272727273,0.0048472886574423
"Disease_effect",0.379429301726077,0.280942900006838,Inf,-0.171208663999563,0.930067267451717,1.35055664947162,0.176837495368187,"Astrocytes2","Arteries",0.472727272727273,0.203363119673416
"Amyloid_effect",0.392810061483611,0.210875656616702,Inf,-0.0204986307013604,0.806118753668583,1.86275679130475,0.0624964917163346,"Astrocytes2","Arteries",0.472727272727273,0.121836461550645
"AD_overall_vs_Control",0.565121330791057,0.255314422656324,Inf,0.0647142576510239,1.06552840393109,2.2134328523687,0.0268678178165565,"Astrocytes2","Arteries",0.472727272727273,0.0316902466554256
"Disease_effect",1.04467680768296,0.212145512088025,Inf,0.628879244508626,1.4604743708573,4.92434083285956,8.46451927259827e-07,"Astrocytes3","Arteries",0.472727272727273,4.32630985043911e-06
"Amyloid_effect",-0.377237137781794,0.154562174544804,Inf,-0.680173433261803,-0.0743008423017842,-2.44068213256434,0.0146595517128611,"Astrocytes3","Arteries",0.472727272727273,0.0565048542122241
"AD_overall_vs_Control",0.866346524367931,0.202426751617769,Inf,0.469597381689669,1.26309566704619,4.27980253323337,1.87059206224631e-05,"Astrocytes3","Arteries",0.472727272727273,5.37795217895814e-05
"Disease_effect",0.403557600059769,0.233957709483585,Inf,-0.0549910844335417,0.86210628455308,1.72491687044869,0.0845424547948098,"Astrocytes4","Arteries",0.472727272727273,0.107944153832595
"Amyloid_effect",0.293986751148619,0.171881680378941,Inf,-0.0428951519963294,0.630868654293568,1.71040189100129,0.0871915815933823,"Astrocytes4","Arteries",0.472727272727273,0.148548620492429
"AD_overall_vs_Control",0.542533155148207,0.214568213958717,Inf,0.121987183562038,0.963079126734376,2.52848800453077,0.0114555000922884,"Astrocytes4","Arteries",0.472727272727273,0.0159682728559171
"Disease_effect",0.610123526572244,0.271206947415523,Inf,0.0785676772807703,1.14167937586372,2.24966038807796,0.0244705118767514,"Astrocytes5","Arteries",0.472727272727273,0.0351763608228301
"Amyloid_effect",-0.047343559542727,0.222537781640045,Inf,-0.483509596756655,0.388822477671201,-0.212743917881347,0.83152670928551,"Astrocytes5","Arteries",0.472727272727273,0.884255931392101
