"contrast1","contrast","estimate","SE","df","asymp.LCL","asymp.UCL","z.ratio","p.value","celltype","p_adj"
"Arteries - Capillaries","Disease_effect",-0.724639555898224,0.386729297527231,Inf,-1.63101723787178,0.181738126075329,-1.87376431144889,0.146315601722984,"Astrocytes1",0.999939298369795
"Arteries - Parenchyma","Disease_effect",-0.507247252590224,0.36255932066448,Inf,-1.35697774558097,0.342483240400518,-1.39907381683242,0.341358848712158,"Astrocytes1",0.999939298369795
"Capillaries - Parenchyma","Disease_effect",0.217392303308,0.379686016578933,Inf,-0.672478036966267,1.10726264358227,0.57255809752163,0.834757961668805,"Astrocytes1",0.999939298369795
"Arteries - Capillaries","Amyloid_effect",0.677590979616196,0.32077333367965,Inf,-0.0742056711121302,1.42938763034452,2.11236692228567,0.0873175265323924,"Astrocytes1",0.460220245685711
"Arteries - Parenchyma","Amyloid_effect",0.289984064568498,0.271701106996696,Inf,-0.346801979633321,0.926770108770317,1.06729069959963,0.534441178017847,"Astrocytes1",0.999974772559645
"Capillaries - Parenchyma","Amyloid_effect",-0.387606915047698,0.291727167508711,Inf,-1.07132804904489,0.296114218949494,-1.32866238807232,0.379183740329186,"Astrocytes1",0.934417074382636
"Arteries - Capillaries","Disease_effect",-0.435501838691809,0.390746046008485,Inf,-1.35129357644233,0.480289899058714,-1.11453933607393,0.505054136873025,"Astrocytes2",0.999939298369795
"Arteries - Parenchyma","Disease_effect",-0.25079940759331,0.374219710458585,Inf,-1.12785836299966,0.626259547813044,-0.670192939024964,0.78082802446802,"Astrocytes2",0.999939298369795
"Capillaries - Parenchyma","Disease_effect",0.184702431098499,0.393637433025861,Inf,-0.737865852104502,1.1072707143015,0.469219681875032,0.885743241937139,"Astrocytes2",0.999939298369795
"Arteries - Capillaries","Amyloid_effect",1.01766409184611,0.353628576812748,Inf,0.188864588471078,1.84646359522115,2.87777673687549,0.0111701359672722,"Astrocytes2",0.128456563623631
"Arteries - Parenchyma","Amyloid_effect",0.0408233760933397,0.286864113967965,Inf,-0.631500216461406,0.713146968648086,0.142309107711878,0.988897126899941,"Astrocytes2",0.999974772559645
"Capillaries - Parenchyma","Amyloid_effect",-0.976840715752773,0.329939473405972,Inf,-1.75012005354647,-0.203561377959073,-2.96066640850464,0.00862316108773964,"Astrocytes2",0.118999623010807
"Arteries - Capillaries","Disease_effect",0.336138996150427,0.330099016691017,Inf,-0.437514263334229,1.10979225563508,1.01829747788999,0.565269449475918,"Astrocytes3",0.999939298369795
"Arteries - Parenchyma","Disease_effect",-0.063826929682848,0.294422066134291,Inf,-0.753864099173148,0.626210239807452,-0.216787180800964,0.974424677302989,"Astrocytes3",0.999939298369795
"Capillaries - Parenchyma","Disease_effect",-0.399965925833275,0.322351071381578,Inf,-1.15546032134116,0.355528469674614,-1.24077740495493,0.429094415274575,"Astrocytes3",0.999939298369795
"Arteries - Capillaries","Amyloid_effect",-0.577655149270375,0.259135229835669,Inf,-1.18499053978239,0.0296802412416394,-2.22916486359919,0.0663568432524918,"Astrocytes3",0.399972933104296
"Arteries - Parenchyma","Amyloid_effect",0.0489687397588348,0.215479802110083,Inf,-0.456051399127604,0.553988878645273,0.227254430713733,0.971931411257079,"Astrocytes3",0.999974772559645
"Capillaries - Parenchyma","Amyloid_effect",0.62662388902921,0.243233590082609,Inf,0.0565571809550501,1.19669059710337,2.57622267062863,0.0269927855489063,"Astrocytes3",0.197172876610727
"Arteries - Capillaries","Disease_effect",-0.376839566016056,0.336293588734558,Inf,-1.16501104764096,0.41133191560885,-1.12056720270543,0.501335682962595,"Astrocytes4",0.999939298369795
"Arteries - Parenchyma","Disease_effect",-0.321382527623441,0.314362796370159,Inf,-1.05815479829074,0.415389743043862,-1.02233003184326,0.562721727781442,"Astrocytes4",0.999939298369795
"Capillaries - Parenchyma","Disease_effect",0.0554570383926149,0.329614815177093,Inf,-0.717061397719194,0.827975474504423,0.16824801507426,0.984515387489755,"Astrocytes4",0.999939298369795
"Arteries - Capillaries","Amyloid_effect",0.24474662624676,0.270414170554818,Inf,-0.389023224259636,0.878516476753156,0.905080624083439,0.637080837811081,"Astrocytes4",0.999974772559645
"Arteries - Parenchyma","Amyloid_effect",0.131801731967231,0.230037395278016,Inf,-0.407337046585332,0.670940510519794,0.572957852387173,0.834547529289392,"Astrocytes4",0.999974772559645
"Capillaries - Parenchyma","Amyloid_effect",-0.112944894279529,0.247438031745317,Inf,-0.692865554750376,0.466975766191319,-0.456457293500382,0.89152595909065,"Astrocytes4",0.999974772559645
"Arteries - Capillaries","Disease_effect",0.144852608417253,0.417345623447272,Inf,-0.833280574614504,1.12298579144901,0.347080693504754,0.93575746319964,"Astrocytes5",0.999939298369795
"Arteries - Parenchyma","Disease_effect",-0.310980274946234,0.372954984153033,Inf,-1.18507509056673,0.563114540674263,-0.833827909961999,0.681974150051781,"Astrocytes5",0.999939298369795
"Capillaries - Parenchyma","Disease_effect",-0.455832883363487,0.415615265342261,Inf,-1.42991062508725,0.518244858360276,-1.09676646017346,0.516060578080628,"Astrocytes5",0.999939298369795
"Arteries - Capillaries","Amyloid_effect",-0.152437635430325,0.365724185100182,Inf,-1.00958562305965,0.704710352199004,-0.416810376892543,0.908693187996372,"Astrocytes5",0.999974772559645
"Arteries - Parenchyma","Amyloid_effect",0.434419140755658,0.301447673488411,Inf,-0.272083948820865,1.14092223033218,1.44110961523927,0.319785726332539,"Astrocytes5",0.863350848488663
"Capillaries - Parenchyma","Amyloid_effect",0.586856776185983,0.35309904723365,Inf,-0.240701668403208,1.41441522077517,1.66201744463404,0.219949575914917,"Astrocytes5",0.705884685494386
"Arteries - Capillaries","Disease_effect",0.240696982338374,0.397688088036345,Inf,-0.691364823394085,1.17275878807083,0.605240613383363,0.817254220550625,"Endothelial",0.999939298369795
"Arteries - Parenchyma","Disease_effect",0.105330632736509,0.361954059236481,Inf,-0.742981308689597,0.953642574162615,0.291005529703678,0.95439226805958,"Endothelial",0.999939298369795
"Capillaries - Parenchyma","Disease_effect",-0.135366349601865,0.42829980684106,Inf,-1.13917285869363,0.868440159489902,-0.316055126431796,0.94642732279568,"Endothelial",0.999939298369795
"Arteries - Capillaries","Amyloid_effect",-0.058045739042564,0.35578567417846,Inf,-0.891900832781781,0.775809354696653,-0.163148050231636,0.985433085387102,"Endothelial",0.999974772559645
