"region","celltype","contrast","full_estimate","full_p_adj","min_loo_estimate","max_loo_estimate","max_abs_delta","n_loo","any_sig_flip","any_direction_flip"
"Parenchyma","Microglia1","Disease_effect",1.13469861235331,4.551360844493e-05,-0.0214215415781943,1.67410927365421,1.15612015393151,4,TRUE,TRUE
"Parenchyma","Oligodendrocytes2","Disease_effect",-0.28660593266362,0.362957966763114,-1.3346736279871,0.625716587423125,1.04806769532348,4,TRUE,TRUE
"Arteries","ExNeuron4","Disease_effect",0.0770458743938597,0.792016457543379,-0.848039225946683,0.537733179815281,0.925085100340543,4,FALSE,TRUE
"Parenchyma","ExNeuron2","Disease_effect",0.817913207039778,0.000207705938380362,-0.0169304888837626,1.39931964459427,0.83484369592354,4,TRUE,TRUE
"Capillaries","Fibroblast","Disease_effect",-1.48759268356046,6.36541437287927e-15,-2.18898098252598,-0.654253757792342,0.833338925768121,4,TRUE,FALSE
"Capillaries","Astrocytes2","Disease_effect",0.809540856511225,0.0517877257627956,-0.0081774686703898,1.31639511188831,0.817718325181615,4,TRUE,TRUE
"Capillaries","Astrocytes4","Disease_effect",0.805656042387944,0.0101764464459665,-0.0113117021751795,1.39443335576726,0.816967744563123,4,TRUE,TRUE
"Arteries","Microglia5","Disease_effect",1.1996263065177,2.88408123073033e-06,0.399443928607231,1.69800148584685,0.800182377910468,4,TRUE,FALSE
"Capillaries","ExNeuron14","Disease_effect",0.645450745007101,0.0190977780994573,-0.0988005235219869,1.11384482636968,0.744251268529088,4,TRUE,TRUE
"Parenchyma","ExNeuron4","Disease_effect",0.343682004803001,0.249867643499562,0.0242771233217282,1.0714637549989,0.727781750195898,4,TRUE,FALSE
"Capillaries","ExNeuron8","Disease_effect",0.391295127237726,0.234102246980831,-0.0994727316777211,1.1112904319153,0.719995304677574,4,TRUE,TRUE
"Arteries","Fibroblast","Disease_effect",-1.50366535264364,8.33117243133736e-34,-2.21670990968191,-0.935963567090817,0.713044557038276,4,FALSE,FALSE
"Capillaries","ExNeuron4","Disease_effect",0.749105107014714,0.0580204815241867,0.167687168279468,1.43924682184508,0.690141714830366,4,TRUE,FALSE
"Arteries","InhNeuron3","Disease_effect",0.731736402835706,2.88408123073033e-06,0.049823811686792,1.0666950279737,0.681912591148914,4,TRUE,FALSE
"Parenchyma","Pericytes","Disease_effect",0.664070470989303,0.00295567426398201,0.3762879384959,1.34201574811233,0.677945277123023,4,TRUE,FALSE
"Capillaries","ExNeuron3","Disease_effect",0.535737267899976,0.185709832968985,0.243471041319773,1.21081716515984,0.675079897259862,4,TRUE,FALSE
"Capillaries","ExNeuron6","Disease_effect",0.329746078695205,0.407295308722711,-0.175600403464304,0.996222501981272,0.666476423286067,4,TRUE,TRUE
"Capillaries","Microglia5","Disease_effect",0.342393976039616,0.290301075620237,-0.320233457243847,0.841969946772824,0.662627433283464,4,FALSE,TRUE
"Parenchyma","ExNeuron3","Disease_effect",0.344702953496121,0.250455172703155,0.0354154490648585,1.00058284101634,0.655879887520219,4,TRUE,FALSE
"Parenchyma","VLMC1","Disease_effect",0.729660383170171,0.00104980103760105,0.446658212250786,1.35238475808101,0.622724374910842,4,TRUE,FALSE
"Capillaries","Oligodendrocytes2","Disease_effect",0.185843670932492,0.624818142033185,-0.429949146623426,0.741788735473528,0.615792817555918,4,FALSE,TRUE
"Arteries","ExNeuron2","Disease_effect",0.995900215800479,8.5840546154863e-07,0.40586646094526,1.45961174397984,0.590033754855219,4,TRUE,FALSE
"Capillaries","Astrocytes5","Disease_effect",0.60616351431541,0.148352965638169,0.0251898459143289,0.878910937065145,0.580973668401081,4,FALSE,FALSE
"Parenchyma","ExNeuron10","Disease_effect",0.85920348378576,7.31262125839772e-05,0.323720655362605,1.42357294050194,0.56436945671618,4,TRUE,FALSE
"Capillaries","Astrocytes1","Disease_effect",0.937420151707445,0.0272455991720254,0.545063682667687,1.48989007649159,0.552469924784145,4,TRUE,FALSE
"Arteries","Astrocytes1","Disease_effect",0.457739957913465,0.114283152513416,0.12957581081743,0.994852591920969,0.537112634007504,4,TRUE,FALSE
"Arteries","ExNeuron5","Disease_effect",0.806841965572037,2.53420896804483e-06,0.28167959809473,1.07137506752132,0.525162367477307,4,TRUE,FALSE
"Capillaries","ExNeuron1","Disease_effect",0.788026358782292,0.040260585798945,0.575106180846801,1.31020249755897,0.522176138776674,4,TRUE,FALSE
"Parenchyma","ExNeuron7","Disease_effect",0.515429780304514,0.0688046167149876,0.23102337689252,1.03675800017196,0.521328219867442,4,TRUE,FALSE
"Parenchyma","Microglia3","Disease_effect",0.548796241455713,0.00147000029855764,0.0391334004843746,0.860624064212464,0.509662840971339,4,TRUE,FALSE
"Parenchyma","OPC3","Disease_effect",1.01023764834896,5.08983105469903e-06,0.78221858927034,1.51979629898449,0.509558650635524,4,FALSE,FALSE
"Arteries","ExNeuron3","Disease_effect",0.0772480406145914,0.792016457543379,-0.185630290492326,0.565163256209537,0.487915215594945,4,FALSE,TRUE
"Capillaries","ExNeuron9","Disease_effect",0.327049314899078,0.364684110683597,0.213330247619284,0.811506921305702,0.484457606406624,4,FALSE,FALSE
"Parenchyma","ExNeuron5","Disease_effect",0.844766551918169,3.94856083714776e-06,0.36237573697181,1.26685670211503,0.482390814946359,4,TRUE,FALSE
"Parenchyma","Fibroblast","Disease_effect",-0.938443700947967,4.18866842309962e-09,-1.17362409824539,-0.458382903459368,0.4800607974886,4,FALSE,FALSE
"Arteries","Astrocytes2","Disease_effect",0.362608171292935,0.174782506350964,-0.081164795651325,0.838507423542723,0.475899252249787,4,TRUE,TRUE
"Parenchyma","Microglia4","Disease_effect",1.296998060107,2.02634416318249e-08,0.822392193870171,1.59123713299728,0.474605866236829,4,FALSE,FALSE
"Parenchyma","ExNeuron8","Disease_effect",0.527567670880193,0.032748069486321,0.306753154665625,0.999778350172867,0.472210679292674,4,TRUE,FALSE
"Parenchyma","Microglia5","Disease_effect",0.963557550641417,0.00100082863474404,0.630479488243235,1.41928760633624,0.455730055694825,4,TRUE,FALSE
"Parenchyma","Oligodendrocytes6","Disease_effect",1.07186113942848,7.31262125839772e-05,0.621322008188774,1.26552736544312,0.450539131239703,4,FALSE,FALSE
"Parenchyma","ExNeuron1","Disease_effect",0.650269452310549,0.0204387822861556,0.452873875291362,1.09455864274296,0.444289190432407,4,TRUE,FALSE
"Arteries","ExNeuron10","Disease_effect",0.978297993318927,1.47236395888437e-05,0.71163907597825,1.42209241799565,0.443794424676725,4,FALSE,FALSE
"Parenchyma","InhNeuron1","Disease_effect",0.721121709813396,7.65765712937783e-05,0.283181642944237,1.06614266814901,0.437940066869158,4,TRUE,FALSE
"Capillaries","Astrocytes3","Disease_effect",0.718204188196539,0.040260585798945,0.286220754165315,1.05820363008447,0.431983434031223,4,TRUE,FALSE
"Arteries","Oligodendrocytes2","Disease_effect",0.671605009334565,0.0743783671057498,0.240488020747135,0.868165054043856,0.43111698858743,4,TRUE,FALSE
"Parenchyma","ExNeuron6","Disease_effect",0.603478437033192,0.0287934584666185,0.394488748248526,1.02044294786617,0.416964510832974,4,TRUE,FALSE
"Parenchyma","Microglia2","Disease_effect",0.450707055771065,0.0318523822791821,0.241441865869746,0.867336139928051,0.416629084156986,4,TRUE,FALSE
"Parenchyma","SMC","Disease_effect",0.775924997126309,7.31262125839772e-05,0.405282753410627,1.17503751777155,0.399112520645244,4,TRUE,FALSE
"Parenchyma","OPC1","Disease_effect",0.965607143484927,4.551360844493e-05,0.756114698104541,1.36311047100853,0.397503327523605,4,FALSE,FALSE
"Capillaries","InhNeuron5","Disease_effect",0.551712990117602,0.0580204815241867,0.158935825566468,0.8391010279412,0.392777164551133,4,TRUE,FALSE
"Parenchyma","InhNeuron3","Disease_effect",0.685207939599109,0.00552771042904058,0.413700283146438,1.06625463349994,0.381046693900833,4,TRUE,FALSE
"Parenchyma","Astrocytes4","Disease_effect",0.64437187454912,0.0121401755422227,0.450356289101435,1.02486062025562,0.380488745706505,4,TRUE,FALSE
"Capillaries","InhNeuron3","Disease_effect",0.467482536645053,0.11909700472722,0.306095502801053,0.846264634284206,0.378782097639153,4,FALSE,FALSE
"Arteries","Endothelial","Disease_effect",0.491558477584378,0.147428999821745,0.118492923609422,0.724349515121601,0.373065553974956,4,TRUE,FALSE
"Parenchyma","InhNeuron5","Disease_effect",0.787147188733443,4.72792312881776e-06,0.414887230385856,1.09375792416133,0.372259958347587,4,FALSE,FALSE
