"region","celltype","contrast","full_estimate","full_p_adj","min_loo_estimate","max_loo_estimate","max_abs_delta","n_loo","any_sig_flip","any_direction_flip"
"Capillaries","Astrocytes2","AD_Amyloid_vs_Control",0.296834054733986,0.374984992347004,-0.227364862104159,1.57414991478541,1.27731586005143,4,TRUE,TRUE
"Arteries","ExNeuron3","AD_Amyloid_vs_Control",0.293803972054459,0.318622436308049,-0.687508966636106,1.07121349846496,0.981312938690565,4,TRUE,TRUE
"Arteries","Oligodendrocytes2","AD_Amyloid_vs_Control",-0.714946688964594,0.0197269609807766,-0.994360859936968,0.223779030242774,0.938725719207368,4,TRUE,TRUE
"Parenchyma","Oligodendrocytes2","AD_Amyloid_vs_Control",-0.607658825142333,0.0839816476119955,-1.54626862113082,0.321218454802454,0.93860979598849,4,TRUE,TRUE
"Arteries","Astrocytes2","AD_Amyloid_vs_Control",0.766108282950824,0.00737758351638364,-0.139503304463158,1.39454572071657,0.905611587413982,4,TRUE,TRUE
"Capillaries","Microglia5","AD_Amyloid_vs_Control",0.691054926245589,0.067451041986236,0.188789888620204,1.59107881035617,0.900023884110578,4,TRUE,FALSE
"Arteries","ExNeuron6","AD_Amyloid_vs_Control",0.51746392840254,0.100628169005261,-0.272363704757636,0.966674323353974,0.789827633160176,4,TRUE,TRUE
"Capillaries","Fibroblast","AD_Amyloid_vs_Control",-0.932686317034062,0.00521863614881555,-1.18005731831855,-0.270673984176667,0.662012332857395,4,TRUE,FALSE
"Arteries","ExNeuron4","AD_Amyloid_vs_Control",0.266671202722355,0.352851323972942,-0.124303108159064,0.921433345807615,0.65476214308526,4,TRUE,TRUE
"Parenchyma","VLMC1","AD_Amyloid_vs_Control",0.664378856888887,0.00129639078065539,0.378576480915502,1.25254511057963,0.588166253690748,4,TRUE,FALSE
"Parenchyma","ExNeuron3","AD_Amyloid_vs_Control",0.661838966690702,0.0261441448082902,0.35357655796191,1.24390203056899,0.582063063878284,4,TRUE,FALSE
"Parenchyma","Microglia3","AD_Amyloid_vs_Control",0.794739356949865,0.000102932807962515,0.378930162039838,1.3714746635887,0.576735306638834,4,TRUE,FALSE
"Parenchyma","ExNeuron11","AD_Amyloid_vs_Control",0.749446339877899,0.000393831339949295,0.39583994358625,1.31683794733969,0.567391607461787,4,TRUE,FALSE
"Parenchyma","Pericytes","AD_Amyloid_vs_Control",0.754321965691474,0.000187250432990089,0.482665884170165,1.30313683805782,0.548814872366345,4,TRUE,FALSE
"Capillaries","ExNeuron7","AD_Amyloid_vs_Control",1.08464870900564,0.000258782837893675,0.739268179314914,1.62988519838541,0.545236489379767,4,FALSE,FALSE
"Parenchyma","Microglia1","AD_Amyloid_vs_Control",0.673032237188783,0.0172592042249437,0.271884992307376,1.21210723144122,0.539074994252436,4,TRUE,FALSE
"Arteries","Fibroblast","AD_Amyloid_vs_Control",-0.928407851343842,7.92884368333352e-08,-1.23963291778074,-0.391705691036073,0.536702160307768,4,FALSE,FALSE
"Capillaries","ExNeuron4","AD_Amyloid_vs_Control",0.395097370229242,0.284568752217431,0.532937507210035,0.929299234831115,0.534201864601873,4,FALSE,FALSE
"Parenchyma","ExNeuron4","AD_Amyloid_vs_Control",0.597867630262191,0.0367801978579708,0.299819657977635,1.11238822842022,0.514520598158031,4,TRUE,FALSE
"Capillaries","Oligodendrocytes2","AD_Amyloid_vs_Control",-0.170041371201863,0.676149885474197,-0.538989014048732,0.327263726320494,0.497305097522357,4,FALSE,TRUE
"Capillaries","Microglia1","AD_Amyloid_vs_Control",0.902632168559388,0.00427858491639831,0.406394955806629,1.34184245804292,0.496237212752759,4,TRUE,FALSE
"Arteries","SMC","AD_Amyloid_vs_Control",0.606025712958165,0.00574241680684585,0.337382891658826,1.0974934153269,0.491467702368733,4,TRUE,FALSE
"Parenchyma","InhNeuron4","AD_Amyloid_vs_Control",0.887121045118022,4.43501300137213e-05,0.401585986981719,1.11675378767272,0.485535058136304,4,TRUE,FALSE
"Arteries","ExNeuron1","AD_Amyloid_vs_Control",0.544091756638349,0.0253676417071473,0.28106968463457,1.0220447389372,0.477952982298853,4,TRUE,FALSE
"Arteries","Astrocytes4","AD_Amyloid_vs_Control",0.745232951629133,0.000895495650334741,0.483930001765021,1.22173931443623,0.476506362807101,4,TRUE,FALSE
"Parenchyma","Endothelial","AD_Amyloid_vs_Control",0.6898885412755,0.0137890104237148,0.32429269719738,1.16406446677563,0.474175925500129,4,TRUE,FALSE
"Arteries","ExNeuron10","AD_Amyloid_vs_Control",1.06425864155325,7.92884368333352e-08,0.835489210492666,1.53398527868384,0.469726637130592,4,FALSE,FALSE
"Parenchyma","ExNeuron6","AD_Amyloid_vs_Control",0.863990967967597,0.00129639078065539,0.516320724118425,1.32243588052768,0.458444912560086,4,TRUE,FALSE
"Parenchyma","SMC","AD_Amyloid_vs_Control",0.896960310752466,4.16365784449501e-05,0.538355664920714,1.35167239232544,0.454712081572975,4,TRUE,FALSE
"Parenchyma","Fibroblast","AD_Amyloid_vs_Control",-0.610959948022038,0.000643308824186433,-1.05354907174413,-0.233410668743165,0.442589123722096,4,TRUE,FALSE
"Parenchyma","InhNeuron1","AD_Amyloid_vs_Control",0.802064653203478,0.000393831339949295,0.375791996589333,1.08063814180518,0.426272656614144,4,TRUE,FALSE
"Capillaries","ExNeuron3","AD_Amyloid_vs_Control",0.199059617086864,0.603887797442325,-0.121142858296877,0.619079905984018,0.420020288897154,4,FALSE,TRUE
"Parenchyma","OPC3","AD_Amyloid_vs_Control",0.718627346767758,0.000420282343332617,0.518339051926905,1.13402153990261,0.415394193134849,4,TRUE,FALSE
"Capillaries","ExNeuron2","AD_Amyloid_vs_Control",0.987750380740162,0.000258782837893675,0.582032555359197,1.25467809375265,0.405717825380965,4,FALSE,FALSE
"Capillaries","ExNeuron10","AD_Amyloid_vs_Control",1.05851056975904,0.000130996351628605,0.659042331213652,1.31287111164216,0.399468238545387,4,FALSE,FALSE
"Capillaries","InhNeuron3","AD_Amyloid_vs_Control",1.0542454445459,0.000173988951517392,0.662719263574577,1.26669574294675,0.391526180971323,4,FALSE,FALSE
"Capillaries","ExNeuron8","AD_Amyloid_vs_Control",0.997433168592585,0.000130996351628605,0.607285608231717,1.22115217571188,0.390147560360869,4,FALSE,FALSE
"Capillaries","InhNeuron1","AD_Amyloid_vs_Control",0.939978035815546,0.000190966581074952,0.554721831721221,1.18995343545788,0.385256204094325,4,FALSE,FALSE
"Parenchyma","InhNeuron5","AD_Amyloid_vs_Control",0.816330430673636,2.90876673376034e-05,0.432881024441951,1.08798921672574,0.383449406231685,4,TRUE,FALSE
"Parenchyma","ExNeuron13","AD_Amyloid_vs_Control",0.807840386767575,5.19411121283863e-05,0.425303763464317,0.957960442376939,0.382536623303258,4,TRUE,FALSE
"Arteries","Microglia5","AD_Amyloid_vs_Control",1.10617296010428,1.50633626228273e-06,0.900480728778225,1.48700489049428,0.380831930389998,4,FALSE,FALSE
"Capillaries","ExNeuron9","AD_Amyloid_vs_Control",0.980460561128655,0.000167310537937988,0.60295550866722,1.19813948213472,0.377505052461435,4,FALSE,FALSE
"Capillaries","VLMC1","AD_Amyloid_vs_Control",1.06364904520319,0.000242879908830758,0.694276439787063,1.34579679488514,0.369372605416123,4,FALSE,FALSE
"Parenchyma","InhNeuron2","AD_Amyloid_vs_Control",0.784508124076539,4.43501300137213e-05,0.41633565965012,0.999693937837001,0.368172464426419,4,TRUE,FALSE
"Capillaries","InhNeuron5","AD_Amyloid_vs_Control",0.98917742615455,3.34346989890487e-05,0.628580437735487,1.23739664432208,0.360596988419064,4,FALSE,FALSE
"Capillaries","Oligodendrocytes5","AD_Amyloid_vs_Control",1.11394301760082,0.000165858041784965,0.753492352719196,1.3659549058142,0.360450664881629,4,FALSE,FALSE
"Capillaries","ExNeuron5","AD_Amyloid_vs_Control",0.942656280539592,0.000730451750812923,0.582674557909605,1.17484854869837,0.359981722629987,4,TRUE,FALSE
"Parenchyma","Microglia5","AD_Amyloid_vs_Control",0.826433409806049,0.00122998966891535,0.466854361350222,1.16451141778502,0.359579048455827,4,TRUE,FALSE
"Parenchyma","ExNeuron5","AD_Amyloid_vs_Control",0.785849544763635,0.000257081917020373,0.428086532115162,1.06374537568546,0.357763012648474,4,TRUE,FALSE
