"region","celltype","contrast","full_estimate","full_p_adj","min_loo_estimate","max_loo_estimate","max_abs_delta","n_loo","any_sig_flip","any_direction_flip"
"Parenchyma","Oligodendrocytes2","AD_overall_vs_Control",-0.438972757199098,0.116844141310758,-1.43792358216899,0.504523414401095,0.998950824969894,4,TRUE,TRUE
"Arteries","Oligodendrocytes2","AD_overall_vs_Control",-0.303527098503796,0.218795000657056,-0.752474020324422,0.59009012324625,0.893617221750046,4,TRUE,TRUE
"Arteries","Astrocytes2","AD_overall_vs_Control",0.565121330791057,0.0316902466554256,-0.283022212760398,1.02419719443254,0.848143543551455,4,TRUE,TRUE
"Capillaries","Fibroblast","AD_overall_vs_Control",-1.11690407965196,3.75903759016169e-05,-1.38648876461185,-0.377392089338181,0.739511990313782,4,TRUE,FALSE
"Capillaries","Astrocytes2","AD_overall_vs_Control",0.501134546959066,0.0885171745353589,-0.229410453843507,0.779600480355287,0.730545000802573,4,TRUE,TRUE
"Parenchyma","ExNeuron11","AD_overall_vs_Control",0.741801409103572,4.15321824054603e-05,0.390850411762194,1.44191116606246,0.700109756958885,4,FALSE,FALSE
"Parenchyma","ExNeuron5","AD_overall_vs_Control",0.81297898048213,1.94624608149419e-05,0.438117744270328,1.48582438895621,0.67284540847408,4,TRUE,FALSE
"Parenchyma","VLMC1","AD_overall_vs_Control",0.704637500244147,0.000304870299452424,0.420320267808238,1.34837018234753,0.643732682103387,4,TRUE,FALSE
"Parenchyma","Pericytes","AD_overall_vs_Control",0.712007574995816,0.000260084593437855,0.455503611713054,1.31551359486104,0.603506019865226,4,TRUE,FALSE
"Arteries","Fibroblast","AD_overall_vs_Control",-1.11438146796041,7.57032930164158e-15,-1.45893648041706,-0.513067851728413,0.601313616231994,4,FALSE,FALSE
"Parenchyma","Microglia1","AD_overall_vs_Control",1.08404656293871,1.94624608149419e-05,0.504783742246405,1.4371100695098,0.579262820692309,4,FALSE,FALSE
"Capillaries","Oligodendrocytes2","AD_overall_vs_Control",0.0337986241507168,0.919938228208504,-0.52906147253749,0.604234433730461,0.570435809579744,4,FALSE,TRUE
"Parenchyma","ExNeuron3","AD_overall_vs_Control",0.588071167048051,0.0442181626082837,0.324578374013181,1.14534002656238,0.557268859514331,4,TRUE,FALSE
"Parenchyma","ExNeuron4","AD_overall_vs_Control",0.529002431676821,0.0586759780010186,0.29528291539395,1.07151223942187,0.542509807745044,4,TRUE,FALSE
"Arteries","ExNeuron3","AD_overall_vs_Control",0.181875839199613,0.517744609636631,-0.179230727390671,0.724132608347092,0.542256769147479,4,TRUE,TRUE
"Capillaries","Microglia5","AD_overall_vs_Control",0.647472922907706,0.0168106520398501,0.225135602697626,1.14653799436581,0.499065071458107,4,TRUE,FALSE
"Arteries","ExNeuron4","AD_overall_vs_Control",0.163628777381481,0.531916702560296,-0.146002370309589,0.662563202429249,0.498934425047768,4,FALSE,TRUE
"Parenchyma","Microglia3","AD_overall_vs_Control",0.784386071033374,0.000123018089544278,0.310056937732823,1.27921295474569,0.494826883712318,4,TRUE,FALSE
"Parenchyma","Fibroblast","AD_overall_vs_Control",-0.677248273354601,1.69868486558977e-06,-1.15475895950882,-0.279665859528916,0.477510686154221,4,FALSE,FALSE
"Capillaries","ExNeuron3","AD_overall_vs_Control",0.400641617609533,0.217026365234573,0.084185538337532,0.858310454485448,0.457668836875916,4,TRUE,FALSE
"Parenchyma","InhNeuron4","AD_overall_vs_Control",0.859022872196203,6.72289678595197e-05,0.414511360417549,1.05068176730808,0.444511511778654,4,TRUE,FALSE
"Parenchyma","InhNeuron1","AD_overall_vs_Control",0.771142630592875,6.66054567431822e-05,0.326649529793837,1.0546562614638,0.444493100799038,4,TRUE,FALSE
"Parenchyma","InhNeuron2","AD_overall_vs_Control",0.823673611493327,3.76461303386735e-05,0.44451654467857,1.26632199242941,0.442648380936087,4,FALSE,FALSE
"Capillaries","Astrocytes4","AD_overall_vs_Control",0.795019213707852,0.00272978238618345,0.564963590190567,1.23635312278637,0.441333909078517,4,TRUE,FALSE
"Capillaries","ExNeuron2","AD_overall_vs_Control",0.582596495413495,0.0147339055895512,0.162527396512997,0.788305721066853,0.420069098900498,4,TRUE,FALSE
"Parenchyma","SMC","AD_overall_vs_Control",0.842393694183653,1.94624608149419e-05,0.47533295970707,1.26102143662156,0.41862774243791,4,FALSE,FALSE
"Parenchyma","ExNeuron6","AD_overall_vs_Control",0.892852769373672,0.00220506188503886,0.475440025557026,1.28949186929949,0.417412743816646,4,TRUE,FALSE
"Capillaries","InhNeuron3","AD_overall_vs_Control",0.871615940415795,0.000475096359711712,0.455635742145386,1.11769251621498,0.415980198270409,4,TRUE,FALSE
"Parenchyma","OPC3","AD_overall_vs_Control",0.846164398971487,3.76461303386735e-05,0.63682676802462,1.26066625462722,0.414501855655731,4,FALSE,FALSE
"Capillaries","ExNeuron1","AD_overall_vs_Control",0.735503331912612,0.0144322938208958,0.51167945591781,1.14486997039261,0.409366638479999,4,TRUE,FALSE
"Arteries","Microglia5","AD_overall_vs_Control",1.15714848212969,6.41524698112315e-07,0.831879335957495,1.56434481421799,0.407196332088297,4,FALSE,FALSE
"Capillaries","ExNeuron4","AD_overall_vs_Control",0.581845475577718,0.0687953203712114,0.288281380239235,0.985610536811421,0.403765061233703,4,TRUE,FALSE
"Capillaries","ExNeuron10","AD_overall_vs_Control",0.666187969064107,0.00806717866835976,0.266576713086058,0.879526732193129,0.399611255978049,4,TRUE,FALSE
"Capillaries","Oligodendrocytes4","AD_overall_vs_Control",0.579619311444657,0.05662298460662,0.357998108055361,0.967341976708194,0.387722665263537,4,TRUE,FALSE
"Parenchyma","Endothelial","AD_overall_vs_Control",0.63203824049482,0.00675786478779086,0.371184893241398,1.01663845363405,0.38460021313923,4,TRUE,FALSE
"Parenchyma","ExNeuron2","AD_overall_vs_Control",0.72697565709604,0.000260084593437855,0.354913677557829,1.11064068946315,0.383665032367111,4,TRUE,FALSE
"Capillaries","ExNeuron8","AD_overall_vs_Control",0.80777575542944,0.00104078559552122,0.424562448599033,1.14956968461005,0.383213306830408,4,TRUE,FALSE
"Capillaries","VLMC1","AD_overall_vs_Control",0.708586757301778,0.00638377636059444,0.325383770092857,0.93192695042789,0.383202987208921,4,TRUE,FALSE
"Capillaries","ExNeuron5","AD_overall_vs_Control",0.625865214364078,0.00901072784494461,0.242704091869019,0.847407463961757,0.38316112249506,4,TRUE,FALSE
"Parenchyma","InhNeuron5","AD_overall_vs_Control",0.807026047582735,3.04112318694934e-06,0.424766332821729,1.08180518910197,0.382259714761006,4,FALSE,FALSE
"Parenchyma","ExNeuron10","AD_overall_vs_Control",0.691285442489661,0.000461177414971498,0.372268695435789,1.06425199289988,0.372966550410221,4,TRUE,FALSE
