"gene","panel","category","headline","source","agora_id","ensembl_gene_id","total_nominations","initial_nomination","nominating_teams","cohort_studies","input_data","programs","pharos_class","in_geomx","in_control_signature","in_adcaa_signature","in_any_signature","fully_evaluable"
"APOE","AGORA_Wall_of_Targets","AGORA nominated target",FALSE,"AGORA AD Knowledge Portal","6a4fe61059f5a283d2b79224","ENSG00000130203",5,2018,"ASU; Duke; Emory-Sage-SGC; MSSM - Roussos Lab; Mayo-UFL-ISB","APP Mice; Banner; Emory; HBI_scRNAseq; MSBB; ROSMAP; VirusResilience","Genetics; Metabolomics; Phenomics; Protein; RNA","AMP-AD; TREAT-AD","Tbio",TRUE,TRUE,TRUE,TRUE,TRUE
"MSN","AGORA_Wall_of_Targets","AGORA nominated target",FALSE,"AGORA AD Knowledge Portal","6a4fe61059f5a283d2b792c1","ENSG00000147065",5,2018,"Chang Lab; Emory; Emory-Sage-SGC; MSSM - Zhang Lab","ACT; BLSA; Banner; Kronos; MSBB; ROSMAP","Genetics; Protein; RNA","AMP-AD; Community; TREAT-AD","Tbio",TRUE,TRUE,TRUE,TRUE,TRUE
"PLEC","AGORA_Wall_of_Targets","AGORA nominated target",FALSE,"AGORA AD Knowledge Portal","6a4fe61059f5a283d2b793d4","ENSG00000178209",5,2018,"Chang Lab; Columbia-Rush; Emory; Emory-Sage-SGC; MSSM - Zhang Lab","ACT; BLSA; Banner; MSBB; ROSMAP","Clinical; Genetics; Protein","AMP-AD; Community; TREAT-AD","Tbio",TRUE,TRUE,TRUE,TRUE,TRUE
"PRDX1","AGORA_Wall_of_Targets","AGORA nominated target",FALSE,"AGORA AD Knowledge Portal","6a4fe61059f5a283d2b791db","ENSG00000117450",5,2018,"Chang Lab; Columbia-Rush; Emory; Emory-Sage-SGC; MSSM - Zhang Lab","ACT; BLSA; Banner; Kronos; MSBB; ROSMAP","Clinical; Genetics; Protein; RNA","AMP-AD; Community; TREAT-AD","Tchem",TRUE,TRUE,TRUE,TRUE,TRUE
"BIN1","AGORA_Wall_of_Targets","AGORA nominated target",FALSE,"AGORA AD Knowledge Portal","6a4fe61059f5a283d2b79266","ENSG00000136717",4,2018,"ASU; Duke; Emory-Sage-SGC; Mayo-UFL-ISB","ADNI; Mayo; VirusResilience","Genetics; Metabolomics; Protein; RNA","AMP-AD; TREAT-AD","Tbio",TRUE,TRUE,TRUE,TRUE,TRUE
"CLU","AGORA_Wall_of_Targets","AGORA nominated target",FALSE,"AGORA AD Knowledge Portal","6a4fe61059f5a283d2b791f1","ENSG00000120885",4,2018,"Columbia-Rush; Duke; MSSM - Roussos Lab; Mayo-UFL-ISB","ADNI; APP Mice; FreshMicro; ROSMAP","Clinical; Genetics; Metabolomics; Protein; RNA","AMP-AD","Tbio",TRUE,TRUE,TRUE,TRUE,TRUE
"COL25A1","AGORA_Wall_of_Targets","AGORA nominated target",FALSE,"AGORA AD Knowledge Portal","6a4fe61059f5a283d2b7941a","ENSG00000188517",4,2018,"Emory; Emory-Sage-SGC; Mayo-UFL-ISB","APP Mice; Banner; Emory; MSBB; ROSMAP","Protein","AMP-AD; TREAT-AD","Tbio",TRUE,TRUE,TRUE,TRUE,TRUE
"HTRA1","AGORA_Wall_of_Targets","AGORA nominated target",FALSE,"AGORA AD Knowledge Portal","6a4fe61059f5a283d2b7935c","ENSG00000166033",4,2018,"Emory; Emory-Sage-SGC; MSSM - Roussos Lab; Mayo-UFL-ISB","APP Mice; Banner; Emory; HBI_scRNAseq; MSBB; ROSMAP","Protein; RNA","AMP-AD; TREAT-AD","Tchem",TRUE,TRUE,TRUE,TRUE,TRUE
"INPP5D","AGORA_Wall_of_Targets","AGORA nominated target",FALSE,"AGORA AD Knowledge Portal","6a4fe61059f5a283d2b79380","ENSG00000168918",4,2018,"Duke; IUSM-Purdue; MSSM - Zhang Lab; Mayo-UFL-ISB","ABA; ADNI; GSE33000; GSE44772; GSE48350; GSE5281; MSBB; Mayo; ROSMAP","Genetics; Metabolomics; RNA","AMP-AD; TREAT-AD","Tbio",TRUE,TRUE,TRUE,TRUE,TRUE
"NRN1","AGORA_Wall_of_Targets","AGORA nominated target",FALSE,"AGORA AD Knowledge Portal","6a4fe61059f5a283d2b79209","ENSG00000124785",4,2018,"Columbia-Rush; Emory-Sage-SGC; MSSM - Zhang Lab","MSBB; ROSMAP","Clinical; Genetics; Protein; RNA","AMP-AD; TREAT-AD","Tbio",TRUE,TRUE,TRUE,TRUE,TRUE
